,0,1,2,3,4,5,6,7,8,9
0,2.6479910175779586e-14,2.30366786440692e-14,2.5337834826590202e-14,2.3189235753473844e-14,2.2092869058365194e-14,2.5019961839933358e-14,2.136629478378196e-14,2.1949645511737535e-14,1.9838337507062303e-14,2.0835786973812895e-14
1,1.4043566717734735e-14,1.3597902456178176e-14,5.1690412365791045e-15,5.6476169680140235e-15,7.259406454750558e-15,3.682151105398321e-15,2.8537754219555274e-15,5.812873748237866e-16,3.0896704824987507e-15,4.971788429762167e-15
2,6.919656041824566e-15,3.1568191367688183e-15,1.959287296549195e-14,1.677444363563371e-14,1.3552903312161546e-14,2.4597952386312717e-14,1.8030567312839464e-14,2.042841840360459e-14,1.928532861870511e-14,2.014306545167764e-14
3,2.2539241101134068e-14,1.745418590472233e-14,2.173832300325411e-14,2.0746456094880842e-14,2.081141257235185e-14,5.867619643918724e-15,1.6213320729801858e-14,1.1849501805149829e-14,4.078273057913578e-15,5.58648772741624e-16
4,2.3348670579625688e-14,2.1509440971849026e-14,1.6656979236454286e-15,4.314434934032699e-15,8.999779206510713e-15,1.742713078510717e-14,3.567719489671668e-15,1.0508732821556279e-14,1.3943615891485967e-14,1.5452272867267745e-14
5,1.0146109620336837e-14,1.3793183822389046e-14,1.6470125908715103e-14,1.339824244076148e-14,9.016818680805418e-15,8.748618344350096e-15,1.5420615240010976e-14,1.412900453556303e-14,7.123651726554031e-15,1.5669046109236576e-15
6,7.38054547660833e-15,4.661379317691463e-16,1.4418473385361014e-14,1.5096723833525648e-14,1.5719245302647365e-14,1.0941031196972936e-14,7.0121040511355374e-15,2.1636348833933423e-15,8.134879187869619e-15,1.0722285043288445e-14
7,1.7934886013067004e-14,1.2529403186162689e-14,1.5154693076271223e-15,2.5987258388779494e-15,6.613093492797596e-15,8.003844791373618e-15,7.63927442410339e-15,1.1121949323667591e-14,7.251767891592847e-15,4.775772500940073e-16
8,1.627376333477314e-14,1.6206254293121875e-14,1.2369748421851138e-14,9.491686690436523e-15,6.9139886124836895e-15,6.837070326075229e-15,9.624432755015372e-15,1.6694530597313124e-15,3.795382258761998e-15,7.408860595566414e-15
9,5.400968374524268e-15,1.05096105668787e-14,9.184224005108816e-15,1.0718752162387457e-14,1.0718650255077008e-14,5.7763984829157104e-15,7.427029884125e-16,7.769773997935176e-15,6.783182029540556e-15,3.3366632684289483e-15
10,6.670626324669722e-15,2.4019400848524747e-16,1.4535303073098844e-15,3.069049271551139e-15,2.7097671864447226e-15,7.446195417799018e-15,7.534125951225906e-15,1.380147980867936e-15,3.946285062078582e-16,9.017074818642959e-15
11,1.2919025157836753e-14,8.82954674361119e-15,8.402427226993182e-15,5.044784810643827e-15,6.500682146978316e-15,1.0711231169893098e-14,2.6421643706832264e-15,9.12221741324477e-15,6.2736774761021005e-15,2.5862043313089464e-15
12,1.1179105162457259e-14,1.1356415588948426e-14,7.647798047908537e-15,8.185319644264075e-15,5.9898331160625104e-15,1.4270718847659785e-15,6.691619110346215e-15,5.602039209495182e-15,8.633522914840291e-15,9.607833037670792e-15
13,4.1269163513029106e-15,7.263784016816676e-15,2.423867701866239e-15,6.588119962256358e-15,3.2103902957412863e-15,7.105644129259436e-15,9.370388206593694e-15,6.8192145169384346e-15,8.895636700216565e-15,1.813944911367348e-15
14,3.551618928649836e-15,2.2731854211125115e-16,2.7164364508103553e-15,3.3984974378156343e-15,9.709315851006767e-15,9.4773664129524e-15,4.0463125113795114e-15,8.794902351476164e-15,8.386869600635837e-15,1.1654875965322327e-15
15,8.264538931046539e-15,6.1394631467813576e-15,5.579862073486879e-15,1.0360685274020197e-15,5.024481775188721e-15,7.086060194659638e-15,2.769265886887598e-15,2.178976230861366e-15,5.196923526940661e-15,7.55105831100739e-15
16,9.014373785031991e-15,7.914184311447977e-15,6.0823809355530135e-15,5.504894582113739e-16,6.134049131996134e-15,1.4433426034144298e-15,6.3672587342714675e-15,8.158251677548564e-15,1.9920256646797538e-15,7.33999997310242e-15
17,6.9185148761858595e-15,5.1788101454903625e-15,4.333437809772852e-15,1.955557685977375e-15,9.19341312485231e-15,1.0686968371245715e-14,6.604008360516239e-15,5.636961412176094e-16,7.204891208144148e-15,5.690526448338344e-15
18,3.741537512962303e-15,2.0131248526190668e-16,3.3293787764178984e-16,4.9132291043070264e-15,5.406468317217515e-15,7.458032113456675e-15,3.644516679201609e-15,9.838766903416331e-15,1.6449833371467865e-15,7.773366090305068e-15
19,9.489879433337154e-16,5.3439593218858835e-15,5.4454259908232944e-15,7.745252228303827e-15,3.144427785186463e-14,5.7686628107047885e-15,2.811597686394074e-15,4.402778979225393e-15,8.947288534619083e-15,4.592898436574663e-15
