,0,1,2,3,4,5,6,7,8,9
0,3.3141846109143664e-07,2.877467151094043e-07,3.206659821822685e-07,2.924727666861551e-07,2.780731388341659e-07,3.2128492439315357e-07,2.7073276931082195e-07,2.7890074572021617e-07,2.5320033607965934e-07,2.6731916523710636e-07
1,2.739884006710982e-07,2.4450411387462154e-07,2.2213039347729794e-07,2.0759874343157972e-07,2.0734273031056252e-07,1.7118395545970583e-07,1.7900695323669303e-07,1.6860613269151034e-07,1.3299141697183976e-07,1.2937863441479972e-07
2,1.5237824687107535e-07,1.515741190853723e-07,3.035187424953028e-08,4.062189092710515e-08,6.434826218508085e-08,9.169092777903817e-08,4.872034328427357e-09,3.5004432029466416e-08,7.581924216356564e-08,1.0374055167215977e-07
3,7.420709554150985e-09,2.7114409643883446e-08,1.7812758290016207e-07,1.453573605861482e-07,1.0417926026873301e-07,3.0337995917552933e-07,1.7811730482733466e-07,2.2520451842885448e-07,2.410387279427779e-07,2.7013644871160867e-07
4,1.6535182029135548e-07,1.0515630173867904e-07,3.1658723672970134e-07,2.779463208308653e-07,2.402662665624911e-07,3.1956297824724583e-07,2.8084512394148397e-07,2.9548573353881517e-07,2.5092585471543355e-07,2.387571806532479e-07
5,2.88573329110156e-07,2.17904858155633e-07,3.2411126855444845e-07,3.0367551017784774e-07,2.9330359485975726e-07,1.0278611417698947e-07,2.4867586428100086e-07,1.9077221774274702e-07,8.235266617637303e-08,1.506461723273502e-08
6,3.4631497549052713e-07,2.878320225789722e-07,1.8822490860410955e-07,2.0662655846987787e-07,2.356315531228514e-07,2.4437976937817065e-07,8.099410548477439e-08,6.021368862255255e-08,1.8212927940927135e-07,3.0563262194551556e-07
7,3.226825506124836e-07,2.984882856774778e-07,5.31736441909505e-08,2.1260997121498383e-08,7.49806647601966e-08,4.940937816112542e-07,1.6478771838697154e-07,3.2871633268005123e-07,3.793934129788339e-07,4.2184269088404224e-07
8,2.1908819619812736e-07,2.440094338644979e-07,3.0481613959051095e-07,2.1139084730977865e-07,1.4825939318953432e-07,4.007653065210542e-07,3.728577490319982e-07,4.419590973141435e-07,3.5834118656447936e-07,9.970863812071045e-08
9,5.588308616299232e-08,1.3090127440989838e-07,4.773000074317887e-07,3.9122891805321096e-07,3.5044644101334974e-07,2.1092466391687061e-07,4.185292081869518e-07,2.2055010181054012e-07,5.725420550251372e-08,8.169261148734398e-07
10,1.4346890820612905e-07,2.9249319404574235e-08,4.899447997185503e-07,4.6242332606416976e-07,4.3896822553489663e-07,1.3253237047198455e-06,1.9754429943836354e-07,4.600054493045639e-07,4.972701176813058e-07,2.2491215052865476e-06
11,3.2801524345329227e-07,1.9305295010128384e-07,3.1184428006868726e-07,3.9412003844276304e-07,3.184249101847304e-07,2.7667923241751317e-06,3.4578030588613274e-07,1.5941949788389636e-06,1.1050714349823835e-06,3.9391726567909715e-06
12,4.642054912377747e-07,3.4068866899782175e-07,5.352855773761894e-08,2.0091790142908726e-07,9.614232066596577e-08,4.200678916185785e-06,1.1668286682054995e-06,3.0657040282462112e-06,1.5667535462852271e-06,5.487191887168047e-06
13,5.208257301720851e-07,4.3450094816308505e-07,4.6056483094270176e-07,7.950763219787226e-08,8.155903853672358e-07,5.255560643091239e-06,2.1621797217743773e-06,4.6419271910587625e-06,1.7130109681831373e-06,6.487530918355089e-06
14,4.813624683597808e-07,4.4456746596177736e-07,8.562137226339803e-07,3.3319973442450097e-07,1.8462469387541486e-06,5.642955465616119e-06,3.163194739079703e-06,6.033663185959777e-06,1.4893359031659325e-06,6.665226197055295e-06
15,3.4730200667144875e-07,3.5019577654880443e-07,1.1164517602649377e-06,5.097514779663711e-07,3.11461631862125e-06,5.254513088052663e-06,3.982996312134587e-06,6.965405368607571e-06,9.789307694198568e-07,5.970597637716239e-06
16,1.4032913474890778e-07,1.4501948504565002e-07,1.1689394732428531e-06,5.498223425933903e-07,4.505665912499719e-06,4.198875203476596e-06,4.460312117143297e-06,7.245308265627049e-06,3.678762375537922e-07,4.5964667422534295e-06
17,1.2746366627312844e-07,1.7895063162379372e-07,9.990449857271275e-07,4.410855416612582e-07,5.872924567083788e-06,2.764716338971859e-06,4.498722562923144e-06,6.814789181135618e-06,1.4122884068731075e-07,2.9115329683770065e-06
18,3.7690079747654336e-07,5.783521858712005e-07,6.540667717531511e-07,2.173248148219367e-07,7.059626786792373e-06,1.32349028219728e-06,4.090399307345619e-06,5.763782137406661e-06,3.86677855483496e-07,1.3349067774300143e-06
19,5.880535947392576e-07,1.0339722882215152e-06,2.3030378335006226e-07,7.127458850291108e-08,7.922524785056673e-06,2.097353191854319e-07,3.3180395341537304e-06,4.307339684786173e-06,3.5081232123886446e-07,2.004110417898642e-07
20,7.211643612139017e-07,1.5023769751657066e-06,1.7200485795407964e-07,3.0465703409106294e-07,8.35420383277898e-06,4.012237088336965e-07,2.334484292396122e-06,2.7301840150285313e-06,1.252103781053051e-07,3.565874788326153e-07
21,7.529282879386979e-07,1.937849635322172e-06,4.3082349285722763e-07,4.4386659500780626e-07,8.30005202859169e-06,4.939325122514175e-07,1.3254206603964007e-06,1.3148401964344769e-06,1.3086059405009827e-07,3.8984649375194937e-07
22,6.778131394626552e-07,2.2963613246680918e-06,5.062530816480135e-07,4.4536443042733346e-07,7.766949897617456e-06,2.4391008745470514e-07,4.653131613015974e-07,2.745641538611618e-07,2.6485764721727453e-07,1.2804131985441542e-07
23,5.089132747867705e-07,2.540798676715393e-06,4.0033265531710736e-07,3.1663911432493504e-07,6.822173522972107e-06,1.0320961997151261e-07,1.3122362100280655e-07,3.035787928895673e-07,2.1565640156977917e-07,1.6383100269444416e-07
24,2.760773203909971e-07,2.6454889211688656e-06,1.726112375232509e-07,1.0707149632776856e-07,5.5827014827006165e-06,3.1970971047534875e-07,4.02179935315596e-07,4.4033123210869216e-07,2.9750457788994275e-08,2.853094018398847e-07
25,4.4794724634962635e-08,2.59935589228926e-06,8.747420859407203e-08,1.1392598644328736e-07,4.196778442217366e-06,3.031977493318651e-07,3.951846900325721e-07,2.7720995063175763e-07,1.7032731736054352e-07,1.870979886045594e-07
