,0
0,3.1622776601683817
1,3.1622776601683804
2,3.16227766016838
3,3.1622776601683795
4,3.1622776601683795
5,3.162277660168379
6,3.162277660168379
7,3.1622776601683786
8,3.162277660167541
9,3.1622776599581486
10,3.162277658090922
11,3.1622771501803073
12,3.162244900647633
13,0.014395743369366408
14,0.0017823541287644176
15,0.00011832157858460952
16,5.86341592709679e-06
17,1.305450212386474e-06
18,1.026767214232667e-07
19,3.71630212998568e-09
20,1.4708073143598602e-09
21,1.1283655528493853e-09
22,7.799877015926842e-10
23,5.717905067689234e-10
24,5.354003639121077e-10
25,4.778506883002969e-10
26,4.386517252093794e-10
27,3.6251006901000814e-10
28,3.5812799809946167e-10
29,3.07227769614806e-10
30,2.4754486095016515e-10
31,2.1287075334239017e-10
32,1.7166096193270165e-10
33,2.564589968737323e-11
34,1.5499304091287527e-11
35,1.124012669952134e-11
36,1.0532077881118475e-11
37,1.014825381846379e-11
38,9.304708088001963e-12
39,8.239730359107995e-12
40,6.642116492141931e-12
41,6.388091366475268e-12
42,5.748545138347643e-12
43,4.674052971687563e-12
44,4.2839841814885094e-12
45,4.013472796266627e-12
46,3.757965804675281e-12
47,3.3116440744099284e-12
48,2.8914903009380777e-12
49,1.0266292130792324e-12
50,7.663582883377189e-13
51,7.242411560812536e-13
52,6.292114866269526e-13
53,5.687189088840579e-13
54,5.439936280923739e-13
55,4.589470704635152e-13
56,4.3877115244353623e-13
57,3.9106629471397485e-13
58,1.3138944233318225e-13
59,9.604438241989522e-14
60,8.514638855182784e-14
61,7.91574196496231e-14
62,7.500402779442616e-14
63,7.029091122094391e-14
64,6.647389353870986e-14
65,6.429910367263599e-14
66,6.346973625911176e-14
67,5.958932079114604e-14
68,5.423054259147142e-14
69,5.2939883337770873e-14
70,4.905761875052615e-14
71,4.626267588512202e-14
72,4.357910517893223e-14
73,4.1282729544900574e-14
74,3.703569878334731e-14
75,3.30741331632411e-14
76,1.5142883942164032e-14
77,7.632743224548499e-15
78,7.50171075588319e-15
79,5.945611745758227e-15
80,5.083600830723119e-15
81,4.001832828277509e-15
82,3.6663187694344295e-15
83,3.1651624259991936e-15
84,2.831047975446379e-15
85,2.7283750553153378e-15
86,2.457203951868044e-15
87,2.389528694570178e-15
88,1.9901411387652416e-15
89,1.9466926870332697e-15
90,1.8855907777630676e-15
91,1.788895953371432e-15
92,1.695340646376487e-15
93,1.5733391904024184e-15
94,1.469126547447145e-15
95,1.4381121850379484e-15
96,1.3294757585009525e-15
97,1.2447095473166807e-15
98,1.201087788620447e-15
99,1.1346514816634216e-15
100,1.1016060588114618e-15
101,1.0722469311434596e-15
102,1.0001001017109293e-15
103,9.794036945360045e-16
104,9.705805000452773e-16
105,8.88686269265292e-16
106,8.789180605968781e-16
107,8.355592871381162e-16
108,8.077473630891138e-16
109,7.908257070103664e-16
110,7.5748626141094e-16
111,7.454330066137814e-16
112,7.023402725581485e-16
113,6.869493608314019e-16
114,6.858339628531466e-16
115,6.530435675074528e-16
116,6.448942825001263e-16
117,6.322567039062418e-16
118,6.192684551590511e-16
119,6.103518215548558e-16
120,5.85794302792798e-16
121,5.705292228727118e-16
122,5.454978965720429e-16
123,5.357246731783021e-16
124,5.221913105567042e-16
125,5.016592568381913e-16
126,4.736690202054041e-16
127,4.607549603146755e-16
128,3.349026553084021e-16
129,2.41690462661608e-16
