,0,1,2,3,4,5,6,7,8,9
0,9.36280776013927e-17,5.64656520103198e-17,7.327796920447185e-17,6.39804455414887e-17,5.883149047543709e-17,6.240329999271306e-17,5.993324589298666e-17,5.661617046696281e-17,6.901718049141396e-17,5.3208154827128e-17
1,9.168543015578165e-17,5.730751274873559e-17,7.266618883763451e-17,7.041530862261074e-17,6.018480074791082e-17,6.342841339210657e-17,5.989161024020991e-17,5.5349830130990934e-17,5.222102234921985e-17,5.1972950716980616e-17
2,9.487993968481076e-17,5.566551585173909e-17,7.178432605540065e-17,6.798726049052925e-17,6.074741665221324e-17,7.010102287178948e-17,6.067413691520745e-17,6.299578070115113e-17,7.276356137366544e-17,5.961396612753232e-17
3,9.194946694057267e-17,5.653533373666346e-17,7.59294759750791e-17,7.542181751480665e-17,7.447797485075298e-17,6.88806178085902e-17,6.549091167136086e-17,6.182915861131768e-17,5.668524421355988e-17,5.941850452415805e-17
4,6.927852264903998e-17,6.452416058370672e-17,1.2588247515039427e-16,7.268789084725211e-17,6.712276227638506e-17,6.923216742282366e-17,6.496452407676135e-17,6.072934760224942e-17,5.6743341420599e-17,5.893869217244175e-17
5,1.0085602987597365e-16,5.847571646404327e-17,7.679073274363941e-17,7.34574000080932e-17,6.358776726150559e-17,1.3608266577575782e-16,6.504779700530627e-17,5.883872996600857e-17,5.704348077909072e-17,5.652977560094739e-17
6,9.961473304931866e-17,7.234059580877371e-17,1.2385029640503627e-16,7.360414965118593e-17,7.453382487028367e-17,6.834996165691273e-17,6.418485749124637e-17,5.862391576392384e-17,5.3385070837446137e-17,5.358067332054317e-17
7,9.643956227125959e-17,6.587085645010567e-17,7.509220160863808e-17,7.128998850854741e-17,7.558492778573061e-17,8.705800044775499e-17,6.289697891188733e-17,5.793640297397152e-17,5.4409224005036965e-17,5.4163057832448036e-17
8,9.517294607265285e-17,6.218491413469326e-17,7.691952905911909e-17,6.960810672013873e-17,7.241404091960648e-17,6.551346853082296e-17,6.014323311479172e-17,5.748785268786784e-17,5.1720855258421107e-17,5.393407662713512e-17
9,9.764965483606585e-17,6.195097360339019e-17,7.543297797102652e-17,6.924511764009967e-17,6.262399656640456e-17,6.337206564670493e-17,6.020276222071883e-17,8.109332884925816e-17,5.40421328582565e-17,5.3295201211939427e-17
10,6.587009897773716e-17,6.244023368867201e-17,7.425053885489222e-17,7.00429739197413e-17,6.139672421887069e-17,6.343046034815362e-17,6.104473320183418e-17,5.880707605027416e-17,5.4169128799157834e-17,5.21036625331803e-17
11,6.671882184987575e-17,6.152831118839244e-17,7.462730467423982e-17,7.122602944744174e-17,7.15368027588422e-17,6.259898932285718e-17,6.111631329200519e-17,5.637674018800933e-17,5.2976546565408825e-17,5.315519470530336e-17
12,9.424453471603192e-17,6.052637516185537e-17,7.33533476739398e-17,7.034146936323708e-17,7.300192994640837e-17,6.373386930456401e-17,6.034342619552706e-17,7.962830024181243e-17,5.358971235588631e-17,5.718919064954768e-17
13,9.391305664247272e-17,6.261191376626339e-17,7.276599192791057e-17,6.866552026219071e-17,6.044312407880518e-17,7.107108822155989e-17,6.136438724884436e-17,6.237539151869048e-17,7.048867745524139e-17,5.785809354692975e-17
14,6.328196147288505e-17,5.884243093670249e-17,1.2219779623398592e-16,6.994849905824545e-17,6.059640445172838e-17,7.172033813453198e-17,5.950672044262064e-17,6.064506283552513e-17,6.944073876915192e-17,5.89159456310525e-17
15,6.116685246315162e-17,5.977133828126159e-17,7.266062720582855e-17,6.851115069153036e-17,7.029570567668991e-17,1.3791918226889541e-16,5.951616090925446e-17,6.086309494879933e-17,5.265198944571189e-17,5.704100816299469e-17
16,9.591288884572213e-17,6.085597360363553e-17,1.1868095883666777e-16,6.871072090241188e-17,7.752105749269762e-17,6.350864309690889e-17,6.531423115267121e-17,8.273480045143184e-17,6.923857308077377e-17,6.066922776780083e-17
17,9.25408986106825e-17,7.042578773830854e-17,7.122386414516191e-17,6.977165471488345e-17,7.502589462399709e-17,6.514655746585216e-17,6.626709607046158e-17,5.980097436365176e-17,7.052454468925794e-17,5.374936340123631e-17
18,9.262531281333578e-17,5.705427201902216e-17,7.137622570273336e-17,6.892844591075383e-17,6.335401508672133e-17,6.538808131715116e-17,6.039413320877692e-17,6.095535759936303e-17,5.277869330635877e-17,5.484513836648898e-17
19,9.545118542972562e-17,5.782989050668004e-17,7.456876414341101e-17,6.99330264226379e-17,6.277711681335488e-17,8.248458360617089e-17,6.02864191451931e-17,5.575003590047291e-17,5.342146916327671e-17,5.4748664437445375e-17
20,6.149816896746181e-17,5.704839722594058e-17,7.513533011969277e-17,7.134000052379291e-17,7.28856946610705e-17,8.430346342622574e-17,6.093294893386999e-17,8.060666350291995e-17,5.563462031106052e-17,8.983966840372918e-17
21,9.2574245290109e-17,5.762007785912162e-17,1.1249188714820342e-16,7.160867718844528e-17,6.303285825341831e-17,6.719884804805321e-17,6.070127625545862e-17,5.718289602341963e-17,7.22190469656915e-17,5.686394961121303e-17
22,9.11344967415239e-17,6.89453864885602e-17,7.379015950585707e-17,7.165678107664293e-17,6.522141094249198e-17,8.530540932430037e-17,6.272810308240959e-17,5.574966381773134e-17,1.0125306349241689e-16,5.487686085123095e-17
23,9.257182911071336e-17,5.778050859431593e-17,7.694967856525172e-17,7.154480520676543e-17,6.465856965812526e-17,1.3619737457412487e-16,6.191211425257271e-17,5.719692866717887e-17,5.766487296026299e-17,5.51542465221639e-17
24,6.292111934844871e-17,5.685663175345922e-17,7.60347138027588e-17,6.572275632776993e-17,6.696652569103744e-17,7.039256157196336e-17,6.101960076789143e-17,7.98290587764585e-17,5.829639468605339e-17,5.739188304313815e-17
25,9.560588743385829e-17,5.751215337601247e-17,7.502626916170874e-17,7.282138628551206e-17,5.838233451047671e-17,7.014483229160426e-17,6.115134299650883e-17,5.861782435250486e-17,5.123722331808954e-17,6.019307181127882e-17
26,6.283249800562037e-17,5.883544763385905e-17,7.586273699593862e-17,7.14525762588153e-17,5.992952256339844e-17,7.132624373678402e-17,6.165292050860189e-17,5.753796805819089e-17,5.1068398053515214e-17,5.1014728309474156e-17
27,6.439732233566833e-17,5.843697165612637e-17,7.589809685321012e-17,7.065771596407544e-17,7.072683542642491e-17,6.261120908721915e-17,6.304263450247454e-17,6.201370922873294e-17,5.1522724456254725e-17,5.249650193841376e-17
28,6.278650232919337e-17,5.943333352606066e-17,7.889610379892335e-17,7.364782641702644e-17,6.083564431555962e-17,6.264574302234867e-17,6.386924159334132e-17,8.309915073908936e-17,5.755423974637275e-17,5.3983812745492e-17
29,9.58457073233316e-17,6.340919278929969e-17,7.80813539571273e-17,7.534726029457409e-17,6.018412300397657e-17,6.214064948624147e-17,6.297429733426951e-17,6.395058243741445e-17,5.763793600291624e-17,5.185056516452942e-17
30,9.791698172721841e-17,6.06437621305256e-17,7.083644491002391e-17,6.607820063320812e-17,6.20541288652404e-17,6.3236299634763e-17,6.523314277168763e-17,5.4299105007192405e-17,5.63598830222665e-17,5.973606937269711e-17
31,6.722700169385531e-17,5.599424566506316e-17,7.181813496373389e-17,6.869544221444641e-17,6.175800782390076e-17,6.912290882817725e-17,6.579276529512958e-17,5.459677776902987e-17,7.340790898057392e-17,5.818389507158429e-17
32,9.615662734935874e-17,6.913665155681237e-17,1.1906602393071737e-16,6.910079671459152e-17,6.134424878186709e-17,1.36775327949586e-16,5.858435328173153e-17,5.4987137649722045e-17,7.17264643864508e-17,5.700739381005417e-17
33,6.752436742580822e-17,5.945354186859428e-17,1.2176579714811005e-16,6.696203545450933e-17,7.153826059302184e-17,6.803133095012143e-17,6.127940539263132e-17,5.4687980026340856e-17,5.184953121262566e-17,8.84316616603454e-17
34,9.764268176830897e-17,5.980459088941952e-17,7.166126201078216e-17,6.899161313635799e-17,6.322932230260386e-17,8.821816329473269e-17,5.867778162804377e-17,5.339387518942181e-17,5.461116807582436e-17,5.538404012356955e-17
35,6.581505821762596e-17,5.933259537683318e-17,8.012762829775794e-17,7.534074325735782e-17,6.3984202178211e-17,1.3652425774639513e-16,6.07404620661144e-17,5.925961393960566e-17,5.2627157521838337e-17,5.342625294747137e-17
36,9.738496909214557e-17,6.334162175855595e-17,7.792328128821716e-17,7.41134680869083e-17,6.621250551256018e-17,6.468636036670616e-17,6.700913621422808e-17,6.248902263893825e-17,5.3791883869737827e-17,5.507276185331836e-17
37,9.654741885930142e-17,5.959508861759163e-17,7.393888168548738e-17,7.432724896310436e-17,6.629629982728907e-17,8.447145715063265e-17,6.589886369161122e-17,6.044845970635892e-17,5.274816199493265e-17,8.525033167964286e-17
38,9.738364719227148e-17,7.308684805593128e-17,7.669319300119236e-17,7.45338287152699e-17,6.593895960925509e-17,1.3451727271189392e-16,6.460007145416747e-17,5.742427739778444e-17,5.332832666685321e-17,8.132156633574564e-17
39,9.021454805083263e-17,5.959422480162593e-17,7.636648177945125e-17,6.997072536679822e-17,5.955835231741451e-17,6.250854754437273e-17,6.423521253446457e-17,5.962291005296988e-17,5.1902592451361583e-17,5.2273789855780325e-17
