,0
0,3.16227766016838
1,3.16227766016838
2,3.162277660168379
3,1.7282648105931977e-15
4,1.470717852039129e-15
5,1.1648352140626057e-15
6,1.0874616364716624e-15
7,8.628431567545525e-16
8,7.241883262734805e-16
9,6.335564247906547e-16
10,5.754679016509659e-16
11,5.324598070131089e-16
12,4.9194464218612005e-16
13,4.375612277480357e-16
14,4.0180266403341066e-16
15,3.8732001094987964e-16
16,3.715938630243365e-16
17,3.4394737565780185e-16
18,3.248260517291011e-16
19,3.068946424457606e-16
20,2.9596584804358735e-16
21,2.8487140707828504e-16
22,2.6537080701672967e-16
23,2.5463163662402145e-16
24,2.4621320267451435e-16
25,2.438492617765437e-16
26,2.354821612777258e-16
27,2.2662481469607748e-16
28,2.222254088490162e-16
29,2.0298064583448414e-16
