,nonlinear,RB
0,3.162277660168382,3.1622776601683804
1,3.1622776601683817,3.16227766016838
2,3.1622776601683813,3.1622776601683795
3,3.162277660168381,3.1622776601683786
4,3.162277660168381,3.1622776601683786
5,3.162277660168379,3.162277660168378
6,3.162277660168378,3.1622776601683777
7,3.162277660168377,3.1622776601683764
8,3.1622776601683737,3.1622776601683755
9,3.1622776601683737,3.162277660168358
10,3.162277660168302,3.1622776601681974
11,3.162277660166859,3.1622776601650555
12,3.162277660164646,3.1622776601566502
13,3.1622776601217297,3.1622776600877125
14,3.1622776591579584,3.1622776585581973
15,3.1622776380174247,3.1622776246349242
16,3.1622774129015276,3.162277014013939
17,3.162276434840426,3.162273097123093
18,3.1622750203989796,3.1622632088893425
19,3.162264035352807,3.1622525638590746
20,3.1621731564876705,3.1622148253682822
21,3.1620479355815907,3.161513957771813
22,3.1616551772284294,3.1604133471248246
23,3.159554112460002,3.1575445730156906
24,3.1549020810329145,3.1246317872398612
25,3.0750450912209524,2.9927088047416994
26,2.8711847179795056,2.80264959957772
27,2.6509041902404515,2.631513662259487
28,2.419486593509989,2.4539458428030567
29,2.0291301470260015,2.0699459449317508
30,1.942093797150275,1.8907417504427078
31,1.8080132197492613,1.4568019416158544
32,1.4938971964422614,1.3871067544282256
33,1.4108522464915274,1.0520143533639401
34,1.0412062938778348,1.0318628054885222
35,1.001378643592135,1.0013854344998323
36,0.9913338510527079,0.5991883459668674
37,0.9406885175279126,0.24678010341679335
38,0.30481271934300724,0.1241767369751411
39,0.21665597283909813,0.09739447251065068
40,0.11638521111696547,0.029098139876937306
41,0.024778850711557988,0.009871145109618965
42,0.015701295537115766,0.006610570519676291
43,0.00925121804818854,0.004278086036102733
44,0.0063207200577535365,0.0028199371504261522
45,0.004794839718978508,0.0022487781734367327
46,0.0018000230742837423,0.00133331215503302
47,0.00144688285417433,0.0009350189723778291
48,0.0005366320633833186,0.0007681966907064095
49,0.00047263947208490373,0.0004585473775787862
50,0.0003981623981128604,0.00037419760228701686
51,0.0002530470600366932,0.0002701110731038796
52,0.0002052940028246842,0.00025455844346137726
53,0.00017656554562239327,0.00012696159445411997
54,9.121343656289992e-05,7.871840936918494e-05
55,5.0494769881062847e-05,5.100991073230255e-05
56,2.632466199269381e-05,2.496432420980264e-05
57,1.8911151712161093e-05,1.6566474816646715e-05
58,1.3861700991610094e-05,8.316371530402295e-06
59,1.2121099685347031e-05,6.661423376408016e-06
60,8.630022885948045e-06,5.4173721927009095e-06
61,4.483333144138573e-06,4.006349641288587e-06
62,2.848853148709801e-06,3.353640573545367e-06
63,2.6737317440407383e-06,2.329704807171086e-06
64,2.0635652570426656e-06,1.3502863489230493e-06
65,7.468705492218544e-07,9.240618911797872e-07
66,6.236978279438376e-07,5.156212155333463e-07
67,3.272329580675178e-07,3.3701504391566136e-07
68,1.9430937331758704e-07,2.5880422492884154e-07
69,1.2404986695244447e-07,1.2702102956791297e-07
70,6.404804202555253e-08,7.831421416862584e-08
71,5.0292174063446534e-08,7.215006544759454e-08
72,3.1781115972138905e-08,3.9385412579111804e-08
73,2.4499706362980488e-08,2.8562985218429337e-08
74,1.9493589193127446e-08,2.2879266983052384e-08
75,1.5767610064394516e-08,1.8182880329006307e-08
76,1.3183941802279498e-08,1.7443614841400052e-08
77,1.1149617302233835e-08,1.3085884132600685e-08
78,1.0665426860827481e-08,1.2104454911902838e-08
79,7.4299002561310336e-09,9.276811781771706e-09
80,6.720664381873582e-09,7.559380940774433e-09
81,6.450470429307028e-09,6.765498185587848e-09
82,5.6749110320103074e-09,5.193237668772847e-09
83,4.917776218228738e-09,4.707123194401683e-09
84,3.838967634910682e-09,3.751072230866565e-09
85,3.003859779631152e-09,3.6074413538369907e-09
86,2.6935523957242137e-09,2.943362395921782e-09
87,2.388965014233023e-09,2.5007723107733365e-09
88,2.167508631286371e-09,2.0359539100883607e-09
89,1.9680342043424095e-09,1.6585303227365249e-09
90,1.8482276492366023e-09,1.5004116155122492e-09
91,1.6775098516256203e-09,1.4049435826384645e-09
92,1.3710193732671918e-09,1.2417262008305572e-09
93,1.165713065044454e-09,1.1896168319910209e-09
94,9.704510949265667e-10,1.050049116998357e-09
95,9.196873312988241e-10,1.0233396895813105e-09
96,8.493982960918202e-10,8.553316938303594e-10
97,7.75480543279544e-10,8.056800624813545e-10
98,7.439351622936735e-10,7.563262553441556e-10
99,6.78793125698987e-10,6.732833254742224e-10
100,6.310202492901792e-10,5.388186153556961e-10
101,5.645187643467288e-10,4.930888813715628e-10
102,4.709345638904309e-10,4.462553654664721e-10
103,4.443460822096956e-10,4.2686698823218126e-10
104,4.209589958394028e-10,4.006947999545335e-10
105,3.459170914308901e-10,3.488283741762186e-10
106,3.178244919040279e-10,3.1491394545116653e-10
107,2.9971485421907063e-10,2.812181056634296e-10
108,2.7981400378253985e-10,2.4946792281753413e-10
109,2.349320585119935e-10,2.3034210179096692e-10
110,2.0658529526509971e-10,1.8961639042526207e-10
111,1.877948066736491e-10,1.794173486309549e-10
112,1.857772639430449e-10,1.7620988347900315e-10
113,1.6869435285896275e-10,1.4503241138686277e-10
114,1.4743341905153352e-10,1.4296137581411645e-10
115,1.3681662401110996e-10,1.3451260823228787e-10
116,1.2441157279199275e-10,1.249958740766693e-10
117,1.1057038320338339e-10,1.1600320519198184e-10
118,1.0154034388950919e-10,1.0282153353784758e-10
119,9.236517922290791e-11,9.310553165794873e-11
120,9.145735574569449e-11,8.117061025145459e-11
121,8.77163638917131e-11,7.415805201668074e-11
122,7.899344948670643e-11,6.556311783882635e-11
123,6.36494143239192e-11,5.979301701279122e-11
124,6.137128889018868e-11,5.470931181856221e-11
125,5.339522335321957e-11,5.1024459168604435e-11
126,5.175145263879761e-11,4.716158966521511e-11
127,4.8366853723668384e-11,4.0106119317487164e-11
128,4.482482363970553e-11,3.92655733975355e-11
129,4.0236198403626286e-11,3.7324287062024115e-11
130,3.866536766533845e-11,3.276667180013131e-11
131,3.6692220843239723e-11,3.046276217825372e-11
132,3.081311822753051e-11,2.799857597598219e-11
133,2.7051044454560415e-11,2.5514037716927013e-11
134,2.581516058954648e-11,2.3292045550606408e-11
135,2.4095739771658478e-11,2.0975300189680488e-11
136,2.2309847947777792e-11,1.8233757747250446e-11
137,1.8501207885343025e-11,1.7692769203416606e-11
138,1.7585134814568434e-11,1.5322145172752515e-11
139,1.5964732811837918e-11,1.3685299666734167e-11
140,1.5124124272002975e-11,1.3211726854312901e-11
141,1.2922024614190067e-11,1.2583403012171586e-11
142,1.1787912263362947e-11,1.1196355384755422e-11
143,1.080523848742548e-11,9.468555539563004e-12
144,1.0110375951520722e-11,9.123745990025653e-12
145,9.732510727893744e-12,8.279061875852476e-12
146,9.204575017089171e-12,7.088913609896926e-12
147,7.692344727024594e-12,6.925045775346503e-12
148,6.945606674146414e-12,6.299339926259003e-12
149,6.5609731312732795e-12,5.877734937682109e-12
150,5.481285611747272e-12,5.582485790210594e-12
151,5.238227207396751e-12,5.2869225049251e-12
152,5.0507226218391724e-12,4.124936510254543e-12
153,4.585325326847508e-12,3.802221749746967e-12
154,4.4928013747881565e-12,3.749623234275134e-12
155,3.9806092302199975e-12,3.2987830581611456e-12
156,3.4329674073344422e-12,3.222890415827214e-12
157,3.017166984358877e-12,2.8296140168520795e-12
158,2.823850363602283e-12,2.636842325629376e-12
159,2.670163620127221e-12,2.526368599365903e-12
160,2.545467898452168e-12,2.1730659834019726e-12
161,2.3356377362369156e-12,2.123157092945709e-12
162,2.1742358141266174e-12,1.9621272628402433e-12
163,2.0118974364164387e-12,1.733323406520507e-12
164,1.9894478814290664e-12,1.5518800799590842e-12
165,1.624226884972164e-12,1.5182187229615271e-12
166,1.5782428147543529e-12,1.3743981863019612e-12
167,1.3894518699360697e-12,1.263857480127685e-12
168,1.3255774617758961e-12,1.1522094335045747e-12
169,1.2802199920568727e-12,1.0919386969653156e-12
170,1.1426365893367682e-12,1.0484046468369986e-12
171,1.0348968741841224e-12,9.489943404426345e-13
172,9.990407981507477e-13,9.205348785433472e-13
173,9.259983236649932e-13,8.905840918192321e-13
174,8.864660022154191e-13,8.297545220870868e-13
175,7.985095393230178e-13,7.291158741965832e-13
176,7.910784074055494e-13,6.718851187628439e-13
177,7.09838317888941e-13,6.390795278024114e-13
178,6.444497049721784e-13,6.021696045381451e-13
179,5.864076838093767e-13,5.755454107409838e-13
180,5.329754162551177e-13,5.278087004534837e-13
181,5.261707123783854e-13,4.565780586765494e-13
182,4.881319805302742e-13,4.357188207798702e-13
183,4.546920405508625e-13,4.2283702538607927e-13
184,4.37458300430497e-13,3.745458738876143e-13
185,4.1078818652757167e-13,3.60128604514138e-13
186,3.5674946531082794e-13,3.2195190888879067e-13
187,3.4402850192379036e-13,3.077552401474675e-13
188,3.2053516934352153e-13,2.915924273636815e-13
189,3.0593156108092277e-13,2.788188659289134e-13
