,nonlinear,RB
0,0.5000000000000004,0.5000000000000001
1,0.5000000000000003,0.5000000000000001
2,0.5000000000000002,0.5
3,0.5000000000000002,0.4999999999999999
4,0.5000000000000002,0.4999999999999999
5,0.49999999999999994,0.49999999999999983
6,0.49999999999999983,0.4999999999999998
7,0.49999999999999967,0.4999999999999996
8,0.4999999999999992,0.4999999999999995
9,0.4999999999999992,0.4999999999999971
10,0.49999999999998934,0.499999999999975
11,0.4999999999997912,0.49999999999954353
12,0.4999999999994873,0.4999999999983892
13,0.49999999999359335,0.49999999998892153
14,0.49999999986123284,0.49999999977886406
15,0.49999999695787706,0.49999999511997834
16,0.4999999660413648,0.49999991125974164
17,0.4999998317183597,0.49999937332927996
18,0.49999963746454756,0.49999801531498583
19,0.4999981288186544,0.4999965533602462
20,0.49998564764809145,0.4999913704358043
21,0.49996844940415125,0.4998951035207054
22,0.49991450228403006,0.4997438872499425
23,0.49962579775714755,0.49934948992511174
24,0.49898588455415993,0.49479884657873646
25,0.48785148847724485,0.47606446136199776
26,0.45806113377780405,0.4475688036174405
27,0.4233940316177372,0.4202056291237705
28,0.3837232200049799,0.3898649738631434
29,0.3073099032790553,0.3159590043340272
30,0.2882702011647076,0.27663221418779366
31,0.2572016016056979,0.1634005116120212
32,0.17432071223572657,0.14210988650584688
33,0.14948153402836295,0.02202166523999323
34,0.017536784665926515,0.01362195816317343
35,0.0005983249608412105,0.000601270144222836
36,-0.003780063725446434,-0.22243664212351197
37,-0.026554157138774744,-0.6076898581097209
38,-0.5159669145462582,-0.9059597564107096
39,-0.6642293336995091,-1.0114656902080588
40,-0.9341022012869995,-1.5361347727667458
41,-1.6059188408656686,-2.005632463749625
42,-1.8040645118323255,-2.1797610574803232
43,-2.0338010827441035,-2.3687504856296293
44,-2.199233443980916,-2.5497605709456326
45,-2.319225905766856,-2.6480533826273978
46,-2.7447219276912085,-2.875068161660707
47,-2.8395666297967685,-3.0291795768115413
48,-3.270323382103075,-3.114527568052177
49,-3.3254700114534974,-3.338615785930626
50,-3.399939756521503,-3.426898999617553
51,-3.596798704066548,-3.5684576117054045
52,-3.6876237373229737,-3.5942124932529675
53,-3.7530940391838428,-3.896327632107983
54,-4.039941181459998,-4.103923690099645
55,-4.296753602662003,-4.292345436486502
56,-4.579637196425489,-4.6026801859047275
57,-4.723282021286893,-4.780769895355795
58,-4.858183473480149,-5.0800661169837475
59,-4.916457977066361,-5.176432963251326
60,-5.063988052578212,-5.266211325815156
61,-5.348398988708278,-5.397251151733383
62,-5.545329936983314,-5.47448348475034
63,-5.572882167727358,-5.63269910418359
64,-5.685381792681688,-5.869574122934586
65,-6.126754665427532,-6.03429893992957
66,-6.205025768396597,-6.287669221653183
67,-6.485142961767147,-6.472350712352007
68,-6.711506248901411,-6.587028638172173
69,-6.906403697186614,-6.896124371412318
70,-7.1934941422736385,-7.1061594055698
71,-7.298499590003453,-7.1417632706201575
72,-7.497830856907352,-7.404664600749619
73,-7.61083912076614,-7.544196404874163
74,-7.7101081904739885,-7.640557893791386
75,-7.802234128770199,-7.740337319578815
76,-7.879954722743793,-7.758363511204143
77,-7.952740039017652,-7.883196929429291
78,-7.972021758161849,-7.917054762941196
79,-8.129017016455126,-8.03260125476042
80,-8.172587791958199,-8.121513768654077
81,-8.190408611348907,-8.169700218092872
82,-8.246040942700454,-8.284561801442178
83,-8.308231237573636,-8.327244435228835
84,-8.415785549262889,-8.42584457296878
85,-8.522320344089225,-8.442800720501138
86,-8.569674572019798,-8.531156262922565
87,-8.621790210332499,-8.601925847924106
88,-8.664039164434184,-8.691232057779711
89,-8.705967357821304,-8.780276583911297
90,-8.733244537056269,-8.82378958239565
91,-8.775334920640889,-8.852341115076156
92,-8.862956408344264,-8.905974155026728
93,-8.933408336029164,-8.924592899572598
