,which,timesteps,mass,mass_change,outflow
0,rom,0.002,1.001656887459783,0.771079398335246,0.06912771203528743
1,rom,0.004,1.0034192263486155,0.991259490497054,0.11126122825425819
2,rom,0.006,1.0056219254217713,1.2321734676465357,0.12717064948172593
3,rom,0.008,1.0083479202192016,1.4606731945578377,0.12418300015483208
4,rom,0.01,1.0114646182000027,1.5772732753360774,0.1090076434798289
5,rom,0.012,1.014657013320546,1.5121573484759843,0.08585851141807142
6,rom,0.014,1.0175132475939066,1.251846374642207,0.05675781374199277
7,rom,0.016,1.0196643988191147,0.8540754806281026,0.02298592650516519
8,rom,0.018000000000000002,1.020929549516419,0.4327812214785509,-0.013001141078190245
9,rom,0.020000000000000004,1.021395523705029,0.11539904433155446,-0.046216885985894164
10,rom,0.022000000000000006,1.0213911456937452,-0.005708830599249204,-0.06939950189639175
11,rom,0.024000000000000007,1.021372688382632,0.09505196495751544,-0.0750790327961081
12,rom,0.02600000000000001,1.0217713535535753,0.3694601096150274,-0.058512480479823555
13,rom,0.02800000000000001,1.022850528821092,0.7087740878001791,-0.020072987694099167
14,rom,0.030000000000000013,1.024606449904776,0.9735028569431425,0.03384945564645608
15,rom,0.032000000000000015,1.0267445402488646,1.0391041507631371,0.09156993316790406
16,rom,0.034000000000000016,1.0287628665078286,0.8485225332997559,0.13813067998217285
17,rom,0.03600000000000002,1.0301386303820637,0.4446469753447979,0.15821303999900108
18,rom,0.03800000000000002,1.0305414544092077,-0.046046824641432504,0.1392556819726098
19,rom,0.04000000000000002,1.029954443083498,-0.4768374415170529,0.07352338919392984
20,rom,0.04200000000000002,1.0286341046431395,-0.7527370376941289,-0.04213025703967375
21,rom,0.044000000000000025,1.0269434949327214,-0.8706800274390081,-0.20886159243142713
22,rom,0.04600000000000003,1.0251513845333835,-0.9164423697917146,-0.429315105981965
23,rom,0.04800000000000003,1.0232777254535546,-1.0290371802846865,-0.71000586687403
24,rom,0.05000000000000003,1.0210352358122448,-1.344365081908494,-1.0613561645771443
25,rom,0.05200000000000003,1.0179002651259206,-1.9311622686368213,-1.4950944479527
26,rom,0.054000000000000034,1.0133105867376975,-2.748098436219981,-2.019237764082207
27,rom,0.056000000000000036,1.0069078713810407,-3.6567223711389816,-2.6315559094522887
28,rom,0.05800000000000004,0.9986836972531415,-4.491892915509498,-3.314076154480044
29,rom,0.06000000000000004,0.9889402997190027,-5.145003640147111,-4.032572241327033
30,rom,0.06200000000000004,0.9781036826925531,-5.609175158104801,-4.743358669799211
31,rom,0.06400000000000004,0.9665035990865835,-5.968431649097716,-5.405099952218697
32,rom,0.06600000000000004,0.9542299560961622,-6.340889245939674,-5.98967551116689
33,rom,0.06800000000000005,0.9411400421028248,-6.800767879436065,-6.486629256148744
34,rom,0.07000000000000005,0.927026884578418,-7.323969859632934,-6.89962815997752
35,rom,0.07200000000000005,0.911844162664293,-7.80412783110504,-7.2382272444429345
36,rom,0.07400000000000005,0.8958103732539978,-8.134481111101211,-7.511611535687392
37,rom,0.07600000000000005,0.8793062382198882,-8.288948028415065,-7.729222468834994
38,rom,0.07800000000000006,0.8626545811403376,-8.339576068624982,-7.905986642922148
39,rom,0.08000000000000006,0.8459479339453883,-8.404783754256185,-8.064666107323827
40,rom,0.08200000000000006,0.8290354461233128,-8.56938881841568,-8.23057138893363
41,rom,0.08400000000000006,0.8116703786717255,-8.831975046013628,-8.420735327208932
42,rom,0.08600000000000006,0.7937075459392583,-9.11675671897444,-8.634193147241238
43,rom,0.08800000000000006,0.7752033517958278,-9.33622470207862,-8.850086025456589
44,rom,0.09000000000000007,0.7563626471309438,-9.449046639665836,-9.035788692305808
45,rom,0.09200000000000007,0.7374071652371644,-9.470142385960195,-9.160224764306065
46,rom,0.09400000000000007,0.718482077587103,-9.436638861748058,-9.20399958173726
47,rom,0.09600000000000007,0.6996606097901722,-9.366313894851208,-9.161517577050253
48,rom,0.09800000000000007,0.6810168220076982,-9.24457686344643,-9.036932184799257
49,rom,0.10000000000000007,0.6626823023363865,-9.046640437426396,-8.839392304568381
50,rom,0.10200000000000008,0.6448302602579926,-8.76823096069762,-8.581194554495733
51,rom,0.10400000000000008,0.627609378493596,-8.4342159194975,-8.277773259858265
52,rom,0.10600000000000008,0.6110933965800026,-8.080689493402543,-7.946246988219032
53,rom,0.10800000000000008,0.5952866205199858,-7.730691830440728,-7.601533425913364
54,rom,0.11000000000000008,0.5801706292582397,-7.38489846948967,-7.252386792377922
55,rom,0.11200000000000009,0.5657470266420271,-7.0311583790105265,-6.9002884152117385
56,rom,0.11400000000000009,0.5520459957421976,-6.659954818790004,-6.54185201698415
57,rom,0.11600000000000009,0.5391072073668671,-6.271610073795452,-6.172798970726491
58,rom,0.11800000000000009,0.5269595554470158,-5.8725539340896695,-5.790905114964655
59,rom,0.12000000000000009,0.5156169916305084,-5.4680963625608205,-5.396766897227642
60,rom,0.1220000000000001,0.5050871699967725,-5.059452644139678,-4.993039068721429
61,rom,0.1240000000000001,0.49537918105394974,-4.646248508479875,-4.583410407370079
62,rom,0.12600000000000008,0.486502175962853,-4.230275578801012,-4.171993365300115
63,rom,0.12800000000000009,0.4784580787387457,-3.816406171239267,-3.763004812901272
64,rom,0.1300000000000001,0.47123655127789593,-3.41040115871645,-3.360390039410802
65,rom,0.1320000000000001,0.4648164741038799,-3.016205487865936,-2.9673398058777147
66,rom,0.1340000000000001,0.4591717293264322,-2.635028729426822,-2.585944077381263
67,rom,0.1360000000000001,0.4542763591861726,-2.2663759508991106,-2.217196517871258
68,rom,0.1380000000000001,0.45010622552283575,-1.9096277337665306,-1.8613184331719066
69,rom,0.1400000000000001,0.4466378482511065,-1.5648493528674368,-1.5181820479601547
70,rom,0.1420000000000001,0.443846828111366,-1.2325836988043153,-1.1876195836398586
71,rom,0.1440000000000001,0.4417075134558892,-0.9132378913978417,-0.8695436233043687
72,rom,0.1460000000000001,0.44019387654577463,-0.6067356277103114,-0.563934016202028
73,rom,0.1480000000000001,0.43928057094504797,-0.3126379803325696,-0.2707857098496467
74,rom,0.1500000000000001,0.43894332462444435,-0.030492794933195677,0.009924503780238663
75,rom,0.1520000000000001,0.4391585997653152,0.2399245120614235,0.27824664330279564
76,rom,0.1540000000000001,0.43990302267269005,0.4986273793986251,0.5342613516491362
77,rom,0.1560000000000001,0.4411531092829097,0.745609086057128,0.778093162957528
78,rom,0.1580000000000001,0.44288545901691856,0.9810305005115566,1.009930700526885
79,rom,0.16000000000000011,0.4450772312849559,1.205283195189935,1.2300416626867614
80,rom,0.16200000000000012,0.4477065917976783,1.4189225359048234,1.4387730783764474
81,rom,0.16400000000000012,0.4507529214285752,1.622545672642736,1.6365363467174752
82,rom,0.16600000000000012,0.45419677448824924,1.8166972980973444,1.8237840103350282
83,rom,0.16800000000000012,0.4580197106209646,2.001842918010005,2.000987019486438
84,rom,0.17000000000000012,0.46220414616028926,2.1783986320566133,2.168618249468721
85,rom,0.17200000000000013,0.46673330514919104,2.3467793349816053,2.32714346668479
86,rom,0.17400000000000013,0.4715912635002157,2.5074300350716725,2.4770176317420547
87,rom,0.17600000000000013,0.4767630252894777,2.660825452491286,2.6186834497729015
88,rom,0.17800000000000013,0.48223456531018083,2.8074443971092684,2.7525699177541405
89,rom,0.18000000000000013,0.4879928028779148,2.9477366354469097,2.879090110591904
90,rom,0.18200000000000013,0.49402551185196847,3.0820990347572574,2.9986386147650763
91,rom,0.18400000000000014,0.5003211990169438,3.2108692116412514,3.111589448226009
92,rom,0.18600000000000014,0.5068689886985335,3.3343351264871757,3.2182950971250777
