,which,timesteps,mass,mass_change,outflow
0,rom,0.002,1.0003493000793136,0.07781299797284191,7.146286613717259e-08
1,rom,0.004,1.0004647740978156,0.03766102052921161,-4.156955984825115e-06
2,rom,0.006,1.0004999441614304,0.009996111668852947,-1.2183956266896912e-05
3,rom,0.008,1.000504758544491,-0.00014742169512915737,-5.654689566070682e-05
4,rom,0.01,1.0004993544746499,-0.0037765554133928347,-3.202198047421698e-05
5,rom,0.012,1.0004896523228375,-0.00630800127510156,-6.478118841730924e-05
6,rom,0.014,1.0004741224695495,-0.00893160496651113,-0.00014053926225272005
7,rom,0.016,1.0004539259029714,-0.010305537050725455,-6.105575225484738e-05
8,rom,0.018000000000000002,1.0004329003213466,-0.011102435607646122,0.00012193549129668057
9,rom,0.020000000000000004,1.0004095161605409,-0.013854130195889436,0.00021645225168226556
10,rom,0.022000000000000006,1.000377483800563,-0.018310749298366957,0.0003808284799322064
11,rom,0.024000000000000007,1.0003362731633474,-0.020670005640044398,0.0009826531191487868
12,rom,0.02600000000000001,1.0002948037780028,-0.018990482115344154,0.001981366852046533
13,rom,0.02800000000000001,1.000260311234886,-0.0171881921344208,0.00292991233248731
14,rom,0.030000000000000013,1.0002260510094652,-0.021277759585380807,0.003711437671969518
15,rom,0.032000000000000015,1.0001752001965445,-0.031685406727155474,0.0048749567791190156
16,rom,0.034000000000000016,1.0000993093825565,-0.040959122068695564,0.006919718465308584
17,rom,0.03600000000000002,1.0000113637082697,-0.0404630279335072,0.009396540606566268
18,rom,0.03800000000000002,0.9999374572708225,-0.02960106433325116,0.011057413146064822
19,rom,0.04000000000000002,0.9998929594509367,-0.01798205649380935,0.010892117304092437
20,rom,0.04200000000000002,0.9998655290448473,-0.018074828607078652,0.00846988694440154
21,rom,0.044000000000000025,0.9998206601365084,-0.036113694060702084,0.0024034768826153917
22,rom,0.04600000000000003,0.9997210742686045,-0.07149724101318533,-0.012330237805392939
23,rom,0.04800000000000003,0.9995346711724556,-0.1262878371200149,-0.046335763687864226
24,rom,0.05000000000000003,0.9992159229201244,-0.21578860248439025,-0.11650372330168336
25,rom,0.05200000000000003,0.9986715167625181,-0.3709308560136959,-0.2475577590899986
26,rom,0.054000000000000034,0.9977321994960696,-0.6334351257403226,-0.47652433503026137
27,rom,0.056000000000000036,0.9961377762595568,-1.0497952536566435,-0.8564644985243897
28,rom,0.05800000000000004,0.993533018481443,-1.6594945943442796,-1.4461171089070919
29,rom,0.06000000000000004,0.9894997978821797,-2.466551676441081,-2.270841155226171
30,rom,0.06200000000000004,0.9836668117756787,-3.409227666087505,-3.269563421829134
31,rom,0.06400000000000004,0.9758628872178297,-4.371809479424255,-4.293366612914371
32,rom,0.06600000000000004,0.9661795738579817,-5.2489508435174805,-5.197269005285616
33,rom,0.06800000000000005,0.9548670838437597,-6.003208600191434,-5.937783136355171
34,rom,0.07000000000000005,0.942166739457216,-6.65974549121437,-6.565908318567232
35,rom,0.07200000000000005,0.9282281018789023,-7.257385389190435,-7.146109600231502
36,rom,0.07400000000000005,0.9131371979004542,-7.811774062355087,-7.699821966111918
37,rom,0.07600000000000005,0.8969810056294819,-8.31432149172473,-8.20945254429093
38,rom,0.07800000000000006,0.8798799119335553,-8.750336911606482,-8.651104061078204
39,rom,0.08000000000000006,0.861979657983056,-9.112315809370996,-9.014914018156013
40,rom,0.08200000000000006,0.8434306486960713,-9.40103723580829,-9.303482458728078
41,rom,0.08400000000000006,0.8243755090398228,-9.621025959857226,-9.523247133208567
42,rom,0.08600000000000006,0.8049465448566424,-9.77685520772556,-9.679914476809824
43,rom,0.08800000000000006,0.7852680882089206,-9.871508810710333,-9.77723594661054
44,rom,0.09000000000000007,0.7654605096138011,-9.90619471716217,-9.816503109801364
45,rom,0.09200000000000007,0.7456433093402719,-9.881444777721155,-9.797356173351213
46,rom,0.09400000000000007,0.7259347305029165,-9.798860220653932,-9.720206413605432
