,nonlinear,RB
0,3.162277660168382,3.1622776601683804
1,3.1622776601683817,3.16227766016838
2,3.1622776601683817,3.1622776601683795
3,3.1622776601683813,3.1622776601683786
4,3.1622776601683813,3.1622776601683786
5,3.1622776601683813,3.162277660168378
6,3.162277660168381,3.1622776601683777
7,3.162277660168381,3.1622776601683764
8,3.162277660168381,3.1622776601683755
9,3.1622776601683804,3.162277660168358
10,3.1622776601683804,3.1622776601681974
11,3.1622776601683804,3.1622776601650555
12,3.16227766016838,3.1622776601566502
13,3.16227766016838,3.1622776600877125
14,3.16227766016838,3.1622776585581973
15,3.16227766016838,3.1622776246349242
16,3.16227766016838,3.162277014013939
17,3.16227766016838,3.162273097123093
18,3.16227766016838,3.1622632088893425
19,3.16227766016838,3.1622525638590746
20,3.16227766016838,3.1622148253682822
21,3.16227766016838,3.161513957771813
22,3.16227766016838,3.1604133471248246
23,3.16227766016838,3.1575445730156906
24,3.1622776601683795,3.1246317872398612
25,3.1622776601683795,2.9927088047416994
26,3.1622776601683795,2.80264959957772
27,3.1622776601683795,2.631513662259487
28,3.1622776601683795,2.4539458428030567
29,3.1622776601683795,2.0699459449317508
30,3.1622776601683795,1.8907417504427078
31,3.1622776601683795,1.4568019416158544
32,3.1622776601683795,1.3871067544282256
33,3.1622776601683795,1.0520143533639401
34,3.1622776601683795,1.0318628054885222
35,3.1622776601683795,1.0013854344998323
36,3.1622776601683795,0.5991883459668674
37,3.1622776601683795,0.24678010341679335
38,3.1622776601683795,0.1241767369751411
39,3.1622776601683795,0.09739447251065068
40,3.1622776601683795,0.029098139876937306
41,3.162277660168379,0.009871145109618965
42,3.162277660168379,0.006610570519676291
43,3.162277660168379,0.004278086036102733
44,3.162277660168379,0.0028199371504261522
45,3.1622776601683786,0.0022487781734367327
46,3.1622776601683786,0.00133331215503302
47,3.1622776601683786,0.0009350189723778291
48,3.1622776601683786,0.0007681966907064095
49,3.1622776601683786,0.0004585473775787862
50,3.1622776601683786,0.00037419760228701686
51,3.1622776601683786,0.0002701110731038796
52,3.1622776601683786,0.00025455844346137726
53,3.162277660168378,0.00012696159445411997
54,3.162277660168378,7.871840936918494e-05
55,3.1622776601683777,5.100991073230255e-05
56,3.1622776601683777,2.496432420980264e-05
57,3.1622776601683777,1.6566474816646715e-05
58,3.1622776601683777,8.316371530402295e-06
59,3.1622776601683777,6.661423376408016e-06
60,3.1622776601683777,5.4173721927009095e-06
61,3.1622776601683777,4.006349641288587e-06
62,3.1622776601683777,3.353640573545367e-06
63,3.1622776601683777,2.329704807171086e-06
64,3.1622776601683773,1.3502863489230493e-06
65,3.1622776601683773,9.240618911797872e-07
66,3.1622776601683773,5.156212155333463e-07
67,3.1622776601683773,3.3701504391566136e-07
68,3.162277660168377,2.5880422492884154e-07
69,9.447499775706966e-15,1.2702102956791297e-07
70,9.104793965907223e-15,7.831421416862584e-08
71,8.648366684510576e-15,7.215006544759454e-08
72,8.31410223265215e-15,3.9385412579111804e-08
73,8.209587552768973e-15,2.8562985218429337e-08
74,7.955767913200771e-15,2.2879266983052384e-08
75,7.883179847724336e-15,1.8182880329006307e-08
76,7.785768233981849e-15,1.7443614841400052e-08
77,7.681383094306253e-15,1.3085884132600685e-08
78,7.509107377284947e-15,1.2104454911902838e-08
79,7.172233800146119e-15,9.276811781771706e-09
80,7.103163274589939e-15,7.559380940774433e-09
81,6.993138604098383e-15,6.765498185587848e-09
82,6.933593044098591e-15,5.193237668772847e-09
83,6.849611806577801e-15,4.707123194401683e-09
84,6.734671345072674e-15,3.751072230866565e-09
85,6.6637209252788655e-15,3.6074413538369907e-09
86,6.575397410111247e-15,2.943362395921782e-09
87,6.44593987784086e-15,2.5007723107733365e-09
88,6.43079692371233e-15,2.0359539100883607e-09
89,6.3429895623761794e-15,1.6585303227365249e-09
90,6.115837259255778e-15,1.5004116155122492e-09
91,6.051166572766226e-15,1.4049435826384645e-09
92,5.921336823944724e-15,1.2417262008305572e-09
93,5.795117384595683e-15,1.1896168319910209e-09
94,5.7020764604366665e-15,1.050049116998357e-09
95,5.5975117758542585e-15,1.0233396895813105e-09
96,5.5173280720349626e-15,8.553316938303594e-10
97,5.451343915505033e-15,8.056800624813545e-10
98,5.394690465237473e-15,7.563262553441556e-10
99,5.344150920195544e-15,6.732833254742224e-10
100,5.253143993611226e-15,5.388186153556961e-10
101,5.181297380150075e-15,4.930888813715628e-10
102,5.109925998007864e-15,4.462553654664721e-10
103,5.019885610089435e-15,4.2686698823218126e-10
104,4.9844166054218154e-15,4.006947999545335e-10
105,4.9021196922611366e-15,3.488283741762186e-10
106,4.883986257261557e-15,3.1491394545116653e-10
107,4.808051766016008e-15,2.812181056634296e-10
108,4.737252101567748e-15,2.4946792281753413e-10
109,4.707001230160558e-15,2.3034210179096692e-10
110,4.629390800080112e-15,1.8961639042526207e-10
111,4.592835737424037e-15,1.794173486309549e-10
112,4.50936813715033e-15,1.7620988347900315e-10
113,4.4631139345521985e-15,1.4503241138686277e-10
114,4.453004427645118e-15,1.4296137581411645e-10
115,4.4001973815481715e-15,1.3451260823228787e-10
116,4.295391421063543e-15,1.249958740766693e-10
117,4.2721627924890414e-15,1.1600320519198184e-10
118,4.157471067061006e-15,1.0282153353784758e-10
119,4.0962444528938065e-15,9.310553165794873e-11
120,4.061735122415626e-15,8.117061025145459e-11
121,4.040473966818996e-15,7.415805201668074e-11
122,4.015152799173972e-15,6.556311783882635e-11
123,3.974886663555474e-15,5.979301701279122e-11
124,3.934292864435798e-15,5.470931181856221e-11
125,3.888601151433884e-15,5.1024459168604435e-11
126,3.854991074953612e-15,4.716158966521511e-11
127,3.8349956120507064e-15,4.0106119317487164e-11
128,3.81559272673394e-15,3.92655733975355e-11
129,3.770662640761794e-15,3.7324287062024115e-11
130,3.721694187039278e-15,3.276667180013131e-11
131,3.681090320143211e-15,3.046276217825372e-11
132,3.643376323426798e-15,2.799857597598219e-11
133,3.619110833120654e-15,2.5514037716927013e-11
134,3.5679013131334975e-15,2.3292045550606408e-11
135,3.5437728616346017e-15,2.0975300189680488e-11
136,3.4974364470141975e-15,1.8233757747250446e-11
137,3.479888801071536e-15,1.7692769203416606e-11
138,3.466948450336591e-15,1.5322145172752515e-11
139,3.458613894169107e-15,1.3685299666734167e-11
140,3.42898183543811e-15,1.3211726854312901e-11
141,3.4126971729992134e-15,1.2583403012171586e-11
142,3.379898052179933e-15,1.1196355384755422e-11
143,3.343997232495144e-15,9.468555539563004e-12
144,3.341434434616858e-15,9.123745990025653e-12
145,3.3106526672331266e-15,8.279061875852476e-12
146,3.299067012978316e-15,7.088913609896926e-12
147,3.265132841307551e-15,6.925045775346503e-12
148,3.2391488238628353e-15,6.299339926259003e-12
149,3.215644493395559e-15,5.877734937682109e-12
150,3.2046969515705814e-15,5.582485790210594e-12
151,3.192814271133046e-15,5.2869225049251e-12
152,3.1816670008318046e-15,4.124936510254543e-12
153,3.1597854415943463e-15,3.802221749746967e-12
154,3.1447069569707464e-15,3.749623234275134e-12
155,3.1160697142578572e-15,3.2987830581611456e-12
156,3.094071642794783e-15,3.222890415827214e-12
157,3.081280005879629e-15,2.8296140168520795e-12
158,3.0710626883260432e-15,2.636842325629376e-12
159,3.053200869349301e-15,2.526368599365903e-12
160,3.047127642368555e-15,2.1730659834019726e-12
161,3.021915825188746e-15,2.123157092945709e-12
162,3.0062084958747058e-15,1.9621272628402433e-12
163,2.9897947334320316e-15,1.733323406520507e-12
164,2.9698630605876287e-15,1.5518800799590842e-12
165,2.9637421679000285e-15,1.5182187229615271e-12
166,2.961762886942296e-15,1.3743981863019612e-12
167,2.952768751675742e-15,1.263857480127685e-12
168,2.9462301373091317e-15,1.1522094335045747e-12
169,2.934737657667437e-15,1.0919386969653156e-12
170,2.9252656153015735e-15,1.0484046468369986e-12
171,2.897096913813892e-15,9.489943404426345e-13
172,2.8905022635881515e-15,9.205348785433472e-13
173,2.8748788833374142e-15,8.905840918192321e-13
174,2.8634464690359535e-15,8.297545220870868e-13
175,2.856493379610745e-15,7.291158741965832e-13
176,2.8391027330580586e-15,6.718851187628439e-13
177,2.8336383959410065e-15,6.390795278024114e-13
178,2.8218707866740966e-15,6.021696045381451e-13
179,2.8179822710454088e-15,5.755454107409838e-13
180,2.810167851866148e-15,5.278087004534837e-13
181,2.7839029265671696e-15,4.565780586765494e-13
182,2.7772025400261793e-15,4.357188207798702e-13
183,2.765384410039682e-15,4.2283702538607927e-13
184,2.760524770986909e-15,3.745458738876143e-13
185,2.748500438650082e-15,3.60128604514138e-13
186,2.7413683038739887e-15,3.2195190888879067e-13
187,2.7334160150435768e-15,3.077552401474675e-13
188,2.7224014911345133e-15,2.915924273636815e-13
189,2.7093603646970844e-15,2.788188659289134e-13
190,2.6922673389859126e-15,2.645372389134808e-13
191,2.6832705096289757e-15,2.4523871852649093e-13
192,2.678856155754303e-15,2.0743152662530537e-13
