,nonlinear,RB
0,3.1622776601683826,3.1622776601683817
1,3.1622776601683826,3.162277660168381
2,3.1622776601683826,3.1622776601683795
3,3.1622776601683817,3.162277660168379
4,3.1622776601683817,3.162277660168379
5,3.1622776601683813,3.1622776601683786
6,3.1622776601683813,3.162277660168378
7,3.162277660168381,3.1622776601683773
8,3.1622776601683804,3.1622776601683755
9,3.1622776601683804,3.1622776601683698
10,3.1622776601683804,3.1622776601683387
11,3.16227766016838,3.162277660167871
12,3.16227766016838,3.1622776601655462
13,3.16227766016838,3.1622776601507225
14,3.16227766016838,3.162277659955893
15,3.16227766016838,3.1622776532412082
16,3.16227766016838,3.1622775606182203
17,3.16227766016838,3.1622762767784853
18,3.16227766016838,3.1622493025762086
19,3.16227766016838,3.1622241705514873
20,3.1622776601683795,3.162201433293752
21,3.1622776601683795,3.162034138679706
22,3.1622776601683795,3.1604876432170164
23,3.1622776601683795,3.1557723856829645
24,3.1622776601683795,3.1334021327697594
25,3.1622776601683795,3.059399134310459
26,3.1622776601683795,2.805809572808709
27,3.1622776601683795,2.483663948315812
28,3.1622776601683795,2.261809704048896
29,3.1622776601683795,1.8886863108228573
30,3.1622776601683795,1.5444767748385098
31,3.1622776601683795,1.3525453318711285
32,3.1622776601683795,1.0277426823628601
33,3.162277660168379,1.0034320469983624
34,3.162277660168379,0.8369094799251056
35,3.162277660168379,0.3726547065766447
36,3.162277660168379,0.17172621051825962
37,3.162277660168379,0.06979734723094677
38,3.162277660168379,0.028005558072022214
39,3.162277660168379,0.01567412251276236
40,3.162277660168379,0.01137079522501297
41,3.1622776601683786,0.004152003357711128
42,3.1622776601683786,0.002782111698519536
43,3.1622776601683786,0.002147961934327764
44,3.1622776601683786,0.0017796972906313996
45,3.1622776601683786,0.0008641981359990904
46,3.1622776601683786,0.0006815747868458788
47,3.1622776601683786,0.0004812652173997395
48,3.1622776601683786,0.0004356465306503726
49,3.1622776601683786,0.0003701922663113068
50,3.1622776601683786,0.0001297279204469061
51,3.162277660168378,0.00011972447798328932
52,3.162277660168378,7.256331526214296e-05
53,3.162277660168378,6.186479163300384e-05
54,3.162277660168378,2.4827093919928514e-05
55,3.1622776601683777,2.3790387182478544e-05
56,3.1622776601683777,9.536593705857051e-06
57,3.1622776601683777,4.466401940377006e-06
58,3.1622776601683777,3.0207486409243226e-06
