,nonlinear,RB
0,0.5000000000000004,0.5000000000000003
1,0.5000000000000004,0.5000000000000002
2,0.5000000000000004,0.5
3,0.5000000000000003,0.49999999999999994
4,0.5000000000000003,0.49999999999999994
5,0.5000000000000002,0.4999999999999999
6,0.5000000000000002,0.49999999999999983
7,0.5000000000000002,0.4999999999999997
8,0.5000000000000001,0.4999999999999995
9,0.5000000000000001,0.49999999999999867
10,0.5000000000000001,0.4999999999999944
11,0.5000000000000001,0.49999999999993017
12,0.5000000000000001,0.4999999999996109
13,0.5000000000000001,0.4999999999975751
14,0.5000000000000001,0.499999999970818
15,0.5000000000000001,0.4999999990486502
16,0.5000000000000001,0.49999998632818177
17,0.5000000000000001,0.4999998100107602
18,0.5000000000000001,0.4999961054650024
19,0.5000000000000001,0.4999926538892461
20,0.5,0.49998953118176664
21,0.5,0.49996655445140226
22,0.5,0.4997540966751231
23,0.5,0.4991056715948261
24,0.5,0.49601613469521805
25,0.5,0.4856361394628895
26,0.5,0.4480581926065437
27,0.5,0.395092833346254
28,0.5,0.35445606303063165
29,0.5,0.27615983256902776
30,0.5,0.188781381957434
31,0.5,0.1311518298241234
32,0.5,0.011884393240522362
33,0.49999999999999994,0.0014879671444916706
34,0.49999999999999994,-0.07732151272951554
35,0.49999999999999994,-0.42869338932073603
36,0.49999999999999994,-0.7651634135478457
37,0.49999999999999994,-1.1561610831770504
38,0.49999999999999994,-1.5527557686412006
39,0.49999999999999994,-1.804816763003294
40,0.49999999999999994,-1.9442091615428585
41,0.4999999999999999,-2.381742303946972
42,0.4999999999999999,-2.555625437580188
43,0.4999999999999999,-2.6679734193681464
44,0.4999999999999999,-2.7496538607182046
45,0.4999999999999999,-3.0633866747595517
46,0.4999999999999999,-3.1664864835820787
47,0.4999999999999999,-3.3176155250611044
48,0.4999999999999999,-3.3608657401984785
49,0.4999999999999999,-3.431572658336781
50,0.4999999999999999,-3.8869665436455656
51,0.49999999999999983,-3.9218170478704133
52,0.49999999999999983,-4.139282883511859
53,0.49999999999999983,-4.208556445484127
54,0.49999999999999983,-4.60507411284181
55,0.4999999999999998,-4.623598489873385
56,0.4999999999999998,-5.020606719521693
57,0.4999999999999998,-5.350042196483338
58,0.4999999999999998,-5.5198854112382145
59,0.4999999999999998,-5.67650913904549
60,0.4999999999999998,-5.738945005233756
61,0.4999999999999997,-6.020717347527955
62,0.4999999999999997,-6.277306171540238
63,-14.096580923603405,-6.524215148539314
64,-14.11083212971497,-6.615135682272634
65,-14.114760579425859,-6.720311641925488
66,-14.127814580580422,-6.805625424006661
67,-14.14165009562637,-6.906850171552222
68,-14.154929602720351,-7.088917607553954
69,-14.17147432841339,-7.351997034488935
70,-14.181236888046886,-7.538876967308842
71,-14.187911056180846,-7.646505092395791
72,-14.191096919679067,-7.7063216831212165
73,-14.194440336440303,-7.802299390235395
74,-14.20773836307057,-7.904256261848718
75,-14.216144557366176,-7.98677173068552
76,-14.222559437142163,-8.036720775771371
77,-14.227044082745827,-8.094307191762153
78,-14.23184306452072,-8.13596736321541
79,-14.238068570420534,-8.272809144941954
80,-14.250155433369413,-8.294629136233722
81,-14.264676328106813,-8.380978925448225
82,-14.265600941686092,-8.396377974313328
83,-14.268865320086404,-8.477912027039917
84,-14.275927423380827,-8.5484678689597
85,-14.279510269703279,-8.611875832285312
86,-14.286356855387186,-8.643989007705628
87,-14.289846393279978,-8.769762783305298
88,-14.29311978870898,-8.831060522027535
89,-14.300837069085556,-8.838733213644423
90,-14.310926303694158,-8.907263736788066
91,-14.314821716695414,-8.98583098719585
92,-14.317012337538442,-9.05112441973109
93,-14.323708698000308,-9.090695835290463
94,-14.326820475406395,-9.116735457150513
95,-14.33746140123831,-9.140825760296433
96,-14.338849600898854,-9.175040017734258
97,-14.341574617672709,-9.237557443129278
98,-14.344488253233145,-9.327627803993064
99,-14.353434132361178,-9.347667529140525
100,-14.35938600573463,-9.432164235693303
101,-14.360678445193944,-9.451704991076731
102,-14.363373869295462,-9.493253355422597
103,-14.368555704524752,-9.513786995391362
104,-14.37427207498267,-9.55990459908835
105,-14.378963336675037,-9.597350827637221
106,-14.382318073759276,-9.645705956862566
107,-14.38644870709536,-9.70769120272506
108,-14.389361503522274,-9.766611079726419
109,-14.392776664809192,-9.785803693427145
110,-14.400905608491163,-9.84519734329124
111,-14.403127139141443,-9.893663946430538
112,-14.406371573395015,-9.928437126563193
113,-14.410606135160968,-9.982105397521913
114,-14.414968971455261,-10.006177520878833
115,-14.421137389066162,-10.030554186325054
116,-14.423293741299682,-10.090915248973223
117,-14.430307454874786,-10.148332076006884
118,-14.437067261163302,-10.16301496509695
119,-14.440661918187022,-10.240300956817268
120,-14.443187327153892,-10.308515362036177
121,-14.445641965635865,-10.33818530483039
122,-14.452490794492114,-10.38635763396307
123,-14.453627347378484,-10.426078594983755
124,-14.459798412866778,-10.435656932281823
125,-14.462105854380134,-10.480421845162327
126,-14.464724658374006,-10.528440199965619
127,-14.467852178491052,-10.555801514201857
128,-14.472566151306438,-10.590380731064547
129,-14.474139584368187,-10.673643935142813
130,-14.476820888231709,-10.757166732501227
131,-14.480796657045833,-10.76367138455241
132,-14.482339494956888,-10.809837670612495
133,-14.484577557682268,-10.834391575420584
134,-14.486982356901215,-10.8718874776048
135,-14.492272236682036,-10.922867247796042
136,-14.494470077019033,-10.962945803085596
137,-14.495298363752267,-10.981754790447882
138,-14.496308852803404,-11.048686709241094
139,-14.499671255805058,-11.073153577866217
140,-14.503876432548351,-11.085688513156757
141,-14.506693820734885,-11.122064566875933
142,-14.50983604076431,-11.194612272183939
143,-14.512803472534474,-11.204549569698905
144,-14.513579920560229,-11.257619467088979
145,-14.515943576926935,-11.311832081090364
146,-14.518648425544345,-11.329039315254692
147,-14.521778683803573,-11.381590847100737
148,-14.52425306633667,-11.409598425361947
149,-14.526168628700312,-11.472791804035428
150,-14.527388707735149,-11.481196683752716
151,-14.530432584383597,-11.551099539794045
152,-14.531405024361625,-11.5737799702831
153,-14.532610881944649,-11.58944106358493
154,-14.533642524213597,-11.616651403434155
155,-14.537561490881389,-11.675022774918332
156,-14.539587048279245,-11.724851843067169
157,-14.540403389819954,-11.754611987874108
158,-14.542391108383434,-11.782200447799239
159,-14.5437355174358,-11.838324763087925
160,-14.54729709495358,-11.858777254305457
161,-14.548581587533441,-11.893293481866566
162,-14.551292989035348,-11.91875437675213
163,-14.552715146429394,-11.92293507148336
164,-14.555931944168487,-11.954482617892499
165,-14.55737656351985,-11.989838934543325
166,-14.559538747138438,-12.036174425858244
167,-14.559765060092861,-12.06431022916836
168,-14.56206446336907,-12.119137019478257
169,-14.564430917527394,-12.13031962918354
170,-14.567050498982141,-12.144435714823135
171,-14.568187183066994,-12.188618329703255
172,-14.570248511308172,-12.218275922386606
173,-14.57177832261244,-12.237297708057707
174,-14.572294129544616,-12.265735380621775
175,-14.574717639217399,-12.301182895280785
176,-14.576549752127713,-12.352745702987608
177,-14.577732809741402,-12.379617099032261
178,-14.581859918916287,-12.411075729619345
179,-14.582739221951195,-12.435978207319726
180,-14.583806268787868,-12.47714046442912
181,-14.585347467661707,-12.498000526630872
182,-14.586253734411422,-12.503294617204693
183,-14.587805800107859,-12.534326870569556
184,-14.589733544222693,-12.559463288880028
185,-14.593285379185783,-12.615695914447606
186,-14.594442161905853,-12.662594257180832
187,-14.59552540168678,-12.702322865989922
188,-14.597186815573158,-12.716816026237327
189,-14.598389163359842,-12.75949050830544
190,-14.598779573963787,-12.768442235973428
191,-14.600792888753926,-12.800322040235873
192,-14.602356161742785,-12.825631727140905
193,-14.603839719388576,-12.8321391859252
194,-14.605540472161044,-12.886605148528215
195,-14.60659735865739,-12.896330578741347
196,-14.609796431044034,-12.941385314683442
197,-14.611469868564926,-12.94645040425272
198,-14.612939802657204,-12.96600931668137
199,-14.614461447306466,-12.990762242049076
200,-14.615950974858539,-13.017841096278698
201,-14.618243859218996,-13.035829812773173
202,-14.618703782341878,-13.059025055220962
203,-14.619787018827989,-13.090175564982621
204,-14.622530662414935,-13.132786826322969
205,-14.62355755998876,-13.170369673621828
206,-14.625317629393802,-13.172528163584472
207,-14.627930946158687,-13.184907944431467
208,-14.628578743015419,-13.230801284741567
209,-14.629524934095194,-13.243768210096427
210,-14.631215520769702,-13.270328662368353
211,-14.634015479845859,-13.286595057705219
212,-14.635630785918927,-13.29847361050734
213,-14.635850629184857,-13.334421809461748
214,-14.637706531011398,-13.355711136256009
215,-14.638060776542616,-13.369223609540608
216,-14.639790098862017,-13.391846228697865
217,-14.642418334224024,-13.42854196834993
218,-14.64276675001307,-13.459112269657613
219,-14.642964835128954,-13.470588944517681
220,-14.64431940484145,-13.478996151251467
221,-14.645560716312703,-13.525934922186783
222,-14.646841845687199,-13.555604351506034
223,-14.648360559213373,-13.564619627332036
224,-14.649995108379372,-13.578313142838114
225,-14.651635638083185,-13.58575981980338
226,-14.651990358698418,-13.620770707996678
227,-14.65307104536695,-13.632115360919604
228,-14.656614567480052,-13.664459182643931
229,-14.658366354052392,-13.681198610259676
230,-14.658778549813512,-13.693510451442656
231,-14.659431535584307,-13.723080775010525
232,-14.660279705169504,-13.737597605929228
233,-14.663422874861137,-13.75782210329385
234,-14.664264439039043,-13.766304328043956
235,-14.664871412524281,-13.781402220640798
236,-14.66648192996847,-13.816705843319376
237,-14.666803025147585,-13.831021217137451
238,-14.66838020133943,-13.839033065095505
239,-14.669559471845808,-13.854668820941455
240,-14.670989100033541,-13.857712303771448
241,-14.673133923732163,-13.873057735842638
242,-14.673630362284074,-13.895958591755415
243,-14.675784555447994,-13.897451798630296
