   , TTTT               , TTTF               , TTFT               , TTFF               , FTTT               , FTTF               , FTFT               , FTFF               , TFTT               , TFTF               , TFFT               , TFFF               , FFTT               , FFTF               , FFFT               , FFFF
0  , -5.847068746596888 , -5.8470687447271965, -5.939572709612286 , -5.939572709682579 , -5.847068746761645 , -5.847068743823416 , -5.939572709508151 , -5.939572709587917 , -5.847068746382565 , -5.8470687445668785, -5.93957270981569  , -5.939572709636319 , -5.847068746329155 , -5.847068744599502 , -5.9395727094869155, -5.9395727096110695
1  , -5.486173833906438 , -5.486173831047953 , -5.650788259897041 , -5.6507882599711925, -5.486173834278533 , -5.4861738288656925, -5.650788259792049 , -5.650788259833938 , -5.486173833474257 , -5.4861738306477275, -5.65078826008277  , -5.650788259901201 , -5.486173834043552 , -5.486173830341847 , -5.650788259759044 , -5.650788259880572
2  , -5.258011201277802 , -5.258011197797703 , -5.486678751348148 , -5.486678751434638 , -5.258011201788379 , -5.258011194587947 , -5.4866787512244555, -5.486678751262154 , -5.258011200688933 , -5.258011197206515 , -5.486678751527593 , -5.486678751334406 , -5.2580112017836935, -5.258011196568475 , -5.486678751192226 , -5.486678751317946
3  , -5.089386398001291 , -5.089386394138642 , -5.373623333962421 , -5.373623334070555 , -5.089386398614028 , -5.089386390049469 , -5.37362333383139  , -5.373623333860557 , -5.089386397305046 , -5.089386393400204 , -5.3736233341534145, -5.373623333948464 , -5.089386398877923 , -5.089386392421054 , -5.373623333798788 , -5.373623333927937
4  , -4.956148472343972 , -4.956148468245688 , -5.288518253156639 , -5.288518253291238 , -4.956148473036477 , -4.95614846338799  , -5.2885182530362025, -5.288518253050524 , -4.956148471566883 , -4.956148467391557 , -5.288518253357072 , -5.288518253144457 , -4.956148473584137 , -4.9561484660786865, -5.288518252995049 , -5.28851825312547
5  , -4.846696546955194 , -4.846696542711912 , -5.221068851702919 , -5.2210688518590915, -4.846696547709375 , -4.846696537172402 , -5.221068851589721 , -5.221068851593608 , -4.8466965461128115, -4.8466965417615855, -5.22106885191561  , -5.221068851698637 , -4.846696548547421 , -4.846696540128927 , -5.221068851551482 , -5.221068851674235
6  , -4.754382485062087 , -4.754382480731228 , -5.165782846907156 , -5.1657828470846745, -4.754382485865984 , -4.754382474580736 , -5.165782846798202 , -5.165782846796892 , -4.754382484165981 , -4.7543824797010314, -5.165782847133852 , -5.1657828469073035, -4.7543824869881535, -4.754382477763848 , -5.16578284676347  , -5.165782846887828
7  , -4.674992176986801 , -4.674992172605443 , -5.119381559177215 , -5.11938155938244  , -4.674992177831327 , -4.674992165904278 , -5.119381559073031 , -5.119381559070059 , -4.674992176046091 , -4.6749921715067275, -5.119381559417355 , -5.119381559183602 , -4.674992179224372 , -4.67499216928722  , -5.119381559037576 , -5.119381559165535
8  , -4.605673047857353 , -4.605673043448007 , -5.079750035414853 , -5.079750035648507 , -4.605673048735853 , -4.6056730362490175, -5.0797500353231895, -5.07975003531182  , -4.605673046875563 , -4.605673042288993 , -5.079750035660182 , -5.079750035423576 , -4.605673050383248 , -4.6056730398051124, -5.079750035283295 , -5.07975003541583
9  , -4.544401596415263 , -4.544401591993811 , -5.045444114604624 , -5.0454441148690075, -4.5444015973230405, -4.54440158434248  , -5.045444114525715 , -5.045444114500526 , -4.5444015953995756, -4.544401590782499 , -5.0454441148516835, -5.045444114616354 , -4.544401599206021 , -4.544401588052586 , -5.045444114471643 , -5.04544411461556
