,0,1,2,3,4,5,6,7,8,9
0,6.302097160730168e-15,5.555455250442477e-15,6.6152959623501886e-15,4.279627826918292e-15,5.974686550871337e-15,6.498952987099565e-15,6.328687745626662e-15,7.845069925988647e-15,6.620359793295526e-15,8.479387964749997e-15
1,6.090318602629878e-15,6.336522903614461e-15,6.510827002004008e-15,4.6112978866364574e-15,5.3147161370445236e-15,6.512597529742505e-15,6.77949953594818e-15,7.173818096567226e-15,7.734768853871856e-15,7.711151460918703e-15
2,5.695247929290526e-15,4.9814620714567554e-15,6.277499799060632e-15,4.570436509894804e-15,5.546029453384423e-15,6.900188779415471e-15,5.930777315874756e-15,7.040723674874318e-15,6.391789935496794e-15,7.88364644220661e-15
3,5.928382407185036e-15,5.6292817084578325e-15,5.1891014765102564e-15,3.8315075916839524e-15,4.954619100988529e-15,5.907443852730488e-15,5.487805749910098e-15,6.396268541807769e-15,6.5846195009923746e-15,7.16844168186968e-15
4,5.553962969739336e-15,4.885603541476367e-15,4.6094490947574664e-15,3.1305592575493502e-15,4.954638287320438e-15,6.380629902611728e-15,4.851449868181199e-15,6.120935243597683e-15,6.0149305035842534e-15,5.812260872140776e-15
5,4.704266947913388e-15,4.9281754532351576e-15,3.902207162101456e-15,3.76098512995727e-15,3.915965229842475e-15,5.552897159437157e-15,3.78397369603964e-15,4.509391265439571e-15,5.101680386319342e-15,4.947981038155066e-15
6,3.964764137155239e-15,3.7759752408589365e-15,3.3736058767053606e-15,3.3805053219834494e-15,3.850620055871574e-15,6.162890634961688e-15,3.544859363289973e-15,3.7051349482415496e-15,5.446449979115971e-15,4.0534690580649275e-15
7,4.164036315158738e-15,3.693806212133198e-15,2.1910399389197716e-15,3.3098474989668103e-15,3.601890595439284e-15,4.254553116458365e-15,2.80447253509628e-15,2.0726198683123332e-15,3.3594555461260492e-15,2.6534054812980666e-15
8,2.8993995331224004e-15,3.1774141275236068e-15,9.692430420471272e-16,2.3875829962122156e-15,3.3329515357372564e-15,3.3941467769237875e-15,1.8011300897723372e-15,1.4448487549512102e-15,3.191323576059876e-15,1.1424822623329459e-15
9,2.680788004972316e-15,1.8158263159236737e-15,1.399320708069018e-15,2.321526067350926e-15,2.4865769234249497e-15,4.082851913048691e-15,9.516382756774116e-16,1.7782164592207405e-15,2.208140907875156e-15,1.1259845288288084e-15
10,1.2758453667941066e-15,1.705692546798178e-15,2.0358234720833692e-15,1.7399116293881354e-15,2.0836418579501293e-15,2.8791672807346377e-15,1.067637432233446e-15,2.098762579648792e-15,2.724762299504919e-15,1.5011737069851677e-15
11,1.004231589397791e-15,2.352045455879301e-15,2.3019744180167853e-15,1.8283011754861177e-15,1.6608169131794698e-15,2.1595879672002877e-15,1.5143883376119402e-15,2.7821764761420083e-15,1.2512728310490345e-15,2.496519167332122e-15
12,1.1879580650854702e-15,1.2268908396849587e-15,3.192776202739459e-15,1.1361379742997401e-15,1.1458023687600217e-15,2.243399599772251e-15,2.8986388891428e-15,4.641418967149096e-15,1.4728574321458288e-15,3.5216796278869715e-15
13,9.858835989177478e-16,1.8286873545843265e-15,3.68554565461303e-15,1.08905920125113e-15,1.2584703472852437e-15,2.79840014860229e-15,2.8316267267764493e-15,4.910493318474019e-15,1.5559371402043875e-15,4.701319697310915e-15
14,2.0620937658845577e-15,1.97665986546096e-15,4.112683160739892e-15,1.4101151651266199e-15,1.3121181935231834e-15,1.5160619539172581e-15,3.75852807089708e-15,6.125616509280073e-15,1.9727663626115625e-15,5.05095557708919e-15
15,2.5606984706259776e-15,2.1965479552972824e-15,4.4758406982199405e-15,1.4160924419239026e-15,2.086675168253022e-15,1.418573610874897e-15,4.270357903273424e-15,4.908319200634728e-15,2.829687178464359e-15,6.264751715552752e-15
16,2.7353925843005076e-15,2.1417991153087183e-15,4.427839631549535e-15,1.497741019753267e-15,2.3474787432290876e-15,1.3502627941517227e-15,5.596988299306637e-15,4.9762403641351305e-15,2.883638592005653e-15,5.9869807835804645e-15
17,3.369784145474903e-15,3.37300495371668e-15,4.781893898646277e-15,2.6542486574982147e-15,2.613446530547446e-15,2.370002825395983e-15,5.066689310781472e-15,5.9495757844282935e-15,3.8894498062306965e-15,6.707186433015237e-15
18,4.158448623946895e-15,3.0123168080369226e-15,3.864934633139221e-15,2.2869639288115835e-15,2.585873645463884e-15,2.4032173242474102e-15,5.0173966059083336e-15,4.253882864192253e-15,3.905903323332107e-15,6.455838216701937e-15
19,5.136694940100423e-15,3.3420597365765347e-15,3.314667978815667e-15,2.5252457100132593e-15,3.248764552067773e-15,3.1994915653137974e-15,4.813665878281536e-15,4.1354609978939656e-15,3.991480855110631e-15,5.956000937373971e-15
20,5.556621557048863e-15,3.5495016199006886e-15,2.631160008798138e-15,2.612095643462344e-15,3.4866008139118048e-15,3.4193743211752815e-15,3.945966426156026e-15,2.359018399729356e-15,4.4340532004041506e-15,5.292031943220558e-15
21,3.994859218866393e-15,4.039573728615848e-15,1.7054141787755958e-15,3.276709808122769e-15,4.022121365119772e-15,3.3248240843687325e-15,4.1083955704606974e-15,1.969599277574521e-15,4.461725630858579e-15,4.447823584053958e-15
22,4.323635658892899e-15,2.610144076250666e-15,1.1207273730338552e-15,2.884966809090018e-15,4.273276025856062e-15,5.078046794288288e-15,3.4580026213726595e-15,1.3642129414324128e-15,4.199514566607167e-15,4.076597454537612e-15
23,4.2789774240464924e-15,3.2180935455809384e-15,9.520858450081065e-16,3.070167337538345e-15,4.513668218000592e-15,4.394594365890015e-15,2.654445153950594e-15,1.1923348436289214e-15,3.816191676293757e-15,2.9294382747992184e-15
24,4.530517939242248e-15,3.296861414129931e-15,2.1414346821658438e-15,2.7252020400066637e-15,4.195155803280807e-15,3.7641068744274054e-15,1.7919627124515793e-15,2.6904931022922455e-15,3.2423484006777516e-15,2.1151554049217883e-15
25,4.486591505384576e-15,2.5413141004005405e-15,2.9944782012417026e-15,2.7628223113998587e-15,3.6133592903360565e-15,4.6115829394816704e-15,1.1151010626945916e-15,3.691944233745663e-15,3.259977943318545e-15,1.6748383247235434e-15
26,3.623500887031444e-15,2.4704143147848664e-15,3.900861927017501e-15,2.5760067614939026e-15,4.347969499043585e-15,3.7200016641946766e-15,8.891410137773278e-16,4.672938323981591e-15,2.1995276262458083e-15,1.7392355423912431e-15
27,2.7560792963660887e-15,1.6426423787126409e-15,4.8047258669675085e-15,1.9520569828756064e-15,4.037672237610009e-15,4.102283269316887e-15,1.3381365851588392e-15,5.484288686524538e-15,2.4638492255703758e-15,3.726601721620115e-15
28,2.5626436826244052e-15,1.5601935043752624e-15,5.298600493342913e-15,1.9902511244513474e-15,3.9413030725768566e-15,3.682165138112692e-15,2.3233350753055326e-15,5.680414881153933e-15,1.9038352398399885e-15,3.981139420679254e-15
29,1.6062936313207544e-15,1.4871700116480291e-15,6.633006632027734e-15,2.454927008141563e-15,3.2058571127434647e-15,4.019462177339379e-15,2.9752777180602373e-15,6.774075716353489e-15,1.400276789485392e-15,5.3321092660765765e-15
30,1.3768963191523706e-15,1.3275265091451356e-15,6.423769061013402e-15,1.5676601379899194e-15,3.1179449664892308e-15,3.673605579503294e-15,3.85013743810478e-15,6.906772049600255e-15,1.2344888401317852e-15,6.461403475320956e-15
31,1.04765478244682e-15,1.2222275865650365e-15,6.701691852134756e-15,1.5200131210747637e-15,2.4906155557546727e-15,3.137135415241407e-15,4.587357809549914e-15,6.9336110109854996e-15,1.3124448532017594e-15,6.402631042255741e-15
32,1.0666271814910771e-15,1.934916308395682e-15,6.8204426360446825e-15,1.1800359471148086e-15,2.0212818959289966e-15,2.8967977484955074e-15,5.786654158024201e-15,7.179008194620055e-15,2.0307212969329827e-15,7.27488722599112e-15
33,1.5821414553835438e-15,2.3101457742676068e-15,6.3866989746000495e-15,1.0176280120843676e-15,1.2922807529875553e-15,1.9247653206266833e-15,5.622275358816928e-15,7.047188833030637e-15,3.205982218669359e-15,8.037854393934792e-15
34,1.597327845949474e-15,3.467751395655546e-15,6.189998696359686e-15,1.1339518279873167e-15,1.1312997339402357e-15,1.458274885685439e-15,6.305117874411436e-15,6.8177858348693984e-15,3.3280404450114088e-15,7.547759396904374e-15
35,3.2893242464439125e-15,4.193300653294363e-15,5.252798794745291e-15,2.059395684464628e-15,1.2371479192051784e-15,1.3561941494207934e-15,6.180814837694545e-15,5.753487028564299e-15,3.4537778952960377e-15,8.69616512129272e-15
36,3.607288577635917e-15,5.0510915291279745e-15,3.8548323063303145e-15,1.6519013097976008e-15,1.2200382991236535e-15,1.9025946432477707e-15,6.70141520395096e-15,5.6567123312359746e-15,4.9423250385419934e-15,7.783823000707106e-15
37,4.655505178020826e-15,4.643190916574291e-15,3.156394505011916e-15,2.5367391067394123e-15,1.6343061230001664e-15,1.452854443093283e-15,6.518347590780915e-15,3.3366844873684235e-15,4.6749442297973584e-15,7.666019593591453e-15
38,4.6074806773658415e-15,5.443290574023807e-15,2.42826172609163e-15,2.9731885408159e-15,2.5709066149726415e-15,2.5297143032369257e-15,6.059402970072035e-15,3.0794955678867103e-15,5.156577379971273e-15,7.318769544511711e-15
39,5.412889626632995e-15,5.94435520497006e-15,1.3372362558225107e-15,3.6053435720236164e-15,2.9172541610833343e-15,1.969406830649397e-15,5.257512996998337e-15,1.8153434777774615e-15,5.909126684405018e-15,6.558758363289368e-15
40,5.759557515237379e-15,5.933568025491913e-15,1.7044097464142665e-15,3.853609221251521e-15,3.575736936803206e-15,3.294247279692994e-15,5.195134046023808e-15,1.3994719605404816e-15,6.1309689043695626e-15,4.4110633437403845e-15
41,5.707533545803539e-15,5.922448865479019e-15,2.215414087366307e-15,3.315758745527984e-15,4.069283679317644e-15,4.071019302166631e-15,4.300646003095199e-15,2.002705062536874e-15,5.760940997230384e-15,3.862896489445184e-15
42,7.16188887593417e-15,6.442809617744762e-15,3.025337015967828e-15,4.245067015308142e-15,4.3536269396970296e-15,4.1563662012117945e-15,3.59596241323444e-15,3.364865412978571e-15,6.311275982779174e-15,2.8018260672561165e-15
43,6.8480219859396e-15,5.8548037021187594e-15,3.618230235245104e-15,4.342706093368064e-15,5.075835865923555e-15,5.338015301733523e-15,2.402585585788862e-15,3.401664824103272e-15,6.237166614139843e-15,1.2423944601997382e-15
44,6.455466089108525e-15,5.54184244713205e-15,3.7697434853621895e-15,4.2236734116276895e-15,5.2329987293831264e-15,6.0506837920224446e-15,2.001213709481877e-15,5.578765444291766e-15,6.213389649346937e-15,1.2103424516559747e-15
45,6.095220311882778e-15,6.486601320855502e-15,4.5270643578546855e-15,5.163522322610817e-15,5.5113283510509645e-15,5.22556335353166e-15,1.098520057580723e-15,5.5349655868358175e-15,6.197096846160737e-15,1.5471914444405526e-15
46,5.819442087848321e-15,6.026787072862382e-15,5.5678894364131e-15,4.26810226638559e-15,5.951405297484699e-15,5.7044306701357095e-15,1.0928292391843354e-15,5.574198102454408e-15,5.461745190897831e-15,2.3760112475034078e-15
47,5.488748173393289e-15,5.293374510398618e-15,4.501780346706691e-15,4.549080778751075e-15,5.843276869922608e-15,6.033878787479201e-15,1.877035937588155e-15,4.748859586653404e-15,4.860379019570449e-15,4.5401886674806445e-15
48,5.645414269478162e-15,4.460856842458819e-15,4.597454756014654e-15,4.176995775284089e-15,6.498149313006126e-15,6.177432251087613e-15,2.595941480876586e-15,4.3910046811930674e-15,4.407954378889692e-15,4.322933102829929e-15
49,4.993441215457593e-15,2.5184103202361883e-15,4.637271109997778e-15,4.4325848912188365e-15,6.006888055668956e-15,6.2469473981477845e-15,3.310955911239715e-15,4.4397867096578885e-15,3.551420007198904e-15,5.251907357865514e-15
50,4.1132009486264406e-15,4.182761880491103e-15,3.823161490738687e-15,4.838790387830572e-15,6.1433988203411735e-15,6.370261425872841e-15,3.667719308089646e-15,5.02025821019106e-15,3.615243771328842e-15,6.136041058033382e-15
51,3.491813987283003e-15,1.989126747202064e-15,3.430519225285042e-15,3.69201024092285e-15,5.364638350976285e-15,6.581231056556846e-15,4.511109769109787e-15,2.7048817195021353e-15,2.874786277462755e-15,6.3717028277360844e-15
52,2.8435186346972714e-15,1.4785565667742611e-15,2.289237018601441e-15,3.550190250813622e-15,5.453786634007656e-15,6.103167230737457e-15,4.6468462108514255e-15,1.857454725314345e-15,2.288678192076818e-15,6.8317594436153185e-15
53,2.516064883314511e-15,1.1505126575770928e-15,1.619075514498926e-15,3.3524623709230324e-15,4.583450702132629e-15,5.92852477632245e-15,5.069981269211603e-15,1.3329350484252445e-15,1.9812242445681747e-15,6.8425065522160285e-15
54,1.3336049696969621e-15,1.3230246926208404e-15,9.702467034128236e-16,2.8247263781908184e-15,4.85435165504362e-15,6.161914177983804e-15,4.890930703703029e-15,1.3167636847384806e-15,1.5894969385415161e-15,5.924862740182691e-15
55,1.7165712347943349e-15,1.5762047197336774e-15,2.2961784333786444e-15,2.2260470340207796e-15,3.963743026857312e-15,5.439583037576359e-15,4.957960609993605e-15,2.3618642939843358e-15,1.841773631176636e-15,5.829188869958323e-15
56,1.1693137598633553e-15,1.946085161666743e-15,2.3894624992984083e-15,2.2399537774944876e-15,3.1038427000047622e-15,5.918270056366991e-15,4.152485831170498e-15,3.196206210660245e-15,1.8722749723060888e-15,4.479985930613935e-15
57,1.6611047920777506e-15,2.316117234942171e-15,3.7136492854701824e-15,2.2934338568910656e-15,2.3624012731806206e-15,5.491737766611552e-15,4.011358519728649e-15,3.920380881858583e-15,2.990244236836802e-15,4.180819918637939e-15
58,2.3642017368775865e-15,2.4359737381025897e-15,4.926085236686007e-15,1.1060983691404635e-15,2.4301899481298697e-15,3.95478232732477e-15,3.786670529636614e-15,5.414681980872501e-15,2.969413712873479e-15,2.6839492960047874e-15
