,0,1,2,3,4,5,6,7,8,9
0,3.09681432986271e-16,3.2727876616167395e-16,5.430729018369373e-16,5.252176275206309e-16,6.051925570609813e-16,5.329378910793478e-16,7.201365527974411e-16,6.426315720833864e-16,6.720328206165682e-16,6.768748349474379e-16
1,3.242596459342484e-16,3.1878821200162e-16,5.529409569178282e-16,4.933592886963434e-16,5.809535289120829e-16,5.241122822467198e-16,7.049329906683752e-16,6.263886233997726e-16,6.563325659094181e-16,6.662676454263445e-16
2,3.5289661061862457e-16,3.0518232711857583e-16,5.592030725869075e-16,4.861676337586877e-16,5.694904719125375e-16,5.16309462144454e-16,6.935317411011009e-16,6.180636354668234e-16,6.358817058299553e-16,6.558608838719228e-16
3,3.6466198024233514e-16,3.0061830678433474e-16,5.384836587289123e-16,4.591616218317783e-16,5.480323739997947e-16,5.107150317549993e-16,6.700842490900529e-16,6.056654484983809e-16,6.124313488916535e-16,6.479874017541961e-16
4,3.480444464579977e-16,3.2205327324054666e-16,5.41221678951824e-16,4.509385998574443e-16,5.465964979003154e-16,5.089655501257117e-16,6.640535911328109e-16,5.936724457467498e-16,6.019466283045652e-16,6.3963283434719175e-16
5,3.643093494548886e-16,3.469184608791493e-16,5.691772415458349e-16,4.4123575063928383e-16,5.549997346499873e-16,5.064864882535021e-16,6.527572028283697e-16,5.859582031986233e-16,5.931328375553006e-16,6.30810326566823e-16
6,3.706652421169389e-16,3.3399540544446947e-16,5.684051801859054e-16,4.555119970301037e-16,5.590788695883922e-16,4.956084258754504e-16,6.224683973497239e-16,5.867815201920592e-16,5.76527679597561e-16,6.235941407745837e-16
7,3.245907707961445e-16,3.481224041987212e-16,5.486851182954845e-16,4.642997380610947e-16,5.548014762339004e-16,4.904504359099216e-16,5.954159020527547e-16,5.768702442874322e-16,5.671699687605024e-16,6.196509602771751e-16
8,3.308389443576367e-16,3.3635172708196478e-16,5.48083324724469e-16,4.817822010605556e-16,5.606277375177142e-16,4.878085916141998e-16,5.771540538020812e-16,5.78064078348045e-16,5.620517703690165e-16,6.125158867650084e-16
9,3.177060365697957e-16,3.386690422919279e-16,5.626636555476642e-16,4.811744652239868e-16,5.375100699869208e-16,4.856663587098586e-16,5.723624807904205e-16,5.795858644863904e-16,5.574197752347971e-16,6.068673335974243e-16
10,3.176313769706625e-16,3.524046771000143e-16,5.547766992659769e-16,4.828641273460924e-16,5.262311812807025e-16,4.835488139553253e-16,5.936986635237327e-16,5.878404567665631e-16,5.553934821334732e-16,6.072939498779869e-16
11,3.323174110716796e-16,3.372285759372108e-16,5.449348632126406e-16,4.778131001041884e-16,5.276935108635688e-16,4.817402226906508e-16,5.794789754523386e-16,5.964978027205089e-16,5.571105247334771e-16,6.083188036535016e-16
12,3.2501533782885087e-16,3.6697387520174286e-16,5.478368339951363e-16,4.917964946431722e-16,5.325936115345396e-16,4.835347561828286e-16,5.922550280316853e-16,5.9717818983287065e-16,5.624666876875094e-16,6.102837260403759e-16
