,0,1,2,3,4,5,6,7,8,9
0,7.294625577253986e-16,2.030889964861472e-15,1.4524835302823061e-15,3.689265675252193e-15,3.0979448090561354e-15,2.206986863363364e-15,3.945546012975407e-15,3.046618841799836e-15,2.0289895474415122e-15,2.3723693161626087e-15
1,7.251084106580607e-16,2.1347989409387738e-15,1.4901192194433695e-15,3.733020418970913e-15,3.201039197356159e-15,2.140521293759434e-15,3.900522732086432e-15,3.1263369747218173e-15,1.9547843606076136e-15,2.2884384636063952e-15
2,6.7662215307342e-16,1.7488940777224288e-15,1.5751116577441625e-15,3.23624819376252e-15,2.8651100015941523e-15,2.115725432609868e-15,3.716894190330609e-15,2.7888228070660556e-15,1.8987798454337115e-15,2.1489117393358053e-15
3,6.036630235448046e-16,1.7591446340460792e-15,1.4390331748092647e-15,3.1342119532706435e-15,2.6358162660835196e-15,2.037482981122641e-15,3.1626368469994057e-15,2.606143296994272e-15,1.7712943769276814e-15,2.0029770497247785e-15
4,5.199862852085602e-16,1.6142941627365615e-15,1.4453944096577596e-15,2.6797933138922045e-15,2.330903723435311e-15,1.7417849138667003e-15,2.5422055256394482e-15,2.2658147838154172e-15,1.5502300403427557e-15,1.7908542860935213e-15
5,4.0567391573302324e-16,1.1915524062920798e-15,1.2483969553497779e-15,2.0273714841798463e-15,1.9741108524553713e-15,1.5092309121851645e-15,2.1041972893411365e-15,1.782163222645053e-15,1.3966072366375174e-15,1.5046082910358133e-15
6,2.9795494498922913e-16,7.996141930211776e-16,1.0611460427211171e-15,1.4258231646432059e-15,1.5781189681485155e-15,1.3157843912523408e-15,1.2695530762587772e-15,1.4152342238366964e-15,1.159858888814311e-15,1.09618759591527e-15
7,1.4119301622492594e-16,4.099570047938645e-16,9.62558497211281e-16,6.658272940049596e-16,1.0813021631227852e-15,1.0048907886837326e-15,4.617641292081464e-16,9.513063305221904e-16,8.945615461799497e-16,7.693850248390943e-16
8,3.7130673133131644e-18,3.9231095017325196e-17,7.899019549876088e-16,1.2764142314106575e-17,5.467656183722853e-16,7.292073904641793e-16,3.3766502169787073e-16,4.1491135035417683e-16,5.952480815403249e-16,3.930957047298511e-16
9,1.5305154251589188e-16,3.8417458169470545e-16,6.290189785561455e-16,6.957082473001193e-16,4.6064936673903025e-17,3.9255864815331134e-16,1.0955032521434553e-15,8.230446150834828e-17,3.0621736595380803e-16,7.212098448739152e-18
10,2.986801197996285e-16,7.922947865682175e-16,3.732368908098579e-16,1.3355423834653987e-15,4.26201737159306e-16,8.14733021369006e-17,1.883024749652774e-15,6.020454989994408e-16,3.1200303741426025e-18,4.0731718359597584e-16
11,4.2124723793040763e-16,1.032979106167058e-15,1.9106032914433414e-16,2.063866453111981e-15,8.877108534632314e-16,2.677915352832137e-16,2.5364146947589352e-15,1.056122162251131e-15,3.082698248406241e-16,7.536066657251381e-16
12,5.453110901218196e-16,1.507327464624885e-15,2.9992237131963816e-17,2.6427041815087112e-15,1.44582358499666e-15,5.815188677036426e-16,3.0576982627085447e-15,1.4621018036785632e-15,6.004843047921512e-16,1.109987469299869e-15
13,6.419553931615304e-16,1.5926964527476196e-15,2.3453178162002335e-16,3.0674777061546237e-15,1.7017421522428567e-15,9.152015421048417e-16,3.466965188323321e-15,1.943580841414364e-15,8.96157112072369e-16,1.447246268213359e-15
14,8.049303109478398e-16,1.938045227329749e-15,4.507047512097332e-16,3.608111051919095e-15,2.071422839024287e-15,1.1900653166661116e-15,3.746761749229517e-15,2.1672269024369977e-15,1.1291916374649708e-15,1.732451439745351e-15
15,8.13663046678285e-16,2.1518370863076103e-15,7.045058259324484e-16,3.578167169929259e-15,2.2537754114448963e-15,1.4521772800284003e-15,3.887723436977126e-15,2.576163130383463e-15,1.3797559303970344e-15,2.052834721796548e-15
16,9.495280398490124e-16,1.902495714325713e-15,8.337104807292727e-16,3.936783845507626e-15,2.6099585014230216e-15,1.6071981978869626e-15,4.198162916065107e-15,2.695894714005966e-15,1.562711514218057e-15,2.0927384297248655e-15
17,7.952587039730774e-16,2.2840385769676737e-15,1.0552248065745695e-15,4.08213528121668e-15,2.8381240990431e-15,1.9511052595391604e-15,3.8383616451654226e-15,2.8620162381959566e-15,1.679117220565152e-15,2.2106375999049348e-15
18,7.781673623074669e-16,2.0322431273020005e-15,1.270042877478048e-15,3.5505204565104973e-15,2.9310461784692017e-15,2.218729569320781e-15,3.2026824158428444e-15,3.0004850097593813e-15,1.89135305803786e-15,2.377806382492518e-15
19,7.102106622256967e-16,1.799374726811879e-15,1.3593296283157025e-15,3.353515999328453e-15,2.7113677879784746e-15,2.3196218514358804e-15,2.8302793907424037e-15,2.814652043769923e-15,1.9414857873531156e-15,2.1843345827136213e-15
20,6.775642586041741e-16,1.5171742263075164e-15,1.4435076329608252e-15,3.096279712428357e-15,2.720478510693491e-15,2.2938138170195097e-15,2.442141637249485e-15,2.7227129953671196e-15,2.023185619430228e-15,2.0931382212324443e-15
21,5.119656689953161e-16,1.6105309514373763e-15,1.576687640108005e-15,2.3574923316333116e-15,2.7211239958626695e-15,2.3620324615253535e-15,1.7843674069247282e-15,2.5346112620568875e-15,1.948246266813571e-15,1.979555230006569e-15
22,4.150858346422809e-16,1.102524062754676e-15,1.6779882074950193e-15,1.78238226779728e-15,2.4329375484548464e-15,2.251042726458056e-15,9.5910273455043e-16,2.2074144935526024e-15,1.930181177974564e-15,1.865041460246311e-15
23,2.2518345095998353e-16,6.808905337605669e-16,1.8017280032436294e-15,1.0687229444451231e-15,2.1731494436052402e-15,2.3535055886671133e-15,1.863260098902014e-16,1.9606580444343873e-15,1.852127490528641e-15,1.5208123754184674e-15
24,7.051737782637573e-17,3.3900560266212064e-16,1.682523921339174e-15,2.981047659073979e-16,1.6960145154948803e-15,2.1701318485039806e-15,5.968654959632917e-16,1.5392609637922371e-15,1.666986347379123e-15,1.2001407228326763e-15
25,9.166388672103947e-17,8.171912372359868e-17,1.6093141486075772e-15,3.8160642594741806e-16,1.306363314750864e-15,2.0508050807433318e-15,1.3271050447988624e-15,1.0339460865757156e-15,1.5123689486344338e-15,8.901322438685503e-16
26,2.4823771310362964e-16,5.247716753389246e-16,1.8095254858404213e-15,1.1341961814985427e-15,8.307328797892978e-16,1.7875314830633814e-15,2.0066385856477105e-15,5.386009727005192e-16,1.284091107694844e-15,5.409031969567022e-16
27,4.0196002643995985e-16,9.561374792033677e-16,1.694661814530867e-15,1.7493533756823675e-15,3.7263764325526096e-16,1.4570721736145512e-15,2.723321348072009e-15,7.674332846485292e-19,9.761267008272194e-16,1.6354921370581823e-16
28,5.329807760425102e-16,1.4355821601401738e-15,1.522555514296192e-15,2.5184225262319565e-15,1.135690415766401e-16,1.1532916967994615e-15,3.1336758536530346e-15,5.341276200265972e-16,7.344786817864603e-16,2.1226517026106053e-16
29,6.410738506441378e-16,1.7550910974680177e-15,1.4748492766229766e-15,2.779806981635856e-15,5.58986965950109e-16,8.724096809610723e-16,3.3646328314647967e-15,1.08624661260206e-15,4.466543041928215e-16,5.783549886111639e-16
30,7.427486018831241e-16,1.838722139088412e-15,1.2553341678519614e-15,3.4341331323532493e-15,1.0249633415399083e-15,4.493240709310456e-16,3.742968407570504e-15,1.5770962516495123e-15,1.392883414569351e-16,9.521142486434943e-16
31,8.283933122650594e-16,2.425466228602468e-15,1.0651900879992234e-15,3.474203537474954e-15,1.4104123023385406e-15,8.388307400187346e-17,3.801055205687227e-15,2.0224446385103684e-15,1.6498741804761286e-16,1.3044463393991292e-15
32,8.475494744674452e-16,2.1755159153180342e-15,8.622176560472744e-16,3.622833731939538e-15,1.788360751341375e-15,2.956964374145971e-16,3.7047546790418425e-15,2.4299532394122956e-15,4.802119211696473e-16,1.571406363616206e-15
33,8.778871128852251e-16,2.3879628923240435e-15,6.793293010404678e-16,3.7136266357932456e-15,2.1058268190747718e-15,6.687115384936121e-16,3.3288416834787054e-15,2.573639053248811e-15,7.648585339904653e-16,1.85441848845706e-15
34,8.476354192736458e-16,2.2352405756747237e-15,4.3645535758692477e-16,3.2715788462752714e-15,2.4465534241350957e-15,1.0369404736561423e-15,3.111742586148506e-15,2.820866260695562e-15,1.0257890931293282e-15,2.0248879209373127e-15
35,7.965274775508393e-16,2.3355739396026337e-15,2.4310328735802786e-16,3.248660187597529e-15,2.5473058964081285e-15,1.2924861843957386e-15,2.6181188289115627e-15,2.9282480063214585e-15,1.3179052342864104e-15,2.2480273775461385e-15
36,7.208799698348772e-16,2.395642591591751e-15,1.8006286697866398e-17,2.9295216403027254e-15,2.737343104790493e-15,1.538400661220807e-15,2.147598341608337e-15,2.813478441047705e-15,1.5018944880753916e-15,2.3151770669025866e-15
37,5.979801161462906e-16,1.845881794534087e-15,2.0539433677343907e-16,2.4080624813255236e-15,2.7023106640102405e-15,1.7297151876141812e-15,1.3890101552266972e-15,2.8325345088515407e-15,1.6834661778523447e-15,2.3096068582587775e-15
38,4.729190393862195e-16,1.5498781400267875e-15,4.01581186122975e-16,1.8390704956801843e-15,2.817038068739826e-15,1.9040556061311867e-15,6.610804194392457e-16,2.8662656413234194e-15,1.890429425092905e-15,2.3985594496263365e-15
39,3.2079990492719714e-16,1.1928386751233304e-15,6.079956752576579e-16,1.3313360758356182e-15,2.499228852491965e-15,2.078530367850548e-15,7.413629455600751e-17,2.609349900017284e-15,1.9590241836557002e-15,2.0394459549612338e-15
40,1.48970700845228e-16,7.276591995416949e-16,7.961164098650588e-16,6.316318981105145e-16,2.3562651597683956e-15,2.2380140601102357e-15,8.356744958586112e-16,2.213074418472828e-15,2.0592757965544817e-15,1.881329808865961e-15
41,2.092359619631091e-17,2.624596995450541e-16,1.003752614702188e-15,6.902378276971265e-17,2.188804273231754e-15,2.203623352250422e-15,1.5031958599514152e-15,1.8183073449138767e-15,2.002094065291483e-15,1.7264898066481275e-15
42,1.963322525723383e-16,2.6061113313522393e-16,1.1505067967198164e-15,7.479506182167796e-16,1.7207274369859857e-15,2.240436223655604e-15,2.1367050702224537e-15,1.407503635637325e-15,2.0682649289621818e-15,1.4197400406657521e-15
43,3.5624941173793194e-16,7.910970057087944e-16,1.3252426526669051e-15,1.3973134296069437e-15,1.4781247830333088e-15,2.2386265601896643e-15,2.8466269503231175e-15,9.904291183536962e-16,1.9657478115523864e-15,1.1157669271280363e-15
44,5.055638656065095e-16,1.3904944216299732e-15,1.4876487854352663e-15,2.115867235947419e-15,9.130297870560737e-16,2.080741129784917e-15,3.3246484122773397e-15,5.474917981217236e-16,1.814410827697466e-15,7.709570163740858e-16
