,0,1,2,3,4
0,4.730040993907143e-16,4.943445995449191e-16,6.574844343265166e-16,6.289524061135031e-16,5.064173165838125e-16
1,4.682061131644565e-16,4.952345265687048e-16,6.860002839132475e-16,6.353679072026458e-16,4.994305812925798e-16
2,4.782155086936581e-16,4.879691595728826e-16,6.916563621886748e-16,6.343966315074984e-16,5.081302439078157e-16
3,4.67337964970447e-16,4.827723837113116e-16,6.850456528015099e-16,6.253336908444039e-16,5.147139205139409e-16
4,4.831983132295056e-16,4.871052708271427e-16,6.661064751388553e-16,6.370722825062023e-16,5.090203680535896e-16
5,4.838490499804618e-16,4.807677658252865e-16,6.722439026475518e-16,6.361111782539349e-16,5.045203578072048e-16
6,4.787789779027627e-16,4.870204508750889e-16,6.771837269118019e-16,6.428687995861559e-16,5.009843313460742e-16
7,4.818173640775947e-16,4.98350412431973e-16,6.714218641141217e-16,6.311755623766307e-16,5.062633070236523e-16
8,4.705172485495766e-16,4.844196058229697e-16,6.681745041905343e-16,6.203598112742487e-16,4.988549851695256e-16
9,4.787598464862583e-16,4.816325142669993e-16,6.8895314889335615e-16,6.319446806577811e-16,5.05270854337145e-16
10,4.773370912994857e-16,4.9253185690580985e-16,6.891196563254685e-16,6.398230354421649e-16,5.148105616651113e-16
11,4.824640291168371e-16,4.844973474663882e-16,6.69981882930365e-16,6.255373831090966e-16,5.023241706264129e-16
12,4.805981167523126e-16,4.7897189591295e-16,6.852615154200871e-16,6.276537906510995e-16,5.112297120744632e-16
13,4.756826370570784e-16,4.816513344903437e-16,6.652209823843438e-16,6.338240827854378e-16,5.067455914453707e-16
14,4.765844575072513e-16,4.793650131863967e-16,6.720352950862244e-16,6.197185691123305e-16,5.095469841483699e-16
15,4.827260151382165e-16,4.801800939500991e-16,6.758950885429084e-16,6.272334776569476e-16,5.03857256596957e-16
16,4.756495323358539e-16,4.831139296915207e-16,6.870291777526977e-16,6.251032227290339e-16,5.010418734921737e-16
17,4.741132972005386e-16,4.841712919920647e-16,6.806245012538713e-16,6.408290880228117e-16,5.033181892682919e-16
18,4.699058723222977e-16,4.862679933210495e-16,6.74371023041984e-16,6.368734966199417e-16,5.184407454527987e-16
19,4.745413586009959e-16,4.893219942022343e-16,6.820042425771678e-16,6.388967303012361e-16,5.067773968772957e-16
20,4.684145885306624e-16,4.91120455416655e-16,6.721280026942546e-16,6.414581143899448e-16,4.920185655032519e-16
21,4.660800676865276e-16,4.921225007051451e-16,6.708786423937411e-16,6.251107584650058e-16,5.120314367561558e-16
22,4.689993559851066e-16,4.814670252497648e-16,6.652667226772467e-16,6.362771618997774e-16,5.032745155264648e-16
23,4.664405783192336e-16,4.819639457863282e-16,6.76377244431271e-16,6.269700090767289e-16,4.976637624383755e-16
24,4.799029013243849e-16,4.887502712883732e-16,6.813761023694483e-16,6.296836471433183e-16,4.950471073731436e-16
25,4.739235724756813e-16,4.857487487751875e-16,6.837765800582023e-16,6.364393986383573e-16,5.002757203266628e-16
26,4.7740189699897815e-16,4.744605403147825e-16,6.88978332292912e-16,6.197261752467108e-16,5.048476183694276e-16
27,4.602762535477515e-16,4.877154222914773e-16,6.697041130498497e-16,6.307488326968998e-16,5.125081877075908e-16
28,4.765063218632722e-16,4.935820733831027e-16,6.739666686848159e-16,6.351878485708867e-16,5.063428400749619e-16
29,4.691097778139691e-16,4.814082474424821e-16,6.672636091301207e-16,6.2817813874694585e-16,5.145144231767342e-16
30,4.760518956856639e-16,4.871728813271724e-16,6.749854661670519e-16,6.336304403580952e-16,5.07625147697214e-16
31,4.794197578687054e-16,4.850731430203671e-16,6.780583128000135e-16,6.195349895617178e-16,5.147563873320863e-16
32,4.704179365057136e-16,4.9268462673160235e-16,6.809446848895861e-16,6.340028067573082e-16,5.066727030717401e-16
33,4.738990717294973e-16,4.777002886517171e-16,6.783415689408834e-16,6.343214438278559e-16,4.960517534101643e-16
34,4.774271251997362e-16,4.843240860830957e-16,6.860871121649129e-16,6.326191197633763e-16,4.99509089908913e-16
