,0,1,2,3,4,5,6,7,8,9
0,1.011514497057841e-15,1.767407870556749e-15,2.5570576897248526e-15,2.5989955084672333e-15,3.7656030971368314e-15,3.2580127446223906e-15,4.0424748825489006e-15,5.3033869986528994e-15,6.74232738653731e-15,6.1783913234915405e-15
1,1.1779832110276622e-15,2.005481926587426e-15,2.9498158902301717e-15,3.0132629251121786e-15,4.489816580688155e-15,4.034044848639922e-15,4.665336347770445e-15,6.040401987778397e-15,8.021216482819563e-15,7.519828815648553e-15
2,1.3397865315052437e-15,2.2087361313813787e-15,3.222479138423858e-15,3.3506812649553868e-15,4.998793522060966e-15,4.747234188162386e-15,5.1234338514920206e-15,6.503808865749159e-15,9.046415240007748e-15,8.529698701867683e-15
3,1.4165176726197617e-15,2.2241721765967424e-15,3.389752930905134e-15,3.63019833496106e-15,5.309754595322779e-15,5.208944119326547e-15,5.545426790232535e-15,6.870777088715329e-15,9.58454980298634e-15,9.378488205859272e-15
4,1.5806976162159203e-15,2.2972863771966827e-15,3.452637001933756e-15,3.778320036998442e-15,5.532683835171269e-15,5.651636474485692e-15,5.822267917489617e-15,7.099427631426668e-15,9.771270276635869e-15,9.985393695193276e-15
5,1.6412466256638375e-15,2.341159421942349e-15,3.434858982452776e-15,3.760906587180044e-15,5.319175195776253e-15,5.90387694061025e-15,5.806357984840752e-15,7.168150656847298e-15,9.6707940029429e-15,9.983287608357278e-15
6,1.613698693852964e-15,2.2153363128636504e-15,3.3335609628888263e-15,3.626207589296675e-15,4.910286740841216e-15,5.882986472607435e-15,5.575484795758834e-15,7.0360803937122694e-15,9.26663148417499e-15,9.79100137459858e-15
7,1.5546984707498487e-15,2.083395168954604e-15,3.099590323179761e-15,3.4252429646615983e-15,4.334898455268254e-15,5.7198259200103006e-15,5.256883413420268e-15,6.646071605601702e-15,8.519741912421016e-15,9.409164678950454e-15
8,1.5974224682143997e-15,1.9394082245775914e-15,2.7941249528258382e-15,3.247390502440713e-15,3.754701561730685e-15,5.308190771069416e-15,4.7678264981735754e-15,6.185355853361291e-15,7.466094454552754e-15,8.610723528868475e-15
9,1.58641464015432e-15,1.7824255072760078e-15,2.467129248444239e-15,3.0478447112597886e-15,3.030486396332978e-15,4.753439741383095e-15,4.2108566517400644e-15,5.527876634136468e-15,6.229142030676651e-15,7.677405059288864e-15
10,1.4877856105361695e-15,1.5789899096821359e-15,2.1048168141837667e-15,2.7596457012439747e-15,2.192441289491332e-15,4.122062699743975e-15,3.536831141647504e-15,4.894182226425637e-15,4.82553038595482e-15,6.593849719942611e-15
11,1.2989055666911782e-15,1.3288846100036723e-15,1.6741204230705298e-15,2.3460201019935274e-15,1.2882728618863946e-15,3.476637986548954e-15,2.8460084200353183e-15,3.976559059246166e-15,3.2485443482660712e-15,5.355338366846001e-15
