,0,1,2,3,4,5,6,7,8,9
0,1.2935340060379905e-15,1.7161876650996554e-15,1.6673343089115629e-15,1.810007779848394e-15,2.1686721094183036e-15,2.3946887693545616e-15,2.7995789908382194e-15,3.2101641525082816e-15,3.915002569073669e-15,3.605417849982236e-15
1,1.287157092384634e-15,1.754823737246796e-15,1.6965863794581824e-15,1.8455488029717313e-15,2.2090531030894192e-15,2.435609511747438e-15,2.934941894968609e-15,3.289461690715452e-15,4.00699065040228e-15,3.681112271285194e-15
2,1.3885705764816935e-15,1.751299064832401e-15,1.6937501409918805e-15,1.890701885575602e-15,2.2480714746118295e-15,2.471594191345406e-15,3.0439059337795404e-15,3.3960731145140252e-15,4.142681666782564e-15,3.712298657621041e-15
3,1.4880573800607435e-15,1.777706437334435e-15,1.7398162749822132e-15,1.94597646783597e-15,2.299179155254878e-15,2.507174879737424e-15,3.0814166297418036e-15,3.460781854843457e-15,4.366949237842862e-15,3.749483805340105e-15
4,1.5223932653380167e-15,1.785228327811854e-15,1.7734481229248438e-15,1.9594467552752996e-15,2.3581648668677666e-15,2.545546273856677e-15,3.153199965878043e-15,3.539612470660217e-15,4.375559167052986e-15,3.803524531848716e-15
5,1.574432901594802e-15,1.8258409831743612e-15,1.810936334353281e-15,1.9733039868409044e-15,2.39477271743283e-15,2.5844022219222366e-15,3.1706045256667487e-15,3.565673081667963e-15,4.4526350110718946e-15,3.806957088391483e-15
6,1.5875435185905997e-15,1.9507404496439624e-15,1.8956703247997294e-15,1.9952780056768907e-15,2.439216351518378e-15,2.6206316452773495e-15,3.190954692751967e-15,3.59437666867186e-15,4.425273709639689e-15,3.7691719591869685e-15
7,1.6419862322674365e-15,2.0711227446728487e-15,1.879917641204744e-15,2.029117420408193e-15,2.4808688402386847e-15,2.655419993438017e-15,3.238336747296563e-15,3.642133500113911e-15,4.406350436752195e-15,3.772334784488564e-15
8,1.7652738104829561e-15,2.0798207403760963e-15,1.8774386437887666e-15,2.0448865642108604e-15,2.5099736661790885e-15,2.679495594308227e-15,3.300715168415094e-15,3.676801268427351e-15,4.294071408005205e-15,3.775599415733103e-15
9,1.7168715557374808e-15,2.028000158483137e-15,1.91250074065055e-15,2.0630218899831564e-15,2.526824490151104e-15,2.705388676209488e-15,3.2414281977691343e-15,3.655109037534555e-15,4.2741216193269295e-15,3.830628091612831e-15
10,1.7418801910367385e-15,2.0843036119773123e-15,1.8953776977904665e-15,2.053378285960496e-15,2.5575707503380393e-15,2.714980229117437e-15,3.270483362239295e-15,3.6433454439146816e-15,4.211323303341476e-15,3.766724047667033e-15
11,1.7434215887458888e-15,2.1369744295537636e-15,1.8661024257266052e-15,2.043294113722561e-15,2.5762986157176066e-15,2.7190321655880855e-15,3.240925005921736e-15,3.6000262420127424e-15,4.227454081595275e-15,3.733618171096327e-15
12,1.8780646921780406e-15,2.154922009606006e-15,1.843039535303665e-15,2.043131834052809e-15,2.6042904389278417e-15,2.718558520542487e-15,3.115509115617741e-15,3.618209889687465e-15,4.248618147513954e-15,3.731301101648434e-15
13,1.868773185379342e-15,1.9942249283818015e-15,1.867753663618102e-15,2.031804974445735e-15,2.6081310807934985e-15,2.706070559421327e-15,3.02600884812513e-15,3.5750308679096e-15,4.181878084119813e-15,3.7237311744289594e-15
14,1.8297458672099025e-15,1.937553617002589e-15,1.8728992300851223e-15,2.0131273926298876e-15,2.5566117676070398e-15,2.693277024881417e-15,2.925540447220433e-15,3.4844055731822942e-15,4.167845583279157e-15,3.6872966167397984e-15
15,1.9287090455624763e-15,1.90908755082747e-15,1.8692199592318637e-15,1.9856003177458238e-15,2.51011004048856e-15,2.6740675565276443e-15,2.8108006354420648e-15,3.3356170691044943e-15,4.089728944860385e-15,3.615487689659134e-15
16,1.9300242212401866e-15,1.8463942828540376e-15,1.8320350886006252e-15,1.955642008682904e-15,2.474324737856132e-15,2.641623015651274e-15,2.7627853577424033e-15,3.2525338300875136e-15,4.035310073312434e-15,3.563181589570838e-15
17,1.9182817522098224e-15,1.718027872433887e-15,1.7981015964884522e-15,1.9235124240889425e-15,2.4221304220697814e-15,2.6073324151752806e-15,2.6958190872493326e-15,3.247271178521082e-15,3.8836747982048675e-15,3.508092995577766e-15
18,1.9025043585402824e-15,1.7154965951792623e-15,1.747622807775871e-15,1.9030726141227503e-15,2.3507876939026165e-15,2.5682648895448536e-15,2.6288570228842743e-15,3.197209999678919e-15,3.852655131773892e-15,3.4873447774085907e-15
19,1.811061632197983e-15,1.6880511702646562e-15,1.7329320387325299e-15,1.8702515919706338e-15,2.292845764609923e-15,2.532352190260038e-15,2.5791790398673708e-15,3.1433571780870154e-15,3.7250659284764725e-15,3.4098306742327073e-15
20,1.7705437723743655e-15,1.6573514550761946e-15,1.7000348764661308e-15,1.845856647540218e-15,2.24798881882007e-15,2.5179439954617997e-15,2.5338897209903745e-15,3.078556950528902e-15,3.665943435195034e-15,3.3925621278469395e-15
21,1.7376597126800953e-15,1.6229423199076736e-15,1.667967909538648e-15,1.830658776293585e-15,2.2155742293933635e-15,2.481294121005913e-15,2.5027068899976553e-15,3.0241729719606683e-15,3.568182972720987e-15,3.34014440780838e-15
22,1.6357053380996971e-15,1.6507550063795747e-15,1.649522043985358e-15,1.809952022368307e-15,2.151117769226106e-15,2.442970780594627e-15,2.442576693240818e-15,2.9895133847033115e-15,3.5094308039659617e-15,3.2926215680650397e-15
23,1.595276472809676e-15,1.5930576580306799e-15,1.6474883843993702e-15,1.790435502770991e-15,2.0873715101504732e-15,2.404556288436886e-15,2.3861537539271413e-15,2.9423165093627107e-15,3.447565832094116e-15,3.237919692524847e-15
24,1.5211890468310715e-15,1.5524682380928557e-15,1.6195372979208277e-15,1.7747880406764758e-15,2.0428179056791894e-15,2.3713222789541543e-15,2.3527324480497262e-15,2.9385187305012553e-15,3.3765611462406285e-15,3.2243752744942556e-15
25,1.5098559426034135e-15,1.5450518270499886e-15,1.5993085189492623e-15,1.7594882663901284e-15,2.0154104540432057e-15,2.331294427697479e-15,2.3415211485543178e-15,2.9335144493898968e-15,3.3660323828612036e-15,3.1553175601588267e-15
26,1.5036764684026198e-15,1.5207695050323801e-15,1.5560040951178683e-15,1.7383900019499508e-15,1.9842247844667273e-15,2.296368530308903e-15,2.3582178796279234e-15,2.9371736896863166e-15,3.37170512902442e-15,3.0956173005813784e-15
27,1.539861834894903e-15,1.5707092005467005e-15,1.5341977235572107e-15,1.7297707068283642e-15,1.957034608846185e-15,2.2742380111810092e-15,2.381260418526586e-15,2.95877703981828e-15,3.3598714449939858e-15,3.04192363299952e-15
28,1.6100954212022474e-15,1.5514188552900437e-15,1.4997558782356326e-15,1.7212513571238876e-15,1.9368248161378034e-15,2.2629849636331887e-15,2.4378698735202215e-15,3.001681300743401e-15,3.3291215043585942e-15,2.9956707778318125e-15
29,1.643207332331273e-15,1.6003818614744645e-15,1.4835860965214029e-15,1.7251139780285063e-15,1.921906123056148e-15,2.2328260909130674e-15,2.4673323444694936e-15,3.0111385374833642e-15,3.3135487669732127e-15,2.970662701516674e-15
30,1.7402995141825943e-15,1.6284147221665159e-15,1.454741243709852e-15,1.7286374424258718e-15,1.9173404448307034e-15,2.2099409704367023e-15,2.5227162751672495e-15,3.04520006816825e-15,3.3237889371427932e-15,2.956841846137779e-15
31,1.6989611970185102e-15,1.6790537815064948e-15,1.4445611375937028e-15,1.734675197021169e-15,1.91422402351806e-15,2.1907102879082328e-15,2.5765159920368312e-15,3.134265666957774e-15,3.3694896331310133e-15,2.952262348435409e-15
32,1.8634060161217886e-15,1.6716936559809246e-15,1.4296833040932056e-15,1.7456954598201269e-15,1.917877182234466e-15,2.1847120967114215e-15,2.657970168809169e-15,3.2073090508244707e-15,3.3598880346713193e-15,2.9104463061416017e-15
33,1.9401890331074046e-15,1.6553657156121291e-15,1.4229010548740421e-15,1.7654397420530584e-15,1.9344670665947914e-15,2.1827274577122083e-15,2.726530890569738e-15,3.2547955055734723e-15,3.3081906772789577e-15,2.917446279361319e-15
34,1.966185198973115e-15,1.679603661321862e-15,1.4206865018052313e-15,1.783900611822691e-15,1.944044755164321e-15,2.182264164310799e-15,2.8046137698719964e-15,3.351196248345544e-15,3.345893218594402e-15,2.951638837589676e-15
35,2.0603572617425617e-15,1.7826962497741012e-15,1.4278621910620749e-15,1.8091411177522113e-15,1.97170003611294e-15,2.1867174375107323e-15,2.866746146368411e-15,3.4671035385346112e-15,3.3657595630262122e-15,2.9670780548351273e-15
36,1.975934998274302e-15,1.9184300636550232e-15,1.4294859247051278e-15,1.8528405719995354e-15,1.987035395762127e-15,2.2009173061008502e-15,2.9319801851936704e-15,3.596562570454587e-15,3.3641581672981594e-15,2.964194748510141e-15
37,1.973395895905609e-15,1.880661606738707e-15,1.433932513954796e-15,1.8789687692942524e-15,2.016149751444212e-15,2.2169938027242324e-15,3.0155560840960107e-15,3.655559114703485e-15,3.4068774304094956e-15,2.977986046358356e-15
38,2.0410002396639648e-15,1.8860161195006946e-15,1.4507534016721813e-15,1.9136458854658257e-15,2.0634598091503e-15,2.2352238068703274e-15,3.0811176453464913e-15,3.7706115259627516e-15,3.4745517309614374e-15,2.9678455070528613e-15
39,1.9676170105261453e-15,1.8050402628551316e-15,1.4823187409599862e-15,1.9462025550804755e-15,2.1158967116807243e-15,2.2634716407049452e-15,3.124070797417928e-15,3.8105228337172164e-15,3.565473431671681e-15,3.016444076213034e-15
40,2.0623548804035643e-15,1.795837527066805e-15,1.4947755566036578e-15,1.9793244258429266e-15,2.159980613795544e-15,2.2937337273858077e-15,3.1505716206963712e-15,3.879099203614421e-15,3.630256586608607e-15,3.0796979975611157e-15
41,2.1494935634571485e-15,1.7625204891576165e-15,1.5225754773282967e-15,2.0188201926352813e-15,2.212522812093045e-15,2.3212518785603707e-15,3.134516225335609e-15,3.827264463072943e-15,3.720129304425945e-15,3.1251028875464873e-15
42,2.148791542780715e-15,1.7177741811807502e-15,1.5710534465961462e-15,2.0623973094398463e-15,2.2629478217809985e-15,2.3641225913688375e-15,3.1154048947811463e-15,3.88926287772689e-15,3.7884452515637546e-15,3.1630409632756116e-15
43,2.184592424653541e-15,1.7884403370390937e-15,1.5528702233860632e-15,2.121782104547944e-15,2.3196320080896718e-15,2.4076920726073473e-15,3.0891948228171248e-15,3.9069574399502e-15,3.9225729606501346e-15,3.2003752021200584e-15
44,2.1227772982182723e-15,1.702097075707044e-15,1.563948016276995e-15,2.161707348676262e-15,2.3725998528743417e-15,2.4536452351943402e-15,3.0439413764693233e-15,3.840413677701441e-15,4.064274415313817e-15,3.2625518244981277e-15
45,1.9518447517149995e-15,1.6205830087132377e-15,1.6040448572411426e-15,2.1697185693422217e-15,2.4321972789230878e-15,2.4847456623877013e-15,3.012490842693556e-15,3.8011483870751224e-15,4.123825584667258e-15,3.340590217181126e-15
46,1.799552519100217e-15,1.6259113473272385e-15,1.6501596487732582e-15,2.1865831506808654e-15,2.493540325736599e-15,2.5215095498552968e-15,2.9706093863027486e-15,3.6046744199559794e-15,4.275813332103671e-15,3.4291477860379076e-15
47,1.8713688858259382e-15,1.5949394212461164e-15,1.6749186769273095e-15,2.1979339496874327e-15,2.524160260101753e-15,2.5714901882731715e-15,2.8739163742112935e-15,3.5327144023189747e-15,4.2802084645227136e-15,3.543318507343481e-15
48,1.9063355666508075e-15,1.5481336468847501e-15,1.7144020963424883e-15,2.213213499535064e-15,2.5631003271635833e-15,2.6276626757750165e-15,2.835984113435205e-15,3.4620998438412083e-15,4.300380629539998e-15,3.5605500342281704e-15
49,1.8421202488895102e-15,1.5240251540585708e-15,1.744209594639855e-15,2.2164581661489882e-15,2.5969678858886085e-15,2.6751881325332204e-15,2.8190605273694455e-15,3.4156568228871025e-15,4.368355577857136e-15,3.612612460347563e-15
50,1.823663826081497e-15,1.4344277198125431e-15,1.7720383778359845e-15,2.2032566027385323e-15,2.630882361310674e-15,2.7051160802832346e-15,2.804463038356246e-15,3.3313443915259597e-15,4.41014098068268e-15,3.652879832567636e-15
51,1.8520946580785183e-15,1.3444892263920232e-15,1.8544379552762723e-15,2.18982597630858e-15,2.643780654149804e-15,2.745963412677301e-15,2.7971196758595946e-15,3.270914439161327e-15,4.309482119221378e-15,3.711880370445702e-15
52,1.7477719988412091e-15,1.36155091860102e-15,1.8851697913853627e-15,2.1665392127634078e-15,2.6543710326109994e-15,2.7689573951198122e-15,2.7392050617391207e-15,3.183089410682791e-15,4.291536971737762e-15,3.8095620974557665e-15
53,1.681289678032829e-15,1.3187197027784197e-15,1.8789701417526156e-15,2.1388299359158077e-15,2.655413435111494e-15,2.7947889623997614e-15,2.6492371651406174e-15,3.0806325661323653e-15,4.276883458769722e-15,3.852671286022049e-15
54,1.6263608660109816e-15,1.3206427882589224e-15,1.862983067114255e-15,2.110214979025851e-15,2.647842968615835e-15,2.8047607750956053e-15,2.6097463832083795e-15,3.0395031478927194e-15,4.165208067223157e-15,3.864046938249978e-15
55,1.6085497917581954e-15,1.3166274016534686e-15,1.8672979795600627e-15,2.084327284677822e-15,2.6355608883599976e-15,2.8117844175014106e-15,2.572844586231399e-15,2.999595123528652e-15,4.1021214630474314e-15,3.8529223494812e-15
56,1.5954534358343907e-15,1.3290929352646456e-15,1.8745645867622405e-15,2.067407277300119e-15,2.605182054658847e-15,2.80460901326484e-15,2.567735297929466e-15,2.9576713737110584e-15,4.103656128287399e-15,3.821068510339089e-15
57,1.580165839604665e-15,1.3284827081320876e-15,1.897550325078219e-15,2.053738516109667e-15,2.579443796963248e-15,2.7899616679515374e-15,2.6019199367234862e-15,2.9877180601131387e-15,4.049285029706967e-15,3.843187502815877e-15
58,1.6622459086808483e-15,1.334451984848275e-15,1.90114349954027e-15,2.035781765172715e-15,2.5421080486732004e-15,2.7649114952564953e-15,2.6584523543161803e-15,2.9584210334005213e-15,3.995335530836938e-15,3.864652971549755e-15
59,1.657199071375933e-15,1.3680128069087742e-15,1.914404722100856e-15,1.990686775743873e-15,2.506047051084183e-15,2.7453469636690277e-15,2.6553036003021776e-15,3.0146195425952015e-15,3.917190784247005e-15,3.857170921072368e-15
60,1.6287385927611804e-15,1.4087344295480435e-15,1.9047511509007185e-15,1.954308158082663e-15,2.4650460526597802e-15,2.727869362021107e-15,2.734528396777858e-15,3.0217922997252706e-15,3.815297436367242e-15,3.744412546639609e-15
61,1.5595107224907706e-15,1.4663816951450363e-15,1.9068224234505037e-15,1.9282341147019887e-15,2.4195671020962386e-15,2.7199420086477546e-15,2.751879535896043e-15,3.098245613989423e-15,3.8418367776991025e-15,3.712719527596508e-15
62,1.5261857914571439e-15,1.531839734245613e-15,1.8838699733868863e-15,1.9137859410665248e-15,2.3674807670152e-15,2.6929396372717175e-15,2.808494135403693e-15,3.1755752640253764e-15,3.7716117252574205e-15,3.6271754364293575e-15
63,1.5375666320072198e-15,1.5394633809042182e-15,1.8543191917987877e-15,1.9067409204935237e-15,2.3220066175552256e-15,2.672454156528349e-15,2.8417720346555597e-15,3.222933064253725e-15,3.6307922132209904e-15,3.576022720837076e-15
64,1.50891831006119e-15,1.6106941201543213e-15,1.834388697195904e-15,1.890944966243321e-15,2.2703502256407825e-15,2.6470621495284167e-15,2.8933762823173128e-15,3.2649726396103017e-15,3.5574760042518675e-15,3.483998157935528e-15
65,1.5130125600097951e-15,1.7808159528708798e-15,1.8114845725383153e-15,1.8762371284337526e-15,2.227314137227134e-15,2.603616294856935e-15,2.941513050670429e-15,3.3291563376266324e-15,3.492554472275697e-15,3.4378766877101766e-15
66,1.6098848835329859e-15,1.8291179536647054e-15,1.7848910319750785e-15,1.893891166167721e-15,2.1901821746166353e-15,2.5610078374320804e-15,3.0674756464429346e-15,3.3391345238590202e-15,3.44233380865169e-15,3.3949218157675995e-15
67,1.7371324175467444e-15,1.8443405819657824e-15,1.7588560405382905e-15,1.8877992760537724e-15,2.1491347859602013e-15,2.5297891422446932e-15,3.1185000922282785e-15,3.4215256426936174e-15,3.353227195955556e-15,3.337207211920237e-15
68,1.818331077481997e-15,1.8886101303578724e-15,1.7314111268341656e-15,1.8734178191053023e-15,2.1194205728536206e-15,2.492995098042118e-15,3.1626887988846642e-15,3.5020989599344678e-15,3.3153255036121533e-15,3.2320710357143517e-15
69,1.8589675733421196e-15,1.89979596632032e-15,1.7133628910819876e-15,1.862398150765146e-15,2.0932288568770146e-15,2.4544457448632007e-15,3.2778958562398935e-15,3.600677947651347e-15,3.3112545781075916e-15,3.175527609927459e-15
70,1.8474543804582983e-15,1.901933651427256e-15,1.6839054812341374e-15,1.866569417615276e-15,2.06919831349389e-15,2.4150133483272563e-15,3.3282576026867275e-15,3.70412661723663e-15,3.3336911612690915e-15,3.125633453980558e-15
71,1.903358461149649e-15,1.8939785349253465e-15,1.6611460004169007e-15,1.8712028492666595e-15,2.0573819548779573e-15,2.371959853188375e-15,3.3822584479074113e-15,3.815073983001639e-15,3.335126474025694e-15,3.0467063268668275e-15
