,0,1
0,4.743414118739549e-17,1.0825417971260817e-16
1,4.301583744718745e-17,1.0247010725227429e-16
2,4.9425804653265446e-17,9.493283715444907e-17
3,4.827405759477197e-17,1.1659087658517507e-16
4,8.055083184100039e-17,1.3770570234124493e-16
5,9.647087311707362e-17,1.3584956828146389e-16
6,1.082819156691776e-16,1.3454569848465413e-16
7,1.2307642564888683e-16,1.3922582904091843e-16
8,1.2417174441564212e-16,1.3091246321405798e-16
9,1.1830277225785526e-16,1.1224792304478005e-16
10,9.506588998287856e-17,1.0358853234509893e-16
11,1.113325613343731e-16,9.903525758961324e-17
12,8.976141848860227e-17,1.182709021827761e-16
13,9.603987607506757e-17,1.5090071767264607e-16
14,8.889489824768841e-17,1.7674161900230406e-16
15,7.241927849767624e-17,1.5325086909660277e-16
16,6.613395078871147e-17,1.2962799826112854e-16
17,6.906699842846428e-17,1.2144095635360215e-16
18,8.758743741259887e-17,1.1179936513075523e-16
19,1.0440980632170525e-16,1.0246955279092427e-16
20,1.1360290851166883e-16,9.867376249869136e-17
21,1.105633412035381e-16,1.0035554523576831e-16
22,1.0404171413979995e-16,1.0597760139721532e-16
23,1.0342282436934958e-16,1.227571090463642e-16
24,1.0935292278831088e-16,1.2408550329234842e-16
