,0,1
0,6.99805308334783e-08,7.828264340702298e-08
1,1.1809889291316445e-07,1.4259330905593908e-07
2,1.71853648878961e-07,1.981177734826644e-07
3,2.0940915862655084e-07,2.2400263119218601e-07
4,2.2694714915054053e-07,2.5013825861394104e-07
5,2.323058015819911e-07,2.951323937013778e-07
6,2.5114136840033106e-07,3.410022924130534e-07
7,2.802795216044011e-07,3.8264186182239675e-07
8,3.1167469283268957e-07,4.1961281887583613e-07
9,3.4315378284073193e-07,4.424847806211545e-07
10,3.7106047477675024e-07,4.4565824257902803e-07
11,3.908347569979852e-07,4.221028373417359e-07
12,3.978375107990124e-07,3.737029051226355e-07
13,3.8779012003894363e-07,3.288773279602116e-07
14,3.693715235561053e-07,2.545581113910093e-07
15,3.5690405656777817e-07,2.0694798723923992e-07
16,3.2611061109183917e-07,1.980236797530581e-07
17,2.9286154689458483e-07,2.0661852427441835e-07
18,2.69683728692861e-07,2.1407389649485307e-07
19,2.6168126061872174e-07,2.2562216703809198e-07
20,2.6468054657647917e-07,2.412021940651426e-07
21,2.7396632669189613e-07,2.561006395959726e-07
22,2.827280294885033e-07,2.704589964100759e-07
23,2.8905558053201925e-07,2.8641591544285704e-07
24,2.95703903897137e-07,3.062750077883582e-07
25,3.0605663622342336e-07,3.285602543975088e-07
26,3.226603290283319e-07,3.4895428414408225e-07
27,3.4192328175550566e-07,3.6501975735132474e-07
28,3.615553534404082e-07,3.7865182834328094e-07
29,3.8217461606821236e-07,3.906061424369785e-07
30,4.036395273854342e-07,3.9904126723584054e-07
31,4.2428881404601304e-07,3.968194072853231e-07
32,4.411734586099215e-07,3.89405112727148e-07
33,4.48469442584183e-07,3.9938606233456397e-07
34,4.5895963093270605e-07,3.990195140777027e-07
35,4.5102280346465266e-07,3.594199361257137e-07
36,4.365576269347684e-07,3.267972467104842e-07
37,4.385070743843835e-07,3.3339419566814517e-07
38,4.4852947423055337e-07,3.6511444665968514e-07
39,4.4221507399187195e-07,4.1333214904264046e-07
40,4.1163784542588755e-07,4.517844327197134e-07
41,3.7546437765564696e-07,4.636707198235356e-07
42,3.520807872778896e-07,4.5017491992269503e-07
43,3.53006835037723e-07,4.191411917578895e-07
44,3.7706012825004974e-07,3.734673582222427e-07
45,4.077892386474513e-07,3.2510794813612137e-07
46,4.3139135026605006e-07,2.7196576375316243e-07
47,4.3804044038386583e-07,2.2297306405420417e-07
48,4.251095381924644e-07,2.0547397911508598e-07
49,3.993107762030137e-07,2.115894181229127e-07
50,3.6829039281763446e-07,2.196787421532912e-07
51,3.387508529009879e-07,2.254054232996147e-07
52,2.9929757193079584e-07,2.3648421836241216e-07
53,2.671329200219098e-07,2.510344618480115e-07
54,2.509179053191004e-07,2.641105580022343e-07
55,2.5071244780254824e-07,2.781849779134658e-07
56,2.572851934278681e-07,2.9665298744443695e-07
57,2.676753772707671e-07,3.190550232626205e-07
58,2.778008156926637e-07,3.4175350398273096e-07
59,2.861678232855488e-07,3.598780813979896e-07
60,2.945477073915745e-07,3.767689575951996e-07
61,3.0673497520523327e-07,3.8836429331804454e-07
62,3.2229292097112863e-07,3.920924714765412e-07
63,3.394653853407268e-07,3.952435888058673e-07
64,3.5741412666610613e-07,3.8412376656820736e-07
65,3.753818295633676e-07,3.759849163342177e-07
66,3.9281825217907246e-07,3.8735127817019313e-07
67,4.0935819517629834e-07,3.677107577885217e-07
68,4.2277975215580634e-07,3.3266166385691667e-07
69,4.298740107256477e-07,3.243574849968957e-07
70,4.3977503130022015e-07,3.461113903603973e-07
71,4.26797607479311e-07,3.90965423195774e-07
72,4.1194355351995233e-07,4.3584521223776254e-07
73,4.145971104715414e-07,4.5725650494985976e-07
74,4.236867540061205e-07,4.532365770416659e-07
75,4.127153267324735e-07,4.3181442318662487e-07
76,3.8381079388296076e-07,3.916561724803143e-07
77,3.548359642994141e-07,3.447154777381213e-07
78,3.424823029647826e-07,3.060492084328468e-07
79,3.5344510570413596e-07,2.4442112511044385e-07
80,3.8120846393385376e-07,2.081269587444892e-07
81,4.1128959178608863e-07,2.0399007642437068e-07
82,4.3003993211823423e-07,2.116283314514799e-07
83,4.31404425182138e-07,2.1858166025153038e-07
84,4.138619695188987e-07,2.2903900356908745e-07
85,3.877249740536803e-07,2.432500224280196e-07
86,3.5571049214020215e-07,2.5769766651897353e-07
87,3.242332609763332e-07,2.7242067263851165e-07
88,2.856511521046441e-07,2.8867251244517596e-07
89,2.5878949539705397e-07,3.0867011737297436e-07
90,2.473268778924229e-07,3.312467831553295e-07
91,2.5023726846825843e-07,3.521337795401846e-07
92,2.5814545631239216e-07,3.683812087658889e-07
93,2.6641493782346016e-07,3.8175233433956496e-07
94,2.735230701779788e-07,3.918886809140485e-07
95,2.820382278065364e-07,4.0105485744601086e-07
96,2.9329830956031464e-07,3.979893694707096e-07
97,3.0882442919121145e-07,3.9333123726730505e-07
98,3.2645347730697123e-07,4.0636529950182896e-07
99,3.444351111924113e-07,4.015605237525239e-07
