,0,1,2,3,4,5,6,7,8,9
0,1.138499021873821e-16,1.2587768844007857e-16,1.0704253549612091e-16,1.268091259196121e-16,1.2175392530342318e-16,1.1059419483647613e-16,1.1469815208019868e-16,1.6532959059914153e-16,1.3284620830669278e-16,1.0362469112401613e-16
1,1.1949114899139522e-16,1.0883865209954304e-16,9.824771152259124e-17,1.0605446299413184e-16,1.2475646885314314e-16,9.481363968059344e-17,1.1046165437067158e-16,1.654674170299967e-16,1.312565305009986e-16,9.718775928040539e-17
2,1.2292236465595698e-16,1.1376491426001544e-16,1.0572230103592004e-16,1.062995865339625e-16,1.1377206504712134e-16,9.975827875242977e-17,1.1360439275282406e-16,1.3628185633309775e-16,1.2573497820233119e-16,9.314492521077222e-17
3,9.823146233879734e-17,1.0759309474256993e-16,8.350905159328375e-17,1.0290611370224274e-16,1.0765525368836542e-16,8.421085216279581e-17,1.0003183750826579e-16,1.4807006000496193e-16,1.1972412253667772e-16,8.982434963764069e-17
4,9.756648725977217e-17,1.202942156161703e-16,8.729257716704524e-17,1.10576738658487e-16,1.0150372803515222e-16,7.703159581691239e-17,8.206591028829482e-17,1.3396104983048076e-16,1.1662899001384904e-16,7.805801035564021e-17
5,8.913438010227262e-17,9.790522618554419e-17,8.971563940905481e-17,8.190022304802899e-17,8.685954347002174e-17,7.329158972208349e-17,7.312309824093215e-17,9.720002574722495e-17,1.0610373634958287e-16,8.138837732948691e-17
6,6.914860259497351e-17,7.587835223720801e-17,7.470240463764788e-17,6.975341910312142e-17,6.849120682529779e-17,6.955034711392796e-17,7.925278781432265e-17,8.478588261069229e-17,8.388060368892023e-17,7.100407260248542e-17
7,5.416605409638949e-17,8.279569205254218e-17,7.737569629242762e-17,6.609808939807464e-17,5.639409109520458e-17,5.5199470201955515e-17,6.207070083153294e-17,7.114090830195054e-17,6.058514299016909e-17,4.798425038720288e-17
8,5.4604411836307084e-17,8.023470331006809e-17,6.152239524471944e-17,3.766865154756555e-17,4.0045780462913225e-17,4.060558189045919e-17,5.2854109158853244e-17,4.2641475065757147e-17,5.378326043856112e-17,4.238411955810214e-17
9,3.549967529658944e-17,6.770127280588433e-17,6.818502043038067e-17,3.746846008286468e-17,2.5613680079536742e-17,4.0434641801763535e-17,4.0282606899084044e-17,3.689047675353019e-17,3.272105692983989e-17,3.579618070158712e-17
10,2.4625485850542086e-17,6.450738010314937e-17,6.687971949475968e-17,3.2896607448683535e-17,2.0057560470358242e-17,2.4916307973527806e-17,3.481541656702763e-17,3.016772340663492e-17,2.6491897806075422e-17,2.4703939548505857e-17
11,1.9410428486557538e-17,4.991312840353855e-17,4.6861981176839683e-17,2.3594346414768754e-17,2.6794040168985913e-17,2.251044339648231e-17,3.1563583170354205e-17,4.201398752799952e-17,3.481734204911271e-17,2.2569429098301664e-17
12,1.9287172860938773e-17,3.3531128234179914e-17,4.4867562136867453e-17,2.4420268179837628e-17,3.54351723524894e-17,2.4207035275367017e-17,2.6533271986592442e-17,5.127632851333722e-17,3.204526668169404e-17,2.3896684151474284e-17
13,2.5549099503775656e-17,4.230720364920014e-17,3.8989921518929846e-17,3.405455216155451e-17,4.7407742651522143e-17,2.6692095790578395e-17,2.8739768223820154e-17,6.564059992422832e-17,4.50979473113078e-17,2.612605947001908e-17
14,4.012549185474414e-17,2.5204081786333113e-17,3.831620083315124e-17,5.009512813051903e-17,6.170377549742314e-17,4.481152547545669e-17,4.1441741789255475e-17,6.64794280589934e-17,4.982692159968251e-17,3.407599231477882e-17
15,4.4938202698188754e-17,2.945034552153176e-17,2.8900982480085016e-17,4.3335244213986345e-17,7.008084269478971e-17,4.2270858299631865e-17,3.3142109562613344e-17,7.311805212909248e-17,7.223098995355339e-17,5.1589987235642424e-17
16,4.261895066158269e-17,3.313533122002294e-17,2.4225487133862694e-17,3.9445527923327034e-17,7.560655639899166e-17,5.5027304236222963e-17,4.981341469758714e-17,1.0183554908009756e-16,7.593155314479809e-17,5.934609381153816e-17
