,0,1,2,3,4,5,6,7,8,9
0,5.185237906472742e-18,6.1477787249410165e-18,9.726692741566143e-18,9.027748643659366e-18,9.580219185523757e-18,1.0597056736412511e-17,1.0476373830808975e-17,1.158687805829591e-17,1.479518595875356e-17,1.3344398617708177e-17
1,5.137818734753515e-18,5.69074154661948e-18,9.081629974324997e-18,9.061756098751142e-18,9.549505398269457e-18,1.008827419083173e-17,1.0247193393479811e-17,1.1523801403827502e-17,1.4113282019802578e-17,1.3254720701628901e-17
2,5.0632565370076794e-18,5.2141311975040605e-18,8.932838365410525e-18,9.071927636620423e-18,9.078021290836979e-18,9.778073112206918e-18,1.0038538927925477e-17,1.1369390427756275e-17,1.3645271142214891e-17,1.3274039036289683e-17
3,5.169815232514681e-18,5.361311786559383e-18,8.768094767522825e-18,8.83178565878653e-18,8.693558383950294e-18,9.727521046635611e-18,9.903241328518571e-18,1.1186704820071633e-17,1.3517149498755113e-17,1.3121703640002056e-17
4,4.837341218422623e-18,5.131975042002632e-18,8.471515524505939e-18,8.622587171079304e-18,8.806148702709841e-18,9.516563558107919e-18,9.706078796106201e-18,1.1015087973076449e-17,1.33730762804155e-17,1.2896024201136129e-17
5,4.594911461865761e-18,5.1888824184727765e-18,8.356904836691063e-18,8.986021412386052e-18,8.623911253994031e-18,9.440997799744681e-18,9.580199315504433e-18,1.0863849423838475e-17,1.3252515408545695e-17,1.2604226991766456e-17
6,4.051473306502229e-18,4.969862360408714e-18,8.467747378420071e-18,8.957321194567072e-18,8.467492985852104e-18,9.485155795981623e-18,9.484397140044882e-18,1.0629860415671318e-17,1.3132628250786204e-17,1.2294377160617165e-17
7,3.9885692306041295e-18,4.831219964043905e-18,8.466015740390046e-18,8.959225025978887e-18,8.356250418329598e-18,9.417411199861253e-18,9.4768072421795e-18,1.0500888197660619e-17,1.3032575186671485e-17,1.2099687932991956e-17
8,4.444912336732586e-18,4.808857366706686e-18,8.582183765410438e-18,8.7575779368063e-18,8.14638140103524e-18,9.331814086122235e-18,9.465450571676487e-18,1.0471938418908645e-17,1.2713112032334713e-17,1.1983218473029703e-17
9,4.4680559245502986e-18,4.784606057686872e-18,8.647984343688767e-18,8.554655831167526e-18,8.32157786208102e-18,9.672667877711739e-18,9.435078432308258e-18,1.0394451092224123e-17,1.3114175475022697e-17,1.193318753823564e-17
10,4.215783490517054e-18,4.84865369012531e-18,8.680362111445528e-18,8.511830419335225e-18,8.392662529748349e-18,9.777470868116361e-18,9.602461582919528e-18,1.0334399625265159e-17,1.2765901468460539e-17,1.189137629988046e-17
11,4.16453979788373e-18,4.695982457162535e-18,8.705133325476025e-18,8.630701731950992e-18,8.572027498800275e-18,1.0022309447024174e-17,9.555421587630096e-18,1.0320131306030174e-17,1.2712380801640675e-17,1.2276634324051677e-17
12,3.870271152471865e-18,4.693172282137194e-18,8.805253223096248e-18,8.823571314496068e-18,8.642636678819237e-18,1.0078280538157155e-17,9.71279517374556e-18,1.0302451474450574e-17,1.2650555658721727e-17,1.2499888260872744e-17
13,3.569309582460452e-18,4.689258162255598e-18,9.241778245758876e-18,8.909466943189872e-18,8.793022217966542e-18,9.741134309855335e-18,9.895000616235346e-18,1.032861112513671e-17,1.288567511693174e-17,1.26745103069981e-17
