,0,1,2,3,4,5,6,7,8,9
0,1.0365686172751831e-17,1.341282920020375e-17,2.7980239604115406e-17,2.2564152336586e-17,2.2951955966483743e-17,3.3015902433828144e-17,3.940993963041616e-17,5.024508331610728e-17,4.3723359673989695e-17,7.314466828982476e-17
1,1.022878920091968e-17,1.3584181749006117e-17,2.6599564939408116e-17,2.2473470538549814e-17,2.4021594218568882e-17,3.3370989039617094e-17,3.790951210754338e-17,4.825534797359888e-17,4.384954903453662e-17,7.103310820922646e-17
2,9.735609016767788e-18,1.3698974821998603e-17,2.656262900087782e-17,2.316253153912945e-17,2.2912783991620475e-17,3.3624452083884357e-17,3.3197477399873257e-17,4.35309543601251e-17,4.294640483013786e-17,6.780869838117589e-17
3,9.277904650548572e-18,1.2700665043955675e-17,2.2068569666334876e-17,1.9691260934921066e-17,2.154633371032914e-17,2.7752530303474157e-17,3.326902531202292e-17,3.8133617829963345e-17,4.0632490782010507e-17,6.372330616596694e-17
4,7.987043454051264e-18,1.18883467754567e-17,1.8574926895534653e-17,1.7874261341681792e-17,1.9624914774205996e-17,2.670921985489731e-17,2.98132080361623e-17,3.528264140832711e-17,3.5830047266922866e-17,5.854421777779365e-17
5,7.965686369629551e-18,1.0897687567627638e-17,1.407148475069117e-17,1.5458157751065064e-17,1.7489364897194743e-17,1.9785360478461843e-17,2.458513014200132e-17,2.7572697593352766e-17,2.972503428315693e-17,4.7740138929276856e-17
6,5.408359454257564e-18,9.796140827542467e-18,9.557252485069653e-18,1.2147726717155928e-17,1.48572881724175e-17,1.5607030818193827e-17,2.1309122898459322e-17,2.1004096536529998e-17,2.307374010287933e-17,3.7444585577197603e-17
7,3.946086655142096e-18,8.594499009803728e-18,3.6951703229844e-18,8.226011188261667e-18,1.2074151945173835e-17,9.433764943666065e-18,1.599256213279674e-17,1.2755895370719108e-17,1.6723569496922054e-17,2.6425744277534584e-17
8,1.9612096484397374e-18,7.20460201142286e-18,2.292576150517953e-18,4.036728575923003e-18,9.212364542006963e-18,2.73298562699334e-18,1.1047425380660491e-17,4.609917625348787e-18,1.0198302182464398e-17,1.4000759881121066e-17
9,1.0416115917262518e-19,5.732043352015824e-18,8.303363222350592e-18,3.1266712410707137e-19,6.067123505079254e-18,3.072214078887752e-18,5.230747542814823e-18,3.439207807411392e-18,3.2263537121724898e-18,8.108409322880332e-19
10,1.7607387603032485e-18,4.1306173059491314e-18,1.399744579899081e-17,4.627401278258921e-18,3.0369703408816608e-18,9.24012042833118e-18,8.265195744426276e-19,1.2298974323033973e-17,4.039729550077345e-18,1.2560024964066362e-17
11,3.720022862279372e-18,2.5152574254508367e-18,1.970763700493458e-17,8.605502468870089e-18,2.8585262249730096e-19,1.6786968387731947e-17,7.044862504674738e-18,2.006862481503343e-17,1.0559317249748313e-17,2.5423912264803485e-17
12,5.4766734817397984e-18,7.608110272615037e-19,2.1943856011169185e-17,1.2395253663749175e-17,3.748253490211539e-18,1.962259003431155e-17,1.2028444231628966e-17,2.6481854779456073e-17,1.7661643083822003e-17,3.7091818546980534e-17
13,7.032769952713962e-18,1.045045823642361e-18,2.6422773369370114e-17,1.5073680392599036e-17,6.984397543309544e-18,2.4805204708617683e-17,1.7230997184782215e-17,3.344653783757772e-17,2.4288953617763468e-17,4.7146988203029147e-17
14,9.54157490286171e-18,2.7879941225623005e-18,2.7409093717339724e-17,1.9018028820274706e-17,9.803692885774556e-18,2.889699305028375e-17,2.480605394677727e-17,3.9203123541313743e-17,3.039695966221735e-17,5.771970077853781e-17
15,1.0300096181827672e-17,4.569633442521004e-18,2.876951593579956e-17,2.254462692725192e-17,1.3628882283229644e-17,3.17716647206923e-17,2.9196890571448514e-17,4.191304911974508e-17,3.7164302571430484e-17,6.581057787471481e-17
16,1.0769037825320472e-17,6.1016000166369786e-18,2.9637789017727635e-17,2.3171105704374316e-17,1.7010564472862508e-17,3.6217857183966085e-17,3.436714506317425e-17,4.400666134734843e-17,3.7801085666733615e-17,7.01958162658891e-17
17,1.1514145182422597e-17,7.691658325892573e-18,2.8648051296376967e-17,2.5979700586032453e-17,1.8722346619502416e-17,3.5259217399357333e-17,3.3512785151418774e-17,4.47614032711467e-17,4.3082837390065296e-17,7.285043561030165e-17
18,1.1852891636410986e-17,9.118770686589691e-18,2.630485427952117e-17,2.401565420472693e-17,2.0960515147452142e-17,3.306356720696168e-17,3.6767621673085123e-17,4.53898268740047e-17,4.507018269302886e-17,7.540548583917384e-17
19,1.1705304306891413e-17,1.0335367600841263e-17,2.267440850240346e-17,2.5031522935424466e-17,2.2675477339849598e-17,3.3125701271461804e-17,3.912852369054771e-17,4.338046136376097e-17,4.4500678108288533e-17,7.280366146432733e-17
