,0,1,2,3,4,5,6,7,8,9
0,4.461629562629504e-18,3.983229173306624e-18,4.397297642097715e-18,3.4754544762085725e-18,3.823338600280874e-18,2.961240733651815e-18,3.2761143255068887e-18,4.527019823603828e-18,3.7916066267231626e-18,3.4689472396835183e-18
1,4.570715378592515e-18,4.126601045300764e-18,4.427272145183578e-18,3.523900195545094e-18,3.891086353618508e-18,2.9884534820143734e-18,3.248943381027774e-18,4.5082109369836235e-18,3.814984079217571e-18,3.4367958331470975e-18
2,4.4133732680294186e-18,4.113570828618242e-18,4.366265431789286e-18,3.523625150742387e-18,3.941894514651629e-18,2.934996597281865e-18,3.3316757543155576e-18,4.466751724937673e-18,3.780584964824636e-18,3.53589533845721e-18
3,4.396950686107338e-18,4.028737770324099e-18,4.431964806645193e-18,3.516404253837498e-18,3.911454671640475e-18,3.0091458961813504e-18,3.287874193854017e-18,4.552009509131902e-18,3.80990821456268e-18,3.545468410246428e-18
4,4.427880883026996e-18,4.088812698248732e-18,4.4059943840044256e-18,3.467363250213949e-18,3.950145155702063e-18,2.9663836051934082e-18,3.3280132415900733e-18,4.573496844160902e-18,3.927496136875929e-18,3.516967289674102e-18
5,4.373675641783356e-18,4.169834982880063e-18,4.4616081823657604e-18,3.605966638602977e-18,3.9708368458338055e-18,2.9638722264865603e-18,3.3325058174204857e-18,4.571842963602162e-18,3.780726950030899e-18,3.485012533689842e-18
6,4.367072305811988e-18,4.086850008576692e-18,4.332888488636442e-18,3.609867847289399e-18,3.917848874545222e-18,3.0375278384418043e-18,3.231644992387203e-18,4.468536123083327e-18,3.7407830210695025e-18,3.568483843025312e-18
7,4.3952961337383584e-18,4.3536289202523364e-18,4.434567855862697e-18,3.5523288862205206e-18,3.933759620163541e-18,3.0509288714361356e-18,3.331112704657995e-18,4.476668880732685e-18,3.772451067309074e-18,3.555784391651427e-18
8,4.4147769185473045e-18,4.144001778026053e-18,4.447205643459458e-18,3.473425711249368e-18,3.939921402763008e-18,3.0037302184990456e-18,3.252900561370797e-18,4.442424670428933e-18,3.789737862438096e-18,3.53159911544138e-18
9,4.473002866626888e-18,4.1631937502400586e-18,4.405684954724009e-18,3.53339741022618e-18,3.863937900931568e-18,3.0976541362859802e-18,3.3146680478001533e-18,4.4636620803259116e-18,3.8663015194185246e-18,3.4478484933226303e-18
10,4.4047695773072294e-18,4.1088059497999775e-18,4.346282122161719e-18,3.5172946548298895e-18,3.976443459257424e-18,3.052853900136408e-18,3.265716179281063e-18,4.52715042285738e-18,3.744060634254057e-18,3.579719502929138e-18
11,4.476501134469447e-18,4.0937950151261635e-18,4.3938936807132995e-18,3.52025601197274e-18,3.919780224431677e-18,3.0118854684176304e-18,3.359641891090209e-18,4.447131357074225e-18,3.804942687742375e-18,3.50145198685576e-18
12,4.380036852092442e-18,4.142353433553934e-18,4.343045569156337e-18,3.4582634826212364e-18,3.888190753810663e-18,3.0563770363346947e-18,3.2463133652026607e-18,4.6416236084525396e-18,3.791608654678328e-18,3.516728741672369e-18
13,4.447743623331872e-18,4.081257046973961e-18,4.346786180933611e-18,3.5148842614156486e-18,4.015706573496013e-18,2.980346378958192e-18,3.333080001966091e-18,4.496946875042541e-18,3.807505677751858e-18,3.592625498286911e-18
14,4.500655536052148e-18,4.242369870473297e-18,4.353425784122926e-18,3.60848764630256e-18,3.882520567326812e-18,2.995017337683974e-18,3.3706743927490165e-18,4.515664964906433e-18,3.8235290116810804e-18,3.5248619632917426e-18
15,4.451786663362134e-18,4.100180493927016e-18,4.3801951002557494e-18,3.66136745096056e-18,3.950692328898749e-18,3.0085735491197175e-18,3.244200375459662e-18,4.533990596659547e-18,3.6686935782068355e-18,3.533306838239214e-18
16,4.5529338017176e-18,4.2571201887966065e-18,4.399687924659169e-18,3.5490012063356875e-18,3.9371461781948126e-18,2.979858171558337e-18,3.2650756294688356e-18,4.5910397241502075e-18,3.778730634835704e-18,3.5044456704953624e-18
17,4.406234189572452e-18,4.198675155491981e-18,4.333914148715508e-18,3.536632315294663e-18,3.908157660981411e-18,2.991778062847665e-18,3.3072291764738068e-18,4.4693131855238975e-18,3.808986134275321e-18,3.4088899068642307e-18
18,4.474784445738401e-18,4.271144794809579e-18,4.3508128409506206e-18,3.547180250395755e-18,3.88992659793804e-18,3.0265943227076898e-18,3.2270760579973354e-18,4.495632613202963e-18,3.731800212223414e-18,3.502576602245305e-18
19,4.531437183675096e-18,4.146442360417791e-18,4.333266367237791e-18,3.524658708225719e-18,3.863965618031096e-18,2.991399983881999e-18,3.2406250438252354e-18,4.576468160333169e-18,3.8565428431743866e-18,3.4002597703843807e-18
20,4.3312280000924715e-18,4.075184336502856e-18,4.40505184811197e-18,3.554815957363583e-18,3.8758433616821336e-18,2.9810119938980724e-18,3.3230159453265238e-18,4.516849138795241e-18,3.762907782402513e-18,3.536724587034884e-18
21,4.4018259252669674e-18,4.1940954484638655e-18,4.343697013513516e-18,3.553619547814147e-18,3.967495812845904e-18,3.0302777304067663e-18,3.3573993682228305e-18,4.461742031002256e-18,3.715991755367297e-18,3.519737979713126e-18
22,4.3807912057439486e-18,4.082880980065128e-18,4.3460245635967515e-18,3.534030762613861e-18,3.897503786096579e-18,3.0577481542362723e-18,3.1814291054598827e-18,4.430954107566652e-18,3.818961258942626e-18,3.5172742200265316e-18
23,4.409802271543601e-18,4.1067378117775405e-18,4.467037823157149e-18,3.486686427013358e-18,3.972105964167014e-18,3.0431077389399834e-18,3.2638807206754157e-18,4.545360273727272e-18,3.825383010357487e-18,3.4874314370325776e-18
24,4.4018909500553605e-18,4.135841298401608e-18,4.330710298624816e-18,3.4423587244894224e-18,3.928081688868703e-18,3.009076363548042e-18,3.3064040910638927e-18,4.590340240736593e-18,3.7961824916807915e-18,3.5186932000553035e-18
25,4.295560092320779e-18,4.166096763184978e-18,4.4034876679001455e-18,3.523697866868853e-18,3.898443051926503e-18,2.930954726953087e-18,3.2562196766444862e-18,4.583734404768537e-18,3.802587207110063e-18,3.668891181150437e-18
26,4.460592987733971e-18,4.1573661430703825e-18,4.366459028944064e-18,3.487276123884069e-18,3.9129483324042285e-18,3.0528348257163623e-18,3.283617744682352e-18,4.396286462968694e-18,3.8356095650847685e-18,3.507011074417646e-18
27,4.490930580590111e-18,4.1018193488810785e-18,4.425824142289287e-18,3.4878165303183124e-18,3.905556319421418e-18,3.0579676766214826e-18,3.2436415265645975e-18,4.460043675912765e-18,3.854491343954039e-18,3.643280290192965e-18
28,4.460731672451715e-18,4.200869526357047e-18,4.40648499050096e-18,3.537165420277277e-18,3.909518158230056e-18,2.9966809840085003e-18,3.2395247430608947e-18,4.459212533111566e-18,3.754220681897493e-18,3.545405123149244e-18
29,4.396277744168459e-18,4.097622057686369e-18,4.374052048593348e-18,3.497254095044201e-18,3.850838984965279e-18,3.0281946824841766e-18,3.2325396683328075e-18,4.394797783977477e-18,3.854955206268965e-18,3.4637781799430755e-18
30,4.390028795038008e-18,4.179155791140827e-18,4.418784721587741e-18,3.495694582245012e-18,3.949830713587611e-18,3.0638140158910413e-18,3.2964483535528577e-18,4.550090677060162e-18,3.705755800873413e-18,3.493368941929876e-18
31,4.3546459018520846e-18,4.1012596421402154e-18,4.404696141349462e-18,3.487453218412635e-18,3.805663186822357e-18,2.9938262289276776e-18,3.232540981924568e-18,4.480269838842625e-18,3.804903035413928e-18,3.457900900293302e-18
32,4.32883216303868e-18,4.119053156138649e-18,4.351572142044272e-18,3.561290850015577e-18,3.920739848475225e-18,2.9654837325759392e-18,3.2337550999699972e-18,4.6049605786758404e-18,3.764901059610923e-18,3.50513540935228e-18
