,0,1,2,3,4,5,6,7,8,9
0,3.7439697054275226e-17,6.391580881040834e-17,6.90947731916377e-17,1.1349256146348906e-16,1.1902157943624605e-16,1.1100179581361635e-16,1.676609989615434e-16,1.6510317690245214e-16,1.2203969202917514e-16,1.7462170647667001e-16
1,4.52547197229364e-17,7.01451767566226e-17,7.817035829723748e-17,1.3468906169245408e-16,1.4160696529563277e-16,1.3602099371404585e-16,2.0929693482819934e-16,1.9679851418537577e-16,1.4172881225351218e-16,2.2212760184157795e-16
2,5.622034414136832e-17,7.228745774559878e-17,8.699601125881195e-17,1.5056875599550302e-16,1.544896351083715e-16,1.5918509722217966e-16,2.3257074644882097e-16,2.2214819005946986e-16,1.5946555175552496e-16,2.5820645278410787e-16
3,6.724892926383668e-17,7.338269606572249e-17,9.22509734559917e-17,1.5733880580237836e-16,1.6277781250240423e-16,1.75540204705396e-16,2.5370759139293067e-16,2.3483978615313663e-16,1.713942060956343e-16,2.833219279677937e-16
4,7.612237882623608e-17,7.800272915435878e-17,9.822679140762473e-17,1.6131005600710383e-16,1.6889220263573786e-16,1.8527235440946868e-16,2.648313910782832e-16,2.4564219009803035e-16,1.7814335887126866e-16,2.9582502316696427e-16
5,8.068387580090922e-17,7.958013552057105e-17,1.0144061023712421e-16,1.6434348597271057e-16,1.66302859546287e-16,1.9104769672761277e-16,2.699129855240521e-16,2.465127732128678e-16,1.8080259611407414e-16,3.049350099550113e-16
6,8.238908170488409e-17,8.206369383975805e-17,1.0054797323845612e-16,1.5829970714468258e-16,1.589216102754013e-16,1.9059732464064632e-16,2.614872648638196e-16,2.44381571807518e-16,1.8276929219934237e-16,3.0515220267554087e-16
7,8.699914443718443e-17,7.653970306096546e-17,9.89628309928764e-17,1.5258339416233968e-16,1.525007189987854e-16,1.8449703576856172e-16,2.3942408300931183e-16,2.3477094756136065e-16,1.804705024304756e-16,2.9043269560244546e-16
8,8.986804533439369e-17,7.1942771030315e-17,9.204809502995222e-17,1.4090673973401869e-16,1.3817470956793783e-16,1.8025747125596663e-16,2.0926038470056406e-16,2.2167665898821457e-16,1.7028508180702038e-16,2.6118222280358965e-16
9,9.160285315083573e-17,6.817524944321189e-17,8.874647692198229e-17,1.3040724909589888e-16,1.2136955479283312e-16,1.6986732421590786e-16,1.7097229474472133e-16,2.0270089471926445e-16,1.5731096796886183e-16,2.346983513665916e-16
