,0,1,2,3,4,5,6,7,8,9
0,1.698119642591003e-17,2.314576003839546e-17,4.476118795950456e-17,5.950344173438753e-17,4.321598929383759e-17,4.117899581038865e-17,4.452246368306128e-17,4.506635999194787e-17,5.282900715833e-17,5.863272310441226e-17
1,1.743905598523708e-17,2.3151229914884695e-17,4.58701030264452e-17,5.783873517531416e-17,4.307875654343812e-17,4.2190596168584167e-17,4.52577612924626e-17,4.6187013109156474e-17,5.487792898602359e-17,5.94675116193371e-17
2,1.789895967614636e-17,2.4061406043351466e-17,4.558176409085855e-17,5.735167281311343e-17,4.40607286527011e-17,4.3045125066125175e-17,4.644705594248629e-17,4.703972793955506e-17,5.5137886103540373e-17,6.142192452757506e-17
3,1.831245972332676e-17,2.5129559216786624e-17,4.6415065455336726e-17,5.790417445917418e-17,4.445795442318287e-17,4.3113327403848004e-17,4.6659345494196573e-17,4.772460164533216e-17,5.628717409782399e-17,6.263010207035577e-17
4,1.9368974051785892e-17,2.5859656156046336e-17,4.722940866508608e-17,5.816929986367026e-17,4.536176872461163e-17,4.346318057235849e-17,4.761035830447112e-17,4.8728241432375016e-17,5.648982679359547e-17,6.43985452160895e-17
5,1.9616600494657786e-17,2.6853962375607423e-17,4.878893508408113e-17,5.729379800833754e-17,4.5746214786056246e-17,4.357560373990879e-17,4.871219483378598e-17,4.971520036182094e-17,5.753900923664858e-17,6.561564183436621e-17
6,1.9117210791498197e-17,2.780667765435206e-17,4.951182199048895e-17,5.826443058288281e-17,4.6280779987115046e-17,4.41458562429501e-17,4.898420681801642e-17,5.08279548287048e-17,5.870435576197909e-17,6.574838718671298e-17
7,1.9233185626109992e-17,2.7714768599913142e-17,4.9606673471851954e-17,5.820380158751095e-17,4.651263576480052e-17,4.403985796445664e-17,4.968228819537121e-17,5.1614424956058765e-17,5.938444785903481e-17,6.618694218174027e-17
8,2.165069453563988e-17,2.793954556087962e-17,4.852292388757221e-17,6.069761864770709e-17,4.5779820030115e-17,4.443947410628548e-17,5.0097575980146346e-17,5.129700326178167e-17,6.006052260368543e-17,6.641443067556878e-17
9,2.2053892429174753e-17,2.9198350001425274e-17,4.9470406727849603e-17,6.23565501846423e-17,4.486146519368224e-17,4.435411838607629e-17,5.0771056004131196e-17,5.1497032823482333e-17,5.964531032871442e-17,6.747071205539469e-17
10,2.2475008774358514e-17,2.9901622086425243e-17,5.052649306301702e-17,6.22684900715375e-17,4.646549279189558e-17,4.452774455813122e-17,5.082645099443691e-17,5.1819080231441617e-17,6.03088123098906e-17,6.719167357277417e-17
11,2.2264311125959792e-17,2.926435540370117e-17,5.1274286383231e-17,6.263583233489859e-17,4.6893944930671373e-17,4.424116437686453e-17,5.097087805126997e-17,5.181336825182782e-17,6.089827779665263e-17,6.695297110914533e-17
12,2.0327001866371614e-17,2.887151189713574e-17,5.221775089994663e-17,6.101333888206262e-17,4.713602227047469e-17,4.4050270532820145e-17,5.034244411515631e-17,5.179489548484923e-17,6.071550270347157e-17,6.688961493230175e-17
13,1.9951006224041262e-17,2.949745366283488e-17,5.197163878017547e-17,6.185639517277523e-17,4.702954706750799e-17,4.3655708506115935e-17,4.9931127887910516e-17,5.1546598957589126e-17,5.986680190677763e-17,6.721687758313972e-17
14,1.891901185826034e-17,2.992237634612903e-17,5.15061837564617e-17,6.354289778123004e-17,4.6972023698378336e-17,4.2993132734518295e-17,4.942745733128593e-17,5.176055935974616e-17,5.926897692548458e-17,6.674902593158276e-17
15,1.9358904403692266e-17,2.899123896185219e-17,5.277640873345454e-17,6.434697832864775e-17,4.6917024629544003e-17,4.2647791682224505e-17,4.8860851738180403e-17,5.086213365463155e-17,5.867525792111245e-17,6.540996684112888e-17
16,1.9126764088270594e-17,2.84479968134109e-17,5.3480654517655555e-17,6.270302682401492e-17,4.6420271909153984e-17,4.1376390888022955e-17,4.777756664226275e-17,5.0111831473433517e-17,5.741078337909841e-17,6.431928725541312e-17
17,1.9105812942892116e-17,2.7509886630044672e-17,5.053410027167396e-17,6.143847380339608e-17,4.75516102633299e-17,4.0488865091064556e-17,4.717055512091086e-17,4.956410885777624e-17,5.630596300040934e-17,6.463398373185417e-17
18,1.6953831522212973e-17,2.7638141839366364e-17,4.8658393527798095e-17,6.328891072235939e-17,4.848182082811514e-17,3.977047326675725e-17,4.568930560278663e-17,4.8902411818585975e-17,5.627146794883457e-17,6.331453738147674e-17
19,1.7195627849495123e-17,2.708560168763583e-17,4.8477460769907674e-17,6.102293922680382e-17,4.882459417228189e-17,3.9676022056520167e-17,4.3781225978001747e-17,4.8261170866879513e-17,5.599214078404142e-17,6.403580636133374e-17
20,1.7018936952063542e-17,2.6475561816582202e-17,4.6647537691425145e-17,5.94452096683607e-17,5.014416680845151e-17,3.948603208902507e-17,4.2550844599846446e-17,4.7559367165025235e-17,5.531807418028726e-17,6.445306763111091e-17
21,1.665342171577197e-17,2.726146748633021e-17,4.705928574512577e-17,6.077589550560616e-17,5.114126637193937e-17,3.873570702012147e-17,4.1853318172225933e-17,4.703534014693977e-17,5.4622874085024913e-17,6.482840549059202e-17
22,1.606741012698803e-17,2.6361894526078372e-17,4.5914248060103904e-17,6.04116894955155e-17,4.9734329638779864e-17,3.740235277906974e-17,4.132690008900107e-17,4.6381478464725365e-17,5.3700667978779386e-17,6.353414062422576e-17
23,1.508738886472912e-17,2.660395266734882e-17,4.564373393373057e-17,5.756878718718117e-17,5.080536432737984e-17,3.7097363688596264e-17,4.046644801522611e-17,4.563953541566176e-17,5.280755932051404e-17,6.300831834719405e-17
