,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,5.280003034819514e-08,8.375853687968137e-08,6.427026763575549e-08,6.205136063067249e-08,6.54313587276209e-08,5.765004922042033e-08,9.893304195761223e-08,5.3863889760197776e-08,5.251868508284855e-08,6.486694268883897e-08,9.627169170917554e-08,7.105281275500659e-08,6.293184869699293e-08,5.6596240956146146e-08,6.868101920437326e-08,4.505827602370704e-08,6.796866509207711e-08,7.418656184394073e-08,7.751858386732216e-08,8.431629500084491e-08
1,8.607101650128631e-08,1.3277907449325148e-07,1.0036309672336255e-07,1.2872319623336756e-07,1.163207101229228e-07,1.194240785515977e-07,1.7414869735504073e-07,9.4339696173392e-08,1.1842577677194938e-07,1.0318545018899174e-07,1.589729744384889e-07,1.1573160190310747e-07,1.0641280516253625e-07,1.1718939723170962e-07,1.1259143738330447e-07,8.020548691999075e-08,1.1825075124337654e-07,1.1633379816357156e-07,1.2108820852489053e-07,1.3009696082607877e-07
2,1.223836609716334e-07,1.8343341265546055e-07,1.3729901267030504e-07,1.8152738428826606e-07,1.8966619451224877e-07,1.649717512327693e-07,2.4601362394695317e-07,1.5080331507963606e-07,1.714774373794719e-07,1.4479732288743173e-07,2.2368326335839587e-07,1.654043633369271e-07,1.4852463931952852e-07,1.5890955673009511e-07,1.617641805841256e-07,1.3103623502689538e-07,1.7650593358979698e-07,1.5960231306538395e-07,1.667881990782604e-07,1.79113819007793e-07
3,1.5828678694079723e-07,2.108764447224998e-07,1.8001961550545346e-07,2.2150011750976245e-07,2.190086235950129e-07,2.016585099161392e-07,2.9041699433318097e-07,2.0189777063076499e-07,2.078160501562545e-07,1.9029516258989598e-07,2.601844343276385e-07,2.1707515478168823e-07,1.8612987327803518e-07,1.9531839476413688e-07,2.1223089680011456e-07,1.7156128728272302e-07,2.2390718944610278e-07,2.0971883086483768e-07,2.2110219406263838e-07,2.0531848248410483e-07
4,2.015817347144389e-07,2.3332049489455482e-07,2.2731540597982655e-07,2.656488777102437e-07,2.5866234720676927e-07,2.4229973988624173e-07,3.521470770558745e-07,2.698687292720443e-07,2.586923089148062e-07,2.434260905891258e-07,2.9099790006412193e-07,2.4842265323593106e-07,2.2830949670022073e-07,2.358818885511894e-07,2.7399586033484426e-07,2.287465309851582e-07,2.868919858727979e-07,2.6572567199768406e-07,2.457439324503211e-07,2.2660195965288976e-07
5,2.4011498049959545e-07,2.5185419263132037e-07,2.719801749684939e-07,3.043183213281852e-07,3.0066984276921234e-07,2.7964437174020034e-07,4.0750937015179086e-07,3.3693801116738635e-07,3.040909683229316e-07,2.917215842281652e-07,3.151173726011591e-07,2.68320960878536e-07,2.6799891677646356e-07,2.741824263968977e-07,3.310442510327631e-07,2.8934370866449457e-07,3.4262462746995403e-07,3.1892043882595316e-07,2.628509117266756e-07,2.4460988658647717e-07
6,2.721613155473352e-07,2.6714531424221405e-07,3.14441234833194e-07,3.422263808575951e-07,3.0999215363803203e-07,3.158558159047797e-07,4.3116529718709666e-07,3.813365858543065e-07,3.3394210848362665e-07,3.3197239054711866e-07,3.3612053795390395e-07,3.004635203746755e-07,3.077797565698952e-07,3.104709376126608e-07,3.80511851055233e-07,3.257233909288244e-07,3.875076213849842e-07,3.6992603664104904e-07,2.761849966142722e-07,2.5858039853441155e-07
7,3.0346960660156937e-07,2.80436301023521e-07,3.545361817566654e-07,3.842659361398677e-07,3.185165555113085e-07,3.541611983222666e-07,4.55984627576213e-07,4.1517691316486095e-07,3.639099879099184e-07,3.719484651936001e-07,3.565655346399234e-07,3.2362077113958195e-07,3.506775057462227e-07,3.47122449097073e-07,4.043078207691715e-07,3.5390077008601207e-07,4.3455035504204984e-07,4.186225863628164e-07,2.862207603916106e-07,2.6989507916443656e-07
8,3.3957907369841355e-07,2.946943955431446e-07,3.9106786251159916e-07,4.278441931057163e-07,3.353453283663564e-07,3.919217182655817e-07,4.942556441798085e-07,4.448573203226892e-07,4.0130495285496725e-07,4.180958669745487e-07,3.792663698527311e-07,3.456713990819646e-07,3.9373911124112194e-07,3.813086722954828e-07,4.2403600996317356e-07,3.7955159716750395e-07,4.6080287551648384e-07,4.634615393902399e-07,2.9575587785486755e-07,2.820499396024621e-07
9,3.7926326592380156e-07,3.124661408294174e-07,4.263375975827759e-07,4.7004014744449133e-07,3.6117397546878675e-07,4.273938326728193e-07,5.380320585597097e-07,4.804027673330067e-07,4.4094028194379475e-07,4.3933986234132044e-07,4.072424693383008e-07,3.6693460636673186e-07,4.356219670900223e-07,4.126511555978479e-07,4.42786114960421e-07,4.1235514623130536e-07,4.800925708222768e-07,4.7667372021769947e-07,3.0793588605706815e-07,2.97193240569976e-07
10,4.2031871952439853e-07,3.339028369722567e-07,4.6284753899156256e-07,4.845663444271549e-07,3.760798805319918e-07,4.630474338388626e-07,5.551525424385478e-07,4.917527010936681e-07,4.852496846985102e-07,4.5476237050948306e-07,4.416678132997744e-07,3.87748442709514e-07,4.4936611921210325e-07,4.4437199032575084e-07,4.6160236351437235e-07,4.4306597060097083e-07,4.996774083559576e-07,4.808503317304659e-07,3.2374618333118813e-07,3.1455855191718963e-07
11,4.6229518180973845e-07,3.5567935429103624e-07,4.7300571998468814e-07,4.936165446060194e-07,4.055963348761621e-07,4.7498369307967455e-07,5.689495889947144e-07,5.054752359907463e-07,5.028308821720647e-07,4.7114519925378704e-07,4.789466756070614e-07,4.105244311226747e-07,4.5613574040777125e-07,4.778294832353859e-07,4.814880008839477e-07,4.607282467191445e-07,5.203710461306406e-07,4.829866640864177e-07,3.4051594470669657e-07,3.312309634831349e-07
12,5.06390557984931e-07,3.7419140447253464e-07,4.7506657034319285e-07,4.987742883581104e-07,4.207289169330963e-07,4.783392251760102e-07,5.924732447560941e-07,5.13185801618047e-07,5.255040924682677e-07,4.88133060779338e-07,5.128781968082011e-07,4.3476453393515094e-07,4.59059190279265e-07,5.105462139113423e-07,5.0418870675556e-07,4.676926976182178e-07,5.503264393004708e-07,4.844897891689242e-07,3.555556597557748e-07,3.448477438149919e-07
13,5.426744519756362e-07,3.8850656584163153e-07,4.731178020535899e-07,4.992937245176762e-07,4.701967712256164e-07,4.774982773017076e-07,6.43686848274471e-07,5.412852611091434e-07,5.53504355027665e-07,5.009842925285516e-07,5.406326401165124e-07,4.512499745691661e-07,4.591432096636877e-07,5.445625040711066e-07,5.205598355349964e-07,4.823627750208022e-07,5.735256150281986e-07,4.863355407802561e-07,3.675730596475834e-07,3.5433601203556185e-07
14,5.762758034134001e-07,3.99022259634757e-07,4.6898085401060526e-07,5.000293500783642e-07,5.33804837162913e-07,4.7474810883697587e-07,6.612986393517673e-07,5.819073333858124e-07,5.607098092454015e-07,5.125810266971443e-07,5.623959129317817e-07,4.6656459812362077e-07,4.594656629973115e-07,5.517095571958479e-07,5.338204270845297e-07,5.334542218685192e-07,5.858221244840553e-07,4.889810677502406e-07,3.760740462839567e-07,3.5982666678167455e-07
15,6.14506151910298e-07,4.061878176858489e-07,4.643854451247568e-07,5.0561519956015e-07,5.326765100515425e-07,4.7427899671622506e-07,6.597993434010099e-07,5.850660788994737e-07,5.677734648806879e-07,5.217653011510631e-07,5.801351164849394e-07,4.826084587144803e-07,4.6294725083939253e-07,5.489403983832965e-07,5.473135975738072e-07,5.483252607732877e-07,5.984650158063553e-07,4.916781358325736e-07,3.8067618157600433e-07,3.618666117047695e-07
16,6.366944803457821e-07,4.102785168633959e-07,4.600248036612524e-07,5.130663534814242e-07,5.429673258194324e-07,4.749089208919799e-07,6.615805907592814e-07,5.959743507472447e-07,5.714788265211874e-07,5.339434980294088e-07,5.947146708205458e-07,5.060627717169603e-07,4.6643596340603965e-07,5.408406067322677e-07,5.675662906589369e-07,5.422655459041127e-07,6.162384264925921e-07,4.937838206778561e-07,3.8168722304010813e-07,3.6116422283666235e-07
17,6.594598941258479e-07,4.105902587655841e-07,4.5695899675663367e-07,5.169527959376392e-07,5.594635248471562e-07,4.7367267634564476e-07,6.694468389069631e-07,6.133689797711649e-07,5.884665055046172e-07,5.475915491840227e-07,6.033372600572959e-07,5.335892414788615e-07,4.6927857604665945e-07,5.298234017426962e-07,5.927620420486516e-07,5.644720593874596e-07,6.519540896291561e-07,4.94328058643838e-07,3.789984641932938e-07,3.5583904965474835e-07
18,6.738802152613042e-07,4.0339719356159895e-07,4.5267438521969294e-07,5.210723186896094e-07,5.712682630149937e-07,4.74615773937271e-07,7.31511531855126e-07,6.116073861217253e-07,6.276995962237776e-07,5.586906176089225e-07,5.999227206385578e-07,5.544037933038652e-07,4.7222099483730126e-07,5.188847098441066e-07,6.116409877054749e-07,5.585636406577251e-07,6.784256589490239e-07,4.894989076619969e-07,3.7051651472745907e-07,3.442658280844059e-07
19,6.882164095743281e-07,3.8955186303103134e-07,4.46756062917087e-07,5.218525109524656e-07,6.783198625655682e-07,4.7273690402658273e-07,7.66003975258535e-07,6.667775399708016e-07,6.349127665633106e-07,5.789545011425814e-07,5.808675926379878e-07,5.847213421181188e-07,4.7017006600479866e-07,5.075515988198095e-07,6.385541669731839e-07,5.778094458382654e-07,7.015731452974562e-07,4.80037381919485e-07,3.5797000826043785e-07,3.285457840991723e-07
20,7.0858961978792e-07,3.6913774323419783e-07,4.389086192047188e-07,5.229268225546719e-07,7.589170249971417e-07,4.715622810757338e-07,7.606625669211276e-07,7.313189792364173e-07,6.443160826111924e-07,5.943862256857049e-07,5.470097461307353e-07,6.106371198476195e-07,4.678742117428238e-07,5.006912409432532e-07,6.635772027240861e-07,6.723769712799269e-07,7.395043659634181e-07,4.6662342555065756e-07,3.406934365518048e-07,3.095980739769451e-07
21,7.104491139246205e-07,3.4520979578454574e-07,4.274144815958357e-07,5.227091677638494e-07,7.508538937631078e-07,4.705922507500447e-07,8.003597692010996e-07,7.244394369483877e-07,6.781327145835978e-07,5.981270124646464e-07,5.092779467294849e-07,6.222336924349686e-07,4.600765764256196e-07,4.936284443345393e-07,6.745546712462378e-07,7.04830430842819e-07,7.565360326270415e-07,4.504614845310439e-07,3.2108828172523134e-07,2.945367698548805e-07
22,7.07997121555719e-07,3.3176404014838174e-07,4.186848613593441e-07,5.046076321898655e-07,8.09526174070842e-07,4.553012354908503e-07,8.094326633911144e-07,7.512733683975485e-07,6.738888520024295e-07,6.128961453078529e-07,4.889698545969735e-07,6.480071173316396e-07,4.411112587995716e-07,4.814773274078902e-07,6.985673057664538e-07,6.818407532420741e-07,7.789728931758891e-07,4.4078625387602586e-07,3.094297963340392e-07,2.908886401938443e-07
23,7.210084226446479e-07,3.380389822624418e-07,4.1460935740292307e-07,4.826187454860529e-07,8.813054566813493e-07,4.400370964696377e-07,8.110194424187373e-07,8.307524378229556e-07,6.933233493656788e-07,6.209931980413126e-07,4.915259153992714e-07,6.645807351568556e-07,4.285972206503157e-07,4.7614186449625306e-07,7.165822745689332e-07,7.52610888384848e-07,8.231800112521895e-07,4.399181878748685e-07,3.111809056118876e-07,3.069411637389359e-07
24,7.129114445823854e-07,3.947901811187286e-07,4.230920471515975e-07,4.68331463882166e-07,8.492792982927759e-07,4.313920618061915e-07,9.136994806514679e-07,8.261245948322822e-07,7.684313262073766e-07,6.113322208267076e-07,5.709989044608445e-07,6.55809864500884e-07,4.215558022774578e-07,4.713165105095261e-07,7.06069817389276e-07,8.218454021218028e-07,8.252372511224788e-07,4.6200877468333366e-07,3.535932619275123e-07,3.654235473856831e-07
25,6.922270033249064e-07,5.167841223438085e-07,4.696473660482022e-07,4.659969620236409e-07,9.033054950184188e-07,4.265737918542127e-07,9.63691039495484e-07,8.118809717424257e-07,7.750229140347295e-07,6.244796482388973e-07,7.441595462188278e-07,6.714928963744407e-07,4.4187332493827154e-07,4.6822456722706237e-07,7.149366063627645e-07,7.791918901012685e-07,8.163137180726672e-07,5.301829835938796e-07,4.485368255730039e-07,4.467844907482385e-07
