,0,1,2,3,4,5,6,7,8,9
0,1.0638969849062089e-16,1.2895406337436794e-16,1.3307555669484717e-16,1.341251601763435e-16,1.3194283690196266e-16,9.05605946800477e-17,1.3243406596456687e-16,1.179636864227701e-16,1.4691967845150015e-16,1.1293722211944583e-16
1,1.0363403182055937e-16,1.2789272690951917e-16,1.328299738459506e-16,1.3170691916077657e-16,1.1617973508667037e-16,9.134293614011757e-17,1.2998124835753124e-16,1.1859716372427304e-16,1.612895184046382e-16,1.2838113798529662e-16
2,1.1701043614299821e-16,1.309584570592128e-16,1.145945534846999e-16,1.31258635267308e-16,1.2723922464844124e-16,9.618017405047987e-17,1.255498959276855e-16,1.1249461052070067e-16,1.622642670979359e-16,1.2320499419918637e-16
3,1.0384094232780185e-16,1.0261427413180279e-16,1.2481199051084486e-16,1.2278145284880077e-16,1.1955808125425175e-16,9.524227543218747e-17,1.221262321937136e-16,1.0163643085409004e-16,1.526086825648468e-16,1.2667787759106133e-16
4,9.336784727386275e-17,1.1851931044806688e-16,1.21144963705065e-16,1.2717556334653829e-16,1.0733366957148064e-16,8.571388707820823e-17,1.3120938384731147e-16,1.2284276071564555e-16,1.4017751174231177e-16,1.1038700288604573e-16
5,1.0216854769949175e-16,1.1815228346193572e-16,1.271244724545199e-16,1.236179740716449e-16,1.211312052572337e-16,8.747446122416577e-17,1.118420067096697e-16,1.0880314471764355e-16,1.5182618359894077e-16,1.23634844580509e-16
6,9.171716428968104e-17,1.0151132054237909e-16,1.23590350660115e-16,1.0931965298516969e-16,1.1979232499671168e-16,8.918456922599373e-17,1.2905588687059288e-16,1.0022964182365537e-16,1.1750039998199488e-16,1.0974571818329986e-16
7,9.365077758252688e-17,1.1164312834590083e-16,1.2740722366290948e-16,1.0430672328736778e-16,1.182743767543081e-16,7.571811471282199e-17,1.185197048274497e-16,9.720205871870379e-17,1.2450447479049029e-16,8.916887867105685e-17
8,9.849587581804522e-17,1.048677424716408e-16,1.2055273944704722e-16,1.098827878411939e-16,1.1642621110501761e-16,8.454267489632117e-17,1.1726634161981747e-16,9.76641222722624e-17,1.0756220692490332e-16,1.1118146646067376e-16
9,1.0046843850507164e-16,1.0701717463315784e-16,1.2027447551166782e-16,1.119809594031077e-16,1.3039394097072122e-16,7.317835184496992e-17,1.3574838984591997e-16,9.851485782457693e-17,1.1599941727885144e-16,1.0093098236669874e-16
10,7.998765698068486e-17,9.765371844843726e-17,1.1416945744584545e-16,1.1065227002859968e-16,1.054860736125078e-16,7.019217753345797e-17,1.2407969668960666e-16,9.25865864681436e-17,1.1833200912689484e-16,9.113994799728453e-17
11,8.687652540529257e-17,9.566541421921513e-17,1.2280649949161093e-16,1.231836171718082e-16,1.1573137471940795e-16,7.037749404469096e-17,1.1752094463860291e-16,9.483461458060227e-17,1.2048217703428134e-16,9.240853406788459e-17
12,8.640826405007789e-17,1.0003182450593835e-16,1.0836667145055738e-16,9.63404278904845e-17,1.0092123911993792e-16,6.843098740184952e-17,1.0100000520407687e-16,8.552594307816115e-17,1.17091378158683e-16,8.095963539474164e-17
13,8.844475999857621e-17,1.1110144857732688e-16,1.0942873961531002e-16,1.0654618139373494e-16,9.227132242731936e-17,8.496584966340513e-17,1.011093972845164e-16,8.833540109990048e-17,1.0792644642822134e-16,7.256292651210497e-17
14,9.484356089914548e-17,8.160759823209286e-17,1.102538731519945e-16,9.212163552374388e-17,1.0953875373706854e-16,6.811064570814428e-17,9.654599996083774e-17,9.050974036238282e-17,9.058780999790499e-17,8.191916147596281e-17
15,7.598879157541678e-17,9.077491801743637e-17,1.0497961298988163e-16,9.138868641882758e-17,1.1371515976956617e-16,5.153766258678944e-17,8.6512831398279e-17,7.754107734516921e-17,1.046619865400289e-16,6.914525819942205e-17
16,8.522542069886129e-17,7.152620633101388e-17,9.45080074620915e-17,8.860267838746094e-17,1.0757815886873222e-16,6.238541101707003e-17,8.928646151011508e-17,7.543974655812103e-17,9.816662530823514e-17,7.14044297721993e-17
17,7.847826510275405e-17,7.178527957605754e-17,1.1146874030324118e-16,7.622727673285828e-17,1.0090503936532642e-16,6.45641162157276e-17,9.483045449784929e-17,7.020066234391786e-17,8.971111113528612e-17,8.902256636817265e-17
18,7.331502444572114e-17,9.127077482517621e-17,1.2020011161481483e-16,7.382904839258566e-17,9.395982050969821e-17,6.323499077146806e-17,9.148224444667231e-17,1.0079521532200282e-16,9.864146124200091e-17,7.270614327749033e-17
