,0,1,2,3,4,5,6,7,8,9
0,3.740359923428068e-18,5.161440060645698e-18,7.062252756277976e-18,9.951486778486765e-18,1.593213662503377e-17,1.2160519608976085e-17,1.5855784625854034e-17,1.653793791659549e-17,1.6943361944127314e-17,1.9515182043955587e-17
1,3.814369259521805e-18,5.0729605187459605e-18,6.833984719874087e-18,9.739708384820991e-18,1.571880785650788e-17,1.1926689806556634e-17,1.5416191440323378e-17,1.613176808674828e-17,1.6457067634514153e-17,1.9878452470031208e-17
2,4.1502567176788196e-18,5.026615901064442e-18,6.796596450733811e-18,9.707857677943202e-18,1.5584363357174465e-17,1.2179127178177023e-17,1.5228486674547746e-17,1.5887402601851e-17,1.6068452985058238e-17,1.9648801199474482e-17
3,4.474137494257566e-18,4.975624144953851e-18,6.734935177609451e-18,9.466450813257946e-18,1.537751115452857e-17,1.1993190536132909e-17,1.5132712582464512e-17,1.574475183244755e-17,1.6077410336255133e-17,1.9406579955774637e-17
4,4.4476332405393896e-18,5.00320349612853e-18,6.4976331809365246e-18,9.180941638606003e-18,1.4794547519392697e-17,1.171941465806399e-17,1.5366078752754725e-17,1.5790389667256043e-17,1.6337179416046082e-17,1.901301275863903e-17
5,4.560947114412839e-18,4.958194341147504e-18,6.4317261721027e-18,8.901023533338577e-18,1.4181277615468564e-17,1.2019167805119748e-17,1.4770802202196113e-17,1.5663031567312355e-17,1.655876484965642e-17,1.86383857060278e-17
6,4.292553483803453e-18,4.9380217279368824e-18,6.2418262410483686e-18,8.671442946086696e-18,1.3676487012180103e-17,1.1904230218477047e-17,1.453468959928729e-17,1.5239850648618737e-17,1.6636222510299454e-17,1.8040124889676347e-17
7,4.517617913129429e-18,4.900268011823071e-18,6.0646950569663414e-18,8.635683236537507e-18,1.3543710397564436e-17,1.1863794048507465e-17,1.4027438687850027e-17,1.4934891662925963e-17,1.6624584207118394e-17,1.7631480028132975e-17
8,4.6032982156184485e-18,4.8554018583910645e-18,6.131955627549986e-18,8.630455461254699e-18,1.2939206537424161e-17,1.1886309653161898e-17,1.3984182347926455e-17,1.5095238502534006e-17,1.6483455027556815e-17,1.755501754436317e-17
9,4.066739360465964e-18,4.827397115377507e-18,6.243720143877702e-18,8.868917930031766e-18,1.276189219526198e-17,1.1740662517556922e-17,1.392718822323637e-17,1.5213778350230878e-17,1.6359899256727023e-17,1.7276455241520484e-17
