,0,1,2,3,4,5,6,7,8,9
0,1.2146634723815324e-17,1.6664116908876853e-17,2.906428108285925e-17,2.6464512739513095e-17,2.801311929386536e-17,3.8522812300737994e-17,4.6727071698898686e-17,2.7088371701390842e-17,4.513383185514329e-17,3.667733560453524e-17
1,1.4184733842727904e-17,1.6479484395073246e-17,3.066911923688218e-17,2.6362894857305522e-17,2.6322699022217804e-17,3.74220801235141e-17,4.5857671930059374e-17,2.7140772954640497e-17,4.289141008136589e-17,3.545992132133893e-17
2,1.1059810277189145e-17,1.5301492543348723e-17,2.9557676715004457e-17,2.520124462860187e-17,2.6091985578669668e-17,3.549928772357099e-17,4.1527096847475157e-17,2.59681658030598e-17,4.0350926376236454e-17,3.407155483046442e-17
3,1.102521786082107e-17,1.4654960075106836e-17,2.7522246585566657e-17,2.301250028394845e-17,2.5338821927560537e-17,3.2264172845971775e-17,3.686840595516799e-17,2.4437975449212825e-17,3.701862125529826e-17,3.272640253292832e-17
4,1.0438370726317149e-17,1.3355005837110192e-17,2.523480639526537e-17,1.97819967809941e-17,2.3908315981543982e-17,2.8342766628569236e-17,3.291463471654993e-17,2.2700668091572975e-17,3.1247338360448727e-17,2.911545301500895e-17
5,8.591048992065773e-18,1.045159209948476e-17,1.8789253032840516e-17,1.600958686580021e-17,2.0811352900186674e-17,2.2496356624524797e-17,2.607589222832082e-17,2.1246868564269393e-17,2.4416894427295385e-17,2.5750615391914913e-17
6,6.819932692572462e-18,1.0326586595629626e-17,1.4327090291391866e-17,1.2735457851396868e-17,1.863965737974461e-17,1.6550252406385214e-17,1.8712927891967625e-17,1.9435819864515992e-17,1.7182130938992923e-17,2.1838519232028405e-17
7,6.080763081673982e-18,7.959576750545516e-18,7.271770128074119e-18,8.31020946355038e-18,1.5219957348290565e-17,9.928507531652202e-18,1.06907288403522e-17,1.8273652999738707e-17,9.223817493932885e-18,1.6693035616940533e-17
8,3.697341495035525e-18,4.681576621294251e-18,1.0069004359350349e-18,3.859619124715914e-18,1.1878193947972052e-17,3.157092345329901e-18,2.875392589053434e-18,1.475979111959647e-17,7.984568385875927e-19,1.1655310232854093e-17
9,2.127717453424049e-18,2.2161380706386372e-18,5.679492455226584e-18,6.484163140144751e-19,8.67182146266955e-18,3.7704406414618e-18,5.719111485445743e-18,1.1406819420914305e-17,7.587323776464126e-18,5.524410675886262e-18
10,2.7097050651641473e-19,3.13493097765735e-19,1.279194227023167e-17,4.786155116351481e-18,4.728878234691463e-18,1.0637374307745047e-17,1.4559318057965934e-17,8.562051604548398e-18,1.545471258199719e-17,1.502519391398041e-20
11,1.6548360762491854e-18,3.0510119845827013e-18,1.6763695170061963e-17,9.294659770161719e-18,9.292108356431587e-19,1.7149563509619008e-17,2.2096322003676785e-17,5.385269253910854e-18,2.2914886400127962e-17,5.808729233650066e-18
12,3.5151433063165566e-18,5.377129297659487e-18,2.433897450534522e-17,1.4122299664573383e-17,2.844905970247621e-18,2.3040262716558508e-17,2.976776758381428e-17,2.464410045353037e-18,2.911615885745968e-17,1.1454902567177056e-17
13,5.746896771284855e-18,9.207439673773124e-18,2.9330258657190055e-17,1.7783778534791852e-17,6.423878253111695e-18,2.860340843010135e-17,3.405243991619483e-17,8.654166244791905e-19,3.603380552825036e-17,1.718573410883588e-17
14,6.9382396947932035e-18,9.729779147441437e-18,3.184518767334376e-17,1.9367744852845283e-17,1.0052547733365922e-17,3.2474190860537625e-17,3.968970357214884e-17,4.366912058097024e-18,3.982634915636431e-17,2.166917437232019e-17
