,0,1,2,3,4,5,6,7,8,9
0,2.2440486955279073e-17,5.1100113236256276e-17,1.1468905712601198e-16,1.067616654758963e-16,7.561242953281277e-17,1.209024398439564e-16,1.4011313272983117e-16,7.627828273431212e-17,1.0909055735364161e-16,1.720813055457853e-16
1,2.521229470837307e-17,6.099041560804518e-17,1.514196013797573e-16,1.267311518070336e-16,8.761107027612603e-17,1.4718757538027627e-16,1.6887232294566314e-16,8.413422988648018e-17,1.2496832682719312e-16,2.0527736674794827e-16
2,2.7081726973494132e-17,6.966266450414009e-17,1.7981950069989992e-16,1.438116223929557e-16,9.788570519149594e-17,1.6636441430678259e-16,1.9162657513674312e-16,8.99943532113223e-17,1.3558296394343578e-16,2.316681244576467e-16
3,2.906217642049375e-17,7.649917465072422e-17,1.9680685246411167e-16,1.5910434998649844e-16,1.0599249938017456e-16,1.7997624991634207e-16,2.04427020008943e-16,9.442574088564505e-17,1.4380674923499127e-16,2.46718115649049e-16
4,3.032071896992669e-17,7.998560513650038e-17,2.0404778567293386e-16,1.6797688206669925e-16,1.1238828161405364e-16,1.8765927655924398e-16,2.0930613866504794e-16,9.603892375780653e-17,1.46480424967503e-16,2.529102742742216e-16
5,3.039783090971398e-17,8.268776979203174e-17,2.0710038255136425e-16,1.6810170613254191e-16,1.1375411919372104e-16,1.876388471162754e-16,2.060451501272255e-16,9.583008657392654e-17,1.4520855298840012e-16,2.5200970998152466e-16
6,2.963558188626681e-17,8.121353549692266e-17,1.9797312469346472e-16,1.5924599405588412e-16,1.1370890491909361e-16,1.8270476414825073e-16,1.9457425021324241e-16,9.295846187271607e-17,1.408015140709053e-16,2.459123778015925e-16
7,2.8484853862308806e-17,8.088606921308573e-17,1.8772329107327077e-16,1.5002665050420068e-16,1.1538764986715347e-16,1.728008406051925e-16,1.7599272219709174e-16,8.850333848915259e-17,1.318975450608242e-16,2.3120112818726177e-16
8,2.673209035801041e-17,7.685969624188473e-17,1.6741088748250307e-16,1.363571134063768e-16,1.1144790384765708e-16,1.5823946048295337e-16,1.5304415163579258e-16,8.245657363700585e-17,1.196077900487672e-16,2.0922280509703104e-16
9,2.4218365107266527e-17,7.051773454681606e-17,1.4284529556161883e-16,1.222608103531052e-16,1.05024202266955e-16,1.3809272927688024e-16,1.2225011341090145e-16,7.494113059754881e-17,1.0380778456464043e-16,1.8238600911800242e-16
