,0,1,2,3,4,5,6,7,8,9
0,2.2012262105166078e-17,2.616226539976394e-17,2.7331109003522305e-17,3.4783994832562107e-17,4.874580461055917e-17,5.721757162079931e-17,5.250231723234432e-17,5.749692145165313e-17,6.68923828960369e-17,6.647460873538615e-17
1,2.1965030148113828e-17,2.808634846360955e-17,2.849640140669734e-17,3.5361501163727254e-17,5.183329586449398e-17,5.91356030131622e-17,5.288261901654012e-17,5.812758041469107e-17,6.790945499745658e-17,6.803865638546967e-17
2,2.48630544470181e-17,2.7284372005602808e-17,3.0129996949198934e-17,3.6117031796334704e-17,5.2944828149149155e-17,6.09384319038194e-17,5.3407230521907473e-17,5.961794586924263e-17,6.834824952978967e-17,7.112577364277522e-17
3,2.788808329468652e-17,2.6952037825113127e-17,3.132766009724514e-17,3.695259608939999e-17,5.39865849236789e-17,6.279577017227082e-17,5.432683373318065e-17,6.051255998211287e-17,7.036198971170012e-17,7.32338071756579e-17
4,2.982542973166473e-17,2.7017279318587684e-17,3.1936504370332466e-17,3.757739640340609e-17,5.636368154952996e-17,6.327806634879918e-17,5.545257110401516e-17,6.210447871197627e-17,7.239411106596047e-17,7.520528945498169e-17
5,2.916220438057867e-17,2.697480524663154e-17,3.297713627898875e-17,3.788084253007481e-17,5.748103726658275e-17,6.357293692451095e-17,5.536546400835745e-17,6.250489134481949e-17,7.436994284392707e-17,7.705266336735113e-17
6,2.836486148141973e-17,2.7788500116111614e-17,3.339722932358952e-17,3.838687453637697e-17,5.839222163187539e-17,6.425993431408827e-17,5.547082264447555e-17,6.15432191568215e-17,7.414547760767646e-17,7.770894380846133e-17
7,2.800613877469859e-17,2.7935328741293016e-17,3.3686355492550286e-17,3.891037968581362e-17,5.926972614423839e-17,6.384818147553403e-17,5.678832873422014e-17,6.049168005823787e-17,7.452731865981039e-17,7.856029872907623e-17
8,2.856767019246156e-17,2.891852216663883e-17,3.4563906870824344e-17,3.905550696201595e-17,5.912781434180207e-17,6.335687221303307e-17,5.840930018247818e-17,6.000623458763546e-17,7.278015987349723e-17,7.92439423904138e-17
9,2.951138399924271e-17,2.7726441534191396e-17,3.4688670794685116e-17,3.873361621312772e-17,5.93889520185019e-17,6.41646418642083e-17,5.748127962103898e-17,6.073489955022076e-17,7.259276470139823e-17,7.925545921702214e-17
10,3.014271570299141e-17,2.735572760141175e-17,3.431691251648611e-17,3.875261270209929e-17,5.946701022860938e-17,6.391776714042174e-17,5.808285904038286e-17,6.170977753565276e-17,7.010515811335806e-17,7.880557724820863e-17
11,2.987409718044219e-17,2.668485360692274e-17,3.3102636116703194e-17,3.8834688333837706e-17,5.812273060742026e-17,6.224659192515321e-17,5.751304665420911e-17,6.140391626012685e-17,6.734848631963653e-17,7.722386784243712e-17
12,2.9711571258731396e-17,2.6806596139783742e-17,3.2894515608759e-17,3.8963605736022145e-17,5.950151969432131e-17,6.09251484405196e-17,5.622319886976411e-17,6.070555584670517e-17,6.615607554857803e-17,7.664826898852118e-17
13,3.0661907315951624e-17,2.6947732391958206e-17,3.197572979160529e-17,3.798953756163704e-17,5.996466215001756e-17,5.85577510381559e-17,5.571964254048981e-17,6.106341212475953e-17,6.509262757603935e-17,7.444196381769886e-17
14,2.9993944369815945e-17,2.677977046586877e-17,3.1735558891291814e-17,3.673279006056335e-17,6.091334623532936e-17,5.579261820624445e-17,5.592053299680458e-17,6.031501510166437e-17,6.380227062299485e-17,7.21624452002997e-17
15,2.6811953786690572e-17,2.8580722503049354e-17,3.209400824012658e-17,3.661802452011089e-17,6.04088388538599e-17,5.399580815452028e-17,5.551706298987996e-17,5.944758901764843e-17,6.260281459620112e-17,7.103454633875897e-17
16,2.643361942048581e-17,2.7675781366378128e-17,3.1564598820091e-17,3.60467033980206e-17,6.026761696360634e-17,5.180484131784418e-17,5.5000961698813426e-17,5.905998424066056e-17,6.045411196121959e-17,7.008051881933856e-17
17,2.5633177606460737e-17,2.7365591717385292e-17,3.0727195094271894e-17,3.523434538525309e-17,5.932149641036457e-17,5.0646747965098826e-17,5.499363873897013e-17,5.814494267476858e-17,5.816935022429576e-17,6.878420656186772e-17
18,2.6323082080025552e-17,2.7147685549345523e-17,3.0136443856224725e-17,3.4729506545072006e-17,5.842015497002858e-17,4.81317193698952e-17,5.4314504940157194e-17,5.612603593346246e-17,5.649911122662119e-17,6.655331105896493e-17
