,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,5.2800030385022405e-08,8.375853688496325e-08,6.427026761205921e-08,6.20513605763327e-08,6.543135871378651e-08,5.765004919600327e-08,9.893304194263089e-08,5.38638897470132e-08,5.2518685053144075e-08,6.486694268184672e-08,9.627169169225846e-08,7.105281273600203e-08,6.293184868500357e-08,5.65962409395272e-08,6.868101917220071e-08,4.5058276016182876e-08,6.7968665052328e-08,7.418656183409168e-08,7.751858386276631e-08,8.431629499494583e-08
1,8.605945904214632e-08,1.3262334531857162e-07,1.0032267553341673e-07,1.268021045482686e-07,1.1674328789604843e-07,1.1791018616284533e-07,1.7518460376576845e-07,9.43512317885222e-08,1.1904786969735754e-07,1.0327326172850008e-07,1.5838583920544149e-07,1.1606676422494603e-07,1.0542091051236948e-07,1.1619734225316625e-07,1.129490441571184e-07,8.025413508007467e-08,1.1929470486575253e-07,1.16295364288882e-07,1.2113106073354227e-07,1.3044288500393312e-07
2,1.2242765576867722e-07,1.995684951911796e-07,1.447449964816059e-07,1.8750324355397023e-07,1.899497378558373e-07,1.699868175295746e-07,2.514909804505591e-07,1.49486371784119e-07,1.7336017946953196e-07,1.4624002169821258e-07,2.538626076730418e-07,1.675705781070803e-07,1.5681691777642622e-07,1.645569822272354e-07,1.6372182947543033e-07,1.2983462146663987e-07,1.8003091336012305e-07,1.7060832074723742e-07,1.7826946222225348e-07,1.9053145613761055e-07
3,1.7968322274950072e-07,3.519199876767271e-07,2.423756270902582e-07,3.573120124897657e-07,2.6356821921903094e-07,3.050377060194291e-07,3.2895747578314517e-07,2.0484822217367092e-07,2.3384121007523665e-07,2.2052057824546287e-07,5.389076851584386e-07,2.6168779733696756e-07,3.11492512423494e-07,2.769213813429974e-07,2.54240938760044e-07,1.726047040645712e-07,2.783495249300742e-07,3.0210101575991065e-07,3.122242015748158e-07,2.849155024647416e-07
4,3.2928656147448904e-07,7.376361509090443e-07,4.4384465992973634e-07,8.587751385279924e-07,3.9048089221454666e-07,6.780266232607278e-07,6.10837985544166e-07,3.2002989498855397e-07,4.5146969862893707e-07,3.986370272195205e-07,1.3064940734937053e-06,5.224273158284354e-07,7.222793396631125e-07,5.591972255678218e-07,5.088581219517394e-07,2.6183576414183557e-07,6.230897361265249e-07,5.839871749441137e-07,5.653141197514595e-07,4.978721687348901e-07
5,6.175001310365939e-07,1.3950845609522424e-06,7.592910232448084e-07,1.7955497828691028e-06,7.60768452715621e-07,1.3458420067368774e-06,1.3626212848025015e-06,5.678889006519334e-07,9.696034944103372e-07,7.240825586641521e-07,2.6856519614748218e-06,1.031393805368938e-06,1.4429873348324072e-06,1.039398965341296e-06,1.014954854579243e-06,4.6185422951343957e-07,1.3701830346082252e-06,1.0302874863601284e-06,1.0114015989478934e-06,8.466413781762003e-07
6,1.0518828912785063e-06,2.308043884737186e-06,1.1808365468320578e-06,3.2165427801635987e-06,1.4514278367441226e-06,2.320222206657615e-06,2.70443142208364e-06,9.934236933586407e-07,1.8446285238287115e-06,1.1989855669370347e-06,4.7276764678455235e-06,1.8089269690967441e-06,2.4848971822580247e-06,1.7096111510006099e-06,1.8010637461790261e-06,8.17371563463691e-07,2.5784627129100296e-06,1.6291247801374236e-06,1.6241529902102228e-06,1.3084401404991916e-06
7,1.6310540363849007e-06,3.427014782606622e-06,1.6812858576364181e-06,5.151387332417144e-06,2.4731554098154655e-06,3.595207849436602e-06,4.71437715680785e-06,1.5989418682712874e-06,3.11293140768697e-06,1.8184758995310928e-06,7.4080116178030535e-06,2.865156659886682e-06,3.833396615354486e-06,2.5454296759808417e-06,2.8853887683761494e-06,1.3433639001939323e-06,4.292711550118157e-06,2.340747117275188e-06,2.3602418382119876e-06,1.8453408150684041e-06
8,2.3500276374210577e-06,4.6785756974090075e-06,2.2284553854560957e-06,7.55875556647789e-06,3.846043750572063e-06,5.115768345483021e-06,7.510314752726392e-06,2.3769456729880285e-06,4.828170843244974e-06,2.564890546181692e-06,1.0597914468333011e-05,4.153855444316319e-06,5.4186406242885495e-06,3.4927271302067523e-06,4.233103470380198e-06,2.0366769645116407e-06,6.52608812674597e-06,3.1168925576576285e-06,3.1363284226905173e-06,2.4257448235705267e-06
9,3.1775263021629462e-06,6.0433069438526e-06,2.8204818701257895e-06,1.031929482581111e-05,5.624033504508512e-06,6.799052909526181e-06,1.1213493115695588e-05,3.34449301261438e-06,7.0153536810177816e-06,3.3600395482731913e-06,1.4196447519940526e-05,5.648963239225237e-06,7.156448275056651e-06,4.505062375449496e-06,5.826281520983789e-06,2.918318494008924e-06,9.278373634984651e-06,3.921989122252134e-06,3.988873631946589e-06,3.0667451242375144e-06
10,4.06371241918511e-06,7.620005129814618e-06,3.501232499178819e-06,1.3373078419784503e-05,7.822603726857292e-06,8.637418329910379e-06,1.5801972293880984e-05,4.482662753980547e-06,9.603827975821393e-06,4.187822654254083e-06,1.8355344270832213e-05,7.281728937035937e-06,9.030444838317115e-06,5.611760966719394e-06,7.595467781803041e-06,4.010704254858723e-06,1.2423219886399766e-05,4.849644569830931e-06,4.993328493962332e-06,3.826668959147167e-06
11,4.992936746843991e-06,9.514804572908312e-06,4.287811881794352e-06,1.6839533976438728e-05,1.0349158774395087e-05,1.0764744367032016e-05,2.1026935384446424e-05,5.753895373992903e-06,1.2457552936327126e-05,5.075262915921307e-06,2.3395494178742366e-05,9.047246005038394e-06,1.1223252544187505e-05,6.9156828087273896e-06,9.523478762097804e-06,5.266861113119762e-06,1.5828876533124785e-05,5.96635766820003e-06,6.200773186153546e-06,4.717907443570361e-06
12,6.027616443317766e-06,1.168590956938047e-05,5.176553441178475e-06,2.1017646831021124e-05,1.3036565304206417e-05,1.329860578201221e-05,2.6699551928071154e-05,7.073819158793906e-06,1.5510978786203982e-05,6.11023968543276e-06,2.941724956283626e-05,1.1070414208288422e-05,1.38648709974228e-05,8.466446231198636e-06,1.1725721606382474e-05,6.6168210356540035e-06,1.9576502950101434e-05,7.23325553035512e-06,7.572087094616163e-06,5.68598526646054e-06
13,7.258420710498822e-06,1.4031430378254153e-05,6.1215958749239055e-06,2.5985270948225227e-05,1.5818635152791314e-05,1.6230374101523497e-05,3.293477161243126e-05,8.417119582949475e-06,1.89542372735104e-05,7.352012792647299e-06,3.625285685568462e-05,1.3496675085145101e-05,1.6878483939906377e-05,1.018763463578722e-05,1.4361666771612177e-05,8.002794075891088e-06,2.3977538673345788e-05,8.58428232979552e-06,9.058557388200716e-06,6.722101812755216e-06
14,8.701702421850748e-06,1.664039956254447e-05,7.162402365373109e-06,3.156361692245285e-05,1.8855491150182395e-05,1.941352692863868e-05,4.0207114865237035e-05,9.878639871233128e-06,2.3070926537576325e-05,8.750730416128335e-06,4.393351794831742e-05,1.632014804171009e-05,2.0122593714302963e-05,1.1972372195123952e-05,1.7458186544297317e-05,9.46638427738679e-06,2.9279992335171976e-05,1.0091236434343765e-05,1.074576474407898e-05,7.965295334733773e-06
15,1.0272929284675008e-05,1.987928082490656e-05,8.46711242061503e-06,3.766285138700323e-05,2.2452413962742995e-05,2.2851575858117164e-05,4.8983693144296126e-05,1.1618631473043846e-05,2.7982837453875087e-05,1.0199677321899578e-05,5.305106186708207e-05,1.9390741698344695e-05,2.368986923491461e-05,1.3928303962177413e-05,2.0884153840140834e-05,1.1144740654452076e-05,3.540163650546873e-05,1.2005765148057292e-05,1.2869880899660889e-05,9.640854916647983e-06
16,1.1875083604599822e-05,2.414744330991534e-05,1.0221103951986185e-05,4.4616583903643814e-05,2.679930967488108e-05,2.6874792861799558e-05,5.9294701478154553e-05,1.3721487921355218e-05,3.353985837231302e-05,1.167988488572072e-05,6.447288557010313e-05,2.2621514417702885e-05,2.8012136318868895e-05,1.6369252958508224e-05,2.453513264718657e-05,1.3177647020357765e-05,4.2057333997329855e-05,1.4585055509561888e-05,1.5646445281687745e-05,1.1874349658448243e-05
