,0
0,1.5099634769360465e-07
1,2.960037975183825e-07
2,2.6816781404847475e-07
3,2.293567786074093e-07
4,2.134886112884033e-07
5,2.0751943609190817e-07
6,2.0218059374986602e-07
7,1.9322254618104003e-07
8,1.7582454423554034e-07
9,1.4631910939170922e-07
10,1.0651478929994396e-07
11,6.46325886560991e-08
12,3.252221735586558e-08
13,2.1776952981821444e-08
14,1.3576746913053446e-07
15,1.7103271069059126e-07
16,1.248002123324988e-07
17,1.1399521132457074e-07
18,2.1913668787917474e-07
19,2.0738424890076718e-07
20,1.7564071570923048e-07
21,1.5855227666298875e-07
22,1.522532865163544e-07
23,1.4910974234665078e-07
24,1.4619797019404352e-07
25,1.4273577694796745e-07
26,1.3888094670274359e-07
27,1.3572421611516042e-07
28,1.3465588461248636e-07
29,1.3543211480666662e-07
30,1.3446548507490883e-07
31,1.2586567348049392e-07
32,1.0517921361168881e-07
33,7.34364616747241e-08
34,3.9184722406623295e-08
35,7.960258981375157e-08
36,2.954304254681617e-08
37,3.2933070119042696e-08
38,2.8194485784378178e-08
39,2.3430280152054278e-08
40,2.119231064431568e-08
41,1.943604469312849e-08
42,1.7311633232337367e-08
43,1.4765743682847638e-08
44,1.260884220564389e-08
45,1.1764577127842455e-08
46,1.1189644412892107e-08
47,9.294010989291183e-09
48,6.173532237654198e-09
49,3.304948583695283e-09
50,1.2263891788955107e-07
51,1.4703779520536371e-07
52,9.910615344181163e-08
53,1.1936242373291255e-07
54,2.4059448840267596e-07
55,2.2440239701655932e-07
56,1.8887139592637842e-07
57,1.7050302717542216e-07
58,1.6423710798620542e-07
59,1.615550611632738e-07
60,1.593841671521101e-07
61,1.5707926316998813e-07
62,1.5490519432802035e-07
63,1.5372955654166374e-07
64,1.5418664410049247e-07
65,1.5502576725772428e-07
66,1.5207698410310438e-07
67,1.3959684071311744e-07
68,1.1387489499861274e-07
69,7.717175034838263e-08
70,3.96727750616926e-08
71,5.5185490059815096e-08
72,5.724542723614985e-08
73,6.67079418233646e-08
74,5.296537646254068e-08
75,4.35991748333951e-08
76,4.039913814133093e-08
77,3.894245849089906e-08
78,3.784639459537023e-08
79,3.6630518512598734e-08
80,3.439612759992524e-08
81,2.996023855526961e-08
82,2.2940479765464087e-08
83,1.4628691651060326e-08
84,7.774471458142157e-09
85,5.383973185175535e-09
86,1.0777861051644949e-07
87,1.2135418966515026e-07
88,8.085094793118548e-08
89,1.3703452707460202e-07
90,2.6631478980034943e-07
91,2.4574149683380717e-07
92,2.0732625218733447e-07
93,1.881766299808388e-07
94,1.8195350417727655e-07
95,1.7953130560825713e-07
96,1.7780767709730444e-07
97,1.7628619273287215e-07
98,1.753159028525728e-07
99,1.755155714974002e-07
