,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,7.494316141514652e-08,7.872613286432114e-08,7.280331900275845e-08,8.139700995728066e-08,8.203946485229012e-08,8.18841385197947e-08,8.667812495012642e-08,7.782412682643904e-08,8.401002756799623e-08,7.86173676177679e-08,8.018787308178703e-08,7.671944399587731e-08,7.740073695302033e-08,7.636658672105382e-08,8.010845306783045e-08,7.889239911062656e-08,8.136934796291478e-08,7.55355657837311e-08,7.685023577038847e-08,7.723171122960323e-08
1,1.2599519967678398e-07,1.2830320162145452e-07,1.1964835087369107e-07,1.366904833721879e-07,1.3345093469581196e-07,1.3655990058149416e-07,1.393590818954828e-07,1.2681135730726182e-07,1.420912751006777e-07,1.2950641668723933e-07,1.3789486583578066e-07,1.2774257471005575e-07,1.300840881657939e-07,1.266966896259401e-07,1.327300389288916e-07,1.3240131958022174e-07,1.380385722492904e-07,1.2317477534875168e-07,1.287704641726123e-07,1.306248575381865e-07
2,1.839617630433398e-07,1.9329032035499109e-07,1.7858870786033884e-07,2.0730952969459987e-07,1.9882604878132558e-07,2.041697549028654e-07,2.0664296875036287e-07,1.9074348858330016e-07,2.055771259516154e-07,1.8685767529288253e-07,2.0863548086323754e-07,1.8831141312566696e-07,1.9790718599195661e-07,1.8872322525823267e-07,1.9417754992532215e-07,1.9304521272023497e-07,2.0459286511446263e-07,1.849380801383296e-07,1.877586325994535e-07,1.9239786847319985e-07
3,2.3424158903186832e-07,2.5047750802847335e-07,2.294780828237403e-07,2.7014874512048776e-07,2.5845244105781466e-07,2.635899312789077e-07,2.685052755001587e-07,2.4748694909700983e-07,2.622343398893107e-07,2.405686419150623e-07,2.7062586940501964e-07,2.4854734011654694e-07,2.582949588220279e-07,2.477028931522075e-07,2.5204536206726775e-07,2.4633844075196284e-07,2.680591347401108e-07,2.401586167212376e-07,2.4143772113810895e-07,2.4478376473577474e-07
4,2.8202253753567266e-07,2.984419274955796e-07,2.734769917875438e-07,3.242991178838905e-07,3.113068143473618e-07,3.1467783030661097e-07,3.2150832216991187e-07,2.9597086745721376e-07,3.158844769609519e-07,2.9215736086556523e-07,3.226679742178987e-07,3.01276666422515e-07,3.1103635395511315e-07,2.991746158348568e-07,3.0146427131507273e-07,2.912993913906892e-07,3.261413774725195e-07,2.8654648122926014e-07,2.885100580755629e-07,2.888542143621233e-07
5,3.2869652313191724e-07,3.423381930959046e-07,3.1400319158699533e-07,3.7070912979707476e-07,3.572399498248634e-07,3.584371132408653e-07,3.7461035184425097e-07,3.39648912311718e-07,3.651626637266445e-07,3.38612914870307e-07,3.706456852198275e-07,3.522115279982741e-07,3.5722864634397573e-07,3.436600917330792e-07,3.483989185335425e-07,3.3017545924695696e-07,3.7674621269947637e-07,3.271474915293139e-07,3.3070600079791575e-07,3.2937533746592225e-07
6,3.708911291523364e-07,3.8404900100857047e-07,3.52403193551531e-07,4.1204418750845807e-07,4.0124740097903834e-07,3.9743035537237993e-07,4.216815104875881e-07,3.8032773490477974e-07,4.097517476841185e-07,3.8311963691651994e-07,4.161901258299692e-07,3.9799728201759423e-07,3.974293508289568e-07,3.8305249853779105e-07,3.9051573121020267e-07,3.6570664747923247e-07,4.2543431528002083e-07,3.6630574330928626e-07,3.679677855470398e-07,3.6739542517937674e-07
7,4.10226599700793e-07,4.2536359144222033e-07,3.896088330325303e-07,4.510735873548347e-07,4.4586681322121275e-07,4.3430979957731515e-07,4.658956096308567e-07,4.189696667843654e-07,4.51788644737762e-07,4.23847860272943e-07,4.6063275217087285e-07,4.389150960306234e-07,4.347162669451534e-07,4.203210833130213e-07,4.2970223120973667e-07,4.0036397428137866e-07,4.7098649640759544e-07,4.056350619682697e-07,4.056100004904498e-07,4.0562833085077296e-07
8,4.4728737752562375e-07,4.6573814145049423e-07,4.2540899217692506e-07,4.887646844758419e-07,4.901245429392369e-07,4.727318903476842e-07,5.090124254855077e-07,4.5651987249334134e-07,4.929942918185651e-07,4.6084866319558676e-07,5.042929862216883e-07,4.7413721344036304e-07,4.717590583192858e-07,4.556583750699211e-07,4.654401915133489e-07,4.347910188919779e-07,5.127560287167729e-07,4.450342226124272e-07,4.447736708951186e-07,4.438672105148806e-07
9,4.82774467705748e-07,5.040734968567847e-07,4.612736437764005e-07,5.275813835900838e-07,5.309307761226747e-07,5.115163034831757e-07,5.511985171029664e-07,4.923187646136461e-07,5.326983500924441e-07,4.944707686541044e-07,5.456005864527273e-07,5.054659825670572e-07,5.091330630110826e-07,4.908550964490275e-07,4.968324371058327e-07,4.7039315465936965e-07,5.486405827974838e-07,4.825320844876189e-07,4.827208304798839e-07,4.789471718265348e-07
