,0,1,2,3
0,1.381186943681015e-11,1.4697223096865522e-09,8.749011568201289e-12,2.957050863792638e-11
1,3.4772391272812413e-10,3.685961356211573e-08,2.197270163901531e-10,7.417711785090184e-10
2,1.1208676786248328e-09,1.1775111273862664e-07,7.042472057840564e-10,2.3708738770754827e-09
3,2.316859510667152e-09,2.3995902661035977e-07,1.4426361532032016e-09,4.835437424254755e-09
4,3.910355233384745e-09,3.971605185642696e-07,2.40491236425667e-09,8.012254782248804e-09
5,5.8675871997758414e-09,5.812222417896334e-07,3.5520036347341647e-09,1.1742512315967269e-08
6,8.147079825646516e-09,7.82621145232347e-07,4.837333548407579e-09,1.583972912222458e-08
7,1.0700528553038098e-08,9.90937180639155e-07,6.208712649750954e-09,2.009907950335797e-08
8,1.3473823415261383e-08,1.1953924187175676e-06,7.610457558781407e-09,2.430763244082894e-08
9,1.6408195715858755e-08,1.3854086814934777e-06,8.985651909226065e-09,2.8254996380951516e-08
10,1.944146336840976e-08,1.5511548398108632e-06,1.027845740129975e-08,3.174383697499443e-08
11,2.2509348614404806e-08,1.6840554598763494e-06,1.143638105459182e-08,3.459974208990902e-08
12,2.554684009944758e-08,1.7772344820218012e-06,1.2412406601504304e-08,3.667994095813293e-08
13,2.848957055714059e-08,1.8258709767924621e-06,1.3166903570807668e-08,3.7880441479512204e-08
14,3.1275180778358763e-08,1.8274485718806654e-06,1.3669236409023812e-08,3.8141228914917196e-08
15,3.384464109263119e-08,1.7818856451149358e-06,1.3899008436612703e-08,3.7449266126554636e-08
16,3.614350225190858e-08,1.6915395474372829e-06,1.3846889998755276e-08,3.583914533059012e-08
17,3.812304922074458e-08,1.5610846374531836e-06,1.351499731318032e-08,3.3391358745376665e-08
18,3.9741333584607954e-08,1.397270437795817e-06,1.2916806525235195e-08,3.0228274731641635e-08
19,4.0964062379687484e-08,1.2085724259224311e-06,1.2076606535065708e-08,2.6508020360580206e-08
20,4.176532484061463e-08,1.0047535268201097e-06,1.102851277178149e-08,2.2416576464462055e-08
21,4.2128141466190556e-08,7.963589953462333e-07,9.81508196144203e-09,1.815848014719727e-08
22,4.204482384806324e-08,5.941708220642031e-07,8.485584173443701e-09,1.394659972555795e-08
23,4.1517137547157775e-08,4.0864989072994935e-07,7.094002239149789e-09,9.991493111050493e-09
24,4.0556264741337834e-08,2.4939474942743554e-07,5.696839877356213e-09,6.490881723994072e-09
25,3.918256720960481e-08,1.2464499742962422e-07,4.350827360122974e-09,3.6197661278266228e-09
26,3.742515489705694e-08,4.0854981860827204e-08,3.110618099302542e-09,1.5216774731453396e-09
27,3.5321268999517805e-08,2.359860419892445e-09,2.026569476923836e-09,3.0150220812207565e-10
