,0,1,2,3
0,3.0008513881523347e-16,1.085649742767468e-12,2.0871746091647086e-15,2.151787671503081e-15
1,7.397156402636553e-15,2.722719946262638e-11,5.246539446219585e-14,5.408875265001288e-14
2,2.3833842904300147e-14,8.697954523939007e-11,1.6816338569472857e-13,1.7290538005588307e-13
3,4.925648832144668e-14,1.7725120822899927e-10,3.444730464723023e-13,3.526544863406503e-13
4,8.312629177294645e-14,2.9337166230944985e-10,5.742539338097264e-13,5.843502151680686e-13
5,1.2473085809647489e-13,4.2933304491313365e-10,8.481626748276546e-13,8.564031693083851e-13
6,1.7318578600686547e-13,5.78100930369855e-10,1.1550775098257414e-12,1.1552255777247737e-12
7,2.2745836876301117e-13,7.319783043007529e-10,1.4825416564209794e-12,1.4658722067054382e-12
8,2.864124986535586e-13,8.830038258550941e-10,1.817256873639656e-12,1.7728122454389932e-12
9,3.487870346785014e-13,1.0233636603269202e-09,2.1456303088607246e-12,2.060704275379292e-12
10,4.132611522881424e-13,1.145795833837217e-09,2.454335988346412e-12,2.315155463186949e-12
11,4.78475505534973e-13,1.2439659090033673e-09,2.7308275649345345e-12,2.523443445703464e-12
12,5.43043435693252e-13,1.3127947068135134e-09,2.9638897299600064e-12,2.6751579458306015e-12
13,6.055905341109089e-13,1.3487211625028395e-09,3.1440512782388972e-12,2.762712773414166e-12
14,6.648055425689662e-13,1.3498864854371616e-09,3.2640014469585686e-12,2.781732964711707e-12
15,7.19424344900426e-13,1.3162303977697174e-09,3.31886586288124e-12,2.7312675869379435e-12
16,7.682873721966803e-13,1.2494941943290318e-09,3.3064209924373758e-12,2.6138363644454303e-12
17,8.10364923323445e-13,1.1531307034665915e-09,3.2271704661469805e-12,2.435312678704431e-12
18,8.447655920586704e-13,1.0321256194620046e-09,3.0843310320018765e-12,2.204620839962108e-12
19,8.707573084595458e-13,8.927395370025282e-10,2.8837054537230158e-12,1.9332932612762113e-12
20,8.877883377629546e-13,7.421840714939039e-10,2.633435610302568e-12,1.6348950720897932e-12
21,8.955019813396694e-13,5.882487049612313e-10,2.3436878432821933e-12,1.32433842291227e-12
22,8.937288498430152e-13,4.388978072603217e-10,2.0262253604819783e-12,1.0171549535527898e-12
23,8.825126303029136e-13,3.0185854826547213e-10,1.6939362293866297e-12,7.286992306530979e-13
24,8.620890037214413e-13,1.8422111519153513e-10,1.3603145225723437e-12,4.733882059171261e-13
25,8.328896243383134e-13,9.20718698788104e-11,1.0389061851892353e-12,2.6399186273147146e-13
26,7.955326952172444e-13,3.017846906273211e-11,7.427642533520083e-13,1.1097512605620118e-13
27,7.508086323281378e-13,1.743165588012046e-12,4.839123336390914e-13,2.198048016797096e-14
28,6.996709300641834e-13,8.237171775547285e-12,2.728578630873156e-13,1.4709222306203186e-15
29,6.432023261302009e-13,4.9324488677266906e-11,1.1817231469423013e-13,5.04577894917461e-14
30,5.825893978106105e-13,1.2287932459487859e-10,2.613477893414077e-14,1.6650300043679457e-13
31,5.191284669520857e-13,2.2509606965068568e-10,4.872569944623038e-16,3.4379795280673407e-13
32,4.541636671761142e-13,3.5068620751928584e-10,4.2262900777881214e-14,5.734815782184046e-13
33,3.890626589917219e-13,4.931519076101679e-10,1.4977399150469513e-13,8.440753922967502e-13
34,3.2521142992825626e-13,6.451222215139248e-10,3.1865478059775763e-13,1.1420447603914487e-12
35,2.6396360522761777e-13,7.987344720324998e-10,5.420370577398309e-13,1.4525028526723006e-12
36,2.0661573940066485e-13,9.46040991143119e-10,8.108631857696522e-13,1.7599197745923435e-12
37,1.5437904257109216e-13,1.0794203989516769e-09,1.1142152936181764e-12,2.048936096301422e-12
38,1.0836770833279607e-13,1.1919718568350275e-09,1.4397686694568845e-12,2.3050970441826494e-12
39,6.955035330865271e-14,1.2778721394478688e-09,1.7743120769163367e-12,2.515598925508328e-12
40,3.8753709109856196e-14,1.3326769046164371e-09,2.1042601265074194e-12,2.66991976606312e-12
41,1.6631211697523217e-14,1.3535506494936905e-09,2.416214417570745e-12,2.7603421259833763e-12
