,0,1,2,3
0,2.6214438643079096e-14,2.758177737821874e-11,4.597927243918456e-14,1.6633612836146573e-13
1,3.3073187551152176e-12,3.4544366043314193e-09,5.786768696190605e-12,2.0894366148758593e-11
2,1.90824490317652e-11,1.9587156636646122e-08,3.3195346774222985e-11,1.1931794495110882e-10
3,5.642737411435219e-11,5.629122941471731e-08,9.721579890053313e-11,3.468149133330401e-10
4,1.2284089540624786e-10,1.1758986757187173e-07,2.0862724717417105e-10,7.360171259596034e-10
5,2.2359332224281747e-10,2.022741881519795e-07,3.721457936204505e-10,1.2923398293040563e-09
6,3.6113769533595416e-10,3.029774714964804e-07,5.845394465668558e-10,1.98585355209082e-09
7,5.346116716522864e-10,4.0603368736094485e-07,8.328938774193932e-10,2.7446922889472977e-09
8,7.394708987739234e-10,4.925451667265248e-07,1.0933547280438117e-09,3.4526407681150664e-09
9,9.673035269279326e-10,5.410917063397553e-07,1.3309792169531569e-09,3.955715502147501e-09
10,1.2058840239006189e-09,5.32253648181362e-07,1.501730137213104e-09,4.084417992502352e-09
11,1.4395359343817805e-09,4.544175379688862e-07,1.557939976972065e-09,3.6969798472438314e-09
12,1.6498690136800394e-09,3.0923126358892867e-07,1.458262264369514e-09,2.739378753234986e-09
13,1.8169441290255714e-09,1.1415535461634734e-07,1.1814370625261307e-09,1.2988154116360802e-09
14,1.9208787705032106e-09,1.0012957009201214e-07,7.398581750294557e-10,3.88465860717058e-10
15,1.9438405295376237e-09,2.9754294912424407e-07,1.8557237255214423e-10,2.0007640196500163e-09
16,1.8722798879358806e-09,4.4675598307354395e-07,3.981303007045995e-10,3.2429879720150356e-09
17,1.6991373534987773e-09,5.292860395414059e-07,9.192867925745281e-10,3.943116376309786e-09
18,1.425659061607669e-09,5.424666822683873e-07,1.3041212232000403e-09,4.082740073026491e-09
19,1.06240420550898e-09,4.971825668273507e-07,1.515080336040567e-09,3.763547705971344e-09
20,6.290823413469891e-10,4.1252240838407993e-07,1.5534527023633014e-09,3.146617960690481e-09
21,1.5303514291805128e-10,3.099328506071434e-07,1.4496215852295796e-09,2.3984423608173897e-09
22,3.3354258160299086e-10,2.0858314232353431e-07,1.2487081210799732e-09,1.6575043887877718e-09
23,7.972374226002943e-10,1.2253581595039645e-07,9.979510079873596e-10,1.0200177408813459e-09
24,1.2072728164473871e-09,5.958241682286403e-08,7.384586222970542e-10,5.381722899935027e-10
25,1.5388893826975656e-09,2.1318746160242764e-08,5.011786252031451e-10,2.2489780042633167e-10
26,1.7756852334189072e-09,4.0297409860356325e-09,3.058401674002938e-10,6.137640940856159e-11
27,1.9106237998680876e-09,5.6113705426642066e-11,1.61608244052185e-10,5.4150372403626854e-12
28,1.9457251339820153e-09,5.76011155852544e-10,6.857160757785605e-11,9.417751121663047e-14
29,1.8907107290281506e-09,8.402096917119877e-09,1.9558103546074108e-11,1.8825135168205007e-11
30,1.7609933846077193e-09,3.273935656624878e-08,2.0346188427211493e-12,1.1275527258697813e-10
31,1.5754228650391012e-09,7.996662630402261e-08,5.1799642414872614e-15,3.338779003824653e-10
32,1.3541169694981063e-09,1.5197239138850023e-07,4.184035103150755e-12,7.158040047881406e-10
