,0,1,2,3
0,3.189967930579123e-14,2.2434726643522337e-12,2.1487783268718067e-13,6.57764782778068e-13
1,1.1404623284882835e-12,1.6972849889432575e-11,7.207949758352164e-12,1.1104860800057603e-11
2,5.822317584246196e-12,1.28627434184249e-10,3.027729575873684e-11,6.667371698353517e-11
3,1.7070851341000628e-11,6.670488106150729e-10,7.821416360550027e-11,2.3561877158009686e-10
4,3.758503728451955e-11,1.8948950793925725e-09,1.5831541116452702e-10,5.692282956142014e-10
5,6.94881275843208e-11,4.078842545359633e-09,2.743113102253713e-10,1.095591864351996e-09
6,1.1407441164948185e-10,7.375063435917842e-09,4.2449517191590764e-10,1.8063593168268432e-09
7,1.7157712385112614e-10,1.1711426100467355e-08,6.002613823313404e-10,2.6460251345273736e-09
8,2.4098336660237383e-10,1.669197890638549e-08,7.854355611691705e-10,3.5075737019084046e-09
9,3.1992209704599975e-10,2.160062546774039e-08,9.568680213728023e-10,4.2394539953734265e-09
10,4.046517242270356e-10,2.5567742970775684e-08,1.0867997382163193e-09,4.670413720454945e-09
11,4.901713718475988e-10,2.7876265576834072e-08,1.1473830772158024e-09,4.656792986194372e-09
12,5.704755862392892e-10,2.8251236008879405e-08,1.1172955361130322e-09,4.146783889185746e-09
13,6.389622512237373e-10,2.692135819168242e-08,9.89392529891285e-10,3.2417905247149713e-09
14,6.889864446400793e-10,2.438611835326447e-08,7.771351730777395e-10,2.2440258827170716e-09
15,7.145311375014749e-10,2.108739765358466e-08,5.179752562481786e-10,1.6932894456054833e-09
16,7.109360289435807e-10,1.727590745536446e-08,2.830772894261047e-10,1.8744752164139567e-09
17,6.75594622344461e-10,1.3138927409383842e-08,2.2816350800037694e-10,2.2345832666150514e-09
18,6.085094518591151e-10,8.980713462145385e-09,3.4082889050305916e-10,2.388634479210463e-09
19,5.125946836086528e-10,5.242733495901334e-09,4.335147905882256e-10,2.2892757145464633e-09
20,3.936689657096124e-10,2.374445734088956e-09,4.666025427308953e-10,2.0029245823841943e-09
21,2.6030013013253024e-10,8.576108303229676e-10,4.46928366689001e-10,1.614494779980607e-09
22,1.2546831382830336e-10,9.591334254449196e-10,3.913038866965357e-10,1.1963679289174778e-09
23,6.026326331813092e-11,1.0127684564272634e-09,3.1693200449564735e-10,8.029264638485695e-10
24,1.6052159854372627e-10,7.3965084889394e-10,2.3792538419440347e-10,4.72419878523047e-10
25,2.627042880711232e-10,3.773007202257598e-10,1.644401028704669e-10,2.2820907969647938e-10
26,3.428068636797342e-10,1.1027153189802602e-10,1.0293666021532521e-10,7.783719384534803e-11
27,3.967613878748747e-10,4.798470405167635e-12,5.6717730848672355e-11,1.1243359364892248e-11
28,4.2426331271627946e-10,1.2009421432487576e-11,2.631814981908814e-11,4.627948326247099e-13
29,4.273279971300676e-10,2.3837510612578967e-11,9.610909313292994e-12,1.0263795384038004e-11
30,4.0955509735937656e-10,2.975171334891828e-10,2.1039879910444033e-12,6.238403639652812e-11
31,3.75487965769555e-10,1.1013596278937267e-09,4.842920699270729e-14,2.2528850245468188e-10
32,3.3005342756651e-10,2.7177933645175183e-09,5.5952277037201035e-12,5.510404738721668e-10
33,2.781079150050822e-10,5.378815222850121e-09,2.6099763111747226e-11,1.068997735075906e-09
34,2.2409967227801013e-10,9.155609777905705e-09,7.037969564087371e-11,1.7726260093375453e-09
35,1.718382417547748e-10,1.3842504610774831e-08,1.4604406968430795e-10,2.6085930718410896e-09
36,1.2435172140585857e-10,1.8894596940362133e-08,2.573914842142542e-10,3.4720537945433288e-09
37,8.381082236216025e-11,2.349805057572163e-08,4.035076929285398e-10,4.213009599605419e-09
38,5.150098557725166e-11,2.6808205354961316e-08,5.767321243021869e-10,4.660244785047547e-09
39,2.7830576260228202e-11,2.827450605509815e-08,7.618614652367154e-10,4.667663761673623e-09
40,1.2367904971892468e-11,2.7853119446170452e-08,9.365525444372702e-10,4.178149611096747e-09
41,3.9065432126626115e-12,2.5932425655043957e-08,1.0734321232831611e-09,3.2855101758024324e-09
42,5.639781538419215e-13,2.3021123022784178e-08,1.144333218577277e-09,2.2822417583639945e-09
43,8.073666094864703e-15,1.9476334994329842e-08,1.12667078187784e-09,1.7002707164250038e-09
44,8.699217611619402e-13,1.5495768521391022e-08,1.0110643673225076e-09,1.8584157973177775e-09
45,4.9434892096639785e-12,1.1302144566260683e-08,8.080758464799153e-10,2.2222180801917867e-09
46,1.5220977648595167e-11,7.26906659059421e-09,5.519252569012592e-10,2.3874955114667496e-09
47,3.445513808877308e-11,3.859722106937965e-09,3.0758108755486107e-10,2.2979944079388076e-09
48,6.485458128365848e-11,1.5013943966206796e-09,2.2048888522494505e-10,2.0178942947581727e-09
49,1.0782982755753027e-10,8.038526267349345e-10,3.254637343786236e-10,1.6322308408122005e-09
50,1.6375713486687396e-10,1.0337394031813989e-09,4.248455972436241e-10,1.2141372082044162e-09
51,2.3178610261158598e-10,9.202772145316809e-10,4.6560950210019354e-10,8.187429747842825e-10
52,3.0971733077041807e-10,5.790570753363144e-10,4.5185073860542165e-10,4.849482326962867e-10
53,3.93976086607628e-10,2.422520779126836e-10,3.9984137412295013e-10,2.367588983693083e-10
54,4.797069516925794e-10,4.4792609003735084e-11,3.270075510513801e-10,8.243478102694673e-11
55,5.610102519368854e-10,5.808933002842404e-13,2.4794452470516607e-10,1.2697977720618759e-11
56,6.313305844523146e-10,1.7727419515768334e-11,1.7331536605031373e-10,2.9794851606854835e-13
57,6.839938496734495e-10,9.50444650336444e-11,1.1002567068415098e-10,9.494039341779721e-12
58,7.128659213761252e-10,5.666423811096736e-10,6.17565328815614e-11,5.830086323960183e-11
59,7.130785572721751e-10,1.6911900753921937e-09,2.938669348479313e-11,2.1526169149918428e-10
60,6.817358024146435e-10,3.741849071906131e-09,1.1132166728434594e-11,5.332123640361836e-10
61,6.184938947254235e-10,6.8951133380289764e-09,2.7275744828670975e-12,1.0427530157251643e-09
62,5.258997092291895e-10,1.1114224130916024e-08,4.560869923551995e-16,1.7391445634331775e-09
