,0,1,2,3
0,1.4497011523355237e-16,2.0188856172837294e-15,6.655779000327364e-16,1.5648901930830785e-15
1,9.461156636268715e-16,5.705505806069663e-13,8.603692612898597e-15,2.2738096980134903e-14
2,2.666529618900631e-15,5.169276911255348e-12,2.255583491466698e-14,5.0264503783815706e-14
3,9.522918162055036e-15,2.1294089089791906e-11,5.235903754091087e-14,1.6077853296108614e-13
4,2.507349869374612e-14,6.050110634230037e-11,1.1677246268208775e-13,4.0458739978898797e-13
5,5.180437053558864e-14,1.3684613649139116e-10,2.2586501293360622e-13,7.642761857978109e-13
6,9.151030566493056e-14,2.626739136228994e-10,3.8060966487812335e-13,1.2045736524086755e-12
7,1.450776728808092e-13,4.4206240531130765e-10,5.732254473723621e-13,1.7210656312398575e-12
8,2.121904091574175e-13,6.644566076054225e-10,7.862226373722204e-13,2.3807459609641627e-12
9,2.911313934492103e-13,9.029326756386655e-10,9.920391905185673e-13,3.256640112831147e-12
10,3.787011811959279e-13,1.1209556147799026e-09,1.1556136216617392e-12,4.314192311880156e-12
11,4.702900049571046e-13,1.2866460194880237e-09,1.238095646120655e-12,5.432189974990303e-12
12,5.599872613277173e-13,1.3861494105763055e-09,1.2070981416403121e-12,6.560464893893768e-12
13,6.409607877711701e-13,1.4249140784935845e-09,1.0533920178211256e-12,7.795377587654356e-12
14,7.061275389991875e-13,1.4144741657720056e-09,8.26570969611403e-13,9.208614250533239e-12
15,7.489362323388479e-13,1.3572712934796775e-09,7.115179700078456e-13,1.0581262834425293e-11
16,7.641636053502875e-13,1.2454897501530174e-09,9.146935733965363e-13,1.1421186328751075e-11
17,7.491408254416467e-13,1.074812055392964e-09,1.282517516836146e-12,1.1305923196952883e-11
18,7.048149250680743e-13,8.579655673962334e-10,1.6112021998193997e-12,1.01839644950957e-11
19,6.366933267338533e-13,6.247517502338599e-10,1.8071963042791965e-12,8.37094027513808e-12
20,5.559165372588129e-13,4.097577025802237e-10,1.8441144207418976e-12,6.324779185112877e-12
21,4.804440096216958e-13,2.3846459317138694e-10,1.7367300499170713e-12,4.425069864156523e-12
22,4.331185087357471e-13,1.2039834137175062e-10,1.5226565208846681e-12,2.8765942492038685e-12
23,4.3054082174954266e-13,5.07079059450703e-11,1.2475910627227048e-12,1.7278817935889816e-12
24,4.670923316204563e-13,1.6503920496195295e-11,9.541751309137136e-13,9.371361247246395e-13
25,5.205135823872954e-13,3.5003756491357392e-12,6.766468625870106e-13,4.3281791474178555e-13
26,5.700897600569823e-13,3.153150268425775e-13,4.3850057695066327e-13,1.4730017793541382e-13
27,6.031329556746135e-13,5.743690888702187e-15,2.5264817157892906e-13,2.2500556095085955e-14
28,6.139407288660479e-13,6.446549087056803e-14,1.2280463783789562e-13,1.140697747662844e-15
29,6.014222482270336e-13,1.7384440081007121e-12,4.443811573120906e-14,2.1746206332792226e-14
30,5.676306007716704e-13,1.0197999143178857e-11,7.869252317542997e-15,4.8209605239675197e-14
31,5.165480070265575e-13,3.4769346023866975e-11,4.446612022926717e-16,1.5329424795759413e-13
32,4.5305269982906716e-13,8.843332753723769e-11,7.216991685729925e-15,3.915349963327663e-13
33,3.825733305304749e-13,1.8518427506202192e-10,2.026313082320281e-14,7.470272703294944e-13
34,3.100957780057148e-13,3.3463835082841987e-10,4.692059234166426e-14,1.1842516023478014e-12
35,2.4011961945736556e-13,5.351084969932653e-10,1.0611728123236037e-13,1.6967263339426192e-12
36,1.762350693905479e-13,7.686631954974767e-10,2.09211745022051e-13,2.3481010645997486e-12
37,1.2127820856795606e-13,1.00280373159071e-09,3.583170461342494e-13,3.214593921156472e-12
38,7.676686426518398e-14,1.2010564204349344e-09,5.468155965057875e-13,4.2666858720911635e-12
39,4.334225258845827e-14,1.3382586692124884e-09,7.584968649848219e-13,5.384214484464687e-12
40,2.0542007734836765e-14,1.4097991006363674e-09,9.670676235997004e-13,6.5109311023402424e-12
41,7.148595686426184e-15,1.4259495478940324e-09,1.1382827663519263e-12,7.738474345307426e-12
42,1.1977752234441474e-15,1.3955838606235243e-09,1.2332586363581276e-12,9.145951477491998e-12
43,1.3569069640819106e-16,1.3157123534892475e-09,1.2180909501909196e-12,1.052942403794411e-11
44,8.298193218704587e-16,1.1779375286506181e-09,1.0792130745546478e-12,1.140281517279767e-11
45,2.2820498246076396e-15,9.843532357427754e-10,8.551972875910583e-13,1.1332717510770324e-11
46,8.255815757678575e-15,7.560558083766279e-10,7.098805362182726e-13,1.0249483089222535e-11
47,2.2584895072853935e-14,5.268134386871686e-10,8.735976247229733e-13,8.456799503753736e-12
48,4.780954966276342e-14,3.286516479303197e-10,1.234430454275591e-12,6.4117390911216194e-12
49,8.583303319154586e-14,1.8038550651592368e-10,1.5752448093909482e-12,4.500170799090288e-12
50,1.376631999750585e-13,8.46778946412638e-11,1.7908583181176882e-12,2.9348710485605347e-12
51,2.0316082000128762e-13,3.228180966920746e-11,1.8479894744993297e-12,1.769441735272375e-12
52,2.8076422228415135e-13,8.985515922003572e-12,1.757353280788991e-12,9.645063991028976e-13
53,3.675073897452089e-13,1.4157259312815524e-12,1.5545533129187448e-12,4.4942388595114206e-13
54,4.588950664414125e-13,7.503407996064693e-14,1.2848924965904306e-12,1.559133346366466e-13
55,5.491783204736025e-13,4.490205865399462e-16,9.915307504392662e-13,2.5298516804400653e-14
56,6.316331174828374e-13,3.849184423917258e-13,7.104740267352869e-13,7.751021892406965e-16
57,6.991876753488539e-13,4.145186877577793e-12,4.663780815040021e-13,2.0759925352881444e-14
58,7.450360565258818e-13,1.8247227630157946e-11,2.734011890106884e-13,4.6292765558524424e-14
59,7.638868536627747e-13,5.3772126760062814e-11,1.3650972945206186e-13,1.4611834196597535e-13
60,7.526460744202923e-13,1.2463175451055371e-10,5.1812872409178046e-14,3.7866010734982784e-13
61,7.117823879853014e-13,2.437166919553417e-10,1.0644998885072057e-14,7.298470786352922e-13
62,6.461054937180391e-13,4.1654742141171173e-10,3.8662509932897695e-16,1.1641570197575654e-12
63,5.661288444413868e-13,6.346647310587314e-10,5.9544542301215765e-15,1.6725777625319558e-12
64,4.887551806123291e-13,8.730423069824166e-10,1.815877958132398e-14,2.316036229442219e-12
65,4.367439463233007e-13,1.0956784663620962e-09,4.203458454604358e-14,3.1730908498718135e-12
66,4.2837849918684635e-13,1.2692274617319808e-09,9.61882515216895e-14,4.2192850188521306e-12
67,4.611349532156253e-13,1.3771422105068106e-09,1.9336324288721647e-13,5.336187064380562e-12
68,5.137413391032147e-13,1.422919558996989e-09,3.367454349551668e-13,6.461499575589398e-12
69,5.646352718930069e-13,1.418304600590566e-09,5.20889471899467e-13,7.681988526463647e-12
70,6.001569966359214e-13,1.3673448245358301e-09,7.308790068719514e-13,9.083273417322796e-12
71,6.138685770908068e-13,1.2629658032883717e-09,9.417470195244634e-13,1.047663772229365e-11
72,6.042118408666881e-13,1.0994740993491327e-09,1.1197388585612434e-12,1.1382586723865024e-11
73,5.728682697301696e-13,8.87100468116546e-10,1.2266480067979535e-12,1.135753524543268e-11
74,5.236434208531054e-13,6.539950629545041e-10,1.227104411090748e-12,1.0313653518738691e-11
75,4.614326293461866e-13,4.349853740596674e-10,1.1034692648729919e-12,8.542179995553984e-12
76,3.9154909206450057e-13,2.572767528403351e-10,8.84806482147788e-13,6.4989379183565354e-12
77,3.189767858460908e-13,1.3248226575619306e-10,7.141097125113788e-13,4.576044962007672e-12
78,2.484947645325647e-13,5.727471224131289e-11,8.359198663830489e-13,2.9937493057604634e-12
79,1.8372994188130603e-13,1.938675237486562e-11,1.1858305275790913e-12,1.8115474546846508e-12
80,1.2754229735928047e-13,4.410736274175917e-12,1.5370854619068528e-12,9.926457992698675e-13
81,8.168788240722006e-14,4.59386211434317e-13,1.7718302067465954e-12,4.666316360057697e-13
82,4.68708771208146e-14,1.2790876211198303e-14,1.8494948102815658e-12,1.6470375417360624e-13
83,2.2792533555180992e-14,3.1054218589740254e-14,1.7763428606453e-12,2.8446629634317256e-14
84,8.40948748593494e-15,1.2976315193935157e-12,1.5853217669297692e-12,5.734138972799864e-16
85,1.6263751131228016e-15,8.467990501525387e-12,1.3215926693206992e-12,1.9736977189204515e-14
86,1.3317293996641835e-16,3.0339091918193105e-11,1.0293058782107937e-12,4.4510300508729324e-14
87,7.250454722361924e-16,7.951875157299636e-11,7.448920417582089e-13,1.391390707520972e-13
88,1.9918731836922185e-15,1.7011640844839998e-10,4.950437248813497e-13,3.660062616109149e-13
89,7.118370339570802e-15,3.126800935106977e-10,2.952395969408423e-13,7.128756076531694e-13
90,2.0258889528992814e-14,5.07316338802894e-10,1.510031668874941e-13,1.1440917143259822e-12
91,4.400948737393223e-14,7.382393552372164e-10,5.99867728315882e-14,1.648641226430692e-12
92,8.036629737258916e-14,9.743890066689543e-10,1.3946021768941049e-14,2.284413941968475e-12
93,1.3048458186491469e-13,1.1789607153948057e-09,4.403770211987966e-16,3.1314721392158103e-12
94,1.9434347511268568e-13,1.3246004255693136e-09,4.653681360246859e-15,4.1720756073107576e-12
95,2.7056566972870163e-13,1.404066399352754e-09,1.6272631225161103e-14,5.28817426174431e-12
96,3.563724363732406e-13,1.426558183903559e-09,3.765112515211817e-14,6.412242753920018e-12
97,4.4745852709128616e-13,1.4020003183794875e-09,8.69797415373643e-14,7.625865022049404e-12
98,5.382251706236987e-13,1.3289087438234413e-09,1.782511007288091e-13,9.020640939347322e-12
99,6.220510091040359e-13,1.1987215299776553e-09,3.158396423981369e-13,1.0422973648398513e-11
100,6.918193817304149e-13,1.011437789859983e-09,4.953486052924725e-13,1.1360637044182091e-11
101,7.407027985133436e-13,7.858055875953103e-10,7.031591580111765e-13,1.1380464103297581e-11
102,7.631561590011193e-13,5.547316997977742e-10,9.15570746216187e-13,1.0376432071017066e-11
103,7.55692386772759e-13,3.5124604301399716e-10,1.1000441137671575e-12,8.627036408956415e-12
104,7.183480066897219e-13,1.9618917480074958e-10,1.218186052694172e-12,6.5864109038233e-12
105,6.553255825382017e-13,9.41467932468326e-11,1.2338611375549815e-12,4.652475306919588e-12
106,5.763203196868864e-13,3.700858298454636e-11,1.1260078611409874e-12,3.0534714296755067e-12
107,4.974546994530086e-13,1.0821754535266349e-11,9.149598091166462e-13,1.8544912396706427e-12
108,4.410385653612961e-13,1.8778671310533674e-12,7.238915452541206e-13,1.0212241345155503e-12
109,4.268834911026083e-13,1.1581247119616401e-13,8.020479999799449e-13,4.842061780731255e-13
110,4.554922335086932e-13,3.157491568997165e-16,1.1370773114598524e-12,1.739367148698589e-13
111,5.069311655145633e-13,2.482950008779704e-13,1.4969171815640738e-12,3.1479825708016144e-14
112,5.589604844095185e-13,3.2817225196561387e-12,1.7501631354338085e-12,4.899838520275924e-16
113,5.968696886222119e-13,1.5540622196968395e-11,1.848382197530018e-12,1.8695729429058954e-14
114,6.134536822249877e-13,4.761215750722633e-11,1.7931669162700022e-12,4.2935578584113173e-14
115,6.066450952564689e-13,1.1320246009758158e-10,1.614969478667701e-12,1.324310031894382e-13
116,5.778625580572721e-13,2.2564272748512991e-10,1.3581659920860914e-12,3.5359549095845294e-13
117,5.305593284911271e-13,3.917840496729631e-10,1.0670270771095588e-12,6.959702337593846e-13
118,4.697105012443844e-13,6.052147485253119e-10,7.80112172773623e-13,1.1242601735286422e-12
119,4.0047784704387893e-13,8.428956534316331e-10,5.24597076443361e-13,1.6247924821417772e-12
120,3.2797143359359976e-13,1.0695877900531008e-09,3.1786706182686467e-13,2.2529436189322453e-12
121,2.5705323653266665e-13,1.2507239064920296e-09,1.6642904545982482e-13,3.09073987517486e-12
122,1.9135059039071631e-13,1.3671240075188964e-09,6.898440987429228e-14,4.1249115014695575e-12
123,1.3396382115415844e-13,1.4201275686462896e-09,1.7746775043356998e-14,5.2400837944817806e-12
124,8.67883856036798e-14,1.4214079101466884e-09,7.272745138933252e-16,6.363166322203152e-12
