,0,1,2,3
0,8.988749851178953e-16,9.224337806270843e-16,8.987807892402954e-16,8.999381764723047e-16
1,9.151429211367758e-16,1.7484999274901504e-15,9.150714249477319e-16,9.689091322781727e-16
2,9.542348708875372e-16,4.102459746062408e-15,9.72324356782189e-16,1.2978541754680848e-15
3,1.0182232987027086e-15,7.56261176304265e-15,1.115249966897079e-15,2.0768871330042646e-15
4,1.1090580791014325e-15,1.122347663600877e-14,1.4028671015104649e-15,3.3011763906196802e-15
5,1.2274493998557285e-15,1.8984122261657322e-14,1.8936234462267576e-15,4.777738156415855e-15
6,1.3723003737590115e-15,4.572384297995042e-14,2.6458765582814643e-15,6.1029484419747845e-15
7,1.5409836044068298e-15,1.0226769194334404e-13,3.726910324891028e-15,6.712265842321686e-15
8,1.7306942948452674e-15,1.9297897410674734e-13,5.207626343773798e-15,6.774909055453965e-15
9,1.941140283007125e-15,3.23777532630558e-13,7.130468487534978e-15,9.553861229692071e-15
10,2.1784531170942525e-15,4.654047240136538e-13,9.459557925982184e-15,1.6612552615516808e-14
11,2.4591217997373942e-15,4.459147650301966e-13,1.20974631019787e-14,4.9770876305286765e-14
12,2.8109613046153625e-15,4.681604576077799e-12,1.5183078987153324e-14,2.4950809534590815e-13
13,3.266907679894972e-15,1.3031249856842256e-11,1.9690997138591085e-14,1.0219633222298042e-12
14,3.851417896906842e-15,1.3457249062650675e-11,2.6908655961717288e-14,3.1272601557566466e-12
15,4.565779597466077e-15,5.182493082647403e-12,3.3464869270165086e-14,4.020901453774694e-13
16,5.380798696116405e-15,5.34549084393118e-13,3.1681362115351405e-14,1.2557201925073434e-13
17,6.238706548218617e-15,4.685799912191884e-13,2.3962046431153285e-14,2.5598988398307646e-14
18,7.061598640371205e-15,3.3405334318913917e-13,1.775908668932329e-14,1.2984027261298403e-14
19,7.763388806034393e-15,2.003124834396604e-13,1.3956537765407733e-14,7.682636942221832e-15
20,8.263560604028164e-15,1.071993184067241e-13,1.109224815995838e-14,6.694957224210228e-15
21,8.501070353728988e-15,4.848663231108191e-14,8.560391693349225e-15,6.555210664965519e-15
22,8.445897905359645e-15,1.9995739312735585e-14,6.370572143724277e-15,5.555080396027604e-15
23,8.105093537445994e-15,1.1496764258434782e-14,4.6116313810277975e-15,4.096414178951372e-15
24,7.521286765525725e-15,7.805527141628527e-15,3.285669480568788e-15,2.6980212658190078e-15
25,6.764321144501251e-15,4.307664189189593e-15,2.3342390006664195e-15,1.6630634008744756e-15
26,5.9184548759541506e-15,1.857242794820278e-15,1.6855817223436846e-15,1.100366448613556e-15
27,5.068281148878402e-15,9.377447014446965e-16,1.2762517276108798e-15,9.201161538207886e-16
28,4.285427133883921e-15,1.1106840851285648e-15,1.048986293503891e-15,8.993847502093988e-16
29,3.617743274389605e-15,2.592713452908156e-15,9.441128702987122e-16,9.624141406456265e-16
30,3.0828175651722426e-15,5.533865587012164e-15,9.059247205266166e-16,1.2752153208317242e-15
31,2.669351928003511e-15,9.147015714992653e-15,8.983433946793244e-16,2.033589467282388e-15
32,2.3478565864725853e-15,1.3389124241555344e-14,9.113616093718056e-16,3.2413934879283512e-15
33,2.086051736988602e-15,2.745491937517772e-14,9.613228236395075e-16,4.7137692736624645e-15
34,1.860055947717016e-15,6.640891116894485e-14,1.0900630395563526e-15,6.0567832951027554e-15
35,1.6576151435580084e-15,1.3748092232047398e-13,1.3557192340482482e-15,6.705956067219504e-15
36,1.4755053903109798e-15,2.44544482792547e-13,1.81720721854525e-15,6.7510636360900305e-15
37,1.3153447424158014e-15,3.93286176728559e-13,2.532320333501252e-15,9.332886936107128e-15
38,1.180118142782983e-15,4.3956413587198765e-13,3.567014829004723e-15,1.6218470729202306e-14
39,1.0719719617659487e-15,1.5291428745213907e-12,4.9929106264381565e-15,4.633986631568529e-14
40,9.913147349789692e-16,8.32491820703174e-12,6.858865779195766e-15,2.3559153020551033e-13
41,9.368692199101504e-16,1.4885770747115527e-11,9.141127201159398e-15,8.974047223407157e-13
42,9.06500118657179e-16,1.0061587052955803e-11,1.1741941178820096e-14,3.243155051662559e-12
43,8.983797058178102e-16,2.381196914192385e-12,1.4738484189979933e-14,4.140635372824014e-13
44,9.119160456017003e-16,3.8767336319940547e-13,1.8973206870408928e-14,1.3471940565580396e-13
