,0,1,2,3
0,3.2248057559957623e-13,3.819956188955314e-13,3.160052484715146e-13,3.0025922350220596e-13
1,3.22477976316836e-13,3.8197411320839526e-13,3.1599871097422727e-13,3.002564094375731e-13
2,3.2248454203038057e-13,3.8198466861957277e-13,3.15994960072624e-13,3.0025604458314795e-13
3,3.2248400131821595e-13,3.81966461010654e-13,3.1600165935170456e-13,3.002400978890311e-13
4,3.224940260388173e-13,3.819706816144252e-13,3.1598214847956626e-13,3.002434075337825e-13
5,3.2250926034498275e-13,3.819714615259845e-13,3.1599078510898466e-13,3.002721837768008e-13
6,3.2249772368759606e-13,3.819838153323449e-13,3.1599116454720004e-13,3.0025116075364863e-13
7,3.2248622590370503e-13,3.8197685843993816e-13,3.159998792207562e-13,3.002667912229917e-13
8,3.224847794047135e-13,3.8197659025614213e-13,3.159901373719363e-13,3.0025119979944166e-13
9,3.2246970984873273e-13,3.819876348349429e-13,3.1599556290614435e-13,3.0025303357544673e-13
10,3.2249325432552324e-13,3.8197997549613877e-13,3.1600489482495525e-13,3.00258542295085e-13
11,3.2248249695719177e-13,3.8198169823910436e-13,3.160116093060785e-13,3.002623774642555e-13
12,3.2247164311646945e-13,3.819696968944007e-13,3.159981341840584e-13,3.0026464314900177e-13
13,3.224752860526156e-13,3.819869294124009e-13,3.1599336951237156e-13,3.0025564338068924e-13
14,3.2247285451958877e-13,3.819721048907974e-13,3.160043134307269e-13,3.002511496060948e-13
15,3.2247790830646305e-13,3.81958884139526e-13,3.1599397935240706e-13,3.002553465613373e-13
16,3.2248485551490834e-13,3.8199767356228553e-13,3.1599702889004207e-13,3.002502648164721e-13
17,3.224667210220483e-13,3.819852034189368e-13,3.1600394946506595e-13,3.0025423710584943e-13
18,3.2246185776671864e-13,3.820027087591336e-13,3.160126116694708e-13,3.0023543093178167e-13
19,3.224584078591811e-13,3.8196706572265695e-13,3.159963594201752e-13,3.002577851028205e-13
20,3.2248597640885627e-13,3.8198014991785713e-13,3.1598820241120545e-13,3.0023907945541936e-13
21,3.22478235356726e-13,3.8197184425203864e-13,3.1599969978260154e-13,3.0025322870323555e-13
22,3.2248477334278533e-13,3.819760546608373e-13,3.159938607838414e-13,3.002501426354941e-13
23,3.224736548913089e-13,3.8200410526314974e-13,3.1599814059152817e-13,3.002572884992895e-13
24,3.2250232936556687e-13,3.819687598786518e-13,3.1599389400515197e-13,3.002580257677908e-13
25,3.224811443352221e-13,3.81988159461012e-13,3.160181885621055e-13,3.002560944221828e-13
26,3.2248558616674596e-13,3.819618411798933e-13,3.159873960470549e-13,3.0025863745850273e-13
27,3.224757034209277e-13,3.819698426252481e-13,3.160067151991688e-13,3.0025014423187455e-13
28,3.2249680576820063e-13,3.8199212662669575e-13,3.159985887150206e-13,3.002566728022931e-13
29,3.2247680756743884e-13,3.8201266045233613e-13,3.160153440945616e-13,3.0023374706088134e-13
30,3.224878245612821e-13,3.819954254717075e-13,3.159981128564106e-13,3.0026197807124165e-13
31,3.224899091589953e-13,3.820130539237353e-13,3.160067812786587e-13,3.0025780608241456e-13
32,3.2247822513792504e-13,3.8197505642712083e-13,3.1600196349771754e-13,3.002506990781704e-13
33,3.2247678618486105e-13,3.820130760069491e-13,3.1599886468569064e-13,3.0026412241529185e-13
34,3.2247155573655745e-13,3.819744972009393e-13,3.1597466210799316e-13,3.002553474986705e-13
35,3.225031070533043e-13,3.819958016954913e-13,3.159851701817034e-13,3.002520950017813e-13
36,3.224531021638836e-13,3.8197505977182716e-13,3.159780272807623e-13,3.002604837555118e-13
37,3.2248952838392626e-13,3.819495072731514e-13,3.1599345002693337e-13,3.0025457783858313e-13
38,3.2248481040790206e-13,3.819725795624486e-13,3.159770246322036e-13,3.0026893474219275e-13
39,3.224977791367461e-13,3.819794204969396e-13,3.1601257839757233e-13,3.002589142794496e-13
40,3.224934471224592e-13,3.819753689027119e-13,3.1599619527649456e-13,3.002285945852771e-13
41,3.2249573684137344e-13,3.8199407804558127e-13,3.159819578679672e-13,3.002441556629454e-13
42,3.224814873289681e-13,3.8198460590789027e-13,3.1600305115659707e-13,3.00263784125027e-13
43,3.224777285247152e-13,3.8196822730496197e-13,3.1600373191916014e-13,3.002557242702211e-13
44,3.224912613680185e-13,3.820087334728887e-13,3.159963079814632e-13,3.0025634440467926e-13
45,3.224551305962973e-13,3.8199626003300764e-13,3.159930416102326e-13,3.0025936724163233e-13
46,3.2249884551648477e-13,3.819893015705948e-13,3.1598975055636904e-13,3.002624392752166e-13
47,3.225022339178795e-13,3.819758080187965e-13,3.1600805055226763e-13,3.002358986052618e-13
48,3.224863680140609e-13,3.819843595379356e-13,3.1601150392697346e-13,3.0024604187605887e-13
49,3.2247915206629487e-13,3.820053760863715e-13,3.160115855880089e-13,3.002648666032434e-13
50,3.2246434749111395e-13,3.8198875266231337e-13,3.1598811990091123e-13,3.002575325468117e-13
51,3.2247710177522017e-13,3.820214018381028e-13,3.160053528016394e-13,3.002676359977703e-13
52,3.224651749216494e-13,3.8197563676357657e-13,3.1599960012336597e-13,3.0025178593446636e-13
53,3.22502692822448e-13,3.8195373963110427e-13,3.1599671949024157e-13,3.0025247065224714e-13
54,3.224843773117552e-13,3.8196582316425595e-13,3.160164638305608e-13,3.002683325574131e-13
55,3.2247145122161477e-13,3.8199637057794234e-13,3.1599372834902113e-13,3.0025965724811607e-13
56,3.2247274817090117e-13,3.819711591387526e-13,3.1600332350748786e-13,3.002545404596932e-13
57,3.2248394081605106e-13,3.819683527842952e-13,3.1598589203880257e-13,3.0026378395786513e-13
58,3.2247007349873255e-13,3.819804168853142e-13,3.1600804024333073e-13,3.002626387712276e-13
59,3.224504078802105e-13,3.8196653372696493e-13,3.159851192872577e-13,3.0023740972383885e-13
60,3.2249494050904547e-13,3.819927173121712e-13,3.15993963809859e-13,3.0024409321405763e-13
61,3.224832977012033e-13,3.819754804726913e-13,3.1600313517143156e-13,3.0026269622439167e-13
62,3.22480698453418e-13,3.8197339615432483e-13,3.1600724624706627e-13,3.0024099460860687e-13
63,3.224841684670852e-13,3.8196854885277583e-13,3.160026716063178e-13,3.002471872071393e-13
64,3.2248529076462533e-13,3.819802813892884e-13,3.1600507950910573e-13,3.002687890821285e-13
65,3.2249453711008745e-13,3.819910898884023e-13,3.159865010884355e-13,3.002536892077268e-13
66,3.2250077942232554e-13,3.819718571799988e-13,3.1600602410446456e-13,3.002646872308283e-13
67,3.2247738678141154e-13,3.819976669596213e-13,3.160020858498596e-13,3.0025952800490907e-13
68,3.2249305472617884e-13,3.8198324115052384e-13,3.1600287491040025e-13,3.002614794583922e-13
69,3.2247776087679383e-13,3.8196131041135666e-13,3.16001050677755e-13,3.0024445156202647e-13
70,3.224768808964039e-13,3.819698257826692e-13,3.1601237248627793e-13,3.0026492573705846e-13
71,3.224777719577788e-13,3.819866058993689e-13,3.1599471777963086e-13,3.0024598822546033e-13
72,3.2245878138246444e-13,3.8199667502855635e-13,3.1599062274653005e-13,3.0025690394099374e-13
73,3.2248395536963796e-13,3.81970493338767e-13,3.1598306227586766e-13,3.0025060595022423e-13
74,3.2248240804058514e-13,3.819622170949733e-13,3.1600358779073315e-13,3.0024963247928914e-13
75,3.224821040296093e-13,3.8199099215341716e-13,3.1599157756207113e-13,3.002549622008482e-13
76,3.2249493962745754e-13,3.8197845733229896e-13,3.1600652414497737e-13,3.0025017967080494e-13
77,3.224731037768457e-13,3.820150225949997e-13,3.159999033460822e-13,3.0025905835247096e-13
78,3.2247905768665234e-13,3.8197296266173903e-13,3.1598789839258673e-13,3.0024870423228416e-13
79,3.2246958404324615e-13,3.8197490124763953e-13,3.1600531914391933e-13,3.002444123927925e-13
80,3.224750460951939e-13,3.819851566484641e-13,3.1598521154886196e-13,3.002379194526306e-13
81,3.2246934707345854e-13,3.819813810972382e-13,3.159958934302533e-13,3.0024787022467566e-13
82,3.2247599507302573e-13,3.819733265015136e-13,3.1600806783062705e-13,3.002600428293759e-13
83,3.224852647451017e-13,3.819675924690572e-13,3.1598989828508434e-13,3.0024414358481e-13
84,3.224914688168428e-13,3.8197358884134363e-13,3.1599375340307097e-13,3.002363351717231e-13
85,3.224708347102281e-13,3.819925835358174e-13,3.1598604351071573e-13,3.002351779640546e-13
86,3.2247047653980343e-13,3.8196614542926023e-13,3.159992672998546e-13,3.0027268489419006e-13
87,3.224742856877736e-13,3.819601714004721e-13,3.160010742502214e-13,3.0024320679224847e-13
88,3.224545400472305e-13,3.820009606927188e-13,3.159991106868738e-13,3.002529936780626e-13
89,3.224712760377002e-13,3.8198068412329884e-13,3.159884744017767e-13,3.002451726056695e-13
90,3.2246946717131326e-13,3.819800131588139e-13,3.160172444424133e-13,3.0025990466917265e-13
91,3.224960621909997e-13,3.8197087033450085e-13,3.1600424845501377e-13,3.0022693856989014e-13
92,3.2248158483307536e-13,3.8196472442002777e-13,3.160023380813952e-13,3.002460424608981e-13
93,3.2247228744616434e-13,3.8196943310509345e-13,3.160039190923673e-13,3.002535516855947e-13
94,3.224789729002589e-13,3.8197862741254427e-13,3.160068323180111e-13,3.0024939796449477e-13
95,3.224811139559445e-13,3.8199296596273033e-13,3.1600551248555884e-13,3.002507265764465e-13
96,3.225033417377763e-13,3.8198841623594706e-13,3.16013282024463e-13,3.0025576160418193e-13
97,3.224712832878184e-13,3.8197619239981317e-13,3.159827201804537e-13,3.002651904627146e-13
98,3.22482342540019e-13,3.8197783111523177e-13,3.160066224281984e-13,3.002341956199619e-13
99,3.22482297088352e-13,3.81969340664015e-13,3.15985979994161e-13,3.00251060907317e-13
100,3.2248923441116475e-13,3.81965209137177e-13,3.160035887904191e-13,3.0024679021831943e-13
101,3.2247267378999144e-13,3.819978130878155e-13,3.160063338286985e-13,3.0024433409588694e-13
102,3.2249171459790093e-13,3.8197152790675984e-13,3.1599968110415997e-13,3.0027101911979944e-13
103,3.2247573680466414e-13,3.8195204990053423e-13,3.159960244903786e-13,3.002586531917165e-13
104,3.2248597176946043e-13,3.8197824881689126e-13,3.1599544475156644e-13,3.0026162762333097e-13
