,0,1,2,3
0,1.2914883862548772e-15,1.5031216024786128e-15,1.2327573912728013e-15,1.2009923719831998e-15
1,1.2899609038264215e-15,1.50425287387166e-15,1.2425378863756435e-15,1.1775358322480224e-15
2,1.2691704763061211e-15,1.5306963881425277e-15,1.2402090815547917e-15,1.1813008192698104e-15
3,1.262747670843759e-15,1.4996463720653034e-15,1.2547004203339343e-15,1.186444244318123e-15
4,1.2802291244034465e-15,1.5072167486174042e-15,1.2591048359460525e-15,1.1748040350814788e-15
5,1.2834986474920375e-15,1.5104647010267285e-15,1.242686815045854e-15,1.176216427028146e-15
6,1.284051183130878e-15,1.5003276071690872e-15,1.2499572850009082e-15,1.1716112320802652e-15
7,1.2651292931586573e-15,1.4914577618894136e-15,1.2416179033835678e-15,1.1790083095828372e-15
8,1.3005762189993408e-15,1.5049361134171014e-15,1.2513812948415971e-15,1.1858137122080232e-15
9,1.2777708105436966e-15,1.5024883535789676e-15,1.246734724541762e-15,1.1723725252449079e-15
10,1.2853907989472979e-15,1.5037449518827883e-15,1.2603302789951486e-15,1.1808550871108974e-15
11,1.2703544733725285e-15,1.5006428849024675e-15,1.2471767469114919e-15,1.1808162187442948e-15
12,1.2620331333587932e-15,1.504438210117577e-15,1.2467031775653492e-15,1.18911804993366e-15
13,1.2694360058531735e-15,1.502035077852989e-15,1.2373440313538961e-15,1.1713189099536782e-15
14,1.2593910981999491e-15,1.4986855472745592e-15,1.2377676423133368e-15,1.1703767988178928e-15
15,1.2932601515750521e-15,1.5021637608882375e-15,1.2483747651296208e-15,1.18703742475882e-15
16,1.2898451562477495e-15,1.5143939680830564e-15,1.2400277593223955e-15,1.1791926537094266e-15
17,1.2790515496807216e-15,1.488234551671629e-15,1.242427570917494e-15,1.1781356177797919e-15
18,1.2765444688185197e-15,1.4850914774196547e-15,1.2395947765813084e-15,1.1639974472974304e-15
19,1.2719697991092783e-15,1.4845762209548258e-15,1.2442476470219914e-15,1.1924219523731995e-15
20,1.287737387846146e-15,1.50147016116663e-15,1.2728885154163597e-15,1.2025720743775741e-15
21,1.27914950259532e-15,1.5093740080406927e-15,1.2303336342247913e-15,1.17181763913723e-15
22,1.2912733734726059e-15,1.495778574138054e-15,1.2411455604518994e-15,1.1805501259870506e-15
23,1.2708943588607316e-15,1.4920441580499782e-15,1.2529322395847811e-15,1.1790524997646436e-15
24,1.2613086135918938e-15,1.486866694318245e-15,1.2498942201418357e-15,1.1795372457085743e-15
25,1.2798882041521076e-15,1.4987599474372794e-15,1.241277999188176e-15,1.1961658053317559e-15
26,1.2776715411876544e-15,1.5000638578534973e-15,1.2652949679546393e-15,1.17536441278996e-15
27,1.2721852312833185e-15,1.5126957818732761e-15,1.264810621713744e-15,1.1811237159935917e-15
28,1.2751772023988718e-15,1.5023453264409589e-15,1.2592630269013478e-15,1.1766286711504954e-15
29,1.2550845174318967e-15,1.5128424753044911e-15,1.248866976177918e-15,1.1632319830223257e-15
30,1.3053522981027814e-15,1.5038918558643532e-15,1.252087564074539e-15,1.189729716871504e-15
31,1.287117892536918e-15,1.5066485726568192e-15,1.2439956089850937e-15,1.1665568538183664e-15
32,1.2651548502674885e-15,1.4810705061607036e-15,1.2451762085506339e-15,1.1803898775732018e-15
33,1.266360744298818e-15,1.4960862516565715e-15,1.2612910016904262e-15,1.185913050902471e-15
34,1.2601400294232476e-15,1.500522442391296e-15,1.2411342515483968e-15,1.1857462114021017e-15
35,1.2620237674948202e-15,1.512317412837745e-15,1.2572955218179001e-15,1.1940870391784907e-15
36,1.251831162702452e-15,1.5142980902786321e-15,1.2375391488701922e-15,1.1956288464545138e-15
37,1.2963663900812514e-15,1.5011263081202581e-15,1.2454973073473678e-15,1.1730141304918705e-15
38,1.2769926512237773e-15,1.509550025718167e-15,1.2728032554924065e-15,1.1861227710392861e-15
39,1.2855566447385328e-15,1.50937697575679e-15,1.2324704656524667e-15,1.1771942400593315e-15
40,1.2822005105005627e-15,1.5001097393877174e-15,1.267648454967106e-15,1.1799416949804413e-15
41,1.280700926944743e-15,1.4987324084661215e-15,1.2408353732928489e-15,1.1722858282132724e-15
42,1.2681569365014568e-15,1.5085378206658164e-15,1.261449486409879e-15,1.192461315375107e-15
43,1.2648412464780047e-15,1.5115154551303957e-15,1.2371416303817465e-15,1.1774349137939908e-15
