,0,1,2,3
0,8.205496561869727e-11,2.6283832507659733e-12,9.196193380030784e-11,6.494960547969527e-13
1,4.090835692307448e-10,1.313916030138704e-11,4.5947967662128325e-10,3.244349767670213e-12
2,7.234632492900883e-10,2.336527880180632e-11,8.168034786405316e-10,5.758357590870073e-12
3,1.0154730221078554e-09,3.308496135102342e-11,1.1560038829923177e-09,8.128806925280152e-12
4,1.2760858994670624e-09,4.2089899786986866e-11,1.469557193879678e-09,1.0297502369227374e-11
5,1.4972412411481023e-09,5.018343607625925e-11,1.7505044969125325e-09,1.2211513076777192e-11
6,1.6721030414151029e-09,5.719011788627665e-11,1.9926136350826303e-09,1.3821054245266486e-11
7,1.7952648994604013e-09,6.29599749226495e-11,2.1905120731036553e-09,1.5087317690087545e-11
8,1.862916075512514e-09,6.73677264329589e-11,2.339810061824323e-09,1.5978521216776805e-11
9,1.872968202255565e-09,7.031790377163549e-11,2.4371942762189417e-09,1.6472580098256312e-11
10,1.825107973936166e-09,7.174401283773947e-11,2.480504725352107e-09,1.6557708773526793e-11
11,1.7208167229295732e-09,7.161997543495959e-11,2.4687808031664665e-09,1.623093016390638e-11
12,1.5633178790178481e-09,6.994482825978314e-11,2.402281178661562e-09,1.5500012108850308e-11
13,1.3574827157342237e-09,6.675613661391324e-11,2.2824815300663392e-09,1.4385291268664449e-11
14,1.1096736352905262e-09,6.212333593700526e-11,2.1120414473557204e-09,1.2912934870534636e-11
15,8.275539110920012e-10,5.6145229641123776e-11,1.89474128140807e-09,1.1118831647659318e-11
16,5.198476794547384e-10,4.8952110519892514e-11,1.6354023271925347e-09,9.049675382230196e-12
17,1.960670946358582e-10,4.070012857853128e-11,1.3397790370963508e-09,6.754043953644154e-12
18,1.337771637505347e-10,3.1567976016402806e-11,1.0144295961712755e-09,4.291484481064835e-12
19,4.594822692486208e-10,2.1751331784471932e-11,6.665728929349087e-10,1.722802824577156e-12
20,7.709832729679521e-10,1.1464734224540824e-11,3.039271190950891e-10,8.897168371598383e-13
21,1.058643485401919e-09,9.302166095742726e-13,6.546142438078182e-11,3.4805426393284823e-12
22,1.3135722712858308e-09,9.625166353731033e-12,4.3339887042615327e-10,5.982444467566418e-12
23,1.527885301869238e-09,1.9971932294584375e-11,7.917198497524106e-10,8.338265816150213e-12
