,0,1,2,3
0,2.280501514347795e-15,4.445467013757426e-17,8.958814487963317e-17,3.70670474870498e-17
1,5.76820916103683e-14,9.84010254377113e-17,2.0861341620701693e-15,2.448452159065101e-16
2,1.854548464911774e-13,2.7021192942432807e-16,6.726579496157066e-15,7.665804537322404e-16
3,3.8162359263334035e-13,5.299869649235242e-16,1.390093531311569e-14,1.5827197050306751e-15
4,6.401388652280726e-13,8.933060695840362e-16,2.3442884677092297e-14,2.652015211990137e-15
5,9.530052326313695e-13,1.3354755905977497e-15,3.514708953268868e-14,3.971479466126168e-15
6,1.310554863614564e-12,1.849070085015312e-15,4.875689890323882e-14,5.485557420587725e-15
7,1.7017037483642453e-12,2.4233937248396583e-15,6.396068661808961e-14,7.171953858100973e-15
8,2.114393020625875e-12,3.039450556474552e-15,8.042937541021143e-14,8.980056220716771e-15
9,2.5358528452082776e-12,3.700752634082821e-15,9.779400004497627e-14,1.08820260426999e-14
10,2.9530276294492985e-12,4.382486394279854e-15,1.1567180957814649e-13,1.2794609847315213e-14
11,3.353053090995341e-12,5.068800694409328e-15,1.336636324435782e-13,1.4703558420611897e-14
12,3.723544582240086e-12,5.745360136267876e-15,1.5137120713535978e-13,1.655777981753941e-14
13,4.0530391053118685e-12,6.404344064302274e-15,1.683988551089046e-13,1.8300233776727815e-14
14,4.331367338221787e-12,7.015968641280067e-15,1.8437432380699462e-13,1.9891599062871274e-14
15,4.5499077703000945e-12,7.579600361678269e-15,1.989388179643694e-13,2.12947635343321e-14
16,4.701915163973524e-12,8.078706142974182e-15,2.1177091822777887e-13,2.2468930948033893e-14
17,4.782675883957246e-12,8.507999915139988e-15,2.225915953780806e-13,2.3389943392980254e-14
18,4.789705215584816e-12,8.860077539083489e-15,2.3114581145421473e-13,2.403646233919713e-14
19,4.722782644166466e-12,9.111458082670153e-15,2.372577112213121e-13,2.4382717619535455e-14
20,4.583967538681484e-12,9.27125641224648e-15,2.4078634865000574e-13,2.442768528255635e-14
21,4.377563178074176e-12,9.326291788199878e-15,2.416506126455728e-13,2.4181851774360454e-14
22,4.109948048613515e-12,9.29247432025279e-15,2.3983692299480046e-13,2.3625734681875192e-14
23,3.78939650630082e-12,9.14506830047832e-15,2.353851453098862e-13,2.2796544039898627e-14
