,0,1,2,3
0,7.207661999688508e-12,4.1540017433626306e-13,2.675396713406573e-12,7.478687021184361e-14
1,9.072135266205658e-10,5.239290919673702e-11,3.3752624173518403e-10,9.430240363960855e-12
2,5.20570419084226e-09,3.021151687465814e-10,1.9474057444346216e-09,5.4341566050762364e-11
3,1.525702562109485e-08,8.925191705528731e-10,5.7582129121097854e-09,1.6035747316861563e-10
4,3.279635592376947e-08,1.9404501397064e-09,1.2533978329234453e-08,3.4805091275767166e-10
5,5.869282610944715e-08,3.5260254332501946e-09,2.2809041761479025e-08,6.309360096996753e-10
6,9.273993886867665e-08,5.6831727604957e-09,3.682561552697494e-08,1.0135573391854714e-09
7,1.3350454856427946e-07,8.391880704156458e-09,5.447973942668647e-08,1.4898606610609467e-09
8,1.7826331919945215e-07,1.1572839722368682e-08,7.52798096494328e-08,2.0420001223575838e-09
9,2.2306341427611004e-07,1.508530187816818e-08,9.832331932460479e-08,2.6397983454845284e-09
10,2.629489434053894e-07,1.8729119486280245e-08,1.2229906595171942e-07,3.2411413863459615e-09
11,2.9239048843450954e-07,2.2251986314674654e-08,1.4552347623532503e-07,3.79364392634637e-09
12,3.059337382224876e-07,2.5362816009282794e-08,1.6602025122774732e-07,4.237925756179259e-09
13,2.9903696590861506e-07,2.7751839322145265e-08,1.816511918083089e-07,4.5127481697953564e-09
14,2.6899469194855906e-07,2.9117289172096562e-08,1.9030155196418345e-07,4.561997273680332e-09
15,2.1576122252789074e-07,2.9197390922833726e-08,1.901143955753295e-07,4.34304832384512e-09
16,1.424294043388281e-07,2.7804844648839248e-08,1.7975489414806363e-07,3.835406877141886e-09
17,5.513669017134874e-08,2.485932971878206e-08,1.5866903423105298e-07,3.047873574698694e-09
18,3.770440020155794e-08,2.0412252978867424e-08,1.2728641697078535e-07,2.0221215388258757e-09
19,1.267427216883736e-07,1.4657673570366661e-08,8.711099577488504e-08,8.308635109909985e-10
20,2.0327251971115724e-07,7.924637001985088e-09,4.065408125941012e-08,4.300905307171805e-10
21,2.606463939268711e-07,6.492290902526055e-10,8.806292143921196e-09,1.6548447951230336e-09
22,2.951676245819927e-07,6.6710226099601665e-09,5.7612220347251424e-08,2.7427681253984064e-09
23,3.063097243387289e-07,1.3533444913306806e-08,1.0218928923632409e-07,3.612614513853064e-09
24,2.963308635777704e-07,1.9487428829339394e-08,1.3949289894263318e-07,4.212289514823297e-09
25,2.694960079572407e-07,2.4182520676602505e-08,1.6734940873711745e-07,4.522637284132609e-09
26,2.3115550492989771e-07,2.7399794185887582e-08,1.8463609270113126e-07,4.555432564177877e-09
27,1.8688085994407014e-07,2.9063071434524318e-08,1.912885972677616e-07,4.3471305321881555e-09
28,1.4177615466763594e-07,2.923098758282662e-08,1.8816439141917986e-07,3.950482244339243e-09
29,1.0000723945422651e-07,2.8074246416189807e-08,1.768137922015415e-07,3.4259275586582533e-09
30,6.453934399766363e-08,2.584403671927634e-08,1.5921418131043806e-07,2.834091741565674e-09
31,3.704823343944953e-08,2.283752785403711e-08,1.3751311127180795e-07,2.2300398928320514e-09
32,1.7963263905694093e-08,1.9365190738011905e-08,1.1380989300989215e-07,1.6594229639222698e-09
33,6.604310784248066e-09,1.572304730419949e-08,8.998945973853312e-08,1.1563335641413108e-09
34,1.3821088603810072e-09,1.2171378104758486e-08,6.76103432150575e-08,7.42541659654556e-10
35,3.939486849060266e-11,8.92019045630365e-09,4.784137365243356e-08,4.2776986369082097e-10
36,8.334824864422447e-11,6.120959061086296e-09,3.1438475101900356e-08,2.107039480923202e-10
37,1.7692760040008754e-09,3.8637469296939264e-09,1.875239397622197e-08,8.050213252551934e-11
38,7.642884171020593e-09,2.1786838478788014e-09,9.759144968557478e-09,1.8629134778449253e-11
39,1.989245958140344e-08,1.0408234875724176e-09,4.106495142796092e-09,8.939826501891441e-13
40,4.000668429537932e-08,3.7752546424121833e-10,1.1713869224368145e-09,3.9173159464611085e-13
41,6.85375720783077e-08,7.765924742029517e-11,1.2457418499827737e-10,1.4191403968136085e-11
42,1.0490663303082762e-07,2.0674334538209413e-12,2.0322785441499077e-13,6.849978131983396e-11
43,1.472777926645564e-07,5.159203861588629e-12,2.3443578631366136e-10,1.8811552484710103e-10
44,1.9252853517831653e-07,1.0496014582970678e-10,1.601925057895728e-09,3.924709544515265e-10
45,2.3635807210176987e-07,4.514550084463145e-10,5.045994920713863e-09,6.935737049632904e-10
46,2.735740524774343e-07,1.1802683001697465e-09,1.1358123114323753e-08,1.0941388139938588e-09
47,2.9859072540190047e-07,2.3973522409151242e-09,2.1109541140821118e-08,1.5860259968377124e-09
48,3.061430149946428e-07,4.168682514293444e-09,3.458786407998028e-08,2.1491479406004253e-09
49,2.921660483941158e-07,6.5112912187957965e-09,5.174161811833749e-08,2.75107912925515e-09
50,2.547111603485889e-07,9.38621786256155e-09,7.213665813246277e-08,3.347656783529001e-09
51,1.9468877060461663e-07,1.2694104848532711e-08,9.492989297558917e-08,3.8849172444896005e-09
52,1.1618838060907735e-07,1.6274313584235676e-08,1.1886733925500395e-07,4.302699097596257e-09
53,2.6174972522635606e-08,1.990855269996573e-08,1.4231499265563615e-07,4.540129053480189e-09
54,6.64810689593313e-08,2.3330035729423133e-08,1.6333172560922985e-07,4.5429110604920394e-09
55,1.5246021211142322e-07,2.623901904719939e-08,1.797924248343638e-07,4.271843447807482e-09
56,2.2356933217886307e-07,2.8325117098682162e-08,1.8956561416009864e-07,3.711337995504591e-09
57,2.740213974155146e-07,2.929593123912774e-08,1.9074159678637654e-07,2.8760867123868187e-09
58,3.0112214028997894e-07,2.891024784122097e-08,1.8189424975773516e-07,1.8137642237158665e-09
59,3.052835639800434e-07,2.7012441320592285e-08,1.6234333330999625e-07,6.020817372412995e-10
60,2.894885845060497e-07,2.3563118432431133e-08,1.3236875749774573e-07,6.602169235049828e-10
61,2.584423958599385e-07,1.8659985414723105e-08,9.332063261867672e-08,1.8670392761217615e-09
62,2.17651037100998e-07,1.2543099282543623e-08,4.757674072343361e-08,2.92034121616718e-09
63,1.7260349589584152e-07,5.580558808359334e-09,1.6738201542337227e-09,3.743650062179556e-09
64,1.281498860688351e-07,1.7657309689394656e-09,5.079995580438116e-08,4.290803882352498e-09
65,8.809869396029014e-08,8.99010456160762e-09,9.618645176467005e-08,4.548612571011085e-09
66,5.501319405287228e-08,1.5600878313676873e-08,1.3468860712782108e-07,4.533929958971113e-09
67,3.016842358302321e-08,2.1175612186697076e-08,1.6399285653146432e-07,4.286852059712379e-09
68,1.362745809030399e-08,2.540438652694244e-08,1.8282158005019703e-07,3.86216273117806e-09
69,4.401121473071157e-09,2.8114734480844787e-08,1.909643087892569e-07,3.320850590041143e-09
70,6.632206377170885e-10,2.9276290908233013e-08,1.8915896391924074e-07,2.7228958883513028e-09
71,8.988221953163081e-13,2.8987417577675435e-08,1.7887261710485845e-07,2.1218735518266594e-09
72,3.1447706017660194e-10,2.7448881851999143e-08,1.620378422362434e-07,1.561433324226744e-09
73,3.0466267815085135e-09,2.4930706430956866e-08,1.4079233297206093e-07,1.0734327343316126e-09
74,1.0712629328245132e-08,2.1737816836735925e-08,1.1725379515827006e-07,6.773898326038026e-10
75,2.5308707231537533e-08,1.8178714039566717e-08,9.334597917391937e-08,3.809127199870181e-10
76,4.80535974726683e-08,1.4539737990483582e-08,7.06791154873042e-08,1.8081812431408035e-10
77,7.916295184756396e-08,1.1065999911637233e-08,5.048012442701205e-08,6.471073322625002e-11
78,1.1767354987133745e-07,7.948983827729573e-09,3.356423735141656e-08,1.2862725289155406e-11
79,1.6134325869577004e-07,5.320156334027529e-09,2.033882945192801e-08,2.785605642791146e-13
80,2.0666070884041227e-07,3.249625765774306e-09,1.0831060497593385e-08,1.130955553785129e-12
81,2.490051081330747e-07,1.748829116274235e-09,4.732408118184889e-09,2.03196968693339e-11
82,2.829966013306681e-07,7.763019721863088e-10,1.454782717002516e-09,8.48626771367763e-11
83,3.030637154478926e-07,2.457265313762706e-10,1.943142503659535e-10,2.18735636587576e-10
84,3.0421809970351083e-07,3.560338064318211e-11,9.588825773653346e-15,4.40160790724507e-10
85,2.82963451727079e-07,2.483889905686544e-14,1.5473933236305182e-10,7.595765153916103e-10
86,2.3818295354529482e-07,1.9866676483800436e-11,1.2993190098382853e-09,1.1778155598404479e-09
87,1.7177622470975186e-07,1.840813490573465e-10,4.393010770258157e-09,1.6846138449743521e-09
88,8.879993862020465e-08,6.419554839198336e-10,1.0253332576288032e-08,2.257629506219256e-09
89,3.0502126330704877e-09,1.5206017680623997e-09,1.9487102017598943e-08,2.8622075218649977e-09
90,9.459212688080124e-08,2.913972730767901e-09,3.242619180807541e-08,3.452200500044408e-09
91,1.7669615981993843e-07,4.8729379420244975e-09,4.9070711097315225e-08,3.972186416685397e-09
