,0,1,2,3
0,3.56305064810468e-14,2.030831773191033e-16,1.7712026755607457e-14,1.5530150600802101e-16
1,4.48436851317211e-12,2.5124487599074983e-14,2.2346813334824273e-12,1.959569065664805e-14
2,2.5731808214995248e-11,1.4483798077931902e-13,1.2893373723164005e-11,1.1290458891866303e-13
3,7.54156837248684e-11,4.278309894183572e-13,3.8123933229510265e-11,3.332158713809209e-13
4,1.6211270654985686e-10,9.30122098107162e-13,8.298474306236977e-11,7.232620716962617e-13
5,2.90119103134177e-10,1.6901848165952797e-12,1.5101378209182008e-10,1.3110791909410881e-12
6,4.5841439021194775e-10,2.7242577648563224e-12,2.438145174363288e-10,2.1060689223931378e-12
7,6.599143682139092e-10,4.0224795014743866e-12,3.606987223001369e-10,3.0959997964953505e-12
8,8.811573777509781e-10,5.54736429119099e-12,4.98411565091846e-10,4.243278160366682e-12
9,1.102604805525588e-09,7.230959557864178e-12,6.509776191112583e-10,5.485442652358738e-12
10,1.2997593316553013e-09,8.977624429967866e-12,8.097159981958044e-10,6.735025527151092e-12
11,1.4452891993299815e-09,1.0666192585637748e-11,9.634798579262955e-10,7.883073495754376e-12
12,1.5122335059719474e-09,1.2157394722403124e-11,1.0991844876924244e-09,8.806282878714054e-12
13,1.4781428141265211e-09,1.3302501727468589e-11,1.2026735939071202e-09,9.37740099916164e-12
14,1.3296435046426604e-09,1.3956998524232927e-11,1.2599458640505394e-09,9.47976905756449e-12
15,1.0665099119157167e-09,1.3995438850512077e-11,1.2587067016961898e-09,9.024704217460828e-12
16,7.040300219506935e-10,1.3327897168599862e-11,1.1901186294803438e-09,7.969869096692108e-12
17,2.7254122092496647e-10,1.1915946945335082e-11,1.0505136526257842e-09,6.333385238615741e-12
18,1.863732425724771e-10,9.784426217746666e-12,8.427360915194065e-10,4.201864502577113e-12
19,6.264905955232109e-10,7.025981909141075e-12,5.767431943236033e-10,1.7265105770191176e-12
20,1.0047782024801114e-09,3.798581528632603e-12,2.691619600687079e-10,8.937109146218333e-13
21,1.288377780948637e-09,3.1120033469818803e-13,5.830457214351633e-11,3.43869871976276e-12
22,1.4590166256004611e-09,3.1976590562127494e-12,3.814381305866787e-10,5.6993504953290874e-12
23,1.5140920739745586e-09,6.4870806275236204e-12,6.765733498434671e-10,7.506886211539038e-12
24,1.4647664724325627e-09,9.341031517744773e-12,9.235525588110684e-10,8.75291553060658e-12
25,1.3321215791869563e-09,1.1591618094575804e-11,1.1079845404454702e-09,9.39795316682924e-12
26,1.1426040825134732e-09,1.3133759372494162e-11,1.2224359732242586e-09,9.46603792556535e-12
27,9.237540242159288e-10,1.3931026355560743e-11,1.2664807443591479e-09,9.033336622355177e-12
28,7.008008568834299e-10,1.4011576344996618e-11,1.2457961339273449e-09,8.209020414041465e-12
29,4.943369057535088e-10,1.3457062588621727e-11,1.1706462763185453e-09,7.11897998971309e-12
30,3.1901862276874464e-10,1.2388069236291939e-11,1.0541229119945732e-09,5.889039850887668e-12
31,1.8312983714074232e-10,1.0946940744417314e-11,9.10444752846504e-10,4.634051135371012e-12
32,8.879260166241599e-11,9.282501735930337e-12,7.53510830896736e-10,3.4482791116452306e-12
33,3.264520245251847e-11,7.536685161864668e-12,5.958009827477711e-10,2.402873462485626e-12
34,6.8317792913126085e-12,5.834236293065403e-12,4.4763356404677784e-10,1.543016255449421e-12
35,1.9472786371057996e-13,4.275791771770913e-12,3.1674737714012806e-10,8.888837134117021e-13
36,4.119887846435003e-13,2.934013109768777e-12,2.081473631249539e-10,4.3786821577428193e-13
37,8.74555377101401e-12,1.852054070475151e-12,1.2415562263361289e-10,1.673325380754098e-13
38,3.777884268988464e-11,1.0443093461990258e-12,6.461320473901454e-11,3.872243915981805e-14
39,9.832868172485463e-11,4.988855428425919e-13,2.7188249398408142e-11,1.844667607358065e-15
40,1.9775339418839325e-10,1.8096764170729428e-13,7.755499398043717e-12,8.189265815363802e-16
41,3.3878194350699346e-10,3.724598541149026e-14,8.247896742878774e-13,2.9485163732476626e-14
42,5.185544612117888e-10,9.941448917278e-16,1.3459069390155388e-15,1.4237119861125126e-13
43,7.279956468576963e-10,2.474097347020483e-15,1.552133813911841e-12,3.9092998015218726e-13
44,9.51670562646005e-10,5.0306842242791277e-14,1.0606038997161248e-11,8.156043054104296e-13
45,1.1683204682092385e-09,2.1642788616554854e-13,3.3408457048255764e-11,1.4412376362210124e-12
46,1.3522794174892693e-09,5.657705520956806e-13,7.51996934691639e-11,2.2735844955054954e-12
47,1.4759370574089197e-09,1.1491171156784474e-12,1.3976179554627662e-10,3.2958708308620564e-12
48,1.5132680592930622e-09,1.9982895827100573e-12,2.289989022451417e-10,4.465766912104677e-12
49,1.4441796437708742e-09,3.1211887981956e-12,3.425701329153423e-10,5.716736041192721e-12
50,1.2590398659173552e-09,4.499167042448164e-12,4.77601436099772e-10,6.95625111228273e-12
51,9.623485833137322e-10,6.084741252937848e-12,6.285105361784397e-10,8.072667727245041e-12
52,5.74320368189457e-10,7.800933124740629e-12,7.869951644951012e-10,8.940827938172107e-12
53,1.2938316253318902e-10,9.54296157482706e-12,9.422371544553986e-10,9.434360613146524e-12
54,3.286166079486043e-10,1.1183071140564765e-11,1.0813843190077086e-09,9.440002263300815e-12
55,7.536124201930501e-10,1.2577297275260953e-11,1.190367070502572e-09,8.87671279245829e-12
56,1.1051054968283022e-09,1.35773967720805e-11,1.2550732534552255e-09,7.712020825315388e-12
57,1.354490637121879e-09,1.4042636500091582e-11,1.2628591008662608e-09,5.976412546425137e-12
58,1.4884498653087829e-09,1.3857745096714681e-11,1.2042828326963405e-09,3.768896987192258e-12
59,1.5090198551313094e-09,1.294816125923965e-11,1.074840367553343e-09,1.251105558756208e-12
60,1.4309450308464102e-09,1.1294757574463134e-11,8.763851132929485e-10,1.371922110256772e-12
61,1.2774833722360002e-09,8.944444240299795e-12,6.178558988622788e-10,3.879650301386743e-12
62,1.07585141407976e-09,6.012397685135423e-12,3.149953829856015e-10,6.068364088481999e-12
63,8.531807436530816e-10,2.6749764429104966e-12,1.1082003863470058e-11,7.779057957342096e-12
64,6.33446269003025e-10,8.463801488462858e-13,3.3633562576808533e-10,8.916177005934137e-12
65,4.3547271805399905e-10,4.309304303375532e-12,6.368298726966146e-10,9.451792083635296e-12
66,2.7193080338413636e-10,7.478068858714898e-12,8.917443393454827e-10,9.421380012181025e-12
67,1.4912278781921472e-10,1.0150322660854017e-11,1.0857614539777687e-09,8.907989463578523e-12
68,6.736063181112201e-11,1.2177310619907943e-11,1.210422322876678e-09,8.02552115643697e-12
69,2.1754771726313463e-11,1.3476552191584885e-11,1.2643337619344172e-09,6.900598365981051e-12
70,3.278312898009544e-12,1.4033203878050149e-11,1.2523809443417294e-09,5.658189176107729e-12
71,4.442058423289119e-15,1.3894641598454915e-11,1.1842773845179096e-09,4.409237761645517e-12
72,1.554446667653608e-12,1.3157337540683884e-11,1.0728177614330203e-09,3.244620096487076e-12
73,1.5059473776612257e-11,1.1950167788750862e-11,9.32155699174882e-10,2.2305952594674197e-12
74,5.295263379651247e-11,1.041981000937256e-11,7.763121905360608e-10,1.4076286982836297e-12
75,1.2510118459427496e-10,8.71364777104113e-12,6.180237157449759e-10,7.915946655786644e-13
76,2.375294469444171e-10,6.9694492089642806e-12,4.679513699577141e-10,3.7581234396214364e-13
77,3.9130337912530685e-10,5.304325753225355e-12,3.342181426050431e-10,1.3446972384809695e-13
78,5.816614484082788e-10,3.810252860019491e-12,2.222215945299699e-10,2.673145124111665e-14
79,7.975213312805428e-10,2.5502343915391438e-12,1.3465905437636861e-10,5.806136861365602e-16
80,1.0215260924556106e-09,1.5577441413184573e-12,7.17101208086893e-11,2.3446142298196586e-15
81,1.2308348846039874e-09,8.382922991181233e-13,3.1332248391052254e-11,4.220941570616887e-14
82,1.3988552434122922e-09,3.721539920293103e-13,9.631825811101839e-12,1.763248877424547e-13
83,1.4980470159526834e-09,1.1776752816506838e-13,1.2865077522862156e-12,4.545040013478961e-13
84,1.5037531802875997e-09,1.7041059256528025e-14,6.423698000253981e-17,9.146445391721699e-13
85,1.3986912068020572e-09,1.3993068816394548e-17,1.0245023454848236e-12,1.5783604619436112e-12
86,1.1773408626821248e-09,9.524320976495446e-15,8.602515595475603e-12,2.4476249434986335e-12
87,8.490916845082043e-10,8.825211313353273e-14,2.9085191990825087e-11,3.500674944700072e-12
88,4.3893901971548923e-10,3.0772935893732167e-13,6.78851312679548e-11,4.691320480199745e-12
