,0,1,2,3
0,2.3377331107831366e-11,8.775455856472221e-12,5.911570478565518e-12,2.0561217105753196e-10
1,4.6227900887159553e-10,1.0766656200758017e-10,8.742283160047095e-11,3.619448241490729e-09
2,1.105385743920034e-09,2.2551953431065418e-10,2.014656008001202e-10,6.372212687822223e-09
3,1.8385578967989085e-09,1.1795040188588121e-09,7.295101207988859e-10,4.417760156176025e-09
4,3.583025698521937e-09,3.4066674414738902e-09,2.021846445083407e-09,2.121232497519486e-08
5,7.488575429593305e-09,7.256122303217631e-09,4.288970058294039e-09,6.2259170279567e-08
6,1.3956603884004099e-08,1.2982937434813623e-08,7.686602418755704e-09,1.2899060951570728e-07
7,2.2958925546336453e-08,2.068591649266003e-08,1.22797501295764e-08,2.232263857964902e-07
8,3.410659257700588e-08,3.02730535753162e-08,1.8018555400177627e-08,3.438900519862186e-07
9,4.663186765683142e-08,4.143977196905488e-08,2.4722566251263827e-08,4.86473945327809e-07
10,5.9429585150985946e-08,5.366279870988547e-08,3.207431457110224e-08,6.429213359408583e-07
11,7.116232632387142e-08,6.621366046765515e-08,3.962475378011888e-08,8.01912354254706e-07
12,8.041883697407591e-08,7.819527206583961e-08,4.681329444117504e-08,9.496009121979932e-07
13,8.590835511133901e-08,8.8603566720223e-08,5.300463395209909e-08,1.0708202214429306e-06
14,8.66663254836218e-08,9.641344251718571e-08,5.754313368013484e-08,1.150714936648374e-06
15,8.224098697689033e-08,1.0068439476092362e-07,5.982287434610199e-08,1.1766708564747624e-06
16,7.282885219687549e-08,1.0067639677276114e-07,5.936769545323431e-08,1.1403046539498718e-06
17,5.9338352087847234e-08,9.596189832430689e-08,5.591113471873343e-08,1.0391689215940117e-06
18,4.3414291246402014e-08,8.651727857322506e-08,4.946297102084674e-08,8.777667299631637e-07
19,2.7707158359453475e-08,7.278063888187377e-08,4.0350717129993525e-08,6.675135858818365e-07
20,1.7757006213957247e-08,5.568369299959668e-08,2.9242076787850897e-08,4.254765330659993e-07
21,2.0729343757366857e-08,3.6768694871754204e-08,1.726828174103245e-08,1.7207187175332626e-07
22,2.9297094590556305e-08,1.936899763868205e-08,7.862640641495732e-09,7.278824068448706e-08
23,3.640092631951845e-08,1.6629859532872565e-08,1.2450393766373757e-08,2.89341091092078e-07
24,4.039719796018817e-08,3.0521979064408296e-08,2.230553030845983e-08,4.6529826725766433e-07
25,4.120314335754682e-08,4.522649819033933e-08,3.0908102905570376e-08,5.92673081408157e-07
26,3.9257821873449674e-08,5.7069354975808114e-08,3.725202945896013e-08,6.693718580160898e-07
27,3.520426462585942e-08,6.515027460649553e-08,4.108072501757971e-08,6.980785431974763e-07
28,2.9746718593512308e-08,6.928588214649891e-08,4.245286383356901e-08,6.849271656244863e-07
29,2.3578380600692754e-08,6.969241774368463e-08,4.163030083996324e-08,6.381368368806013e-07
30,1.7341373140911924e-08,6.685415661081708e-08,3.900337011045408e-08,5.668418528609311e-07
31,1.1596776313972587e-08,6.142420528424307e-08,3.502882147111223e-08,4.802095612560246e-07
32,6.792936103931543e-09,5.4139547355022344e-08,3.0179668404119766e-08,3.868313210744405e-07
33,3.2296142941855242e-09,4.575010706899532e-08,2.490728731519334e-08,2.9431760380401113e-07
34,1.0230916585290214e-09,3.696268403876657e-08,1.9614620630970508e-08,2.0901916034924238e-07
35,8.250803364829501e-11,2.8399202860482606e-08,1.4638396768333687e-08,1.3581473413922335e-07
36,1.1167895482241953e-10,2.056759959652316e-08,1.02381648308985e-08,7.793535841029267e-08
37,6.607734154420822e-10,1.3843271755176385e-08,6.590352052449118e-09,3.682407337917907e-08
38,1.3066970979370243e-09,8.459202462424455e-09,3.786158697528377e-09,1.2051431893232743e-08
39,2.2083569148879435e-09,4.503366283013932e-09,1.8326951451658744e-09,1.319079632850918e-09
40,4.544697186788057e-09,1.922601226776241e-09,6.57246517449789e-10,5.871201717988986e-10
41,9.23620505515857e-09,5.326499874368359e-10,1.1496600033016535e-10,4.365183781782047e-09
42,1.651847270992036e-08,3.455597606160912e-11,1.1270298663958452e-12,6.313719709555094e-09
43,2.6253570736971355e-08,3.899508628376181e-11,7.476554501148605e-11,5.246086772035056e-09
44,3.7933352184115574e-08,1.2195709466050263e-10,1.728836255035241e-10,2.6953661543309163e-08
45,5.0676633243491343e-08,4.1793001236536765e-10,6.122538032076512e-10,7.24729393526006e-08
46,6.329129508295951e-08,1.7502799206551983e-09,1.7814128018727324e-09,1.4417923423404387e-07
47,7.439760214124563e-08,4.4723958588798855e-09,3.8975923718671146e-09,2.434320780849122e-07
48,8.260008990612606e-08,8.914759502321911e-09,7.1268505838552495e-09,3.685524869931817e-07
49,8.668843180578107e-08,1.5285943966417874e-08,1.1548891229448985e-08,5.143804327840204e-07
50,8.584064074904685e-08,2.3625527980303904e-08,1.7131469441318228e-08,6.722274703030292e-07
51,7.979691319045091e-08,3.377367272409004e-08,2.3713479203258773e-08,8.302421244328648e-07
52,6.897362758685982e-08,4.535404986362151e-08,3.099705562617318e-08,9.742326969014977e-07
53,5.450619448563669e-08,5.777370200426282e-08,3.855114220200053e-08,1.0889562565018355e-06
54,3.829440551255965e-08,7.024376423151954e-08,4.582927913673818e-08,1.1598179169289242e-06
55,2.354741936312516e-08,8.182413612631378e-08,5.220393547102019e-08,1.1748326766309456e-06
56,1.732649997057634e-08,9.149331337025117e-08,5.701841170449364e-08,1.1265915462490615e-06
57,2.3324771846002626e-08,9.824150613073164e-08,5.965489796696598e-08,1.0138709583710017e-06
58,3.1813954918188666e-08,1.0118090831497653e-07,5.961360090804731e-08,8.424781050104393e-07
59,3.80088597622219e-08,9.966205706313489e-08,5.659346792990216e-08,6.249935185141548e-07
60,4.0979035623265974e-08,9.338094743541878e-08,5.056149167517585e-08,3.792924031839208e-07
61,4.086111025235383e-08,8.246044488281675e-08,4.179815984064902e-08,1.2612770464314504e-07
62,3.818039519345656e-08,6.749672417988189e-08,3.092040032102895e-08,1.1486816657595358e-07
63,3.361012293756694e-08,4.959548071316682e-08,1.896764457083478e-08,3.249243002971528e-07
64,2.7856772126905993e-08,3.0615743288651195e-08,8.636845943215638e-09,4.923927650349341e-07
65,2.1601011928844643e-08,1.5745120559631977e-08,1.1121488704725262e-08,6.104869806659214e-07
66,1.5462707240943717e-08,2.0486152431978493e-08,2.0927622612644027e-08,6.780755909099337e-07
