,0,1,2,3
0,7.555514650761072e-16,2.763706950635835e-16,2.2982174826690497e-16,2.186398969116283e-15
1,2.879893851079446e-14,5.560644506734624e-15,3.2904244333590765e-15,2.206573699173305e-14
2,1.1676839705221928e-13,1.4242692740613673e-14,6.773553751675009e-15,3.972026192269269e-14
3,2.835777404932368e-13,2.2166872657772298e-14,8.880805355078523e-15,3.2246321647058716e-13
4,5.358349728889456e-13,2.8847450853317893e-14,2.0290362992466586e-14,9.694306355793401e-13
5,8.664669328698996e-13,4.3841056092723e-14,5.01260636530662e-14,2.1037198792108237e-12
6,1.2544391800447863e-12,8.095736659894737e-14,9.979576784878292e-14,3.812692756961852e-12
7,1.6657825519294142e-12,1.4467796498416268e-13,1.70139969123337e-13,6.130169118538978e-12
8,2.056074547250716e-12,2.3473920899269157e-13,2.6023014544489234e-13,9.022966259632972e-12
9,2.373578674315573e-12,3.4909291869063545e-13,3.6703437175925525e-13,1.2381864822153718e-11
10,2.565101772959184e-12,4.83290624503308e-13,4.852339973859502e-13,1.602122881906786e-11
11,2.580666667845957e-12,6.303273520134324e-13,6.071491400711503e-13,1.9687302106962307e-11
12,2.3803206258794736e-12,7.80917616150003e-13,7.233535278120071e-13,2.3076926358015458e-11
13,1.9412423014329467e-12,9.241420762792689e-13,8.229211375721893e-13,2.586670644728498e-11
14,1.2700546926126554e-12,1.0482331266841586e-12,8.947583409603247e-13,2.774949663977691e-11
15,4.960323947039181e-13,1.141666596485691e-12,9.284700314875161e-13,2.8477031843471667e-11
16,9.066254852965206e-13,1.1948158509254551e-12,9.149619713917123e-13,2.7898148852672092e-11
17,2.0328668242274175e-12,1.2008883611942825e-12,8.493151563576807e-13,2.5991038574367208e-11
18,3.1822720383073665e-12,1.1574863632206876e-12,7.305576626417353e-13,2.287528111617276e-11
19,4.206396734023823e-12,1.067373188343153e-12,5.63313208743248e-13,1.8802553264397555e-11
20,4.992346271688905e-12,9.387455026413951e-13,3.591593438222759e-13,1.4122556912668922e-11
21,5.460808474143893e-12,7.861165010182354e-13,1.4779582046641284e-13,9.232028269702626e-12
22,5.577496940175759e-12,6.3124856886364e-13,1.6471074316561057e-13,4.51724893928245e-12
23,5.3570463685997344e-12,5.053943938123795e-13,3.7871186096720956e-13,3.6006935855568314e-13
24,4.8562443364403845e-12,4.4553081579797045e-13,5.809487183327641e-13,3.211647029693459e-12
25,4.15957587907532e-12,4.638095584026199e-13,7.460353442621049e-13,5.859929725807395e-12
26,3.361930713564651e-12,5.271489453676325e-13,8.638600360998436e-13,7.6416254070433e-12
27,2.553298834742528e-12,5.955299122291362e-13,9.306724304860433e-13,8.607476231580308e-12
28,1.8072038703035476e-12,6.463050087133168e-13,9.480784040831711e-13,8.860549770309583e-12
29,1.175204575818699e-12,6.701619304791115e-13,9.214093406384618e-13,8.532099460717062e-12
30,6.848501384239243e-13,6.65435470162092e-13,8.586899797183227e-13,7.764463941483107e-12
31,3.415910707686911e-13,6.341999969860435e-13,7.691772192195059e-13,6.698933960955873e-12
32,1.3281686396008737e-13,5.811527523079634e-13,6.62572485170601e-13,5.46991001549895e-12
33,3.309040489523829e-14,5.118017528314749e-13,5.479776005337604e-13,4.19922379830769e-12
34,9.395075614508827e-15,4.3224704640851766e-13,4.334870747768587e-13,2.9937488362566316e-12
35,1.823917067639324e-15,3.484734866255035e-13,3.25825794808563e-13,1.9398669308501676e-12
36,4.6531746392238246e-15,2.660442616412238e-13,2.3039964653153133e-13,1.100067453816601e-12
37,4.879845292582996e-14,1.9001407015981795e-13,1.505180207173822e-13,5.065876611303568e-13
38,1.6002337222138308e-13,1.2433240796326368e-13,8.842370570623954e-14,1.5788007113815956e-13
39,3.535697734283857e-13,7.171681977494691e-14,4.403499682681942e-14,1.576859130446427e-14
40,6.318295875260117e-13,3.389336172722602e-14,1.6471376312614665e-14,5.772048556277016e-15
41,9.83354348989026e-13,1.0718037096219033e-14,3.018264580573914e-15,2.1155365472413805e-14
42,1.3829111015520284e-12,8.127375731204134e-16,1.5397344815121657e-16,7.045136820276665e-14
43,1.7928355411872605e-12,1.3421018145702376e-15,2.7214899802602827e-15,4.097381607789006e-13
44,2.1660132295319487e-12,8.25377973876882e-15,6.400101007076173e-15,1.1375368129228698e-12
45,2.449898484423226e-12,1.706956863928854e-14,8.416554035660613e-15,2.3719051242697253e-12
46,2.591128813851572e-12,2.4289264451830137e-14,1.7561268472932076e-14,4.1915993417936095e-12
47,2.5426405196987837e-12,3.204713477185017e-14,4.4666110060180646e-14,6.619092849805906e-12
48,2.2687098300820687e-12,5.314236869500083e-14,9.143170660392581e-14,9.607751977792101e-12
49,1.7541900165999686e-12,9.883442462014436e-14,1.5878847791399506e-13,1.3034033025735284e-11
50,1.0214554201102322e-12,1.712928834053344e-13,2.462222711192557e-13,1.6698989432593404e-11
51,4.1009595914320947e-13,2.696229277088161e-13,3.509340730267869e-13,2.0338185969087508e-11
52,1.2441523836174083e-12,3.910508297137693e-13,4.679057929357917e-13,2.364220206087128e-11
53,2.3990719124003297e-12,5.303646797747728e-13,5.897857443828828e-13,2.6287615569620393e-11
54,3.522862574646897e-12,6.797362053143043e-13,7.074719528367108e-13,2.7975187581641997e-11
55,4.483092026680307e-12,8.292148597655977e-13,8.100924270044508e-13,2.8471201522242388e-11
56,5.176081574645959e-12,9.674665109175697e-13,8.866457293245194e-13,2.7646599864024647e-11
57,5.535553379893118e-12,1.0827231638737924e-12,9.26374941298604e-13,2.5505042066643827e-11
58,5.5426877036589195e-12,1.1639378384185374e-12,9.20126081775545e-13,2.219184061304111e-11
59,5.226587872693529e-12,1.2020857236814304e-12,8.621253143602847e-13,1.7979529389169594e-11
60,4.654432309409234e-12,1.192143538464796e-12,7.506477663548597e-13,1.3230847960001689e-11
61,3.915818472281375e-12,1.1328974509022136e-12,5.898820433216385e-13,8.344797774929775e-12
62,3.1057071664045466e-12,1.0289475573977537e-12,3.900152840215902e-13,3.700194772015197e-12
63,2.3097143054371377e-12,8.905654860201842e-13,1.7522020582674306e-13,4.589988229326952e-13
64,1.5949013942468902e-12,7.34368353356711e-13,1.3838082756459312e-13,3.761306273588782e-12
65,1.005403696951257e-12,5.850360284414647e-13,3.4774653080237334e-13,6.250411691293255e-12
66,5.616290480837837e-13,4.770032997947071e-13,5.539191991386244e-13,7.877019108440424e-12
67,2.626213154153855e-13,4.4379960836384755e-13,7.25134034436478e-13,8.703455597188966e-12
68,9.123037575994608e-14,4.818103251002685e-13,8.5007244491014e-13,8.839669880246648e-12
69,1.9481451111110115e-14,5.504405467543376e-13,9.24235512546619e-13,8.420185872346227e-12
70,7.41929643143175e-15,6.147485627293968e-13,9.484594266747344e-13,7.58759157210525e-12
71,2.054638864187709e-16,6.572626416868454e-13,9.276409936179278e-13,6.4823566276239194e-12
72,1.2692514494496489e-14,6.717508953199461e-13,8.695456459301009e-13,5.236944712895984e-12
73,7.554713510187571e-14,6.579446341310233e-13,7.832583223803e-13,3.970799397549582e-12
74,2.115035468568436e-13,6.190249377412032e-13,6.785289372477488e-13,2.787154511436385e-12
75,4.319973725514145e-13,5.599610034116567e-13,5.645681233341852e-13,1.7686835986346176e-12
76,7.35121631229318e-13,4.865683978807016e-13,4.4965426423015084e-13,9.724560832463615e-13
77,1.1050821381892773e-12,4.0503859409676645e-13,3.406477812887953e-13,4.2500833114726054e-13
78,1.5124037062019345e-12,3.2110248296322735e-13,2.431907887866705e-13,1.181542787053066e-13
79,1.9162650402682034e-12,2.4030457299508394e-13,1.609907573642351e-13,6.847121345151832e-15
80,2.2671679253787747e-12,1.672211874242842e-13,9.617651179557438e-14,1.0285244527529599e-14
81,2.511858818845283e-12,1.0553947832593486e-13,4.933374159253751e-14,1.6893756803114183e-14
82,2.5983572465387385e-12,5.768601888646884e-14,1.948805843296662e-14,1.0968624629851225e-13
83,2.4822654050509125e-12,2.470994494403172e-14,4.233103982662615e-15,5.100953155308346e-13
84,2.133235694051005e-12,6.083498028363627e-15,1.7777866708872788e-16,1.3227284907395609e-12
85,1.5448101078863519e-12,1.561808465804335e-16,2.1504677379159944e-15,2.6598525675768393e-12
86,7.665232673689653e-13,3.099881271839867e-15,5.991424315197698e-15,4.59102559579524e-12
87,5.622033922232708e-13,1.1163637056768147e-14,8.092361654936588e-15,7.12705940094779e-12
88,1.5998833724716649e-12,1.9683725431906813e-14,1.522502204295603e-14,1.0207346673829477e-11
