,0,1,2,3
0,8.864318496087524e-12,8.185012094073102e-12,8.150059552794379e-12,1.2799761387096643e-11
1,4.7083987097409165e-11,1.2547611170618526e-11,1.1548688931742627e-11,2.6508193665029384e-10
2,1.4461056896702358e-10,2.9287143978480944e-11,2.651548904098587e-11,8.603347079723678e-10
3,2.990682682141659e-10,5.845100243514693e-11,5.310826922521957e-11,1.7948412397542317e-09
4,5.127331390806374e-10,1.0012629394639612e-10,9.102335060425565e-11,3.0666596399105717e-09
5,7.915119100202989e-10,1.5551879171565105e-10,1.4103956487367534e-10,4.672776331815332e-09
6,1.1458747132035046e-09,2.2660146844434314e-10,2.045235576219068e-10,6.608326164607123e-09
7,1.591241403530801e-09,3.162096078703275e-10,2.8344715125642346e-10,8.865097371594535e-09
8,2.1480640844895498e-09,4.2829090491856254e-10,3.8060583768740465e-10,1.1428720054938543e-08
9,2.8430157816887353e-09,5.68234364629783e-10,5.000231000220222e-10,1.427362969061558e-08
10,3.7138404892997622e-09,7.432004751908976e-10,6.476044078432853e-10,1.7354549709220115e-08
11,4.821486105769332e-09,9.622890034601096e-10,8.321081078661742e-10,2.0593519358704726e-08
12,6.274589498257689e-09,1.2362440744366713e-09,1.0664038068947067e-09,2.3865165313734557e-08
13,8.27627231113085e-09,1.5762512429608127e-09,1.368664514179379e-09,2.6999886736725068e-08
14,1.1212971218684291e-08,1.991318701991347e-09,1.7623936758287422e-09,2.988480150465482e-08
15,1.5726683189879148e-08,2.483901892585602e-09,2.272964630516357e-09,3.289718634451056e-08
16,2.21276933510039e-08,3.0440138874739305e-09,2.91728739859972e-09,3.794484482028839e-08
17,2.8146824463321355e-08,3.6431993125145546e-09,3.6843755070728524e-09,4.868466269883579e-08
18,2.8814966536767647e-08,4.231260489508596e-09,4.511077699496734e-09,6.588052961571466e-08
19,2.3435272258932054e-08,4.739610419662657e-09,5.2694111041200595e-09,8.176380191644057e-08
20,1.680921173565825e-08,5.093936826030312e-09,5.789839871068859e-09,8.449173442693552e-08
21,1.1924143567992952e-08,5.234375825423881e-09,5.928520022454753e-09,7.170219531779254e-08
22,8.744388160313563e-09,5.135390847962221e-09,5.643467288368107e-09,5.366706778019567e-08
23,6.602938346705731e-09,4.81508701499072e-09,5.019325513330158e-09,4.0593164895423884e-08
24,5.0655918709073046e-09,4.328558817743969e-09,4.218535253673902e-09,3.413452370564496e-08
25,3.902923531295452e-09,3.749162907544115e-09,3.4016038674961636e-09,3.0786441428291986e-08
26,2.9929581314805045e-09,3.1476817605503427e-09,2.6739026612197067e-09,2.7948661917986795e-08
27,2.268087090184036e-09,2.578035564755092e-09,2.0775852302498806e-09,2.489127758186731e-08
28,1.687397704567449e-09,2.0724022759963125e-09,1.6110344195660195e-09,2.164397764424562e-08
29,1.2226585746652133e-09,1.6436117260949837e-09,1.2525991744922209e-09,1.837835510618991e-08
30,8.524005739961092e-10,1.2909397421177054e-09,9.768165863391756e-10,1.5236399677612894e-08
31,5.602646314941918e-10,1.006162299169117e-09,7.619181224791017e-10,1.2309809396336986e-08
32,3.3485349122783353e-10,7.782395231932953e-10,5.917053103018703e-10,9.652696357597082e-09
33,1.6945758761355004e-10,5.96228752660388e-10,4.5491608611228945e-10,7.295799798802462e-09
34,6.118159370284159e-11,4.5070040975249037e-10,3.4393311289093184e-10,5.256383708218226e-09
35,1.1172316709499253e-11,3.341567891562966e-10,2.5361028629692753e-10,3.544239253158727e-09
36,1.3924880034722588e-11,2.409194928015121e-10,1.804187069793263e-10,2.1650907142201416e-09
37,7.155864272587315e-11,1.6681258173547712e-10,1.2188988257487768e-10,1.1224349599656753e-09
38,1.868870982014228e-10,1.0882621113405425e-10,7.628243875792567e-11,4.1849376307935795e-10
39,3.5952123131799915e-10,6.484870983201706e-11,4.2424877919034165e-11,5.503904591334313e-11
40,5.927752743177847e-10,3.3533679368848724e-11,1.9819670847452204e-11,3.2174182778934807e-11
41,8.939045913206495e-10,1.4537568282480088e-11,9.29739002834327e-12,3.486471945426796e-10
42,1.2749202804162838e-09,8.347654778534955e-12,8.122493207664093e-12,1.0061428953631296e-09
43,1.7527984725040376e-09,8.615787009933272e-12,1.0449037997610726e-11,2.002590758102059e-09
44,2.3497030401040156e-09,1.6586632488097038e-11,2.3627903726562303e-11,3.335895963553341e-09
45,3.094995922703093e-09,3.748936994666126e-11,4.861287432711769e-11,5.002778573544254e-09
46,4.031932115627155e-09,7.066643780921614e-11,8.487412483095927e-11,6.997901841834825e-09
47,5.233011659671273e-09,1.166587889802897e-10,1.330855688139905e-10,9.31218775930545e-09
48,6.829950278753093e-09,1.7692938676204047e-10,1.9453489295111675e-10,1.1929677358323198e-08
49,9.071368282169977e-09,2.5371286409711105e-10,2.710977069244405e-10,1.4821957945018805e-08
50,1.2424646793656508e-08,3.5017601140593013e-10,3.6543156665352804e-10,1.793886810309733e-08
51,1.7559831035961914e-08,4.706996834232088e-10,4.813505921666096e-10,2.1194776922854076e-08
52,2.4277624460065843e-08,6.212195620918517e-10,6.244389278776237e-10,2.4454741379158182e-08
53,2.9125799990680204e-08,8.095270869322766e-10,8.029741089508852e-10,2.75466023175918e-08
54,2.759297519260033e-08,1.0453264287319983e-09,1.0291547523864115e-09,3.039897352851419e-08
55,2.1266411574841307e-08,1.339697394375607e-09,1.3203464882527067e-09,3.357575610265016e-08
56,1.5056502568681692e-08,1.7034833833389054e-09,1.6993860677683134e-09,3.937891809014784e-08
57,1.077697123867308e-08,2.1441172920367883e-09,2.1918141059737873e-09,5.1453839738468116e-08
58,7.986757737176699e-09,2.660680427871472e-09,2.81673362929991e-09,6.925149575369391e-08
59,6.069450856348164e-09,3.2377460099759697e-09,3.568645277668882e-09,8.352187113981435e-08
60,4.667804564379959e-09,3.839863429968937e-09,4.393179676736171e-09,8.312463710421147e-08
61,3.59422348740414e-09,4.410022363000779e-09,5.171293900688628e-09,6.84046943853771e-08
62,2.747942823331653e-09,4.875907926344142e-09,5.7361538823063746e-09,5.073046829185223e-08
63,2.0719191042361132e-09,5.165519721754494e-09,5.935109830392018e-09,3.899561446854909e-08
64,1.53025659096044e-09,5.2283555498847205e-09,5.70830019609372e-09,3.339701580163721e-08
65,1.0972147726114633e-09,5.052883030265836e-09,5.12371684158515e-09,3.026843477049751e-08
66,7.529895572028973e-10,4.670794853637022e-09,4.3375458692165005e-09,2.7409028799895286e-08
67,4.827785697581242e-10,4.145545786553319e-09,3.51489087547302e-09,2.430591291609669e-08
68,2.76713837518246e-10,3.5517535001509755e-09,2.7704832868731776e-09,2.1042422440504447e-08
69,1.2939607819275967e-10,2.9557969156927916e-09,2.154696666498076e-09,1.77903891977076e-08
70,3.8952879261969715e-11,2.404591574084651e-09,1.6706366449598213e-09,1.4682337916254601e-08
71,8.276306584243066e-12,1.9234774870766836e-09,1.2983027239137367e-09,1.1801906812129987e-08
72,2.5459205198335453e-11,1.5201497233974692e-09,1.012140025133775e-09,9.197976970040397e-09
73,1.016380043699848e-10,1.190811498730143e-09,7.896429102918902e-10,6.8982115706796175e-09
74,2.3478088596174093e-10,9.258887432743803e-10,6.138214463513043e-10,4.918150499723146e-09
75,4.259095444268662e-10,7.141348945785741e-10,4.727825166445314e-10,3.2666430960068943e-09
76,6.794601441781454e-10,5.450056350741255e-10,3.5846528413247664e-10,1.948901730262279e-09
77,1.0041208842798728e-09,4.0969156986840934e-10,2.654297679163519e-10,9.681363675746842e-10
78,1.4134599046629105e-09,3.013177400444788e-10,1.8995572538196532e-10,3.264011650841725e-10
79,1.926018375834767e-09,2.1473572937710266e-10,1.294476636171562e-10,2.5976187283971724e-11
80,2.565848198519159e-09,1.4618599159094303e-10,8.207370349840927e-11,6.430298471627143e-11
81,3.365629965387482e-09,9.297716116371222e-11,4.6583140566233466e-11,4.4363097308634733e-10
82,4.375600430483361e-09,5.32527820427934e-11,2.235514261653033e-11,1.1633201360941448e-09
83,5.682675414990378e-09,2.593520196968486e-11,1.0023492337203142e-11,2.2216404103933084e-09
84,7.447119271680238e-09,1.117392317206716e-11,8.118068620282562e-12,3.6163246158862084e-09
85,9.973532290295972e-09,8.126972181705851e-12,9.608427218006694e-12,5.343798498850124e-09
86,1.3815481211126517e-08,9.856427143721737e-12,2.097881964107361e-11,7.398198891379883e-09
87,1.9576801455154163e-08,2.204711569252639e-11,4.434715482512599e-11,9.76947887036207e-09
88,2.6262505660164217e-08,4.699120277041599e-11,7.896924233080965e-11,1.243990719251476e-08
89,2.9414850704260866e-08,8.424718813289639e-11,1.2540231960292642e-10,1.5377914343762544e-08
90,2.5871353699861867e-08,1.3471371831564825e-10,1.848551440807684e-10,1.852798702718409e-08
91,1.9143356977788337e-08,2.001002107061954e-10,2.5911110908970674e-10,2.1796305720560145e-08
92,1.3509648417641822e-08,2.8292117064829446e-10,3.5069741352530773e-10,2.5038535797419657e-08
93,9.775639503881532e-09,3.867054470068384e-10,4.6323126930583694e-10,2.8083868136698915e-08
94,7.3128277026139804e-09,5.163042494510033e-10,6.019944142614686e-10,3.0919158050544095e-08
95,5.585507197593175e-09,6.782337267048809e-10,7.748091601423759e-10,3.4336071312856447e-08
96,4.301692694416012e-09,8.809251631182352e-10,9.932301853437006e-10,4.10346808928601e-08
97,3.307583469404531e-09,1.1346335921777096e-09,1.27382549775918e-09,5.444332278440955e-08
98,2.5195344615899953e-09,1.4506061212821683e-09,1.6387142336524708e-09,7.251343216251014e-08
99,1.8889029790930548e-09,1.8390063734509148e-09,2.113422228103838e-09,8.47501046085871e-08
100,1.3837624078530866e-09,2.305159295044748e-09,2.718869491490915e-09,8.12410551038237e-08
101,9.804738287887172e-10,2.8440986189127515e-09,3.4545214624770937e-09,6.501920037107148e-08
102,6.608241958988214e-10,3.4343398012059345e-09,4.27442073821473e-09,4.802133519523596e-08
103,4.1157051377994497e-10,4.033239263650064e-09,5.068781446239744e-09,3.761399642199215e-08
104,2.2432925031432918e-10,4.577627150143407e-09,5.674791794773571e-09,3.273578072886565e-08
105,9.490667851691056e-11,4.993162131443124e-09,5.932727375437089e-09,2.9754790786564026e-08
106,2.253047791139069e-11,5.2125031078666974e-09,5.765632660832569e-09,2.6859904231995845e-08
107,8.517227409740007e-12,5.196464425337418e-09,5.223962035855746e-09,2.3715052348785428e-08
108,4.31166173421106e-11,4.9479959586088535e-09,4.45590378906116e-09,2.0441390026231657e-08
109,1.3728823826148154e-10,4.511091789500159e-09,3.6298987651606867e-09,1.72073891879854e-08
110,2.883569821171669e-10,3.955271112596993e-09,2.86978396354892e-09,1.4136002562157947e-08
111,4.984079289015544e-10,3.3542775562629332e-09,2.2345484486801587e-09,1.1303332690753e-08
112,7.731051957879892e-10,2.7688804143016717e-09,1.7325390799032217e-09,8.753489658838728e-09
113,1.122632646299838e-09,2.2387927572780147e-09,1.3457683790191286e-09,6.5113623861114176e-09
114,1.5621174640701795e-09,1.782969767721105e-09,1.0487603035257816e-09,4.590945202939968e-09
115,2.1117028917456703e-09,1.4046517457837275e-09,8.183169814529885e-10,3.000245454662597e-09
116,2.797611682985412e-09,1.0975897467030778e-09,6.366450697730173e-10,1.7440167900512076e-09
117,3.6566900333672315e-09,8.512993953166782e-10,4.911930675959666e-10,8.252093625231048e-10
118,4.74799069473443e-09,6.545781420250975e-10,3.7343142843949925e-10,2.457298012948279e-10
119,6.176335236130633e-09,4.973862952292194e-10,2.7760784686778685e-10,1.0290263313291837e-11
120,8.137320492950294e-09,3.715525503052371e-10,1.9979866220606854e-10,1.0817306114087553e-10
121,1.1003314864280937e-08,2.7080025648516147e-10,1.3727407417977248e-10,5.50023805630336e-10
122,1.5404883327051104e-08,1.9047372423568006e-10,8.810792464394724e-11,1.3318559356650273e-09
123,2.1718880692317395e-08,1.2719499166227099e-10,5.097066386755554e-11,2.4519739458572952e-09
124,2.7894785354755484e-08,7.856571872133358e-11,2.5131408079840358e-11,3.907919773254504e-09
