,0,1,2,3
0,2.743168384610789e-16,2.7396252796117534e-16,2.738091129834939e-16,2.8964466619967305e-16
1,2.878902786627507e-16,2.786112549637442e-16,2.7470732370496997e-16,1.010080006448166e-15
2,3.2180120455002423e-16,2.897907517179873e-16,2.76665630644268e-16,3.114818448448112e-15
3,3.803139832851335e-16,3.082200576613051e-16,2.793947417029362e-16,7.114917956980668e-15
4,4.688086631602813e-16,3.3493502564627965e-16,2.825963695445867e-16,1.3887149664615114e-14
5,5.922610542783645e-16,3.7116546492770534e-16,2.862344903202835e-16,2.3108866143758806e-14
6,7.498171533357762e-16,4.1818800510586697e-16,2.9091923720655433e-16,2.9795690965801494e-14
7,9.256043797007644e-16,4.772237986033332e-16,2.9843378820110655e-16,2.331660986717582e-14
8,1.0820583029429878e-15,5.492992572474679e-16,3.1220346973774397e-16,4.203427732234589e-14
9,1.1677120375510867e-15,6.35167356007619e-16,3.3748880165777453e-16,1.4027174704241427e-13
10,1.169365940036002e-15,7.352068287871127e-16,3.8092978533181013e-16,2.6791836094341804e-13
11,1.2400886130017414e-15,8.492712362176837e-16,4.494524255692418e-16,3.190971239759713e-13
12,1.738241455199036e-15,9.765177947106187e-16,5.48756036886409e-16,1.4036906514533463e-13
13,2.9367539037790468e-15,1.1151683620497742e-15,6.814645540700685e-16,4.435894378524555e-13
14,4.8274081011646494e-15,1.2624540862717758e-15,8.446943629644485e-16,8.864396272387987e-13
15,7.058117951444971e-15,1.4148150655084807e-15,1.0272071295090754e-15,2.998799676134502e-13
16,4.719350133194145e-15,1.5684651239929083e-15,1.207640109596469e-15,1.5354302032255518e-12
17,8.791712417823882e-15,1.7196259729740382e-15,1.3570599086525562e-15,8.868992136240813e-13
18,1.1053654983726534e-14,1.8632143894603755e-15,1.4503175547176812e-15,2.540477101881776e-12
19,4.432616382154069e-15,1.9893693915481343e-15,1.4839517339451171e-15,6.44352435468038e-13
20,7.076653854978237e-15,2.0809884740914916e-15,1.482849090336674e-15,2.3217977005703523e-12
21,5.2935189100549476e-15,2.118532785015034e-15,1.4796661299516593e-15,2.4873423990517355e-12
22,3.236214466971438e-15,2.0919902409555384e-15,1.4849416682463767e-15,3.6162358416969697e-13
