,0,1,2,3
0,5.094032307661748e-11,3.681478964135889e-11,4.044103640112117e-11,4.228424949862686e-11
1,5.09403209766559e-11,3.681479404658937e-11,4.04410567701259e-11,4.228425075208085e-11
2,5.094031529002748e-11,3.681477914902232e-11,4.044104707384916e-11,4.228425161868369e-11
3,5.094031773139695e-11,3.68147878752344e-11,4.0441035402896374e-11,4.228424841758756e-11
4,5.0940298648804236e-11,3.681479255842882e-11,4.044105768942807e-11,4.228424543141573e-11
5,5.094031890327329e-11,3.681479140957633e-11,4.044106242664159e-11,4.228425760600844e-11
6,5.0940317418908505e-11,3.681479323176283e-11,4.0441051225538126e-11,4.228424783679137e-11
7,5.094031805088302e-11,3.6814791278086606e-11,4.0441062426344046e-11,4.228424376767708e-11
8,5.094030094031766e-11,3.681478912097279e-11,4.044104854770712e-11,4.228423950970357e-11
9,5.094031600239548e-11,3.6814794245148715e-11,4.0441047919529197e-11,4.2284238694035765e-11
10,5.094032736182047e-11,3.681479855318607e-11,4.0441051265570676e-11,4.2284256691808075e-11
11,5.094031413725975e-11,3.681479384567723e-11,4.04410374853882e-11,4.228424149378604e-11
12,5.094033300067511e-11,3.681480216940807e-11,4.0441057726693116e-11,4.228423546824331e-11
13,5.094032289658975e-11,3.6814796278855415e-11,4.0441048558519893e-11,4.228424345616621e-11
14,5.09403232936086e-11,3.681480221768467e-11,4.044105281723667e-11,4.228423593073245e-11
15,5.094030219557057e-11,3.681480417843865e-11,4.044105643028913e-11,4.228424464375076e-11
16,5.0940326114409155e-11,3.68147921736481e-11,4.0441037417306624e-11,4.2284256666337594e-11
17,5.094031774392353e-11,3.68147926199506e-11,4.04410470027143e-11,4.2284261071477445e-11
18,5.09403141655047e-11,3.6814788549455424e-11,4.0441055927229865e-11,4.2284251267601814e-11
19,5.094033231246632e-11,3.681479427147551e-11,4.0441038100496676e-11,4.228422619822656e-11
20,5.0940329770781277e-11,3.681478676248349e-11,4.044103596643426e-11,4.2284256702096353e-11
21,5.094033662706562e-11,3.681478215257951e-11,4.044105567326199e-11,4.228424878759589e-11
22,5.094033131489733e-11,3.6814794848618525e-11,4.044104228745035e-11,4.228423217688461e-11
23,5.094031594477501e-11,3.6814790733539e-11,4.044105216848531e-11,4.228424069881908e-11
24,5.0940309762012524e-11,3.681478860257027e-11,4.0441048576195224e-11,4.228424116068229e-11
25,5.0940318571847125e-11,3.681479174308745e-11,4.044103599930882e-11,4.228423917946383e-11
26,5.0940337392991055e-11,3.6814797827580344e-11,4.044105549119957e-11,4.228424148180431e-11
27,5.094033620858119e-11,3.68147975499065e-11,4.0441063197694814e-11,4.2284241696568904e-11
