,0,1,2,3
0,1.4544485948056323e-10,5.98911061298229e-08,1.949487153140058e-10,2.75050337294851e-10
1,7.26875591796396e-10,2.970176891755587e-07,9.695307681560124e-10,1.3646566773353878e-09
2,1.2929034801604258e-09,5.187770642435926e-07,1.7047459943054243e-09,2.3860417658834563e-09
3,1.8315332894135171e-09,7.136957665949094e-07,2.3707410584558e-09,3.288145098449198e-09
4,2.3313509511939874e-09,8.716890229624807e-07,2.9404755201776913e-09,4.025869707119914e-09
5,2.781765552979839e-09,9.845825218960824e-07,3.3908144920707587e-09,4.562335111510065e-09
6,3.173231970104384e-09,1.0465353396719123e-06,3.7034737493672203e-09,4.870723329350185e-09
7,3.497455252373318e-09,1.054342138784662e-06,3.865757464618388e-09,4.935616815122512e-09
8,3.747562984055582e-09,1.0075990092802817e-06,3.871075915181579e-09,4.753772021966675e-09
9,3.918256426134623e-09,9.087243615726538e-07,3.719213338850379e-09,4.334279200040074e-09
10,4.005919824090381e-09,7.628338095333895e-07,3.416336278746138e-09,3.698109607818723e-09
11,4.0086923425400295e-09,5.774754901386629e-07,2.9747419719161514e-09,2.8770665152981917e-09
12,3.926517776050855e-09,3.622395364451219e-07,2.412362773849566e-09,1.912194375323727e-09
13,3.761137026089784e-09,1.2826190690004712e-07,1.752030949349794e-09,8.517291470095923e-10
14,3.5160530718113778e-09,1.123517845735594e-07,1.0205601169720156e-09,2.5131494096327345e-10
15,3.1964622886639974e-09,3.471525798082102e-07,2.476511213100894e-10,1.341795546930282e-09
16,2.8091343564207686e-09,5.639922696480238e-07,5.353144644129178e-10,2.3651981537143e-09
17,2.362279098259116e-09,7.516519272055545e-07,1.296543370044545e-09,3.2703613320061804e-09
18,1.8653646712870643e-09,9.004223493691807e-07,2.0051281050073936e-09,4.012033698166089e-09
19,1.3289208648633057e-09,1.0026063998270218e-06,2.6322956313264125e-09,4.553138738420784e-09
20,7.643164968787755e-10,1.0529172426149243e-06,3.1525826927814937e-09,4.866626859348365e-09
21,1.8351516397592282e-10,1.0487518774603472e-06,3.5448619562605333e-09,4.936824513751073e-09
22,4.011749283144798e-10,9.903258137695542e-07,3.793205857540507e-09,4.760223982302633e-09
23,9.773634981896152e-10,8.806619211238569e-07,3.887530743786983e-09,4.345651505741455e-09
24,1.5328406105881638e-09,7.254340273285224e-07,3.8240076752820475e-09,3.7138346460601044e-09
25,2.055836476406386e-09,5.326733695642197e-07,3.605212823243266e-09,2.896357648222896e-09
26,2.5352649098399384e-09,3.1235306743066074e-07,3.2400333397161654e-09,1.934088150712289e-09
27,2.9609707383087936e-09,7.587213049204245e-08,2.743295804015367e-09,8.751305792075594e-10
28,3.3239305004898943e-09,1.6453430487135735e-07,2.1351697920534083e-09,2.275758912318195e-10
29,3.6164525220562543e-09,3.964280065992408e-07,1.440346853862844e-09,1.3189061077922285e-09
30,3.832338735142384e-09,6.078111742923062e-07,6.870397006334926e-10,2.3443022433624167e-09
31,3.967014658338669e-09,7.877471906865408e-07,9.416306812935882e-11,3.252503213539602e-09
32,4.0176256623711046e-09,9.269264617362465e-07,8.715426392697077e-10,3.998107083436657e-09
33,3.983098600904917e-09,1.018148082150368e-06,1.613534114046815e-09,4.543839369681094e-09
34,3.8641662552243685e-09,1.0566923931311563e-06,2.2900095716872904e-09,4.862419526106448e-09
35,3.6633492601299192e-09,1.040565177862394e-06,2.873502185901752e-09,4.937919874723885e-09
36,3.3849020181834875e-09,9.706008282084456e-07,3.340318982471718e-09,4.7665667944066144e-09
37,3.0347262470311755e-09,8.504191880714615e-07,3.6715064622321364e-09,4.356925684094845e-09
38,2.6202400703580213e-09,6.862382576142756e-07,3.853615048672682e-09,3.729476712149977e-09
39,2.1502290217288957e-09,4.865524860932758e-07,3.879252610061227e-09,2.9155849029152673e-09
