,0,1,2,3
0,4.824914144271016e-14,2.94968122678416e-11,2.8735987254569275e-13,5.774250497088333e-13
1,1.214791927902865e-12,7.397591955884676e-10,7.2168295273693795e-12,1.4484755237580717e-11
2,3.91580607453634e-12,2.3632224814771083e-09,2.313065377747629e-11,4.6296678852152794e-11
3,8.094069509534386e-12,4.815891348084694e-09,4.7382670712483954e-11,9.442286574416177e-11
4,1.3661036812836839e-11,7.970868731591672e-09,7.898815677756212e-11,1.564574238224551e-10
5,2.0498730132529e-11,1.166492129805237e-08,1.1666380014548332e-10,2.292991591271638e-10
6,2.846227600146158e-11,1.5706924834542972e-08,1.5887982245570095e-10,3.0930659958534526e-10
7,3.738288835093857e-11,1.9887752711567424e-08,2.0392208821678958e-10,3.924800705733129e-10
8,4.707154879251831e-11,2.399109578515167e-08,2.4996170264375574e-10,4.746616015990147e-10
9,5.7322944742697576e-11,2.7804653820616883e-08,2.9512927802909965e-10,5.517428257127898e-10
10,6.791983932134862e-11,3.1131119579552004e-08,3.375908379118542e-10,6.198703484968388e-10
11,7.863766094828243e-11,3.379838720709614e-08,3.7562226323273684e-10,6.756383685252126e-10
12,8.924931170891068e-11,3.566845666538405e-08,4.076793364579755e-10,7.162589614541356e-10
13,9.952989823672656e-11,3.6644573612833606e-08,4.324604131300477e-10,7.397014566180591e-10
14,1.0926159097302568e-10,3.6676235383647376e-08,4.489592891670432e-10,7.447939218072633e-10
15,1.182381442740277e-10,3.576180383731084e-08,4.565060368948644e-10,7.312817798416221e-10
16,1.2626934165451384e-10,3.3948590156557335e-08,4.5479423304882883e-10,6.99840526375621e-10
17,1.3318499909807666e-10,3.1330407049891846e-08,4.4389338155123994e-10,6.520419425843917e-10
18,1.388385711869739e-10,2.8042714993843662e-08,4.2424610318109583e-10,5.902755603125851e-10
19,1.4311023796201716e-10,2.425561379286458e-08,3.9665014959323984e-10,5.176291618594575e-10
20,1.459094971292159e-10,2.01650418116645e-08,3.622260292760706e-10,4.377344487185536e-10
