,0,1,2,3
0,1.2276765306484697e-13,7.246914131371088e-11,1.939486040298577e-12,6.2515982483796545e-12
1,1.5488465116248162e-11,9.076282575271438e-09,2.4409881044410933e-10,7.853341065569555e-10
2,8.936473316238809e-11,5.1463838745817895e-08,1.4002500799133617e-09,4.484672973020707e-09
3,2.6425405672608116e-10,1.4790113723890113e-07,4.100769534101947e-09,1.3035355497606725e-08
4,5.752736657285362e-10,3.0895887937625303e-07,8.800337596421166e-09,2.7663873999462377e-08
5,1.0471056940824049e-09,5.314608113794224e-07,1.5697895035438266e-08,4.8573769264670186e-08
6,1.6912369952809329e-09,7.960514111866052e-07,2.4657110400800303e-08,7.464013254655075e-08
7,2.503629455667413e-09,1.066824171133575e-06,3.5133223979907074e-08,1.0316176709145442e-07
8,3.4630019292944954e-09,1.2941268310359274e-06,4.612001207047014e-08,1.2977066494260937e-07
9,4.529960551889671e-09,1.4216793559921028e-06,5.6143520131404895e-08,1.486791988999206e-07
10,5.647252420747424e-09,1.398457996626991e-06,6.334615378325804e-08,1.5351659170363626e-07
11,6.741462885782236e-09,1.1939492419028744e-06,6.571720076125803e-08,1.3895437812151726e-07
12,7.72646978320338e-09,8.124827981461541e-07,6.151258709193764e-08,1.0296206220677005e-07
13,8.50889633222684e-09,2.999349447239935e-07,4.983551338759093e-08,4.881716711911058e-08
14,8.99563062035421e-09,2.6308320943240544e-07,3.1208782117743074e-08,1.4600845782805191e-08
15,9.103162366677498e-09,7.81772596629911e-07,7.82783519061673e-09,7.520054912784054e-08
16,8.768037827491068e-09,1.1738190601830788e-06,1.6793978234051827e-08,1.2189067756642767e-07
17,7.957197645144323e-09,1.390660819558704e-06,3.877746073373297e-08,1.482056468881613e-07
18,6.67647676487446e-09,1.425292005641799e-06,5.501058986932164e-08,1.534535280175214e-07
19,4.975324619450666e-09,1.3063112651201313e-06,6.390929222385458e-08,1.4145639045696642e-07
20,2.9460433610932776e-09,1.0838728168375546e-06,6.55279190053369e-08,1.1826852903463446e-07
21,7.166759265103e-10,8.143261674221044e-07,6.114810483046278e-08,9.014765421717555e-08
22,1.5620068706206896e-09,5.480371330589119e-07,5.267314792046771e-08,6.229882660000169e-08
23,3.73352720550462e-09,3.219540012804463e-07,4.209568470074617e-08,3.833830492826215e-08
24,5.6537560999884e-09,1.5654849426940955e-07,3.114974361055637e-08,2.022770107831925e-08
25,7.206743345143694e-09,5.6013464890992074e-08,2.1140774718852677e-08,8.452987328006935e-09
26,8.315677567839462e-09,1.0587853332100055e-08,1.2900986072901136e-08,2.3068910935592463e-09
27,8.947605243294853e-09,1.47434715318662e-10,6.816978204043669e-09,2.0352767331877043e-10
28,9.111987889567658e-09,1.51342766200243e-09,2.8924937789176607e-09,3.539790617583279e-12
29,8.854351088113792e-09,2.2075902702003162e-08,8.25002713732047e-10,7.075619182836064e-10
