,0,1,2,3
0,9.059290725036221e-10,3.4769462277246576e-08,2.606063871133763e-09,1.898921123179822e-08
1,1.4265499737153437e-08,5.573162495754825e-07,4.4226270044777915e-08,3.2093753940071216e-07
2,1.8074551499716696e-08,6.685391298802905e-07,1.6153310051936022e-07,4.806235292274347e-07
3,3.291765977259327e-08,1.410444584277796e-06,5.271024795747178e-07,2.5016098551619393e-07
4,1.5704066247052522e-07,6.558092102695241e-06,1.2873662139416197e-06,2.379566785400196e-06
5,3.9428253016239726e-07,1.5822277424688564e-05,2.5297365312203863e-06,6.366709213166315e-06
6,7.657200117575198e-07,2.9078622927500386e-05,4.272554665057734e-06,1.2174376126246238e-05
7,1.2831341573983862e-06,4.516388078373515e-05,6.442123411524687e-06,1.9304745910770294e-05
8,1.9452533029583623e-06,6.186346348195374e-05,8.856022946162944e-06,2.67616583722337e-05
9,2.7356982770124394e-06,7.621293195559152e-05,1.1219716884805129e-05,3.3136415228119096e-05
10,3.6219767145658297e-06,8.510794331654014e-05,1.3144956993687703e-05,3.681675758322639e-05
11,4.5557955420909576e-06,8.613145490289376e-05,1.4199891685405362e-05,3.63294180162276e-05
12,5.474991814421998e-06,7.836660389971672e-05,1.3997307794141914e-05,3.080728641768219e-05
13,6.3073085867109674e-06,6.288171572359439e-05,1.23132906079722e-05,2.0523640088279086e-05
14,6.976076081537888e-06,4.2726506962395055e-05,9.202815426813411e-06,7.799723465724583e-06
15,7.4075841892282645e-06,2.3171438807806188e-05,5.061756978502123e-06,9.848555244894812e-06
16,7.5395573096402636e-06,1.641466208851349e-05,9.89523604134245e-07,2.168033687225829e-05
17,7.329720604242399e-06,2.579365956412582e-05,4.020701046975708e-06,3.0038945007295913e-05
18,6.76309283513288e-06,3.452184432479912e-05,7.369817136918103e-06,3.3787389426712774e-05
19,5.856519565436211e-06,3.834028683199545e-05,9.524098323177983e-06,3.33698308801011e-05
20,4.659243392348199e-06,3.731016922444171e-05,1.0414306299839356e-05,2.9909765691521022e-05
21,3.2491834504063595e-06,3.253831412660231e-05,1.0211171579313121e-05,2.4663311063377717e-05
22,1.7274048649104552e-06,2.5488776642069494e-05,9.203673730248953e-06,1.872612983491049e-05
23,3.088299711779247e-07,1.767581518797346e-05,7.707455608664875e-06,1.2944164684561552e-05
24,1.3189682795939493e-06,1.0454965570445877e-05,6.008035906074287e-06,7.922430088430207e-06
25,2.5865207013421396e-06,4.848153481678103e-06,4.334227077233112e-06,4.050066472588128e-06
26,3.6228742495989435e-06,1.3970303188586369e-06,2.8507432644813946e-06,1.5067304606135933e-06
27,4.381747282917835e-06,6.579366577915771e-08,1.660152647206899e-06,2.5144405103540144e-07
28,4.8485116241690805e-06,2.2394210185161995e-07,8.079957901537366e-07,1.3167710416080669e-08
29,5.032607894922973e-06,7.379034495985868e-07,2.882858390873164e-07,3.0592455252919635e-07
30,4.9623148119425244e-06,4.012118539559623e-07,4.912727695934987e-08,4.860667912924531e-07
31,4.679211999974604e-06,3.176983578219232e-06,6.410679092446387e-10,2.0199520191976533e-07
32,4.23277457979666e-06,1.0082383832515035e-05,3.693829321313732e-08,2.251047224926286e-06
33,3.6755463157438743e-06,2.1161904343993303e-05,1.36479372013744e-07,6.156452409199639e-06
34,3.059120123390257e-06,3.5861545752622986e-05,4.6048019114411615e-07,1.1892579117727852e-05
35,2.43097134605087e-06,5.254207225287677e-05,1.1639304058474989e-06,1.8983210529232435e-05
36,1.8320800785625243e-06,6.860567490666765e-05,2.341627797610979e-06,2.6452640942205147e-05
37,1.2952358155282573e-06,8.093538990912208e-05,4.0221177730171024e-06,3.290651542204293e-05
38,8.439197490357494e-07,8.661918664460161e-05,6.144666269666962e-06,3.6735245007863966e-05
39,4.916859230807371e-07,8.380718538414307e-05,8.541369053007784e-06,3.6450776193994575e-05
40,2.4199567774153035e-07,7.241885982135426e-05,1.0931622861097164e-05,3.114917807401752e-05
41,8.848961049787557e-08,5.441072133650883e-05,1.2937178211310799e-05,2.10434650185958e-05
42,1.5702200712226917e-08,3.366840444292475e-05,1.4127659542673496e-05,8.301013962221401e-06
43,2.3709706562558165e-10,1.751239751193856e-05,1.4103907092092952e-05,9.329018201558069e-06
44,1.2450634824489729e-08,1.981375685863091e-05,1.2613991000055549e-05,2.1226361577959573e-05
45,1.9143336958207454e-08,3.0122505445170917e-05,9.672020983898526e-06,2.977400087154455e-05
46,2.4528068217768625e-08,3.682734845414612e-05,5.628900653836863e-06,3.371856008150111e-05
