,0,1,2,3
0,2.532482306477173e-13,2.461726272319625e-13,2.5263289019436743e-13,2.54821618127076e-13
1,2.4435178486853257e-13,2.6405657249951866e-13,2.30010522090356e-13,2.887496663805809e-13
2,2.2753525173770456e-13,9.47342095931524e-13,1.9627599475540793e-13,3.923804586169017e-13
3,2.1464926283818697e-13,2.1897806504197784e-12,2.293593753130284e-13,5.870850580865554e-13
4,2.2698133442821062e-13,3.9838557138913924e-12,4.0283576925048684e-13,8.960848225851827e-13
5,2.8272054871066327e-13,6.2940146378584604e-12,7.068703718491558e-13,1.3748511451127625e-12
6,3.815432031594369e-13,8.94271530569849e-12,1.147902475477347e-12,2.1056798267937237e-12
7,5.142196851246496e-13,1.1572714810822287e-11,1.7577869216004082e-12,3.1655502711210417e-12
8,6.73110274980407e-13,1.37967069842399e-11,2.5848738862754462e-12,4.5622094691641195e-12
9,8.529313050080266e-13,1.5351078919319776e-11,3.6925663006921294e-12,6.150523849309516e-12
10,1.0495849202785965e-12,1.6629343022683997e-11,5.160001726083723e-12,8.185663408461392e-12
11,1.259515073424554e-12,5.6320457546804834e-11,7.0752344622855596e-12,1.2941547738009676e-11
12,1.4794951286821593e-12,1.8620250094646562e-10,9.482199469656875e-12,3.304608430757746e-11
13,1.7065291472452956e-12,3.46594736897419e-10,1.2218780680224318e-11,1.6944541295572935e-10
14,1.937598276262762e-12,3.5368621673970656e-10,1.4718219652407913e-11,2.778560173544547e-10
15,2.169072767427308e-12,1.9758243895064828e-10,1.611142545726203e-11,8.335978490563836e-11
16,2.395805960852093e-12,6.20008918860573e-11,1.57792928632104e-11,1.9028814006895502e-11
17,2.6102240313563297e-12,1.7167456729089463e-11,1.38780608249207e-11,1.0234665848242668e-11
18,2.80196713794823e-12,1.5407273969158905e-11,1.1198008458326014e-11,7.115739646405059e-12
19,2.958601823946441e-12,1.3925299548030326e-11,8.541163117234448e-12,5.417242048759953e-12
20,3.0675298129544625e-12,1.1736149694338689e-11,6.312410419211438e-12,3.891891845183411e-12
21,3.118640049414114e-12,9.122742980942114e-12,4.5717949554380565e-12,2.640212602831705e-12
22,3.1068005241512092e-12,6.462427373140204e-12,3.247083189175292e-12,1.737052113684286e-12
23,3.0332221941513407e-12,4.122304800527272e-12,2.2511530217633217e-12,1.1314806963882782e-12
24,2.9051316710397447e-12,2.2917166366691144e-12,1.5106704875924943e-12,7.389383230800962e-13
25,2.733889785474826e-12,1.0130941871188891e-12,9.678311372967833e-13,4.864415835953216e-13
26,2.5323199947251644e-12,2.8848491495267186e-13,5.799518529537784e-13,3.349164472493986e-13
27,2.3122455564004003e-12,2.4185841032673126e-13,3.2291426661465837e-13,2.666303274309854e-13
28,2.0830053120584452e-12,2.0974336908399785e-13,2.0216822953089897e-13,2.544448900143421e-13
29,1.85118331839362e-12,4.863035088140661e-13,2.0679973398910433e-13,2.86081825300245e-13
30,1.6212440877185593e-12,1.4229746094910406e-12,2.4143673756696676e-13,3.8616155170702914e-13
31,1.3964971670818957e-12,2.9049954208446348e-12,2.534007035486361e-13,5.766366367927162e-13
32,1.1799042990448183e-12,4.9353402238778394e-12,2.343213408600933e-13,8.79857332145677e-13
33,9.74531233907063e-13,7.42596793284116e-12,1.9928104728809718e-13,1.3497489267636126e-12
34,7.837162122253632e-13,1.0119134067251915e-11,2.175621815110162e-13,2.0679899750077576e-12
35,6.111766627150443e-13,1.2608251571499302e-11,3.7296445649515823e-13,3.112729191406472e-12
36,4.613439541656611e-13,1.4592010795462668e-11,6.605779972249634e-13,4.496822627544864e-12
37,3.4023681074443143e-13,1.5560818844844767e-11,1.082620358165114e-12,6.080070598222036e-12
38,2.565052306559891e-13,2.4508086409065197e-11,1.6684145286108951e-12,8.0657377002241e-12
39,2.1793760296143347e-13,1.0168130751790516e-10,2.4643613564352157e-12,1.2632168943679614e-11
40,2.1780512255285706e-13,2.624835115425207e-10,3.5318959964318527e-12,3.0999934846865977e-11
41,2.3419466881417304e-13,3.7697164375949944e-10,4.948159803678683e-12,1.5987617654037883e-10
42,2.4894318696155487e-13,2.9492696939724825e-10,6.801413403117608e-12,2.825845793570148e-10
43,2.535378037133565e-13,1.2771434946306774e-10,9.147636786035619e-12,8.974564451807309e-11
44,2.460287158084556e-13,3.227723185622831e-11,1.1863999352422797e-11,1.9817047272655426e-11
45,2.2974728845420096e-13,1.560677300864468e-11,1.4440185403713438e-11,1.0444981682404527e-11
46,2.153752188940847e-13,1.4897622000961806e-11,1.6022336547760315e-11,7.2017871361441546e-12
47,2.2329879209451438e-13,1.3035212851070992e-11,1.5921595687460225e-11,5.485744936650269e-12
48,2.732941109902562e-13,1.0629132019701592e-11,1.4185484662680746e-11,3.952990452920831e-12
49,3.6724449755950254e-13,7.941817807463604e-12,1.1554790085046096e-11,2.686702184263097e-12
50,4.961935447020359e-13,5.385990003049765e-12,8.862824635866457e-12,1.769138841515084e-12
51,6.521522304393946e-13,3.255393843193634e-12,6.570669562048767e-12,1.1524880366753722e-12
52,8.296129172282377e-13,1.6663235702848917e-12,4.770275561488524e-12,7.524947471798103e-13
53,1.024377881350078e-12,6.244592228173882e-13,3.397182337095603e-12,4.950507123703884e-13
54,1.232840950717177e-12,2.0193969545785344e-13,2.3634472229121113e-12,3.395761760178081e-13
55,1.451739482167622e-12,2.5180805986463766e-13,1.5936902873493778e-12,2.6818382261475095e-13
56,1.6780572989650123e-12,2.2853343523731095e-13,1.0281691803495678e-12,2.541408045758987e-13
57,1.90880264440747e-12,8.283643558918267e-13,6.221946980939566e-13,2.835424806307319e-13
58,2.1404661017831977e-12,2.001944078819837e-12,3.4877606108546567e-13,3.8010962405066e-13
59,2.3681434543897534e-12,3.7259829285744824e-12,2.0935410853808867e-13,5.663900855005872e-13
60,2.584598810369975e-12,5.9768525939752734e-12,2.0252980110480728e-13,8.63932169744345e-13
61,2.779804744360984e-12,8.598923379436348e-12,2.3779242634674296e-13,1.3251045012894918e-12
62,2.941503892104392e-12,1.1255355101386512e-11,2.536335202815875e-13,2.0309099186227184e-12
63,3.0569819965049673e-12,1.3544305659244071e-11,2.382985335152727e-13,3.060562094817459e-12
64,3.115670532254069e-12,1.522024251887597e-11,2.0306794946378341e-13,4.431802198835039e-12
65,3.1117142841733958e-12,1.5997965461267305e-11,2.082630039124813e-13,6.009957441699628e-12
66,3.045518265066534e-12,4.665594682501117e-11,3.4522161124843165e-13,7.950528237818948e-12
67,2.923638163661121e-12,1.650962287526848e-10,6.164710107516893e-13,1.2336227892969961e-11
68,2.7570602113810424e-12,3.3099128065186276e-10,1.0200207792279107e-12,2.914726183505012e-11
69,2.5585735231373554e-12,3.649121943993432e-10,1.5824927547436508e-12,1.5050399159539975e-10
70,2.3402308997133703e-12,2.197251719288821e-10,2.348312400989311e-12,2.8639428978668264e-10
71,2.1117179991882372e-12,7.405545239990135e-11,3.376964344136536e-12,9.653223957992894e-11
72,1.879939663307182e-12,1.8744448072512776e-11,4.743557858183314e-12,2.0683677248052314e-11
73,1.6495722041952174e-12,1.548906554769099e-11,6.535952427271636e-12,1.0663631730296314e-11
74,1.4240183021436923e-12,1.416370804004604e-11,8.81975672444082e-12,7.29025301636293e-12
75,1.2062508728104094e-12,1.2042550248368231e-11,1.1507477030757889e-11,5.5543847929996334e-12
76,9.99309569179515e-13,9.465876171132535e-12,1.4145535435130156e-11,4.014611021121472e-12
77,8.064942952319376e-13,6.788063141309486e-12,1.590431864506044e-11,2.733854055099969e-12
78,6.314649126029773e-13,4.393040602886186e-12,1.6035831079828187e-11,1.8017843651777843e-12
79,4.785301003816942e-13,2.4931862676829615e-12,1.4478047483119903e-11,1.173892808280536e-12
80,3.5344286398851014e-13,1.1452087535320849e-12,1.1911172798087939e-11,7.663079110820853e-13
81,2.645339515026543e-13,3.4521741380164234e-13,9.191622835613593e-12,5.038433513119859e-13
82,2.2028770161052184e-13,2.315824960604008e-13,6.837236171600368e-12,3.443939670334613e-13
83,2.1644542342827632e-13,2.208122396320845e-13,4.975826200955646e-12,2.6984127552199486e-13
84,2.319807764554165e-13,4.078889214088747e-13,3.5528644487676406e-12,2.5390847636448027e-13
85,2.4756576031575467e-13,1.2742698866380561e-12,2.4800795921340845e-12,2.8112890363509837e-13
86,2.536346999258233e-13,2.6863089111838287e-12,1.6800630098256513e-12,3.742237785329888e-13
87,2.4756154572325454e-13,4.6491421371340955e-12,1.0911196995461623e-12,5.563427846354943e-13
88,2.3197433809936177e-13,7.091675372927745e-12,6.665890614200084e-13,8.483035701443999e-13
89,2.164418885534993e-13,9.779917767351532e-12,3.7680332564057426e-13,1.3009107869081458e-12
90,2.202954315702615e-13,1.2317290316748947e-11,2.1898188143608604e-13,1.9944342292829223e-12
91,2.645582135003016e-13,1.437404043119954e-11,1.9883211096943383e-13,3.0090520795800594e-12
92,3.534818951617247e-13,1.5535130710793397e-11,2.3376768057901177e-13,4.367168500049168e-12
93,4.785804598927754e-13,2.0998216216301477e-11,2.533295836676976e-13,5.94013369314131e-12
94,6.315241182730626e-13,8.655165069455057e-11,2.4188891355652716e-13,7.8397529472453e-12
95,8.065606102425465e-13,2.4028708050647987e-10,2.073971431454264e-13,1.2052658034002205e-11
96,9.993815905184013e-13,3.723169535327731e-10,2.0139291072663031e-13,2.7471633875065138e-11
97,1.2063273593291878e-12,3.145795243125908e-10,3.196507528748158e-13,1.413774019571622e-10
98,1.4240981178117297e-12,1.4661303722465968e-10,5.745108428759671e-13,2.8923794706440393e-10
99,1.6496542931552085e-12,3.91025477994867e-11,9.60023260093184e-13,1.0371747050596002e-10
100,1.880022914310727e-12,1.572433422083547e-11,1.4999092393328509e-12,2.163875433509901e-11
101,2.1118010221667623e-12,1.5076023815262814e-11,2.236582723175374e-12,1.0890909519294019e-11
102,2.3403116686327416e-12,1.330448380278254e-11,3.227592147618464e-12,7.381377515641509e-12
103,2.558649061578833e-12,1.0957991963563091e-11,4.545999807400915e-12,5.623163381769636e-12
104,2.7571265604789546e-12,8.283485046762753e-12,6.278788364422863e-12,4.0767381009573925e-12
105,2.9236907257495763e-12,5.690776200227421e-12,8.4990753598386e-12,2.7816691589649917e-12
106,3.0455526054551357e-12,3.496552904214776e-12,1.1150752481633096e-11,1.8349950730216794e-12
107,3.1117271017588425e-12,1.837121664664443e-12,1.3836294125920765e-11,1.1957019582053604e-12
108,3.1156605255383487e-12,7.266486550905923e-13,1.5758379910869448e-11,7.80382647718959e-13
109,3.056950183061832e-12,2.0930822600429892e-13,1.612102118188741e-11,5.128211946996318e-13
110,2.941453365621624e-12,2.5363144971537175e-13,1.475372851694053e-11,3.493710850287014e-13
111,2.7797398521340007e-12,2.0822054092840997e-13,1.2265601154000424e-11,2.7160557425723736e-13
112,2.5845241770061666e-12,7.180712340730658e-13,9.527026643206481e-12,2.537472283275711e-13
113,2.368063150937312e-12,1.8230079696719075e-12,7.112168201418357e-12,2.788383016482704e-13
114,2.1403832309020476e-12,3.4767611648747617e-12,5.188642582090591e-12,3.6850310754387943e-13
115,1.9087193360150993e-12,5.665922238627857e-12,3.714309294752441e-12,5.464922491435943e-13
116,1.677975004791264e-12,8.255840299398131e-12,2.60119498250339e-12,8.329658752884747e-13
117,1.451659326284962e-12,1.0931646355525777e-11,1.769901551406082e-12,1.2771607051887816e-12
118,1.2327639898800276e-12,1.3283073453629636e-11,1.1567637524145383e-12,1.9585573254035145e-12
119,1.0243052391471605e-12,1.5062397947108988e-11,7.131744486540808e-13,2.958201622081184e-12
120,8.295458199902625e-13,1.5709553388430775e-11,4.069542791377099e-13,4.3029414389948384e-12
121,6.520920572484472e-13,3.849865598723281e-11,2.311122441603619e-13,5.870557201902241e-12
122,4.961419744629539e-13,1.450385951950434e-10,1.9595030008522799e-13,7.733129610855276e-12
123,3.672038906726761e-13,3.130567230735634e-10,2.2941730077508333e-13,1.1780570896289667e-11
124,2.7326782744454733e-13,3.7282651410503217e-10,2.524911859109959e-13,2.5957282491567748e-11
