,0,1,2,3
0,2.73730572177355e-16,2.7327670685865557e-16,2.736276260029656e-16,2.733485894142392e-16
1,2.7266416337420556e-16,2.7446809575397215e-16,2.701122396945596e-16,2.6314683284579143e-16
2,2.701838667668182e-16,3.710365075539901e-16,2.618491169680491e-16,2.411002604477726e-16
3,2.6630997086190754e-16,7.499334386670718e-16,2.4871698109734455e-16,2.2091234699411762e-16
4,2.6107960820684784e-16,1.6193881099502385e-15,2.3056425504350284e-16,2.473373567971768e-16
5,2.5455207251238984e-16,3.0224022720126523e-15,2.0734498342707813e-16,3.6272347646800903e-16
6,2.4681828990175225e-16,4.767902019873881e-15,1.7971396417670553e-16,5.639502437544834e-16
7,2.380295070656384e-16,6.971123121233507e-15,1.511391368145975e-16,8.66272828278747e-16
8,2.2842002264199044e-16,1.0654535426120645e-14,1.338975397884287e-16,1.3092470001762067e-15
9,2.1845434959514207e-16,1.6396003966042638e-14,1.5203900994684565e-16,1.85695593883306e-15
10,2.090767895162652e-16,2.268157120056917e-14,2.1591058671831138e-16,2.2786699058194865e-15
11,2.0220315962936153e-16,1.2427617466639558e-13,3.1923465153971337e-16,4.8856839557444364e-15
12,2.0125279152033105e-16,6.172466796879993e-13,4.844714971800272e-16,3.215543799875183e-14
13,2.1102443347199015e-16,1.4013423198635003e-12,8.447837998477661e-16,1.0361306996729726e-13
14,2.3583236828904175e-16,1.4399479766765355e-12,1.59672095768585e-15,4.20259709940164e-13
15,2.767655928705787e-16,6.672661274575794e-13,2.31933827184291e-15,4.6300812345165207e-14
16,3.307923033493508e-16,1.4186080548141757e-13,2.122347093034522e-15,1.4764656968974595e-14
17,3.919666608724665e-16,2.3586132838678635e-14,1.2780128236773999e-15,2.573641173715818e-15
18,4.528983747610877e-16,1.6817812533400703e-14,6.733739334997703e-16,2.1312437260709765e-15
19,5.059051641473476e-16,1.0976654837334585e-14,4.1174349149603105e-16,1.603725489544203e-15
20,5.440702968806278e-16,7.155464821803183e-15,2.7639834867184333e-16,1.0897720254988253e-15
21,5.622767371734054e-16,4.8935873599553406e-15,1.8755174800654116e-16,7.136591836998999e-16
22,5.580437132195512e-16,3.1301014296228794e-15,1.398949784712007e-16,4.620851195195937e-16
23,5.319517599878551e-16,1.6972474950053364e-15,1.3752827241454213e-16,2.9904372628128153e-16
24,4.875358431302017e-16,7.90555186320159e-16,1.6129501746313583e-16,2.2567430490977176e-16
25,4.3070266255718496e-16,3.8505493874249454e-16,1.9029616213658623e-16,2.2784263532447376e-16
26,3.6877497849822037e-16,2.7620260889014075e-16,2.1647720426968074e-16,2.5220791457926103e-16
27,3.0945039467630227e-16,2.7299854427904943e-16,2.378477803554181e-16,2.6944793325228404e-16
28,2.597296801623097e-16,2.710879209297544e-16,2.5413234813320245e-16,2.7348057817375215e-16
29,2.2466316304661874e-16,2.95271810338949e-16,2.6545352103208557e-16,2.6385789743828667e-16
30,2.058092300613614e-16,4.886946839339426e-16,2.7195543789051486e-16,2.42192934925569e-16
31,2.0062848110016055e-16,1.0601345240647627e-15,2.7373977493273435e-16,2.2126167911214744e-16
32,2.042940002534009e-16,2.174568700209723e-15,2.7082785331450973e-16,2.444747153236386e-16
33,2.1241133047681363e-16,3.753374607530118e-15,2.631821698499919e-16,3.5594949898780536e-16
34,2.2216674681380097e-16,5.6319267766702644e-15,2.5068329769582783e-16,5.535129350538361e-16
35,2.3207722276537993e-16,8.324355117114794e-15,2.3317928516067367e-16,8.506084818833605e-16
36,2.4141806384531085e-16,1.2948398614502714e-14,2.1060141699912625e-16,1.2873230429838116e-15
37,2.4983617004195747e-16,1.9071713602320004e-14,1.8344082286809922e-16,1.8333351167970492e-15
38,2.571321201135166e-16,3.8085915917472125e-14,1.5457314738898438e-16,2.2689222772519026e-15
39,2.631838423869226e-16,2.771362285642577e-13,1.3467248704350202e-16,4.49273432939331e-15
40,2.6791606015568657e-16,9.691431251641451e-13,1.4705565075696444e-16,3.0183881043358836e-14
41,2.712728182504512e-16,1.5691888001787932e-12,2.054281634591891e-16,8.603139200997069e-14
42,2.7322607074489643e-16,1.13033601370342e-12,3.035706188067027e-16,4.381465539237214e-13
43,2.737612276309143e-16,3.7539378173526935e-13,4.568956367551791e-16,4.515257595454162e-14
44,2.728735719714785e-16,5.6647981067484275e-14,7.785955678961516e-16,1.602149712943202e-14
45,2.7056930320156665e-16,2.012168436490792e-14,1.4825443243028535e-15,2.655305309956364e-15
46,2.6686689611391134e-16,1.4084211980104542e-14,2.2648608123300144e-15,2.149308312152507e-15
47,2.6179946707958026e-16,9.043437829251666e-15,2.2047179691132817e-15,1.6276987713655928e-15
48,2.5542856166303673e-16,6.053484708127303e-15,1.3856720020178495e-15,1.109263707192535e-15
49,2.478426754120537e-16,4.092241619020342e-15,7.268826021579382e-16,7.269024701925367e-16
50,2.3917077946452556e-16,2.4505632192371785e-15,4.349990090438676e-16,4.709393928333645e-16
51,2.2964651408498084e-16,1.2313312873536848e-15,2.9062813004044696e-16,3.042904225656911e-16
52,2.1968747541326499e-16,5.626288328938574e-16,1.968454105655389e-16,2.269423887143424e-16
53,2.1015947798817784e-16,3.136120565289976e-16,1.4338002841241405e-16,2.269448636296979e-16
54,2.0282140659586335e-16,2.706795223917122e-16,1.357883123649525e-16,2.5121658972594207e-16
55,2.0089233884615778e-16,2.736496754381751e-16,1.5765409980157558e-16,2.689702716159162e-16
56,2.0906291041962116e-16,2.721974000883318e-16,1.866440887645426e-16,2.7359241818699296e-16
57,2.318563245821887e-16,3.476173739470472e-16,2.133648594020033e-16,2.645463339450635e-16
58,2.7087444656100027e-16,6.785084557071771e-16,2.3538562595464053e-16,2.432766471044057e-16
59,3.2355668748192984e-16,1.4776103115251023e-15,2.523211429867571e-16,2.216863391498407e-16
60,3.8422673070060683e-16,2.8207906174386567e-15,2.6426975978208077e-16,2.417921080486346e-16
61,4.456105861570793e-16,4.532081832310276e-15,2.713855286670841e-16,3.49326919071644e-16
62,5.000027496795641e-16,6.637282551029299e-15,2.7377163012202397e-16,5.432537282248749e-16
63,5.403333341168553e-16,1.0067389998707308e-14,2.7146453482566716e-16,8.352113733171051e-16
64,5.612143006905591e-16,1.5591662306277067e-14,2.644330371008605e-16,1.2656224967927986e-15
65,5.597991658298163e-16,2.152814184732641e-14,2.525656915021528e-16,1.8095853680731322e-15
66,5.362841763867254e-16,9.563857984243681e-14,2.357158299043471e-16,2.2584181448495347e-15
67,4.938637031315145e-16,5.269234268807462e-13,2.1378383086550367e-16,4.1432972764794934e-15
68,4.3819181830662363e-16,1.3176122841704793e-12,1.8713047242721147e-16,2.8255375509043423e-14
69,3.764764833273941e-16,1.501777386922587e-12,1.5813212361020744e-16,7.113674203135483e-14
70,3.164230430201094e-16,7.671325342041337e-13,1.359900564709329e-16,4.52779989337278e-13
71,2.651836199470392e-16,1.8080349385893295e-13,1.4287125868025973e-16,4.3802163531422784e-14
72,2.281281320046467e-16,2.632751692858202e-14,1.9557479982644078e-16,1.736186098523682e-14
73,2.0732169219385879e-16,1.761583403428362e-14,2.887026050620879e-16,2.757020489372956e-15
74,2.0068942756179716e-16,1.1619155099349421e-14,4.3180157993841565e-16,2.1666081791805962e-15
75,2.0352128716204744e-16,7.527533249273527e-15,7.194241012793856e-16,1.6517165515858863e-15
76,2.1127183167944323e-16,5.1385174226143925e-15,1.3711229192645581e-15,1.1290354456678192e-15
77,2.2092664394218206e-16,3.339446792592368e-15,2.194553719100107e-15,7.403810284199588e-16
78,2.3086987754813853e-16,1.8526541225502854e-15,2.2730327226184953e-15,4.799482486041757e-16
79,2.403060452691734e-16,8.745091056071542e-16,1.4975665802376552e-15,3.0969948472592026e-16
80,2.4884636081347377e-16,4.1546260136627664e-16,7.869506278473541e-16,2.2836638450216256e-16
81,2.5629255950796995e-16,2.8076601358505003e-16,4.604001083443216e-16,2.260840019172275e-16
82,2.6250472740873255e-16,2.723537971846744e-16,3.055990422687837e-16,2.5021129225075904e-16
83,2.674040817381914e-16,2.7171275081124693e-16,2.0678429112116866e-16,2.684666289744188e-16
84,2.7093167962954573e-16,2.866629756904034e-16,1.4766804666767552e-16,2.736728844706171e-16
85,2.730602303479401e-16,4.47960435554948e-16,1.3453707532753766e-16,2.652080105704918e-16
86,2.737731866579281e-16,9.59318598577613e-16,1.5410986338362302e-16,2.443588391665547e-16
87,2.7306087620062533e-16,2.0030792452715444e-15,1.829472156524209e-16,2.221831825373913e-16
88,2.709330406580502e-16,3.53582484735775e-15,2.1017487666557252e-16,2.392788970832773e-16
89,2.6740021551978053e-16,5.370482098119754e-15,2.328399062062546e-16,3.4286477361630054e-16
90,2.6250173009760325e-16,7.894856362944765e-15,2.5042727781790434e-16,5.331641448264972e-16
91,2.562892821434537e-16,1.224061742241557e-14,2.630075100764369e-16,8.200823968691021e-16
92,2.488453351194558e-16,1.8329922427142985e-14,2.7073802862989124e-16,1.244160292252314e-15
93,2.403000621824673e-16,3.0635842184274096e-14,2.7372762287737937e-16,1.785721851760167e-15
94,2.3086371560622495e-16,2.232520255040601e-13,2.7202554598295546e-16,2.247050113957817e-15
95,2.2092241816951074e-16,8.627894746625502e-13,2.656038811474988e-16,3.835088847126746e-15
96,2.1126778832864864e-16,1.5430466432367755e-12,2.5436488016168485e-16,2.638452058761207e-14
97,2.0351727243429937e-16,1.2313187822233157e-12,2.381663111641637e-16,5.921981851989987e-14
98,2.0068680745811552e-16,4.505797678896116e-13,2.168831795850941e-16,4.638310555506489e-13
