,0,1,2,3
0,4.954043026151763e-07,5.868687892607775e-07,4.854326000366442e-07,4.61267901050516e-07
1,4.954043026204921e-07,5.86868789264903e-07,4.854326000310617e-07,4.612679010570036e-07
2,4.954043026119693e-07,5.868687892818649e-07,4.854326000419594e-07,4.612679010593522e-07
3,4.954043026044172e-07,5.868687892712816e-07,4.854326000182295e-07,4.612679010646928e-07
4,4.9540430259505e-07,5.868687892806316e-07,4.85432600038118e-07,4.6126790105268774e-07
5,4.954043026138299e-07,5.868687892698476e-07,4.854326000325492e-07,4.6126790105835206e-07
6,4.954043026105716e-07,5.868687892732624e-07,4.854326000319349e-07,4.6126790105834994e-07
7,4.95404302604292e-07,5.868687892782793e-07,4.854326000204334e-07,4.612679010575729e-07
8,4.95404302621808e-07,5.868687892721078e-07,4.854326000310631e-07,4.612679010676855e-07
9,4.954043026125031e-07,5.868687892724336e-07,4.854326000301695e-07,4.6126790105338294e-07
10,4.954043025973406e-07,5.86868789274092e-07,4.854326000263296e-07,4.612679010551721e-07
11,4.954043026248561e-07,5.868687892810261e-07,4.854326000373513e-07,4.612679010560446e-07
12,4.954043026099793e-07,5.868687892755298e-07,4.854326000353297e-07,4.612679010640596e-07
13,4.954043026226507e-07,5.868687892774044e-07,4.85432600039043e-07,4.612679010597158e-07
14,4.954043026174689e-07,5.868687892730229e-07,4.854326000401158e-07,4.6126790105902386e-07
15,4.954043026229685e-07,5.868687892842379e-07,4.85432600034058e-07,4.612679010592496e-07
16,4.954043026103965e-07,5.868687892785046e-07,4.85432600032579e-07,4.6126790105604966e-07
17,4.954043026166495e-07,5.868687892735068e-07,4.854326000480436e-07,4.612679010630323e-07
18,4.954043026039114e-07,5.868687892595591e-07,4.854326000408639e-07,4.6126790106016667e-07
19,4.954043026102675e-07,5.868687892820028e-07,4.854326000266463e-07,4.6126790106167306e-07
20,4.954043026145871e-07,5.868687892779717e-07,4.854326000462779e-07,4.612679010726357e-07
21,4.954043026172486e-07,5.868687892883435e-07,4.854326000357357e-07,4.612679010605048e-07
22,4.954043026136559e-07,5.86868789274902e-07,4.854326000340168e-07,4.6126790106744834e-07
23,4.954043026257332e-07,5.868687892683224e-07,4.854326000431655e-07,4.6126790105701994e-07
24,4.954043026051613e-07,5.868687892721484e-07,4.854326000419082e-07,4.6126790106189414e-07
