timesteps,0.0,0.5,L
0.0025,-2.293521496179297e-06,-4.680294314829403e-05,-0.1327820936760192
0.005,-4.757996686648997e-06,-0.0001246915068136585,-0.2652876448577883
0.0075,-5.6636547793437455e-06,-0.00035813792325286784,-0.39724068700032306
0.01,-2.5801986772553343e-06,-0.0011348619745648885,-0.528366404257687
0.0125,6.93845193421607e-06,-0.003472155840666027,-0.6583917038362077
0.015000000000000001,2.45004860754232e-05,-0.009612643885203876,-0.7870457847591393
0.0175,4.874459322240507e-05,-0.023668745641050128,-0.9140607018582007
0.02,6.935057676549503e-05,-0.05181379601844457,-1.0391719238173835
0.0225,5.128400352185869e-05,-0.10136519131783539,-1.1621188841068029
0.024999999999999998,-0.0001026077998924362,-0.17848078042528467,-1.2826455236591672
0.027499999999999997,-0.0006306583337634829,-0.2851484886760693,-1.400500824158652
0.029999999999999995,-0.0020593651914576957,-0.4171416930423907,-1.5154393308315055
0.032499999999999994,-0.005439396527699323,-0.5646736018516199,-1.6272216636495818
0.034999999999999996,-0.012661584682064447,-0.7160281756367622,-1.735615015882127
0.0375,-0.026779507159299075,-0.8622276587049484,-1.8403936389574986
0.04,-0.05217625711870079,-0.9997841692403366,-1.9413393126249978
0.0425,-0.09434016168977477,-1.130016885860537,-2.038241799437637
0.045000000000000005,-0.15902699591414632,-1.2560720090976565,-2.130899282609272
0.04750000000000001,-0.25075692756704027,-1.380151321090901,-2.2191187863342186
0.05000000000000001,-0.37094685291583995,-1.5025684508132626,-2.302716577693926
0.05250000000000001,-0.5164144386528705,-1.6224223962593112,-2.381518549313696
0.055000000000000014,-0.6792277653283576,-1.7386719216366686,-2.4553605819724744
0.057500000000000016,-0.8485312954561193,-1.8506931153094304,-2.524088886410526
0.06000000000000002,-1.0139325634276033,-1.9582318190111956,-2.5875603236231175
0.06250000000000001,-1.168848343630581,-2.0611400521994874,-2.64564270297313
0.06500000000000002,-1.3119382703160873,-2.159216680222279,-2.6982150575017445
0.06750000000000002,-1.4458973073184533,-2.2522021287533085,-2.7451678958637955
0.07000000000000002,-1.5746175869608707,-2.339830500402705,-2.786403430363115
0.07250000000000002,-1.7006300366319151,-2.421861811596132,-2.8218357806129215
0.07500000000000002,-1.8241761196879682,-2.498084168866793,-2.8513911523971123
0.07750000000000003,-1.943903333882522,-2.5683061059771974,-2.875007991359932
0.08000000000000003,-2.0581756952264443,-2.632352739531469,-2.892637111203949
0.08250000000000003,-2.1659607654154143,-2.6900664175928632,-2.9042417961293276
0.08500000000000003,-2.2669330499481894,-2.741308313921644,-2.9097978773010573
0.08750000000000004,-2.361100431783491,-2.7859592195933507,-2.9092937831848817
0.09000000000000004,-2.4484375082270944,-2.82391971215629,-2.9027305636470944
0.09250000000000004,-2.5287673223981515,-2.855110205225189,-2.890121887767997
0.09500000000000004,-2.601835466922928,-2.879471021557619,-2.8714940153735973
0.09750000000000004,-2.6674150403573313,-2.8969624172807054,-2.8468857423448166
0.10000000000000005,-2.7253498418398787,-2.9075644948382395,-2.816348319818117
0.10250000000000005,-2.775542173139297,-2.911277003185647,-2.77994534744583
0.10500000000000005,-2.8179285403417103,-2.9081190503392933,-2.7377526409384894
0.10750000000000005,-2.852468589222439,-2.8981287513364924,-2.6898580741650338
0.11000000000000006,-2.8791463221675393,-2.8813628236813384,-2.6363613961397316
0.11250000000000006,-2.897973743926251,-2.857896131054113,-2.577374023276997
